"G_D" "G" "G_LCFA" "cluster"
"steroid catabolic process" 3.67954296299362 1.72863918395621 -1 1
"cholesterol catabolic process" 3.67954296299362 1.72863918395621 -1 1
"steroid metabolic process" 2.59881530592816 1.54275839252479 -1 1
"cholesterol metabolic process" 3.0965054825403 1.60518814237087 -1 1
"sterol metabolic process" 2.98706642697501 1.83376223726709 -1 1
"sterol catabolic process" 3.67954296299362 1.72863918395621 -1 1
"alcohol catabolic process" 2.94132239296323 1.27988228600841 -1 1
"organic hydroxy compound catabolic process" 2.94132239296323 1.27988228600841 -1 1
"secondary alcohol metabolic process" 2.51021287674424 1.52937315228842 -1 1
"cellular ion homeostasis" 1.57839762103485 2.83036354647718 1.35355395017862 2
"cellular metal ion homeostasis" 1.8596106286665 2.91623043433758 1.1986921654611 2
"cellular response to iron ion starvation" 1.75483668574628 3.19990397411808 1.87882584094119 2
"cellular cation homeostasis" 1.75972024132891 2.7905539782733 1.11086448019253 2
"cellular transition metal ion homeostasis" 1.96673955135486 3.05441239215909 1.29221303444674 2
"chemical homeostasis" 1.56858215091277 2.89353630281623 1.39670597249333 2
"ion homeostasis" 1.64290548056423 2.76448032346795 1.13004275232384 2
"metal ion homeostasis" 1.6661520384784 2.94596609413415 1.02804182319238 2
"cation homeostasis" 1.57839762103485 2.83036354647718 0.949708513554296 2
"cellular chemical homeostasis" 1.49559698523534 2.97195848218073 1.62010429247325 2
"inorganic ion homeostasis" 1.41721860787039 2.86424248516032 1.20080452538466 2
"siderophore metabolic process" 1.85209105759026 3.7819413973594 2.61682928581448 3
"siderophore biosynthetic process" 1.85209105759026 3.7819413973594 2.61682928581448 3
"response to metal ion" 3.1026880717295 3.46170047010183 1.62010429247325 4
"response to copper ion" 3.40357483307788 5.0081165156004 2.19852501866777 4
