"G_D" "G" "G_LCFA" "cluster"
"NADH dehydrogenase activity" 6.36399050668606 5.52230140575776 4.85074289393347 1
"oxidative phosphorylation" 4.52344122482722 3.69736122156847 3.71656189281307 1
"NADH dehydrogenase (ubiquinone) activity" 5.86286486898442 4.97649284236142 4.30957539845554 1
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 4.44611244244208 4.6343270833036 3.95979707824859 1
"propionate metabolic process, methylcitrate cycle" 4.50585316956811 5.75131890241916 1.70424777113356 1
"NADH dehydrogenase complex" 6.39860296063198 5.75131890241916 5.12126641879723 1
"ATP synthesis coupled electron transport" 4.83884650660507 3.7866386946324 3.12618930069877 1
"respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 1
"plasma membrane respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 1
"NADH dehydrogenase (quinone) activity" 6.13473879250014 5.27440971889121 4.60369458620428 1
"plasma membrane respirasome" 4.83884650660507 4.69675437044598 4.03592265251783 1
"respiratory chain complex" 4.25499031496694 4.11321362859978 4.30165914512794 1
"cellular biogenic amine metabolic process" 3.10662169155899 2.52622403580525 2.30021089959985 2
"aerobic respiration" 1.82415710408335 3.07116989644543 2.74217820363208 2
"amine biosynthetic process" 3.839970198784 2.36732522015483 2.38898063504614 2
"coenzyme A metabolic process" 4.51461885820083 2.36398980343358 1.70615493782663 2
"energy derivation by oxidation of organic compounds" 1.72541695345293 2.26521578699701 1.97192548157933 2
"oxidoreductase activity, acting on NAD(P)H" 2.9769632996569 2.67303298548773 2.15165712744884 2
"propionate metabolic process" 2.18345060864913 3.7866386946324 0.118227751068852 2
"respiratory electron transport chain" 2.52051502648543 1.99439266157067 2.39796095030578 2
"cellular biogenic amine biosynthetic process" 3.839970198784 2.36732522015483 2.38898063504614 2
"cellular respiration" 1.99635706216216 2.62032404350098 2.38702839286185 2
"short-chain fatty acid metabolic process" 1.50451069676506 3.37528999927738 1.48534761835797 2
"inorganic phosphate transmembrane transporter activity" 0.693460241275001 4.11321362859978 3.45081964065466 3
"monosaccharide metabolic process" 0.10767081985908 1.8732075172928 2.34572882086461 3
"glucose metabolic process" -0.309058855566314 1.36551794574413 2.52522175204232 3
"pyruvate metabolic process" -0.257277758594695 1.98993426377362 2.2257481803194 3
"gluconeogenesis" 0.500485851610453 1.55584821383257 3.03600486774241 3
"glycolytic process" 0.802466023270609 3.18994359165734 3.30868098262117 3
"tricarboxylic acid cycle" 1.1162606612097 3.04923724334623 2.61418996122323 3
"nucleoside diphosphate phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 3
"glutamine metabolic process" 0.920504596706617 1.28023637459121 2.30686279840583 3
"ATP generation from ADP" 0.802466023270609 3.18994359165734 3.30868098262117 3
"riboflavin metabolic process" -1 2.36732522015483 3.03600486774241 3
"phosphate ion transport" 1.04417790974218 3.15643498704008 3.89432142529305 3
"aspartate family amino acid biosynthetic process" -1.14979028702667 1.93838625761967 2.27878703029608 3
"nucleoside diphosphate metabolic process" 0.767687010020874 2.47761434850661 2.60176221385454 3
"purine nucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 3
"purine ribonucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 3
"ribonucleoside diphosphate metabolic process" 0.501811133462656 3.06415370207274 3.04808082320256 3
"riboflavin biosynthetic process" -1 2.36732522015483 3.03600486774241 3
"organic cation transport" 0.500485851610453 3.04944362541481 4.52771821214266 3
"ammonium transport" 0.177864921214843 2.5636935044451 3.52636892773969 3
"carbohydrate catabolic process" 0.228217718317943 2.25279739949839 1.99018053746307 3
"hexose biosynthetic process" 0.500485851610453 1.55584821383257 3.03600486774241 3
"diaminopimelate biosynthetic process" 1.17947977417075 4.37156237525878 2.70879268420579 3
"flavin-containing compound metabolic process" -1 2.36732522015483 3.03600486774241 3
"flavin-containing compound biosynthetic process" -1 2.36732522015483 3.03600486774241 3
"ADP metabolic process" 0.695185533081204 3.01974708450847 3.08615563516764 3
"monosaccharide biosynthetic process" 0.330225872930986 2.14474069771327 3.30119494058276 3
"nucleotide phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 3
"tRNA threonylcarbamoyladenosine modification" -1 2.3606658066503 5.12126641879723 4
"threonine metabolic process" -1 5.69673368812173 5.03589023211953 4
"threonine biosynthetic process" -1 5.37298580712882 5.12126641879723 4
"quaternary ammonium group transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"amino-acid betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"cellular response to phosphate starvation" 2.50195491853836 4.36368226994152 5.12126641879723 4
"peptidyl-proline modification" -1 2.3606658066503 5.12126641879723 4
"glycine betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"tRNA threonylcarbamoyladenosine metabolic process" -1 2.3606658066503 5.12126641879723 4
"modified amino acid transport" 1.50159199273424 3.95242449313928 4.71095298069319 4
