"G_D" "G" "G_LCFA" "cluster" "query_G_D" "query_G" "query_G_L"
"tRNA threonylcarbamoyladenosine modification" -1 2.3606658066503 5.12126641879723 1 "" "Rv3422c" "Rv3419c, Rv3421c, Rv3422c"
"threonine metabolic process" -1 5.69673368812173 5.03589023211953 1 "" "Rv1294, Rv1295, Rv1559, Rv3708c, Rv3709c" "Rv1294, Rv1295, Rv1296, Rv3708c, Rv3709c"
"threonine biosynthetic process" -1 5.37298580712882 5.12126641879723 1 "" "Rv1294, Rv1295, Rv3708c, Rv3709c" "Rv1294, Rv1295, Rv1296, Rv3708c, Rv3709c"
"quaternary ammonium group transport" 1.91678692631259 4.95226811305049 5.12126641879723 1 "Rv3759c" "Rv3757c, Rv3758c, Rv3759c" "Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"amino-acid betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 1 "Rv3759c" "Rv3757c, Rv3758c, Rv3759c" "Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"cellular response to phosphate starvation" 2.50195491853836 4.36368226994152 5.12126641879723 1 "Rv0928" "Rv0928, Rv0931c" "Rv0928, Rv0931c, Rv0934"
"peptidyl-proline modification" -1 2.3606658066503 5.12126641879723 1 "" "Rv0009" "Rv0009, Rv2462c, Rv2582"
"glycine betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 1 "Rv3759c" "Rv3757c, Rv3758c, Rv3759c" "Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"tRNA threonylcarbamoyladenosine metabolic process" -1 2.3606658066503 5.12126641879723 1 "" "Rv3422c" "Rv3419c, Rv3421c, Rv3422c"
"modified amino acid transport" 1.50159199273424 3.95242449313928 4.71095298069319 1 "Rv3759c" "Rv3757c, Rv3758c, Rv3759c" "Rv3756c, Rv3757c, Rv3758c, Rv3759c"
"NADH dehydrogenase activity" 6.36399050668606 5.52230140575776 4.85074289393347 2 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158" "Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157" "Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157"
"oxidative phosphorylation" 4.52344122482722 3.69736122156847 3.71656189281307 2 "Rv1437, Rv3151, Rv3155, Rv3156, Rv3157, Rv3158" "Rv1437, Rv3151, Rv3155, Rv3156, Rv3157" "Rv1437, Rv3043c, Rv3151, Rv3155, Rv3156, Rv3157"
"NADH dehydrogenase (ubiquinone) activity" 5.86286486898442 4.97649284236142 4.30957539845554 2 "Rv3145, Rv3146, Rv3147, Rv3150, Rv3151, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158" "Rv3145, Rv3146, Rv3147, Rv3150, Rv3151, Rv3154, Rv3155, Rv3156, Rv3157" "Rv3145, Rv3146, Rv3147, Rv3150, Rv3151, Rv3154, Rv3155, Rv3156, Rv3157"
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 4.44611244244208 4.6343270833036 3.95979707824859 2 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158" "Rv0462, Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3303c" "Rv0462, Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3303c"
"propionate metabolic process, methylcitrate cycle" 4.50585316956811 5.75131890241916 1.70424777113356 2 "Rv1129c, Rv1475c" "Rv1129c, Rv1131, Rv1475c" "Rv1475c"
"NADH dehydrogenase complex" 6.39860296063198 5.75131890241916 5.12126641879723 2 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3155, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3155, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3155, Rv3157"
"ATP synthesis coupled electron transport" 4.83884650660507 3.7866386946324 3.12618930069877 2 "Rv3151, Rv3155, Rv3156, Rv3157, Rv3158" "Rv3151, Rv3155, Rv3156, Rv3157" "Rv3151, Rv3155, Rv3156, Rv3157"
"respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 2 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"plasma membrane respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 2 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157" "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"NADH dehydrogenase (quinone) activity" 6.13473879250014 5.27440971889121 4.60369458620428 2 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158" "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157" "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157"
