"description" "OR_GD" "lower_CI_GD" "upper_CI_GD" "FDR_GD" "OR_G" "lower_CI_G" "upper_CI_G" "FDR_G" "OR_GL" "lower_CI_GL" "upper_CI_GL" "FDR_GL"
"tRNA threonylcarbamoyladenosine modification" "tRNA threonylcarbamoyladenosine modification" 0 0 27.4148377004984 1 5.13607335152123 0.0868768514371564 98.9619226346219 0.894637881623883 Inf 2.69682482697915 Inf 0.0278099219983143
"NADH dehydrogenase activity" "NADH dehydrogenase activity" 82.3667698304251 18.8154618764833 742.801247145942 4.60907279028054e-11 45.9598251971097 12.5570850606991 252.151601089894 8.13701937776558e-09 28.8548693560585 7.89394581952408 158.611180779519 1.47007265598129e-06
"inorganic phosphate transmembrane transporter activity" "inorganic phosphate transmembrane transporter activity" 1.61715755275352 0.0357769090718901 12.651889190308 1 17.3061586538306 3.3492355834326 112.102106110093 0.0116559604873063 10.9345325432463 2.12029613500366 70.5970066811175 0.0206323539896774
"integral component of plasma membrane" "integral component of plasma membrane" 2.32274318286222 1.41057929799432 3.68834533359791 0.0466698663373103 1.98180667060015 1.19381312240634 3.16402053897347 0.131303442932594 1.88091315917498 1.21514371184134 2.84176702489605 0.044315298422798
"monosaccharide metabolic process" "monosaccharide metabolic process" 1.07748726641528 0.121923739584707 4.44070055973364 1 3.6634616601979 1.17480038356682 9.81884699953325 0.193920146165967 5.08317119870797 1.98409215913976 12.622120086186 0.00601706589990649
"glucose metabolic process" "glucose metabolic process" 0.807168144948641 0.0190301074330217 5.33746607248541 1 2.57668815658229 0.464420581033132 9.61067830845619 0.750888021737164 5.75661908355939 1.76902362148456 18.2499013398572 0.02186712764045
"pyruvate metabolic process" "pyruvate metabolic process" 0.836665146054596 0.0959869540888996 3.35520919548695 1 3.97218898531027 1.50993072848604 9.42313373259673 0.0754612771033776 4.67753413024566 2.02567852967379 10.4606941060431 0.00309429272567723
"gluconeogenesis" "gluconeogenesis" 1.41468990257401 0.0317873414913191 10.6084985929563 1 2.94006533177913 0.296930553057325 15.5156660128718 0.867449802917704 8.20216557767666 1.75875182482969 41.4439908249293 0.0373639918203642
"glycolytic process" "glycolytic process" 1.74407976547501 0.190255982625709 7.75557990793868 1 9.12575290957005 2.79893137710638 28.9776342959876 0.0080375085623234 9.90859829133157 3.1349919545832 33.9991745015569 0.000759762431069669
"tricarboxylic acid cycle" "tricarboxylic acid cycle" 2.16784357687717 0.537740642347337 6.48009002211425 0.820771951092467 8.27774176980857 3.37224073160368 19.7908582986656 0.000321858051524391 6.12279322105131 2.53835413516271 14.6419481825791 0.000749488147753648
"oxidative phosphorylation" "oxidative phosphorylation" 22.9980753367681 4.88122943743954 142.969805774526 0.00249304602849381 12.9722895096905 2.77815091584841 65.7442226808339 0.0184508112293154 13.1460902809715 2.79747587187269 81.4621229797431 0.00539255447308141
"purine nucleotide metabolic process" "purine nucleotide metabolic process" 1.81566848372754 0.888799977544135 3.40646954479655 0.597408498300153 2.33950596724422 1.25523228681737 4.11909862989644 0.13007907340488 2.5098579821908 1.48674064563163 4.113024463047 0.00616182455925933
"nucleoside diphosphate phosphorylation" "nucleoside diphosphate phosphorylation" 1.41599005555429 0.15723360319216 6.06553268051204 1 6.63227179828298 2.16539511837479 18.8730045472265 0.0189901884583712 8.27110924418803 2.92335466932544 24.2492726561263 0.000725489199793956
"cellular amino acid metabolic process" "cellular amino acid metabolic process" 1.2241181933552 0.698247163679478 2.02914258398128 1 1.71970864254237 1.07326408133524 2.66159015929987 0.235133185787947 2.24806665288531 1.55311745971913 3.20561846347695 0.000601717983333217
"glutamine metabolic process" "glutamine metabolic process" 1.89277719503503 0.355240868264514 6.53336447621991 0.982543023155424 2.42878767454893 0.59127898728413 7.50261701686287 0.657577528332421 4.94805932748617 1.8315781559041 12.8659530500264 0.0114252908272764
"threonine metabolic process" "threonine metabolic process" 0 0 9.62913657388577 1 51.8665925620253 5.7828262998062 2422.86313544784 0.00228297544321802 32.8060554590073 3.66136449305412 1540.44705811344 0.00403710713134481
"cellular biogenic amine metabolic process" "cellular biogenic amine metabolic process" 8.61363201725095 2.44716611040078 28.5118502254302 0.0294974650993342 5.76061977001955 1.50809328873755 19.2663860290248 0.1251445673699 4.92529760274094 1.40258853004103 16.262440226692 0.0652833538494359
"nucleoside phosphate metabolic process" "nucleoside phosphate metabolic process" 1.80865532967168 1.03786712215582 2.99805745141262 0.401989090533056 1.95567411732577 1.16458268621836 3.15167335837071 0.171545985075656 2.41545328328985 1.59340659388348 3.5941139913725 0.000931328759799963
"ATP generation from ADP" "ATP generation from ADP" 1.74407976547501 0.190255982625709 7.75557990793868 1 9.12575290957005 2.79893137710638 28.9776342959876 0.0080375085623234 9.90859829133157 3.1349919545832 33.9991745015569 0.000759762431069669
"riboflavin metabolic process" "riboflavin metabolic process" 0 0 5.74294981110677 1 5.15983602980388 0.831375140706291 24.2839979168174 0.378059595486673 8.20216557767666 1.75875182482969 41.4439908249293 0.0373639918203642
"phosphate-containing compound metabolic process" "phosphate-containing compound metabolic process" 1.46562227520801 0.985653635464974 2.12731202884944 0.496879829538869 2.24181794740437 1.60352604320307 3.09229404703854 0.000321858051524391 2.24944319481245 1.68835973493822 2.97300628608134 8.59184707300071e-06
"ion transport" "ion transport" 1.51167210219176 0.808894441076644 2.64073423744067 0.820771951092467 2.05708759682162 1.20713167163525 3.35786453684807 0.13007907340488 2.52511097435454 1.64233138862919 3.80825998984008 0.00075856493529185
"cation transport" "cation transport" 1.60702671827266 0.696287858644035 3.28614292446246 0.949762708795908 2.2685759272317 1.13040036052965 4.23229544000737 0.188547804333211 2.88671037667863 1.65212398653778 4.89442600419221 0.00285859165038398
"phosphate ion transport" "phosphate ion transport" 2.06219092642052 0.221174057083053 9.50920277573826 0.982543023155424 8.91623713633471 2.46079866756521 31.1886089930135 0.0179454539132155 14.8698833551812 4.1318344920666 66.376405482866 0.000206772516212156
"NADH dehydrogenase (ubiquinone) activity" "NADH dehydrogenase (ubiquinone) activity" 58.1966768284999 12.3188525433902 547.838045853093 1.66737266163543e-07 31.4828194501942 7.810543866156 181.603979447267 9.607903298737e-06 19.8294862969849 4.92794721696464 114.542815757143 7.96843040270195e-05
"cellular amino acid biosynthetic process" "cellular amino acid biosynthetic process" 0.858071485801735 0.357699781545545 1.7758395633417 1 1.59506277033546 0.850143791403012 2.80071692490462 0.698637349920006 2.43464409713294 1.53084554798091 3.78210557441011 0.0024536074500935
"aerobic respiration" "aerobic respiration" 3.54100063902309 1.37378919867218 8.13804947460138 0.143352313834944 8.40454604040081 3.9354970199133 17.6371573271213 9.607903298737e-06 6.69079760459231 3.1874849789442 14.0429782552916 2.21904283326448e-05
"glutamine family amino acid metabolic process" "glutamine family amino acid metabolic process" 1.80015863981078 0.617142199994639 4.3370726551082 0.88721091151866 1.31936753507761 0.403236283372801 3.38047648337119 1 3.09313506374322 1.50478809081896 6.06412604104547 0.0153504378116634
"aspartate family amino acid metabolic process" "aspartate family amino acid metabolic process" 0.7049610508787 0.0814911956168544 2.78493336658036 1 3.76088311489931 1.53202166555521 8.41205654177912 0.061585127929326 3.60925295824412 1.61763594576721 7.67166289980162 0.0128000713675958
"aspartate family amino acid biosynthetic process" "aspartate family amino acid biosynthetic process" 0.450690739831655 0.0109446106082195 2.77194464638905 1 3.83276689517022 1.35181231839942 9.60659046144472 0.127931920081637 4.85269783601904 2.00413885096458 11.3798797233175 0.00435050059685973
"threonine biosynthetic process" "threonine biosynthetic process" 0 0 12.3710090667848 1 41.4409682755068 4.08139806031375 2017.07534168785 0.0124778105412291 Inf 5.99869081078936 Inf 0.000996592295029169
"nucleotide metabolic process" "nucleotide metabolic process" 1.60771776162444 0.894836570854273 2.72615941947354 0.614108408116899 1.87752218459521 1.10519046399333 3.05286082036837 0.206221424833473 2.36874403159547 1.55498092998952 3.53958241079182 0.0013278807155938
"nucleoside diphosphate metabolic process" "nucleoside diphosphate metabolic process" 1.70253801300492 0.322264146022627 5.78655134957605 1 5.56975685388083 2.02989803441858 14.1135164143942 0.0189336412141041 6.07027642164584 2.41303546312389 15.1128555552165 0.00138944468420715
"purine nucleoside diphosphate metabolic process" "purine nucleoside diphosphate metabolic process" 1.51077086653049 0.166896166652777 6.54260585213113 1 7.29798552169102 2.34179066688496 21.391272647679 0.0149655146787511 7.42886646957311 2.53143224482661 22.2347347242424 0.00235876046906537
"purine ribonucleotide metabolic process" "purine ribonucleotide metabolic process" 1.91874142546827 0.937096685249728 3.61083722139438 0.496879829538869 2.28387568486537 1.19962071374991 4.08770114226849 0.17311273196052 2.68035429936233 1.58111259887794 4.41614463959442 0.00412117312407999
"purine ribonucleoside diphosphate metabolic process" "purine ribonucleoside diphosphate metabolic process" 1.51077086653049 0.166896166652777 6.54260585213113 1 7.29798552169102 2.34179066688496 21.391272647679 0.0149655146787511 7.42886646957311 2.53143224482661 22.2347347242424 0.00235876046906537
"ribonucleoside diphosphate metabolic process" "ribonucleoside diphosphate metabolic process" 1.41599005555429 0.15723360319216 6.06553268051204 1 8.36377181502316 2.84830670152243 23.696928816271 0.00471613040491893 8.27110924418803 2.92335466932544 24.2492726561263 0.000725489199793956
"riboflavin biosynthetic process" "riboflavin biosynthetic process" 0 0 5.74294981110677 1 5.15983602980388 0.831375140706291 24.2839979168174 0.378059595486673 8.20216557767666 1.75875182482969 41.4439908249293 0.0373639918203642
"ribonucleotide metabolic process" "ribonucleotide metabolic process" 1.78144233282343 0.900345773563707 3.26063799618129 0.565483745325039 2.2389942143389 1.22811555881124 3.86800545996079 0.126357768316876 2.73368771404054 1.67858284224721 4.34759399414782 0.00114197100657414
"amine biosynthetic process" "amine biosynthetic process" 14.3201053266916 3.06527542520647 72.5383933026402 0.0233432500505896 5.15983602980388 0.831375140706291 24.2839979168174 0.378059595486673 5.23787138515528 1.03588442258276 24.4205439323208 0.164529456238306
"organic cation transport" "organic cation transport" 1.41468990257401 0.0317873414913191 10.6084985929563 1 8.2789260115377 1.63505028706527 38.6579419722352 0.1251445673699 23.0663561720721 4.37346248117039 227.174319283984 0.000614740434435098
"ammonium transport" "ammonium transport" 1.13120854342073 0.0259868276729537 7.99685998389266 1 5.9121935666605 1.26270533027705 23.3884749970664 0.188547804333211 11.5223966927751 2.91743084481491 53.8813139915356 0.00285859165038398
"quaternary ammonium group transport" "quaternary ammonium group transport" 3.77581198036407 0.071745988606121 47.1421738095079 0.982543023155424 30.9585954143203 2.47842702352714 1611.5305195191 0.069256816882089 Inf 4.31492447875021 Inf 0.00534779973715009
"amino-acid betaine transport" "amino-acid betaine transport" 3.77581198036407 0.071745988606121 47.1421738095079 0.982543023155424 30.9585954143203 2.47842702352714 1611.5305195191 0.069256816882089 Inf 4.31492447875021 Inf 0.00534779973715009
"coenzyme A metabolic process" "coenzyme A metabolic process" 22.8578666785725 3.2596300870303 252.436711770062 0.0333179232464403 5.14792060500859 0.464156139313146 36.0580353052657 0.589354783959112 3.26290037280456 0.294464024430282 22.8304532551213 0.562051300830457
"energy derivation by oxidation of organic compounds" "energy derivation by oxidation of organic compounds" 3.30675682068223 1.71021663560054 6.0397636525538 0.0218352827959432 4.80726317701862 2.69491855995595 8.31770787166885 2.67828809832769e-05 3.92291338348419 2.27443898269964 6.63604691534257 3.73067288751222e-05
"cellular response to phosphate starvation" "cellular response to phosphate starvation" 5.66452474452475 0.0957884741271182 109.096639338263 0.949762708795908 20.5872934418236 1.06926471567125 1206.35696138099 0.260336840344565 Inf 2.69682482697915 Inf 0.0278099219983143
"carbohydrate catabolic process" "carbohydrate catabolic process" 1.1713869428663 0.227095850522246 3.81118364570588 1 4.76606094398722 1.99760581807346 10.593567155655 0.0124778105412291 3.97286711139292 1.75940250964852 8.59184938508437 0.0074170312268907
"organic acid biosynthetic process" "organic acid biosynthetic process" 0.823300272528575 0.446594491468122 1.41305286017337 1 1.3462563531484 0.837103302532307 2.08536770454114 0.864729241688417 1.74767809925453 1.21301298515236 2.47596166764511 0.025251273305587
"phosphorylation" "phosphorylation" 1.47458670439182 0.750119898247845 2.67579849700759 0.949762708795908 3.19128209954026 1.94761983865412 5.07633769477265 0.000377830564405225 2.18241043982816 1.35678822053916 3.41819494727478 0.0143273348651356
"oxidoreductase activity, acting on the CH-CH group of donors" "oxidoreductase activity, acting on the CH-CH group of donors" 0.867837526830734 0.270693322553331 2.1534490188468 1 1.72990324931591 0.78223225596537 3.4462018954262 0.712658072919518 2.29778186923674 1.25449309427527 4.03151922718549 0.0467190605380518
"oxidoreductase activity, acting on NAD(P)H" "oxidoreductase activity, acting on NAD(P)H" 7.87327188761154 3.8638056318389 15.6379179782436 5.53382374785269e-06 6.3776856287721 3.09416349850555 12.720291348115 7.63230042277014e-05 4.44337877064962 2.18955951240261 8.78425795071552 0.000661440492138761
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 21.7978273924379 8.0159488418191 65.0286313879949 8.7094119410392e-08 24.8354173066361 8.89619895450838 79.1993359015821 1.88183675425511e-08 15.5602903776298 5.58713540515068 49.6582193499584 4.36292651618971e-06
"peptidyl-proline modification" "peptidyl-proline modification" 0 0 27.4148377004984 1 5.13607335152123 0.0868768514371564 98.9619226346219 0.894637881623883 Inf 2.69682482697915 Inf 0.0278099219983143
"hexose biosynthetic process" "hexose biosynthetic process" 1.41468990257401 0.0317873414913191 10.6084985929563 1 2.94006533177913 0.296930553057325 15.5156660128718 0.867449802917704 8.20216557767666 1.75875182482969 41.4439908249293 0.0373639918203642
"propionate metabolic process" "propionate metabolic process" 4.5423869476162 0.430921096891164 27.8935054932267 0.72662913020095 13.8004049368636 2.32446541948854 94.6084020319623 0.0497176636781233 1.08540070515221 0.0235524777453064 8.97338815213037 1
"organophosphate metabolic process" "organophosphate metabolic process" 1.62149137461708 1.03241365862366 2.46598179339325 0.386358534466505 2.07961495871918 1.39504096748608 3.032557457661 0.0124778105412291 2.34313883624686 1.68238204983527 3.22738208513369 3.18110179975111e-05
"propionate metabolic process, methylcitrate cycle" "propionate metabolic process, methylcitrate cycle" 22.7194053492763 1.1791184310435 1329.46749654398 0.337548213577387 Inf 4.25319496696503 Inf 0.0231748298964678 3.25858984051596 0.0551528096195161 62.7510016112008 0.756961318541125
"ribose phosphate metabolic process" "ribose phosphate metabolic process" 2.0439214639389 1.08243494311304 3.61858847541989 0.379371133847956 2.65765026095303 1.52152474677828 4.44841094666652 0.0179454539132155 2.89781196349498 1.80411016047498 4.55671090239588 0.000310211413386028
"carboxylic acid metabolic process" "carboxylic acid metabolic process" 1.10322778161915 0.736798736711721 1.60841719966866 1 1.88073609478336 1.3570689089255 2.5716686453083 0.0080375085623234 2.03554994327165 1.55056676452722 2.6527731473358 2.56371562935879e-05
"diaminopimelate biosynthetic process" "diaminopimelate biosynthetic process" 2.26495089773074 0.0477540010911495 20.3286833924314 1 20.700050400033 2.95476826552617 228.90683789747 0.0256861232438406 6.53774308437818 0.87332844565922 48.8701965232853 0.213129094308742
