"description" "OR_GD" "lower_CI_GD" "upper_CI_GD" "FDR_GD" "OR_G" "lower_CI_G" "upper_CI_G" "FDR_G" "OR_GL" "lower_CI_GL" "upper_CI_GL" "FDR_GL"
"transition metal ion transport" "transition metal ion transport" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 4.94171364476176 1.65900714282432 13.4260712872577 0.0454759550270644 1.01460253372539 0.113746009914767 4.26343645171744 1
"DNA-binding transcription repressor activity" "DNA-binding transcription repressor activity" 12.6436233553781 1.44408562925667 151.707471544637 0.157586044710191 36.4684624981256 3.60096209538137 1781.38721125195 0.0163460810813455 2.28540528647697 0.0463007081850476 23.1685986352586 1
"neutral lipid metabolic process" "neutral lipid metabolic process" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 2.2755618200528 0.55091470541039 7.10247645107432 0.75646852083916 1.01460253372539 0.113746009914767 4.26343645171744 1
"acylglycerol metabolic process" "acylglycerol metabolic process" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 2.2755618200528 0.55091470541039 7.10247645107432 0.75646852083916 1.01460253372539 0.113746009914767 4.26343645171744 1
"triglyceride metabolic process" "triglyceride metabolic process" 6.19154462618758 2.1490236990335 17.0058812298089 0.0150375274660567 2.42819163697213 0.583683288118541 7.67240339479348 0.695714083223481 1.07459872128562 0.119966229882008 4.55407571988898 1
"steroid catabolic process" "steroid catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"cholesterol catabolic process" "cholesterol catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"cellular ion homeostasis" "cellular ion homeostasis" 2.98637972899659 0.958660443527678 7.99586151219422 0.280584681817211 7.11253351949811 2.77197804668698 17.6851489130943 0.00346231854795123 2.55540852770857 0.737476760844192 7.19372363145801 0.659821874261533
"cellular metal ion homeostasis" "cellular metal ion homeostasis" 3.62909702612693 1.13670935295336 10.1202964635851 0.201094837813288 7.54871162817243 2.74679608362114 20.1778962185829 0.00442131279813637 2.29531501343398 0.555637575689478 7.16396074182256 0.848466219466892
"steroid metabolic process" "steroid metabolic process" 6.05788968176575 2.61990021727345 13.5636048395605 0.0020749052660288 2.91351026271332 1.04430366817412 7.11796816812991 0.282783233834042 0 0 1.23471026219056 0.773282107642214
"cholesterol metabolic process" "cholesterol metabolic process" 8.55344430749611 3.17503597885706 23.0463814992451 0.0020711169907982 3.04235423510523 0.860333768286591 8.86703324523691 0.42147053697878 0 0 1.8479700535947 1
"siderophore metabolic process" "siderophore metabolic process" 3.61023076711023 0.600165632816576 15.891465641976 0.494722026430607 13.755545014792 3.24598277902875 66.643597006714 0.00737712334651468 6.13400475861762 1.26763130239575 25.9862502562354 0.391252349737376
"catechol-containing compound metabolic process" "catechol-containing compound metabolic process" 5.05623608239442 0.782406318106068 26.0969397400613 0.34964157574142 15.2477889872926 2.95377718957832 98.6444801508532 0.0157075570712677 9.20445437604259 1.70726531920989 49.6453297270753 0.194309551089868
"response to metal ion" "response to metal ion" 8.59017827080798 3.50544914855893 21.0615099767513 0.00139605753689212 11.0173127378063 4.51897612415836 27.3769104269679 7.38948801231316e-05 3.07397257212525 0.992863248362463 8.1467411328038 0.515465202513591
"cellular response to iron ion starvation" "cellular response to iron ion starvation" 3.37488112360361 0.769159950753779 11.7672031697621 0.399060120929574 9.18897520079484 2.73476598087003 30.8882741542452 0.00817717050464369 3.67775618694931 0.83794027391956 12.8276545811765 0.570715358180418
"sterol metabolic process" "sterol metabolic process" 7.92860155962562 3.28303056893752 19.0002265178082 0.00139605753689212 3.56465446383742 1.25027143871159 9.01550802999247 0.137167613503498 0 0 1.44876545465134 0.931161736324625
"sterol catabolic process" "sterol catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"nonribosomal peptide biosynthetic process" "nonribosomal peptide biosynthetic process" 2.29524122199831 0.409549674898862 8.73549202671541 0.736807013964375 6.87315696520659 1.95496759833223 22.7219990309584 0.0310449229058602 3.67775618694931 0.83794027391956 12.8276545811765 0.570715358180418
"siderophore biosynthetic process" "siderophore biosynthetic process" 3.61023076711023 0.600165632816576 15.891465641976 0.494722026430607 13.755545014792 3.24598277902875 66.643597006714 0.00737712334651468 6.13400475861762 1.26763130239575 25.9862502562354 0.391252349737376
"triglyceride biosynthetic process" "triglyceride biosynthetic process" 6.19154462618758 2.1490236990335 17.0058812298089 0.0150375274660567 2.42819163697213 0.583683288118541 7.67240339479348 0.695714083223481 1.07459872128562 0.119966229882008 4.55407571988898 1
"siderophore biosynthetic process from catechol" "siderophore biosynthetic process from catechol" 5.05623608239442 0.782406318106068 26.0969397400613 0.34964157574142 15.2477889872926 2.95377718957832 98.6444801508532 0.0157075570712677 9.20445437604259 1.70726531920989 49.6453297270753 0.194309551089868
"cellular cation homeostasis" "cellular cation homeostasis" 3.38632453026685 1.07042709371479 9.29664567408767 0.22550234700705 6.91895413910898 2.55717749259243 18.0157713099937 0.00510255905793771 2.15975023362618 0.526046023365431 6.66690202357147 0.912489039731613
