"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0001" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.348240916018763 0.658855687204572 0.00532887744310548 0.776944002985856 9.68168193362474e-06 0.00417971604947998 2.22822168572627e-07 6.18245440816238e-11 1.86619426006998e-09 0.0365903192388093 0.00427003282087775 7.95041810874241e-18 0.424068124537741 0.739610913802867 0.171497175588401 0.86615634623475
"Rv0002" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.119437902684038 0.799373025801038 0.000116329806182787 0.99375102884922 7.76995161539992e-08 0.0912377402507674 2.6838965608299e-27 7.44759590786514e-22 0.00146528780110868 0.0646936742852956 1.11367065290219e-11 1.06933376114527e-22 0.244024344515864 0.930282963050019 0.00927534574485359 0.998498138481726
"Rv0003" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.012193051496216 0.800067285492209 0.475557759698331 0.987006062207018 2.6999419792371e-05 1.34767635838841e-20 1.31636790731754e-35 1.93878048230645e-05 2.76719952336844e-15 5.92404048019253e-20 2.24877734161812e-43 4.7853839964105e-07 0.0222565787279687 0.687964696902671 0.379223851647201 0.998498138481726
"Rv0004" 0.999652421664065 0.99978373860597 0.999897569248579 0.24160422675665 0.00534749090616976 0.746963271310049 0.34610702356812 0.993657187978439 1.35007259230061e-08 9.10356864531904e-28 1.30757952821951e-53 7.09841685213281e-14 2.01165304841623e-23 3.06010647275167e-22 2.11347563821058e-68 8.41145055552884e-25 0.00358804796425356 0.965760043380156 0.118508623267341 0.569771772474536
"Rv0005" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.74819209894402 0.0182942073378467 0.434407371878072 0.853302412031041 0.714493926232223 0.00162606440461117 2.32828717694069e-14 0.00900940632301889 0.653035273040351 0.638065942495756 8.42304867649029e-08 0.0545376194404186 0.970836202425109 0.130946382496601 0.184271750897104 0.998498138481726
"Rv0006" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.000458685137199324 0.00412929107917963 0.00961957787617472 0.346428475270913 5.77771900879914e-17 7.61148931022858e-29 0.735763284143488 0.757934171455919 5.70083830157029e-41 3.00387965684433e-39 2.27644870326259e-06 0.0609231436530881 0.0025257195920939 0.240999490229311 0.00567102634017505 0.992773331771372
"Rv0007" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0480147869226519 0.119036955989089 0.0636309025142402 0.843403479064498 7.2912059198029e-24 2.95086432810712e-29 8.88126951294266e-12 0.000187580783379392 1.46608996218642e-37 3.20695406027317e-33 3.24737008683821e-18 1.78327596350976e-09 0.118179782154616 0.43703555059208 0.284331250078916 0.786699596055381
"Rv0008c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.905803204228144 0.90517553068102 0.0475638647420432 0.928482166544197 5.59296970507926e-07 1.05883176921981e-08 0.0317003761897274 0.403749402430892 2.9137382055603e-08 2.83040203238299e-09 6.56965346721978e-07 0.885987598525899 0.748881562088774 0.805205673798183 0.0999912523282595 0.998498138481726
"Rv0009" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 3.42136233590602e-14 3.5979714287264e-17 1.97634255919839e-28 1.88480946251815e-10 6.53432030029773e-24 0.0189674003851214 5.38137323217344e-05 1.34107677871754e-10 1.22939325592922e-07 1.7422897246794e-26 2.32028111087311e-50 0.812969194310388 0.00441307348912313 7.27074556494042e-09 8.38903738386089e-14 9.781592804679e-05
"Rv0010c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.86337894532599e-05 1.01056841606841e-09 5.00283350678467e-18 0.00012841781673808 8.96451168538525e-05 0.967680236111618 0.0276146545935372 0.315709423618825 0.395960300444798 8.73104721035948e-13 4.02781179431995e-30 0.000418076970429739 0.00311109575535075 6.87540365193972e-07 3.18409426202328e-10 0.0353868189269088
