"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0009" -1.50322466461927 -1.35409445525162 3.5979714287264e-17 7.27074556494042e-09
"Rv0010c" -0.951965099303877 -0.983204096038551 1.01056841606841e-09 6.87540365193972e-07
"Rv0012" -0.820949864595503 -0.92418106213068 2.58861132126565e-08 2.02130969391714e-06
"Rv0013" -0.61623887692411 -0.550792645436291 1.50541212804343e-05 0.0021097501998432
"Rv0014c" -0.702992503787028 -0.624629395930066 1.39221063684195e-06 0.00103533543640671
"Rv0015c" -1.06025709505202 -0.801681597365709 8.82115413237908e-10 0.000416575238077997
"Rv0016c" -0.416713574183143 -0.387813535025136 0.00140752016697389 0.0204745712679025
"Rv0017c" -0.67997807928624 -0.687769505866669 8.90026163714961e-06 0.000433471807478008
"Rv0018c" -1.33402721576693 -1.2299189970026 4.96435311462653e-23 6.48996233325612e-12
"Rv0019c" -1.2491793110031 -1.15687377329742 6.44445050384558e-15 3.64685531878444e-08
"Rv0020c" -0.971519746099343 -0.778584832767191 6.20228040407258e-11 0.00017480597298104
"Rv0023" -1.10060872570026 -0.98314100404492 3.2132047879626e-05 0.000986286358945776
"Rv0029" -0.582938430368732 -0.546419099142101 7.07995083730517e-06 0.000503927044770337
"Rv0037c" -0.706907008900817 -0.658928986329693 1.16373077720963e-05 0.00174047453316453
"Rv0049" 0.910663980843713 0.957452012359211 1.1996342543472e-13 6.23963439427353e-10
"Rv0050" 0.646617553068904 0.80167324941906 1.05008242670281e-07 1.12721621435268e-06
"Rv0051" 0.420392383796861 0.435430999170149 0.00696635999331501 0.0172592754349076
"Rv0058" 0.815677872386237 0.745940311095345 9.3307682460255e-05 0.00631904101621727
"Rv0060" 0.631457561466715 0.509259445497429 8.74239592402161e-06 0.00850065144085544
"Rv0063a" 0.789588158249801 0.529302421221453 7.78389715540939e-05 0.0358783397266924
"Rv0064" 1.11189655584064 0.842388803508774 9.19884910679339e-12 0.000195439764170703
"Rv0064A" 1.36597561874082 1.43615355172001 1.33795167089804e-08 3.44959641556154e-06
"Rv0065" 1.07245749099932 0.901712037452787 1.67842128810006e-08 0.000246945219882817
"Rv0066c" -0.913788261247263 -0.852928526665893 4.6718927092677e-09 4.96765186495472e-05
"Rv0067c" -0.646315658338668 -0.579276538870418 0.00626969009938988 0.0296389296076471
"Rv0072" -0.557769259761446 -0.605386651104894 0.000232295232802943 0.00203658775184614
"Rv0073" -0.595608658746791 -0.605821990533651 0.000127079648562752 0.00107085827073652
"Rv0074" -0.587305305193557 -0.549602738734667 0.00457792408572704 0.0269198740019472
"Rv0076c" -0.545755229677631 -0.660591439856615 0.0490719017553969 0.0272575816525983
"Rv0082" 0.789388914319849 0.791977251363137 0.000137021601377829 0.00417259775148236
"Rv0083" 0.815607289566366 0.736208927172549 0.000411376868129676 0.0136943000923357
"Rv0084" 0.816549788344743 0.773966949331982 6.34800669663874e-05 0.00451538321532662
"Rv0085" 0.898034673893968 0.684532230417089 0.00052565311934162 0.031291521055981
"Rv0086" 0.927805996092637 0.807289248709385 2.22051964793273e-05 0.00484814102955619
"Rv0087" 0.750255272115433 0.66321832042507 0.000361269643132882 0.0147939939663479
"Rv0092" -1.13905689713644 -1.11762830448538 1.7734280535294e-14 4.7155088034036e-09
"Rv0094c" 1.12769124040988 1.00465065681398 3.0888573508614e-10 2.94707447600198e-06
"Rv0095c" 1.61417288676403 1.26663324439903 3.00495604672639e-05 0.00174276042821902
