"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0002" 0.562963214333659 0.518402592300046 0.000116329806182787 0.00927534574485359
"Rv0006" -0.217349883594306 -0.329150447074553 0.00961957787617472 0.00567102634017505
"Rv0009" -1.78833798794584 -1.67664827131164 1.97634255919839e-28 8.38903738386089e-14
"Rv0010c" -1.13803009852993 -1.12844196318288 5.00283350678467e-18 3.18409426202328e-10
"Rv0012" -1.11927781252877 -1.04639247952154 2.34526959782375e-17 9.26989980780332e-09
"Rv0013" -0.646292778799825 -0.70277555062045 3.523257448674e-09 2.08756363799162e-06
"Rv0014c" -0.846758359037026 -0.855825882543629 1.0169985236915e-11 4.74817816467995e-07
"Rv0015c" -0.606082666657759 -0.506724951674092 9.22948412211416e-05 0.0178424536506765
"Rv0016c" -0.594281411696278 -0.641978608441033 7.45791886166647e-09 4.53711857546799e-06
"Rv0017c" -1.05488711566132 -1.07338230812111 6.93464803133723e-17 4.2785450739386e-10
"Rv0018c" -1.38426771473347 -1.32953369683357 2.888847916488e-30 3.14843959308412e-15
"Rv0019c" -1.45282956456986 -1.35670445427145 1.38582710329746e-23 1.16567970754098e-11
"Rv0020c" -0.612810349753258 -0.58986920053926 2.30232217159112e-05 0.00353775164846413
"Rv0021c" 0.55282941280597 0.473083404248102 5.53833006400469e-06 0.00622245232597687
"Rv0022c" 2.49400670327493 2.71802480945995 3.53020795851793e-18 9.95840742959187e-13
"Rv0023" -0.675756236075472 -0.667016619403545 0.000375279836492865 0.00649598904351858
"Rv0024" -1.09873551668298 -1.03105391977012 2.20999605970162e-11 1.64818118500084e-06
"Rv0025" -0.591982841665489 -0.59485942658153 0.000609289171037669 0.00876083226441617
"Rv0028" -0.691492723985017 -0.810194212856732 2.04803855462164e-06 2.74473948092849e-05
"Rv0029" -0.502483078903909 -0.541598028260199 3.14354518237412e-09 3.02138113780129e-06
"Rv0036c" -0.379521775057203 -0.344928516596457 0.000345433478758403 0.0181212181978505
"Rv0040c" 0.58535223428246 0.620156160828222 0.000298104599067306 0.00444384095533356
"Rv0041" -0.436522949860664 -0.488070284968582 9.32092676803439e-05 0.00166070690981114
"Rv0045c" 0.717465502878713 0.701984455333622 1.07427023004651e-05 0.00171208141720691
"Rv0046c" 0.677957965961438 0.686338351294479 1.32708888384816e-05 0.00145211097953015
"Rv0047c" 0.544560506329768 0.607436053595766 0.015630490514913 0.0388444967407968
"Rv0048c" 0.463936894243547 0.393297702301992 3.9888745541011e-05 0.0163997144783456
"Rv0054" 1.73848809620796 1.76309983385256 8.06577025609896e-43 6.46095796255775e-23
"Rv0055" 1.99527344821505 2.22037529036784 1.34457614379466e-48 1.10398825157181e-32
"Rv0056" 1.78764354506637 1.84105196277188 1.17475500768297e-49 4.33165302009641e-28
"Rv0057" 1.71424093673072 1.62749457194918 1.58589390271773e-55 4.40777061717518e-28
"Rv0058" 1.99884098602036 1.91549855415055 1.46858790066083e-22 2.28827148600367e-11
