"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.584591361126292 0.391723708686445 9.68168193362474e-06 0.00417971604947998
"Rv0003" -0.497868318644884 -1.45587337196118 2.6999419792371e-05 1.34767635838841e-20
"Rv0004" -0.568633292664474 -1.78617718439554 1.35007259230061e-08 9.10356864531904e-28
"Rv0006" -0.657643551428274 -0.898517597413578 5.77771900879914e-17 7.61148931022858e-29
"Rv0007" -1.26930098528642 -1.55866428507523 7.2912059198029e-24 2.95086432810712e-29
"Rv0008c" 0.794576140757272 1.0498443968124 5.59296970507926e-07 1.05883176921981e-08
"Rv0009" 1.58193660807 -0.386812238435596 6.53432030029773e-24 0.0189674003851214
"Rv0012" 0.541526704327014 1.49140568316135 3.52296010732545e-05 6.478516289542e-29
"Rv0013" -0.247626651797417 0.307744972846442 0.0164406421033757 0.00809734530435344
"Rv0014c" -1.70327696049888 -1.16918686042915 3.6027336335421e-47 1.85005520391206e-20
"Rv0015c" -1.93542206842187 -0.753453389351966 6.94396179255383e-37 2.19509671309431e-06
"Rv0016c" -1.74424089405425 -0.955664789967175 2.64262741053384e-76 1.15680246514061e-19
"Rv0017c" -1.26700524401974 -0.806879746145413 2.17085909327475e-26 5.42925642542722e-10
"Rv0019c" -1.27271601238445 0.410246343361583 1.41613945025359e-19 0.00551483165190112
"Rv0020c" -0.55439142855642 0.411250361592544 0.000160293165610611 0.00596360440098355
"Rv0021c" 0.572724597429348 1.18768471163756 3.22812196534621e-06 5.55420822865567e-19
"Rv0023" -2.7522391544587 -0.973281227252911 1.63853204743806e-54 1.27023802077534e-06
"Rv0024" -2.34522283620579 -0.43812689828058 5.2462498101131e-55 0.0102330891874921
"Rv0026" -0.804407058175189 0.633318563691797 2.69546658026944e-12 6.91779451154281e-07
"Rv0028" 0.547792061069336 0.580908417195557 3.04296882361394e-05 0.000441184783610544
"Rv0029" 0.330958403588768 0.891479390407321 4.60079686897371e-05 1.09388898203217e-20
"Rv0030" 1.26340241748339 1.50306319772965 1.42491000819862e-17 7.27404299189897e-16
"Rv0032" -0.368618839487618 -0.908717661249929 0.00408172645723086 4.21054103070598e-06
"Rv0036c" -0.237838564532685 -0.528338882454274 0.0133635438126122 8.4343793016259e-06
"Rv0037c" 0.629326863218094 0.56609661418811 4.1729137112368e-06 8.70186334912197e-05
"Rv0040c" -0.939007225777703 -1.41280759887585 1.73093233496087e-09 2.32831519721308e-16
"Rv0041" 0.238586889862165 -0.257353959680943 0.0274718804184805 0.0261057612409
"Rv0042c" -1.02766482180248 -1.3766993945013 2.9189898466839e-13 7.74968536406366e-16
"Rv0044c" -0.401649774449001 -0.807144722083526 0.000306684582861787 9.25766498475722e-08
"Rv0046c" 0.902452571529462 2.78821613035479 1.13706936414129e-08 1.44530672361906e-69
"Rv0047c" -0.811246981606552 2.99837903202769 0.00079311431672867 2.5337583931158e-34
"Rv0048c" 0.836340583485996 2.33721776254868 1.61462596510685e-13 5.06463392673523e-92
"Rv0050" -0.396584842335954 -1.15242525977657 0.000409358863971447 1.85074447323083e-23
"Rv0051" -1.02709593588125 -1.78309729077485 1.26303081973045e-31 1.10731006446236e-48
"Rv0052" -0.694481208139328 -1.32995188859261 7.52625549738598e-10 2.65434143028933e-14
"Rv0053" 1.6444958982704 1.09814743257046 1.0356560148316e-25 1.88187815706705e-11
"Rv0055" -0.412366057156837 -0.763693784833383 0.00172098418596821 1.33830091700657e-05
"Rv0057" -1.19474512336643 -1.52665547498669 1.21672612292155e-31 3.80053283785931e-25
"Rv0058" -2.16997093764015 -2.29826406246959 1.82961301254114e-27 3.54793831234906e-28
"Rv0059" -2.13551280949959 -2.24444657279184 2.98125041993946e-26 5.20108697865721e-19
"Rv0060" -0.793077070194679 -0.434004126654551 1.35855575905644e-10 0.0013284642242553
"Rv0061c" 1.69777389184582 0.392060336002656 6.29229002830599e-36 0.00609809204421834
"Rv0063" -1.05099679004606 -1.06675274129812 9.55121531220208e-15 2.20845109679627e-10
"Rv0063a" -0.471636917361081 0.687334984156568 0.00540875036386856 0.000323301026291195
"Rv0064" 0.542404535729572 1.7414342798221 0.000932074805372758 1.46540889040679e-26
"Rv0064A" 0.622295467801226 1.67994678051347 0.00227583735232041 1.38971203313537e-12
"Rv0065" 0.753825688262085 1.09577695626265 8.01802997479022e-06 3.03585137940424e-09
