"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.584591361126292 0.860185172321344 9.68168193362474e-06 6.18245440816238e-11
"Rv0002" 0.748221149333067 1.3371810403821 7.76995161539992e-08 7.44759590786514e-22
"Rv0003" -0.497868318644884 -0.534811667850482 2.6999419792371e-05 1.93878048230645e-05
"Rv0004" -0.568633292664474 -0.860801011717613 1.35007259230061e-08 7.09841685213281e-14
"Rv0007" -1.26930098528642 -0.48048722532297 7.2912059198029e-24 0.000187580783379392
"Rv0009" 1.58193660807 1.01739550013485 6.53432030029773e-24 1.34107677871754e-10
"Rv0011c" 0.466427918447541 1.05573513518899 0.0155579671636516 3.10356132295828e-08
"Rv0014c" -1.70327696049888 -1.67297547451668 3.6027336335421e-47 6.01493230357865e-44
"Rv0015c" -1.93542206842187 -2.36722171850814 6.94396179255383e-37 5.63126296129537e-52
"Rv0016c" -1.74424089405425 -1.55524277165982 2.64262741053384e-76 4.68309386384001e-58
"Rv0017c" -1.26700524401974 -1.00991260818243 2.17085909327475e-26 9.2926533251926e-17
"Rv0018c" -1.51386319740921 -1.61457626743484 1.94623049290701e-37 6.31671916412077e-41
"Rv0019c" -1.27271601238445 -1.56433189731513 1.41613945025359e-19 3.9415133113393e-27
"Rv0020c" -0.55439142855642 -1.07452571414892 0.000160293165610611 1.85881359319175e-13
"Rv0022c" -0.481889090507022 1.34016377759149 0.0447534628924591 3.69973519320206e-08
"Rv0023" -2.7522391544587 -3.0680613537156 1.63853204743806e-54 6.25993360497253e-50
"Rv0024" -2.34522283620579 -3.19951889081082 5.2462498101131e-55 2.40968652791317e-69
"Rv0025" -0.90917761174106 -1.20578521338297 1.03927878451079e-08 1.56160147212975e-11
"Rv0026" -0.804407058175189 -0.539056744768857 2.69546658026944e-12 8.8597849598659e-06
"Rv0028" 0.547792061069336 1.16220596502919 3.04296882361394e-05 3.6454974822569e-18
"Rv0029" 0.330958403588768 0.975582068465596 4.60079686897371e-05 1.39153536227813e-31
"Rv0030" 1.26340241748339 1.47451345320337 1.42491000819862e-17 1.50153270201417e-20
"Rv0032" -0.368618839487618 -0.422612466722115 0.00408172645723086 0.00504574010210958
"Rv0036c" -0.237838564532685 -0.217832900963844 0.0133635438126122 0.0348345109224227
"Rv0037c" 0.629326863218094 0.713342241101785 4.1729137112368e-06 2.89827556471872e-07
"Rv0040c" -0.939007225777703 -0.838152349441776 1.73093233496087e-09 1.18945100076872e-07
"Rv0042c" -1.02766482180248 -0.811280298578963 2.9189898466839e-13 2.17239768864259e-08
"Rv0046c" 0.902452571529462 2.54455457222597 1.13706936414129e-08 1.56363663246145e-58
"Rv0047c" -0.811246981606552 0.9508958648528 0.00079311431672867 9.4320844140804e-05
"Rv0048c" 0.836340583485996 1.1099101196055 1.61462596510685e-13 1.00441491127927e-21
"Rv0051" -1.02709593588125 -0.838824859670898 1.26303081973045e-31 9.93943251331996e-20
"Rv0052" -0.694481208139328 -0.482815260932472 7.52625549738598e-10 7.51432865365354e-05
"Rv0053" 1.6444958982704 2.54175981929072 1.0356560148316e-25 5.98508110326354e-58
"Rv0054" -0.458848947796547 1.03737326711112 0.000355846853885908 9.88914713104578e-16
"Rv0055" -0.412366057156837 0.896699573115001 0.00172098418596821 4.94678725993785e-11
"Rv0057" -1.19474512336643 -0.607800145008816 1.21672612292155e-31 4.5479657947824e-08
"Rv0059" -2.13551280949959 -0.584842243155343 2.98125041993946e-26 0.00471973127072212
"Rv0060" -0.793077070194679 0.330477649712746 1.35855575905644e-10 0.00945423616783703
"Rv0061c" 1.69777389184582 2.06442485910803 6.29229002830599e-36 5.99332360223382e-52
"Rv0063a" -0.471636917361081 0.411985738135355 0.00540875036386856 0.0212485248634038
"Rv0064" 0.542404535729572 1.58041608053488 0.000932074805372758 1.76728041547244e-22
"Rv0064A" 0.622295467801226 1.75807017937725 0.00227583735232041 1.04424879047367e-17
"Rv0065" 0.753825688262085 1.08512230471355 8.01802997479022e-06 2.29269601014666e-10
"Rv0069c" 0.484711154421581 0.57818418146024 1.34114368368668e-06 2.965498630933e-08
"Rv0070c" 0.745420538448831 1.41419423290975 1.81394958607274e-12 7.42186663157714e-40
"Rv0072" -0.881665452806166 -0.746654179243535 5.70139208399217e-13 1.76575334440363e-09
"Rv0073" -1.43948079018404 -1.10770301704901 1.24086351571924e-51 1.61250217173816e-29
"Rv0074" -1.65064538160777 -1.2909108391139 5.95004737594465e-30 2.62754911509158e-18
"Rv0075" -1.34647619136616 -0.602430631493415 1.48822221720701e-38 1.58895877121957e-08
"Rv0076c" -0.295495707272191 0.742950357121473 0.0314582451031264 4.86078911308959e-08
"Rv0077c" 1.05467359323672 1.59542790342133 4.90622863240057e-11 7.51413089644378e-22
"Rv0078A" 1.14225090072244 1.00325717049551 5.00173533790239e-14 7.74589793670023e-11
"Rv0078B" 0.951070638666089 0.712925117321847 1.18720867059102e-07 0.000210427247295675
"Rv0079" 4.72662781291563 1.96327297039071 1.61324391820391e-15 9.99870151184744e-05
"Rv0080" 5.67617637950372 2.61042033780126 1.06917889945607e-35 3.38194902245311e-10
"Rv0081" 3.48454449503922 2.15761027605497 2.80353751058795e-53 3.42111166702273e-21
"Rv0082" 2.26992334944378 1.81699038204337 1.60469522490166e-26 1.04711544723729e-16
"Rv0083" 1.59289280479488 1.04884035976353 1.74520650816556e-11 1.37908326500056e-05
"Rv0084" 1.17302214028361 1.23794168126405 9.19552393272534e-09 2.23536874130762e-09
"Rv0085" 0.965515661402262 0.7225874175798 0.000258380846157896 0.00794197200053351
"Rv0086" 0.627029856484353 0.522054526942214 0.00437461518464344 0.0201145531154968
"Rv0087" 0.938792729275371 1.03635100334585 2.0943044466124e-06 2.85294585896372e-07
"Rv0088" 1.40781973227852 2.44669391534532 1.71277622469843e-11 4.97789985809584e-31
"Rv0089" 1.71584952016973 2.59018836423827 2.11528973945569e-23 6.07190824906828e-51
"Rv0090" 1.14747434612639 2.31560518474616 6.03914699674081e-09 6.44179480748444e-30
"Rv0091" 0.776011597448674 1.00682710451125 0.000179901783690256 6.52793677238045e-06
"Rv0096" 1.47606131169098 -0.692312137070267 6.34823735024465e-07 0.0408897598232597
"Rv0100" 1.81117763546113 1.47716298070077 1.82865434025445e-16 8.37613094529022e-10
"Rv0102" -1.10897429197826 -0.833490855716926 6.91628151809079e-19 5.77256248505293e-11
"Rv0104" 0.649735748591022 1.34776090226124 1.14136183687239e-07 1.16674601342169e-26
"Rv0108c" 2.12630238722975 2.67352020902222 1.02431130394764e-37 1.2557302449203e-58
"Rv0110" -0.989308111803915 -0.899172060165952 2.75657522853098e-16 1.45393611251824e-11
"Rv0111" -0.540523644374145 -0.264910673798806 8.96141942229459e-07 0.0247841110266378
