"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.792098154522453 -0.381979217111672 1.86619426006998e-09 0.00427003282087775
"Rv0002" 0.452615315653812 -0.961194589881959 0.00146528780110868 1.11367065290219e-11
"Rv0003" -0.964916058332929 -1.83125476974008 2.76719952336844e-15 2.24877734161812e-43
"Rv0004" -1.06559999273143 -2.15156229934498 2.01165304841623e-23 2.11347563821058e-68
"Rv0006" -1.04880877944709 -0.374240378803868 5.70083830157029e-41 2.27644870326259e-06
"Rv0007" -1.62790390090192 -1.11366462536149 1.46608996218642e-37 3.24737008683821e-18
"Rv0008c" 0.914820901992068 0.779171644961282 2.9137382055603e-08 6.56965346721978e-07
"Rv0009" 0.845681403112574 -2.39087346715209 1.22939325592922e-07 2.32028111087311e-50
"Rv0011c" 0.457123873660114 -0.594520690032856 0.0189582814154868 0.00248270234013695
"Rv0013" -0.305445379319704 -0.88435489133523 0.00367515634473772 6.94464230604931e-17
"Rv0014c" -2.04698962802418 -2.31044507588673 9.311385721887e-66 1.2955292901873e-79
"Rv0015c" -2.31016705527345 -1.90829320862589 1.31575655351713e-50 7.82168082426925e-35
"Rv0016c" -1.90631665277553 -1.77100545033393 1.04278587116545e-87 4.32572686058709e-72
"Rv0017c" -1.50456600876782 -1.85158553464352 1.04465667913845e-35 4.30722784404302e-50
"Rv0018c" -1.80151619806882 -1.26764718236173 2.06789403569745e-51 8.26437054073108e-26
"Rv0019c" -1.62365396121394 -0.890239131564838 4.94171741412158e-30 8.88268438804372e-10
"Rv0020c" -0.705403972842032 -0.675924266528557 1.44533132488018e-06 4.08959784220022e-06
"Rv0021c" 0.741137528121491 1.38564360120172 2.57264625056942e-09 3.13927658022838e-31
"Rv0023" -2.65556207564038 -1.47165029376214 7.21606490270496e-48 8.61278646781374e-15
"Rv0024" -2.14552816408311 -1.67687737912468 2.60199276266906e-44 2.39905840112153e-25
"Rv0025" -0.924287889122693 -0.438759338419924 1.97538323630987e-08 0.01156585544031
"Rv0026" -0.639384641326886 0.340839653756194 4.53052605948501e-08 0.00434555788616217
"Rv0027" 0.656960529730631 0.491335718574498 5.78391782106981e-07 0.000474659682449219
"Rv0030" 1.02160158918259 0.710838863051319 4.32182152941883e-11 3.18715532991183e-06
"Rv0036c" -0.332111925144506 -0.976058007989256 0.000769796643814462 4.12107619907084e-23
"Rv0037c" 0.819198407504512 0.361985305740732 2.23973779689114e-09 0.00849170408030579
"Rv0038" 0.410035390354499 1.16464733828756 0.00036148173986454 1.43466017098773e-24
"Rv0040c" -0.818791638121637 -1.85027484814996 2.36608759830662e-07 1.47558151199604e-31
"Rv0041" 0.23410288913047 -1.09421864263606 0.0317412360049934 2.94317118920236e-24
"Rv0042c" -1.21894497894947 -2.07298728062109 3.69162926043204e-17 1.19086518508259e-43
"Rv0043c" -0.308904764727874 -0.591266717469931 0.00722872414148132 1.93620381643086e-07
"Rv0046c" 1.67681739851174 2.67814885388205 2.11365548394561e-26 1.00757972251447e-64
"Rv0048c" 1.20447304407642 2.0915054115889 3.40567159706616e-26 1.80708134207046e-79
"Rv0049" 0.578991907365505 0.744386459772868 3.45340868737273e-09 3.58491480434051e-15
"Rv0051" -1.28126117445548 -0.947067093483788 5.78130742039705e-45 1.31401444827186e-25
"Rv0052" -0.611877226184648 -1.20969410715758 2.2314459585226e-07 5.07948711667523e-23
"Rv0053" 1.39028328786007 0.788881566251832 1.97712454338015e-18 4.20869988246318e-07
"Rv0057" -1.36836067514664 0.768982486692341 3.64395582202864e-38 3.82847237488825e-14
"Rv0059" -1.88076657914058 -1.03096604651162 2.67628521579696e-20 6.62248199206398e-07
"Rv0061c" 1.84479716429344 0.280296669803978 9.8348329825291e-42 0.0431728706347592
"Rv0062" -0.544792084587331 -2.5691969812865 0.00150099913929093 5.24305911613882e-52
"Rv0063" -1.24136190679386 -2.60073683884387 5.60711523890004e-19 2.40793287977321e-69
"Rv0064" 1.94596711462389 2.23469988233741 2.22733734585169e-33 3.60480147058461e-43
"Rv0064A" 1.87640842153669 3.08104757996509 3.79729047926709e-21 2.95652288211069e-51
"Rv0065" 1.53078004561462 2.03791478020916 9.09891955660559e-20 4.6312349379119e-34
"Rv0067c" -0.279861303708294 -0.719941670278536 0.0487859368799492 1.37270622548473e-05
"Rv0069c" 0.504489460524485 0.211792650816183 8.59287495048072e-07 0.033516053548369
"Rv0070c" 0.476977851858845 0.351380771700807 1.79184366905275e-05 0.000757397070924628
"Rv0072" -1.09332511467738 -1.84320267700285 6.78910407622138e-19 2.6045831221775e-48
"Rv0073" -1.86990825715721 -2.21550971199746 6.47704688571e-81 1.65470553555681e-97
"Rv0074" -2.06321443800359 -2.36074458947479 2.46946215189447e-44 5.61044980059451e-54
"Rv0075" -1.43892026669901 -1.37464158940595 5.23724325038916e-42 4.34052348112954e-36
"Rv0077c" 1.57003010498274 0.913915958821583 1.2122146099412e-21 6.00660824488514e-08
"Rv0078" 0.809956662664905 1.4156147249051 7.52965926558242e-07 3.6452243511278e-19
"Rv0078A" 1.59308337961472 1.94425450278189 9.03433360261747e-26 3.62252724968468e-37
"Rv0078B" 1.10872022260473 2.25691282486867 1.14856831655357e-09 3.18440222469066e-34
"Rv0079" 6.53387772938344 3.26817685364654 1.12677642884093e-27 3.17825728314415e-09
"Rv0080" 8.12381400286152 3.7408470038768 1.38397274391205e-69 3.15579803739528e-18
"Rv0081" 4.39972292633278 3.35739270575351 1.10895729959561e-83 8.92648856010345e-53
"Rv0082" 2.79693473523997 3.05123022347827 8.59023516864832e-39 3.74948996247181e-47
"Rv0083" 2.07764414993038 2.67817820735293 4.46211687945447e-18 7.27388146631129e-29
"Rv0084" 1.39657369089099 1.34406252580724 1.12089989449835e-11 6.89009034716823e-11
"Rv0085" 1.35693447365306 1.17256426445401 4.1649921492419e-07 1.49372202230681e-05
"Rv0086" 1.00772268827515 0.843967827000717 4.89300437937016e-06 0.000150490365176943
"Rv0087" 1.36068540320259 0.566776765993594 7.54063891108873e-12 0.00531813853975631
"Rv0088" 1.49458830967263 -0.90596216587653 1.40786633136292e-12 2.91849572434455e-05
"Rv0090" 1.13133444441656 0.778671823176449 2.79548915917701e-08 0.000162542857387332
"Rv0094c" 0.725641430514129 2.05506839094766 5.73725496795288e-09 3.01394030590934e-63
"Rv0095c" 0.608386429204506 4.23925607168672 0.0065895414325896 1.65743025537284e-72
"Rv0102" -1.0210546361472 -1.32273107091809 4.41773367712914e-16 5.8935755723061e-25
"Rv0104" 0.46587255020325 1.2785840228884 0.000280691809706773 6.27489199079779e-25
"Rv0106" 2.65424850372143 -1.14727387486904 6.33889062031431e-12 0.0036583146199326
"Rv0108c" 2.37807385644748 1.41806819224784 3.71016181370636e-46 8.62491671477739e-18
"Rv0109" -1.09845130654755 -0.527048419757885 2.21603115177147e-07 0.0155466327431014
"Rv0110" -1.36449845064368 -1.73115012009417 3.17154983421692e-25 7.02937280034151e-33
"Rv0111" -1.69518696609368 -2.5399654601954 2.66313291734626e-44 1.65306064311854e-91
"Rv0113" 0.573562757476823 -0.673252531677678 0.00210327972035357 0.000237300838058176
"Rv0114" -0.420256905646794 -0.801815529601382 0.0443944822100799 6.67931628186534e-05
"Rv0115" 0.88828091218292 -0.625984940424823 3.07371669688006e-05 0.00392566291541967
"Rv0115a" 4.37896988116694 2.11698472779416 1.9614562181441e-62 1.68948278549466e-17
"Rv0116c" 3.35741145633938 3.11044312165133 5.58724762852999e-78 9.59130590809009e-68
"Rv0117" 0.55475910423436 -0.544424934900941 0.00709937573744695 0.0108330919778474
"Rv0118c" 1.24539406475178 -1.12313562081529 9.91444337500769e-14 1.29024857284353e-10
"Rv0119" 1.20787149881632 -1.31875810105063 1.87594398040786e-17 7.63094780919579e-19
"Rv0120c" 0.924712158610725 0.309308447834412 1.48205360503053e-14 0.0124926257814962
"Rv0122" 2.92017736537383 1.61886377892672 1.27246101120262e-28 4.83971630398636e-10
"Rv0125" 0.848174075957193 0.578844292564617 6.04586690327599e-19 1.18084416817115e-09
"Rv0128" 0.88303067312042 -0.605976132322284 0.000107702676443128 0.00863867929380845
"Rv0129c" -0.370279856344179 -3.45490054754202 0.0460314970463586 2.78482010615853e-77
"Rv0131c" 1.91911003125286 1.08841181597011 2.02866231287712e-55 1.18248126328715e-19
"Rv0132c" 1.83251561136785 1.63965191904316 2.21568625753174e-27 1.17031367275805e-22
"Rv0133" -1.35417431941452 0.323139617962271 6.87406565666992e-26 0.0126840970836392
"Rv0134" -0.591917022467509 0.872346203997307 1.41136119118136e-13 2.18604847693812e-28
"Rv0135c" 1.69995454641536 2.94772496004045 2.79863621283553e-59 3.10861869528494e-180
"Rv0136" 2.27119767351955 3.49652321610962 3.33942894809481e-78 3.90945926944117e-194
"Rv0137c" 1.70471950440499 2.49984000868881 1.35405565601572e-36 1.6717194274514e-77
"Rv0138" -0.633270116078139 0.556513475343538 7.92083864202649e-07 1.02375891413555e-05
"Rv0139" -1.27433622804968 -1.13305624908238 7.04348439387706e-33 7.08067212977651e-26
"Rv0140" 1.27344588313052 0.865648947064007 4.2983142048211e-21 9.04137330057596e-10
"Rv0141c" 1.67667671057875 1.60197108733796 3.27802366484712e-25 9.79117849606213e-22
"Rv0143c" -0.593993248810174 -0.273584722424748 4.90983011683865e-09 0.00723145851636633
"Rv0149" 0.68425119984488 -0.331885385377992 1.68770847842786e-05 0.042992559388656
"Rv0150c" 0.932597551526085 0.477470711129817 5.79375170795502e-07 0.0143121398969554
