"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.792098154522453 0.288810659425587 1.86619426006998e-09 0.0365903192388093
"Rv0003" -0.964916058332929 -1.60706080418984 2.76719952336844e-15 5.92404048019253e-20
"Rv0004" -1.06559999273143 -1.77027736738823 2.01165304841623e-23 3.06010647275167e-22
"Rv0006" -1.04880877944709 -1.07881201043459 5.70083830157029e-41 3.00387965684433e-39
"Rv0007" -1.62790390090192 -1.78754412386171 1.46608996218642e-37 3.20695406027317e-33
"Rv0008c" 0.914820901992068 1.16589770007099 2.9137382055603e-08 2.83040203238299e-09
"Rv0009" 0.845681403112574 -1.86719546247268 1.22939325592922e-07 1.7422897246794e-26
"Rv0012" 0.618572590308234 0.474324293359012 2.62899450496478e-06 0.00105958208368032
"Rv0013" -0.305445379319704 -0.294127179402875 0.00367515634473772 0.026548014087097
"Rv0014c" -2.04698962802418 -1.87085990547866 9.311385721887e-66 3.66365781994348e-42
"Rv0015c" -2.31016705527345 -1.68434314140511 1.31575655351713e-50 3.28938066044082e-23
"Rv0016c" -1.90631665277553 -1.38947513673933 1.04278587116545e-87 3.30509099059356e-33
"Rv0017c" -1.50456600876782 -1.57934315435827 1.04465667913845e-35 4.11999001876802e-28
"Rv0018c" -1.80151619806882 -1.17663427319206 2.06789403569745e-51 6.15653201839816e-19
"Rv0019c" -1.62365396121394 -0.848697482965683 4.94171741412158e-30 8.35107593379287e-08
"Rv0020c" -0.705403972842032 -0.457294199933889 1.44533132488018e-06 0.00230804974491391
"Rv0021c" 0.741137528121491 1.46397276868166 2.57264625056942e-09 2.75513518618824e-27
"Rv0023" -2.65556207564038 -2.20483845857638 7.21606490270496e-48 3.84388363614651e-17
"Rv0024" -2.14552816408311 -0.78490290746019 2.60199276266906e-44 2.20599891654837e-05
"Rv0026" -0.639384641326886 0.396847221826735 4.53052605948501e-08 0.00351297078525749
"Rv0028" 0.942752223404942 0.511781352564347 7.96200124033153e-13 0.00425920664538423
"Rv0029" 0.505037140686983 0.298119858903378 1.53792114570893e-09 0.0111491374847477
"Rv0030" 1.02160158918259 1.53112222166749 4.32182152941883e-11 1.53692933128976e-14
"Rv0036c" -0.332111925144506 -0.835716387479361 0.000769796643814462 7.02534823662753e-10
"Rv0038" 0.410035390354499 1.02741608761048 0.00036148173986454 1.15462025320191e-17
"Rv0040c" -0.818791638121637 -1.25085134830946 2.36608759830662e-07 3.69728438254464e-12
"Rv0041" 0.23410288913047 -0.382492733560443 0.0317412360049934 0.00137642135632041
"Rv0042c" -1.21894497894947 -1.66169265461549 3.69162926043204e-17 2.94910819422774e-18
"Rv0043c" -0.308904764727874 -1.0128132194439 0.00722872414148132 1.62008605595278e-08
"Rv0044c" -0.782363337580549 -1.27168568030794 2.75203751257012e-11 1.50197702293354e-11
"Rv0046c" 1.67681739851174 3.00832528248132 2.11365548394561e-26 1.95744605957331e-80
"Rv0048c" 1.20447304407642 2.66763732816365 3.40567159706616e-26 4.90993253021929e-118
"Rv0049" 0.578991907365505 0.888269613281287 3.45340868737273e-09 1.09160376356185e-16
"Rv0050" -0.401329680029188 -0.288559090882924 0.00035046840596915 0.0135641920531667
"Rv0051" -1.28126117445548 -1.2959275681629 5.78130742039705e-45 1.27785135936659e-25
"Rv0052" -0.611877226184648 -0.932134834285459 2.2314459585226e-07 1.23816433438731e-07
"Rv0053" 1.39028328786007 0.690348350605164 1.97712454338015e-18 7.8134591086054e-05
"Rv0057" -1.36836067514664 -1.47430064406799 3.64395582202864e-38 3.84783051077009e-19
"Rv0058" -1.72790977285981 -1.36948592385638 6.75063047323711e-18 5.28959938205121e-11
"Rv0059" -1.88076657914058 -1.5711702534718 2.67628521579696e-20 1.44356627089025e-10
"Rv0062" -0.544792084587331 -1.17249658583766 0.00150099913929093 5.6939584765193e-08
"Rv0063" -1.24136190679386 -0.770935765958114 5.60711523890004e-19 1.3264952073223e-05
"Rv0064" 1.94596711462389 2.72304144690811 2.22733734585169e-33 8.24065836374952e-63
"Rv0064A" 1.87640842153669 3.37369922639719 3.79729047926709e-21 2.58709081786231e-53
"Rv0065" 1.53078004561462 2.16757860026778 9.09891955660559e-20 2.20791623398116e-34
"Rv0069c" 0.504489460524485 -0.834404976225257 8.59287495048072e-07 3.94265378275345e-09
"Rv0070c" 0.476977851858845 -0.446228024007375 1.79184366905275e-05 0.00249518433116224
"Rv0072" -1.09332511467738 -1.64729836906777 6.78910407622138e-19 2.51841286794466e-31
"Rv0073" -1.86990825715721 -2.42668465902187 6.47704688571e-81 8.25821591212679e-69
"Rv0074" -2.06321443800359 -2.88811032562053 2.46946215189447e-44 1.75584669311556e-49
"Rv0075" -1.43892026669901 -1.93227555138997 5.23724325038916e-42 3.69176627295945e-38
"Rv0076c" -0.621897233435397 -1.30430777784042 2.3915243648082e-05 3.69874223424828e-06
"Rv0077c" 1.57003010498274 0.554814201515671 1.2122146099412e-21 0.0255057365494773
"Rv0078" 0.809956662664905 0.647391986604318 7.52965926558242e-07 0.00186390021704272
"Rv0078A" 1.59308337961472 1.16622657086749 9.03433360261747e-26 2.4425406919504e-13
"Rv0078B" 1.10872022260473 0.705128227424771 1.14856831655357e-09 0.000955952951779268
"Rv0079" 6.53387772938344 4.85072025887604 1.12677642884093e-27 9.37747139562214e-17
"Rv0080" 8.12381400286152 4.40454899233005 1.38397274391205e-69 9.16840934187986e-24
"Rv0081" 4.39972292633278 3.24010209232742 1.10895729959561e-83 4.0077489671302e-48
"Rv0082" 2.79693473523997 3.55916335362368 8.59023516864832e-39 3.97144256505984e-63
"Rv0083" 2.07764414993038 3.0410043059593 4.46211687945447e-18 2.5864954991321e-36
"Rv0084" 1.39657369089099 2.80185825313695 1.12089989449835e-11 1.51769335165274e-41
"Rv0085" 1.35693447365306 2.56038489187884 4.1649921492419e-07 7.42863788688615e-21
"Rv0086" 1.00772268827515 2.31244337996563 4.89300437937016e-06 3.24407871899326e-25
"Rv0087" 1.36068540320259 1.98461811635267 7.54063891108873e-12 1.06847595948542e-21
"Rv0088" 1.49458830967263 0.795114997973234 1.40786633136292e-12 0.00030628910931077
"Rv0089" 1.62129601078363 1.89120500915507 2.05668907695233e-20 5.86420420217904e-23
"Rv0090" 1.13133444441656 1.63977536813933 2.79548915917701e-08 2.59600948398168e-10
"Rv0094c" 0.725641430514129 0.966708745453667 5.73725496795288e-09 7.31719235434768e-11
"Rv0095c" 0.608386429204506 2.65799360942512 0.0065895414325896 1.03737268413545e-19
"Rv0096" 0.953807092592687 -1.38945781441828 0.00197193722343237 0.0122629880394202
"Rv0100" 1.55179179974043 1.43405799105732 5.10484733988948e-11 5.39554156425004e-06
"Rv0102" -1.0210546361472 -1.63920477725372 4.41773367712914e-16 3.2268317089692e-30
"Rv0104" 0.46587255020325 0.314128157401211 0.000280691809706773 0.0492726066521476
"Rv0107c" 0.443611350487532 -0.425922032401544 0.00387224695591422 0.00730193467393565
"Rv0108c" 2.37807385644748 0.997444677518341 3.71016181370636e-46 4.97959684235078e-09
"Rv0109" -1.09845130654755 -0.662402450360673 2.21603115177147e-07 0.0224638949539982
"Rv0110" -1.36449845064368 -2.01403372676391 3.17154983421692e-25 7.38566994459673e-17
"Rv0111" -1.69518696609368 -2.13078718155389 2.66313291734626e-44 2.13961188192088e-28
"Rv0113" 0.573562757476823 0.827256811155278 0.00210327972035357 3.12578305360772e-05
"Rv0114" -0.420256905646794 0.561392549674365 0.0443944822100799 0.0140263807540367
"Rv0115" 0.88828091218292 0.955060927991606 3.07371669688006e-05 2.59149461715589e-05
"Rv0115a" 4.37896988116694 4.11385886367595 1.9614562181441e-62 2.08393862669376e-54
"Rv0116c" 3.35741145633938 3.67524994378194 5.58724762852999e-78 9.65730246492356e-92
"Rv0117" 0.55475910423436 0.755993333475836 0.00709937573744695 0.00100648863994998
"Rv0118c" 1.24539406475178 -1.0434826726161 9.91444337500769e-14 1.31707542982303e-07
"Rv0119" 1.20787149881632 -0.919771305826819 1.87594398040786e-17 1.08078219053764e-05
"Rv0122" 2.92017736537383 3.35108858913082 1.27246101120262e-28 2.35944867706657e-30
"Rv0123" 2.8629512971032 2.5786658199575 9.6051125576739e-36 1.46579816421092e-26
"Rv0125" 0.848174075957193 0.574926396617557 6.04586690327599e-19 2.69905827126811e-08
"Rv0129c" -0.370279856344179 -1.27247119509557 0.0460314970463586 1.85533286592292e-11
"Rv0131c" 1.91911003125286 1.33671042876244 2.02866231287712e-55 4.39494403102937e-22
"Rv0132c" 1.83251561136785 2.29305546531284 2.21568625753174e-27 1.13762717556675e-35
"Rv0133" -1.35417431941452 -1.42157978190048 6.87406565666992e-26 1.71684161977921e-16
"Rv0134" -0.591917022467509 0.649744069040403 1.41136119118136e-13 3.74900556248463e-13
"Rv0135c" 1.69995454641536 3.19053321822052 2.79863621283553e-59 6.90272758818042e-200
"Rv0136" 2.27119767351955 3.88778396726983 3.33942894809481e-78 2.76498528019124e-224
"Rv0137c" 1.70471950440499 2.0654966568921 1.35405565601572e-36 6.40990934550681e-47
"Rv0139" -1.27433622804968 -1.43045333156333 7.04348439387706e-33 2.24065461808081e-22
"Rv0140" 1.27344588313052 1.88937957140732 4.2983142048211e-21 1.8269984897937e-35
"Rv0141c" 1.67667671057875 1.97144170510469 3.27802366484712e-25 5.7182120105476e-28
"Rv0148" 0.741302147889701 0.802178988658107 6.70139811371767e-09 3.13284375829411e-09
"Rv0150c" 0.932597551526085 0.635362394751991 5.79375170795502e-07 0.0115150904934365
"Rv0155" -2.03418107056932 -2.27736966439607 2.60736690163921e-57 3.47846512407998e-24
"Rv0156" -1.20443378799285 -2.00116044189003 1.19253993881258e-09 4.87758958207655e-11
"Rv0157" -1.44526451910929 -2.28747193898034 9.26226243117487e-80 2.47362830771678e-97
"Rv0157A" 0.677848847774733 1.68872715805283 0.00059229827864916 3.22494866871791e-14
"Rv0158" -1.06935411399011 -1.59983149179582 8.73287386881558e-08 1.50416053317577e-10
"Rv0159c" -0.864091834032798 -0.673548773333883 2.97359173293367e-09 0.000105896489178949
"Rv0160c" 1.03384893382683 1.56160738572119 2.18675055865396e-09 9.90862943918064e-12
"Rv0164" 0.399578287344785 -0.725974587013861 0.00296838523640871 1.03590186730145e-05
"Rv0168" -0.602106260625631 -2.02978684077699 0.000883535591314874 1.19056638579783e-22
"Rv0169" -0.552652022665077 -2.49125678764259 0.00567701496409926 3.74598774273614e-32
"Rv0171" -0.48264570826508 -2.3722478836348 0.00732420091427832 2.63336798054075e-34
"Rv0172" -0.472789283015536 -2.7155089743275 0.0139642044120383 1.84284689567476e-40
"Rv0173" -0.434579172762033 -3.06468583326904 0.0300058544975184 3.1899073521993e-42
"Rv0174" -0.582129225459179 -2.70038718453959 0.000459797351313239 1.45572284784065e-55
"Rv0175" -0.793533103035199 -1.44964348270381 2.07834783891066e-17 1.0527984720846e-40
