"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.792098154522453 1.12740611967338 1.86619426006998e-09 7.95041810874241e-18
"Rv0002" 0.452615315653812 1.36482411516464 0.00146528780110868 1.06933376114527e-22
"Rv0003" -0.964916058332929 -0.627714516875253 2.76719952336844e-15 4.7853839964105e-07
"Rv0004" -1.06559999273143 -1.18514897727249 2.01165304841623e-23 8.41145055552884e-25
"Rv0007" -1.62790390090192 -0.768737542702462 1.46608996218642e-37 1.78327596350976e-09
"Rv0011c" 0.457123873660114 1.07250983078294 0.0189582814154868 1.91999432044567e-08
"Rv0012" 0.618572590308234 -0.284852339530791 2.62899450496478e-06 0.0395328747438711
"Rv0013" -0.305445379319704 -0.230217605551524 0.00367515634473772 0.0318491961874711
"Rv0014c" -2.04698962802418 -1.64584503651303 9.311385721887e-66 2.7818932521614e-42
"Rv0015c" -2.31016705527345 -2.19490290367219 1.31575655351713e-50 1.0665484735381e-44
"Rv0016c" -1.90631665277553 -1.43170856872414 1.04278587116545e-87 3.61966620012113e-49
"Rv0017c" -1.50456600876782 -1.05013890241456 1.04465667913845e-35 8.23486431305411e-18
"Rv0018c" -1.80151619806882 -1.81917582607774 2.06789403569745e-51 8.82562454049482e-51
"Rv0019c" -1.62365396121394 -1.55348045329115 4.94171741412158e-30 1.06153965245588e-26
"Rv0020c" -0.705403972842032 -1.03335027915529 1.44533132488018e-06 1.56086582935993e-12
"Rv0023" -2.65556207564038 -3.48475214113411 7.21606490270496e-48 2.04312502045602e-56
"Rv0024" -2.14552816408311 -3.06979304263628 2.60199276266906e-44 1.2191729719992e-64
"Rv0025" -0.924287889122693 -0.825721871721667 1.97538323630987e-08 2.43787390855482e-06
"Rv0026" -0.639384641326886 -0.356749749317301 4.53052605948501e-08 0.00337910310366887
"Rv0027" 0.656960529730631 1.1712772829215 5.78391782106981e-07 5.5681898257913e-19
"Rv0028" 0.942752223404942 1.26301599572946 7.96200124033153e-13 3.91715875086547e-21
"Rv0029" 0.505037140686983 0.99127806247936 1.53792114570893e-09 8.8179061070417e-33
"Rv0030" 1.02160158918259 1.12010756855872 4.32182152941883e-11 3.90219651109342e-12
"Rv0037c" 0.819198407504512 0.521755194196297 2.23973779689114e-09 0.000195572561464822
"Rv0040c" -0.818791638121637 -0.781681672143106 2.36608759830662e-07 9.26877921135816e-07
"Rv0042c" -1.21894497894947 -0.702040152920129 3.69162926043204e-17 1.27263015570842e-06
