"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" -0.688538358535734 0.860185172321344 2.22822168572627e-07 6.18245440816238e-11
"Rv0002" -1.54709024973639 1.3371810403821 2.6838965608299e-27 7.44759590786514e-22
"Rv0003" -1.62018402959542 -0.534811667850482 1.31636790731754e-35 1.93878048230645e-05
"Rv0004" -1.82836439620072 -0.860801011717613 1.30757952821951e-53 7.09841685213281e-14
"Rv0005" 0.909144854684679 0.317903213541431 2.32828717694069e-14 0.00900940632301889
"Rv0007" -0.871580747786778 -0.48048722532297 8.88126951294266e-12 0.000187580783379392
"Rv0009" -0.642114634711058 1.01739550013485 5.38137323217344e-05 1.34107677871754e-10
"Rv0011c" -0.396323700866842 1.05573513518899 0.0452612326611829 3.10356132295828e-08
"Rv0014c" -1.38521421302553 -1.67297547451668 6.85379937466419e-31 6.01493230357865e-44
"Rv0015c" -1.31122543263481 -2.36722171850814 1.57941197497274e-17 5.63126296129537e-52
"Rv0016c" -1.08753805927245 -1.55524277165982 2.33335214661199e-29 4.68309386384001e-58
"Rv0017c" -0.711352648777438 -1.00991260818243 5.11341444290286e-09 9.2926533251926e-17
"Rv0019c" 0.536774071914854 -1.56433189731513 0.000175430912231454 3.9415133113393e-27
"Rv0023" -0.664820885039148 -3.0680613537156 0.000283373071340129 6.25993360497253e-50
"Rv0024" -0.539332543718673 -3.19951889081082 0.000462543188726806 2.40968652791317e-69
"Rv0026" 0.687770942502979 -0.539056744768857 4.83190466860595e-09 8.8597849598659e-06
"Rv0027" 0.617456531147559 1.17754109543775 9.72948818921552e-06 5.22414568831045e-19
"Rv0028" 0.928147591911654 1.16220596502919 9.26951737682913e-12 3.6454974822569e-18
"Rv0029" 0.709718760907187 0.975582068465596 2.3266383266812e-19 1.39153536227813e-31
"Rv0030" 1.16035412092279 1.47451345320337 2.24974792063133e-15 1.50153270201417e-20
"Rv0032" -1.08060083856073 -0.422612466722115 1.34636886694558e-15 0.00504574010210958
"Rv0036c" -0.604069676448999 -0.217832900963844 4.20414705833726e-10 0.0348345109224227
"Rv0037c" 0.766866211608613 0.713342241101785 1.48190846623232e-08 2.89827556471872e-07
"Rv0039c" -0.619278378043124 -0.968237349774995 0.00555423272087966 2.49722238086071e-05
"Rv0040c" -2.56560376045192 -0.838152349441776 1.0138033074319e-57 1.18945100076872e-07
"Rv0042c" -2.06184520612309 -0.811280298578963 2.48332869281822e-43 2.17239768864259e-08
"Rv0043c" -0.725041977943228 0.27360388800295 2.12701547920421e-10 0.0161650129282196
"Rv0045c" 0.671264263780733 1.09197055680788 6.03994624764792e-05 8.82110997602459e-11
"Rv0046c" 1.87845647172189 2.54455457222597 9.59770947024537e-33 1.56363663246145e-58
"Rv0047c" 1.59574058719112 0.9508958648528 5.21707424242008e-11 9.4320844140804e-05
"Rv0048c" 1.65650260726362 1.1099101196055 5.28676699559751e-50 1.00441491127927e-21
"Rv0049" 0.337882468493208 0.213513573605616 0.000424124669152669 0.0370624636221057
"Rv0051" -0.881569953755829 -0.838824859670898 1.27408066894001e-22 9.93943251331996e-20
"Rv0052" -1.07701117119549 -0.482815260932472 4.64970151829577e-19 7.51432865365354e-05
"Rv0053" 0.830639297549827 2.54175981929072 9.07086173141378e-08 5.98508110326354e-58
"Rv0055" -0.74471319749923 0.896699573115001 4.10555305707945e-08 4.94678725993785e-11
"Rv0056" -0.768824920821588 1.09386084281158 1.81897198519771e-10 5.48244335250901e-20
"Rv0057" -0.885601679632036 -0.607800145008816 2.66475293760443e-16 4.5479657947824e-08
"Rv0059" -1.84221413984868 -0.584842243155343 1.78666433511617e-18 0.00471973127072212
"Rv0062" -2.76684705899414 -0.61472499695482 3.07932659330159e-61 0.000816838092467613
"Rv0063a" 2.36364088655084 0.411985738135355 1.46006188673638e-45 0.0212485248634038
"Rv0064" 2.67096796544496 1.58041608053488 4.84465402703844e-61 1.76728041547244e-22
"Rv0064A" 3.40515581729524 1.75807017937725 3.09613715820929e-61 1.04424879047367e-17
"Rv0065" 1.81165946882424 1.08512230471355 2.50396780686739e-27 2.29269601014666e-10
"Rv0069c" 0.198365830358446 0.57818418146024 0.0472051475030701 2.965498630933e-08
"Rv0070c" 0.58746772213331 1.41419423290975 1.10897661534662e-08 7.42186663157714e-40
"Rv0071" 0.502177751351624 0.666055421852701 0.000940338232410975 4.26805408356461e-05
"Rv0072" -1.42355751676777 -0.746654179243535 6.27737825187964e-30 1.76575334440363e-09
"Rv0073" -1.643550334323 -1.10770301704901 2.30767965219781e-58 1.61250217173816e-29
"Rv0074" -2.02480352011372 -1.2909108391139 4.38918117748679e-41 2.62754911509158e-18
"Rv0075" -1.07382704524097 -0.602430631493415 6.77918686715101e-23 1.58895877121957e-08
"Rv0076c" 0.444701454083451 0.742950357121473 0.00126550182257882 4.86078911308959e-08
"Rv0077c" 0.89916059228066 1.59542790342133 9.49535041628946e-08 7.51413089644378e-22
"Rv0078A" 2.06683574931529 1.00325717049551 8.61785165138353e-42 7.74589793670023e-11
"Rv0078B" 2.53120488929087 0.712925117321847 7.54685667216644e-43 0.000210427247295675
"Rv0079" 3.03380060077802 1.96327297039071 1.29575138420777e-08 9.99870151184744e-05
"Rv0080" 3.33729547926602 2.61042033780126 2.38298721156508e-15 3.38194902245311e-10
"Rv0081" 2.668005809408 2.15761027605497 5.71668393691089e-34 3.42111166702273e-21
"Rv0082" 2.32549693176247 1.81699038204337 3.16194153816414e-28 1.04711544723729e-16
"Rv0083" 1.79180069916696 1.04884035976353 6.1947759813359e-14 1.37908326500056e-05
"Rv0084" 0.793389310954512 1.23794168126405 0.000126609490164645 2.23536874130762e-09
"Rv0085" 0.667867572707345 0.7225874175798 0.0138353198646598 0.00794197200053351
"Rv0086" 0.561111774846802 0.522054526942214 0.0120406405882032 0.0201145531154968
"Rv0087" 0.490038635094791 1.03635100334585 0.0156617258843883 2.85294585896372e-07
"Rv0089" 0.54733212626615 2.59018836423827 0.00181875304351696 6.07190824906828e-51
"Rv0090" 1.4317471981564 2.31560518474616 6.71791267362702e-14 6.44179480748444e-30
"Rv0094c" 0.468678318095522 0.686594951656999 0.000344554379240776 2.1905862855611e-07
"Rv0100" 1.4633469688068 1.47716298070077 4.90261932305234e-10 8.37613094529022e-10
"Rv0102" -0.801509538779893 -0.833490855716926 3.48595880732906e-10 5.77256248505293e-11
"Rv0104" 1.34587806397916 1.34776090226124 2.83908840567531e-27 1.16674601342169e-26
"Rv0108c" 1.20799894331821 2.67352020902222 2.69583073358772e-13 1.2557302449203e-58
"Rv0110" -0.931262535946766 -0.899172060165952 1.62662426074941e-12 1.45393611251824e-11
"Rv0111" -2.27542205481063 -0.264910673798806 1.0580217801287e-79 0.0247841110266378
"Rv0112" -1.11884377141491 0.44526752019528 3.67832938681453e-09 0.0196480822616925
"Rv0113" -1.38995015454255 0.652927842253651 1.02068173494413e-13 0.000359376680956687
"Rv0115a" 1.96257449504519 3.97289071074594 2.62388514122967e-15 2.14013815949097e-51
"Rv0116c" 3.88305251535509 2.53384686493761 1.04027571986118e-104 3.44704329912957e-45
"Rv0118c" -0.907664693011615 -0.683731634829101 1.68944274996305e-07 8.01926163734487e-05
"Rv0119" -0.873491529334741 1.56907535787773 1.20537407282623e-09 2.06337425976464e-29
"Rv0120c" 0.580319316732861 2.1483734055184 2.07586901024323e-06 1.14766187197722e-72
"Rv0122" 1.59266570688228 1.2017152068835 1.80654866148636e-10 9.07151875622026e-06
"Rv0128" -0.622763683212485 2.90921074619541 0.00674631166886759 2.09176294213163e-38
"Rv0129c" -2.81388281022109 1.33330502578333 5.98788151303794e-53 1.94107165873841e-13
"Rv0131c" 0.877392789705573 1.47093068905872 2.80934737972211e-13 5.27395107155532e-32
"Rv0132c" 1.48178149840616 1.26936127502055 6.91547402559544e-19 3.6231938565161e-13
"Rv0133" -1.76188988822272 -1.62696694626375 2.08479415881978e-38 3.6551809173028e-33
"Rv0134" 0.772005166380805 -1.34875658086095 2.69488577693172e-22 4.11011379784243e-53
"Rv0135c" 2.84033570399409 0.841188262760094 5.15878714158916e-167 3.02501643754978e-15
"Rv0136" 3.18308125625476 2.32637827859135 1.16064340337208e-159 1.32380358003648e-82
"Rv0137c" 2.08988641144574 2.48406387176293 4.74172374539834e-54 1.43552283877671e-75
"Rv0138" 0.482059767131595 -0.640257679422846 0.000148751423712831 1.17846247064147e-06
"Rv0139" -1.28995315640414 -1.16881089413106 3.39252186998121e-32 1.68557654094565e-27
"Rv0141c" 2.1873279711006 0.581205120801414 8.7607359498303e-41 0.000887835784728538
"Rv0143c" -0.233048668845503 -0.694235017991025 0.0233909484015446 1.97671448162148e-11
"Rv0146" 0.489768736790663 -0.46471225409864 0.0339666199872265 0.0444496519250128
"Rv0150c" 1.01973589518912 1.06999299984117 7.45118145137031e-08 1.56806854247371e-08
"Rv0155" -2.7587428344501 -2.4485789822867 3.00574301728478e-98 3.47442691430091e-65
"Rv0156" -2.27591072748394 -1.21401442547131 1.31863229001754e-26 9.06810386921894e-10
"Rv0157" -2.41785959373278 -1.522638063948 2.34365586390795e-204 3.09440260070473e-86
"Rv0157A" 1.4073718915115 1.63481284807312 1.81931785222868e-15 1.78361421964829e-19
"Rv0158" -1.91321412120717 -1.47671755313807 9.80332014303914e-21 5.74823494873336e-13
"Rv0159c" -0.83513956100581 -0.586134704174071 1.09082686730966e-08 8.30478253480974e-05
"Rv0160c" 1.06559936461772 1.4306427811053 8.86023514038962e-10 2.77392343936894e-15
"Rv0164" -0.403237960498688 0.851011527658579 0.00270570535024225 6.04350584305806e-11
"Rv0165c" -0.41432592796228 1.12167956704154 0.00236011150921553 1.56539285068886e-17
"Rv0166" -0.683002414598859 1.32772589703974 8.05990572077294e-05 5.9290565235199e-15
"Rv0167" -1.88242570439777 0.866226843190599 1.80770548621765e-22 6.47179235890877e-06
"Rv0169" -2.31618089644086 0.450537373957026 1.58237146848173e-31 0.0244703856860832
"Rv0170" -2.34735679040021 0.400821256987158 1.9319985793312e-44 0.0172634871538799
"Rv0176" -1.26765983548285 -0.878896355238999 3.56375312117915e-32 3.28576981963298e-16
"Rv0177" -0.777297753212428 -0.288833142530722 1.92117496509077e-15 0.00364386087395639
"Rv0179c" -2.02023158956099 -0.469893930424263 1.77352290633753e-53 0.000355341772679121
"Rv0180c" -0.2922127537372 -0.282938418572926 0.00240429562850892 0.0039144543582673
"Rv0181c" 0.435690943423053 -1.12158331992849 0.000778236924087673 2.35751640892444e-17
"Rv0182c" 0.479011767691195 -0.938409091837298 2.98735593003294e-05 9.17912417624078e-16
"Rv0183" -2.17197011199825 -1.46374601104449 6.62375160258155e-84 1.55833643635618e-41
"Rv0184" -3.00723796645202 -2.9903876411072 6.31865343625963e-64 3.14096762349849e-64
"Rv0185" -2.94512003124798 -2.88778399905681 2.34441790362144e-67 2.59999680634679e-68
"Rv0186A" 2.50368497197616 0.853445220752122 2.4728552184983e-37 2.25316504335979e-05
"Rv0188" 3.85211273596369 3.66778086260533 5.34169668505437e-80 3.5037311762502e-72
"Rv0189c" 1.85128651796778 0.591592932583092 1.59670194373651e-47 5.31810460670965e-06
"Rv0190" 1.1888672208236 -0.357227391417454 6.84441518761422e-20 0.00923064903897806
"Rv0191" -0.489478606680138 -0.852301874112651 6.46921564388344e-05 4.27726492795082e-12
"Rv0192" -0.699310515616763 -0.682422669560292 2.1529856794575e-12 1.22175985293528e-11
"Rv0195" 2.55929161010901 0.974271950440672 5.02614175967684e-10 0.0142824081917658
"Rv0197" -0.309331121507239 -0.334832173065265 0.00670375848436367 0.00551668273517755
"Rv0198c" 0.186878284610863 0.452717054047321 0.0306464327034814 1.41611063472913e-07
"Rv0199" -0.457981776184813 -1.06313008317281 0.000206438409436949 7.05130852870899e-16
"Rv0200" -0.718480994977418 -1.45624929337692 2.55979344611762e-12 1.19535262007419e-37
"Rv0202c" -0.288892725740729 -0.295562897069415 0.0137778320316619 0.0120024182343016
"Rv0203" -2.095219020939 -0.793515018759746 2.72766484346917e-41 4.41529627784186e-06
"Rv0204c" -1.17931601229037 -0.459393591839584 3.59500105244957e-44 1.88338750612131e-07
"Rv0205" -1.26331739470601 -0.707099535200443 1.41040543159876e-29 6.24352644680492e-11
"Rv0206c" -0.874013318267338 0.311904417612594 9.00335618487008e-18 0.00257379422162396
"Rv0207c" 0.781506531887354 1.2545834801135 5.38472766421737e-15 9.91727641013592e-37
"Rv0208c" 1.51281403655544 1.80253978385698 1.23013135608804e-39 1.30583265758495e-56
"Rv0209" -0.312297134384505 -0.436017529862015 0.0406268112122896 0.00809401938774205
"Rv0210" -0.869634421375438 -0.377124586924697 3.79466870795608e-08 0.0235639864274154
"Rv0211" 1.42931664076528 2.24500972744605 2.72004651901841e-18 6.26791083841772e-43
"Rv0212c" 2.05310410924351 2.05337663926612 1.56966550257003e-63 1.05536661631921e-60
"Rv0213c" 0.954308939367732 2.3861707310419 8.97542865232449e-15 2.38650558652453e-86
"Rv0214" -0.480408645666883 0.603953243345456 0.00108049917085484 2.82158205122815e-05
"Rv0215c" -0.77101736331915 -0.479138500768398 1.64049026875012e-08 0.00039840475918165
"Rv0217c" -0.429011643471262 -0.673273066047886 0.00838914269022284 0.000104978192822971
"Rv0218" 0.381172780429687 0.26906690566104 0.00236011150921553 0.0365263571142582
"Rv0220" -1.58338299693281 -0.866851884113253 4.83925748008949e-37 2.66869440824898e-12
"Rv0221" -1.8641802479137 -1.36088395985724 1.60019961440669e-44 1.05789011696831e-25
"Rv0222" -1.61048129732046 -0.689792498380026 5.49772999803376e-29 6.29651685776874e-07
"Rv0225" -2.23402843998241 -1.81469748659322 4.49026804286685e-89 2.09841825364228e-55
"Rv0226c" -2.88553763542704 -1.3396273266807 2.31729462567439e-86 5.19586318194688e-20
"Rv0227c" -2.2214857031851 1.0027614396684 1.93755470148708e-65 8.54424936860836e-15
"Rv0228" -0.740900836245336 -1.84148629834412 5.72877868916168e-05 2.47884042741054e-22
"Rv0229c" 0.392704034341002 -1.21848030930845 0.0212344269699854 4.39115316570471e-13
"Rv0230c" 0.600910787295499 2.12145619781307 1.56008594465488e-06 2.13199801539699e-64
"Rv0231" -0.361253355766244 1.6644115114999 0.00642473083547601 5.3758037586845e-37
"Rv0232" 1.6440321239608 0.380006097778134 1.22267327350339e-20 0.0372411532296135
"Rv0233" 1.58575174576248 0.353421177553517 1.11131793557119e-19 0.0496352802899327
"Rv0235c" -2.11587169374568 -1.16197639009536 1.1158623700708e-46 1.74435677248288e-16
"Rv0236c" -2.00847033712132 -2.83194972875048 3.34860083718178e-24 1.22100777951289e-45
"Rv0237" -2.75042236550078 -1.34627442842194 2.0303703163274e-53 5.7792224096408e-14
"Rv0239" -0.277265323204927 -0.733543713219771 0.0123619482729035 1.97912994402706e-11
"Rv0240" -0.731535350739711 -0.866292602384658 5.17190307563026e-10 2.01663605352469e-13
"Rv0241c" -2.02360003469284 -2.09697813832307 3.96732226863577e-36 6.84163134568386e-39
"Rv0242c" -2.033216046682 -2.75812502636975 5.72136916394801e-23 1.3642460078553e-40
"Rv0243" -2.26809637081985 -1.91741456318374 6.11501180292165e-28 1.34573532582255e-20
"Rv0244c" -1.89692504249297 -1.66927497950809 4.84663148046418e-33 3.33749099431229e-25
"Rv0245" 1.73401797640567 1.50819598405257 1.64222509196621e-37 4.84732815304064e-27
"Rv0246" -0.694482817462775 -0.682524166049099 5.08549323373642e-07 7.64412134330561e-07
"Rv0248c" -2.06209046566361 -0.66935304905634 3.79852136166526e-49 1.80126748753239e-06
"Rv0249c" -1.25407775245257 -0.459993888763523 2.08839124532617e-24 0.000211430778717453
"Rv0250c" 0.95554155687433 1.05756090850756 2.12385644336642e-07 9.20591694914954e-09
"Rv0251c" 3.20773313137379 2.57357135409249 2.99168304373729e-41 9.15946628476444e-27
"Rv0252" 0.393241457913624 0.799362194296278 0.000273172060713494 4.66150823836934e-14
"Rv0256c" -0.227017368486228 -0.527032087673588 0.019460314445587 1.47509891556101e-07
"Rv0257" -0.636735062563775 0.577719157361864 2.14208283333182e-05 0.00010536243522497
"Rv0258c" 1.40718214525846 1.37723999975495 1.0527651638991e-17 3.67495045237542e-17
"Rv0259c" 0.69995452701526 0.824430200805263 0.000341041665818885 0.000192785851424472
"Rv0260c" 0.519090725780916 1.79347560038536 0.0472490418569972 4.58884558891391e-12
"Rv0261c" 0.614091527244562 0.676952697003161 7.45813534569752e-05 1.30941306728451e-05
"Rv0262c" 0.705800594051161 1.2092882867566 7.7240171750821e-09 3.19761467979961e-23
"Rv0263c" -0.924425932453016 0.968896276523113 9.16354568023292e-10 1.08514598089694e-11
"Rv0265c" -1.15624055189957 -2.34736492181746 5.92655169144599e-41 5.50811974578998e-106
