"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" -0.381979217111672 1.12740611967338 0.00427003282087775 7.95041810874241e-18
"Rv0002" -0.961194589881959 1.36482411516464 1.11367065290219e-11 1.06933376114527e-22
"Rv0003" -1.83125476974008 -0.627714516875253 2.24877734161812e-43 4.7853839964105e-07
"Rv0004" -2.15156229934498 -1.18514897727249 2.11347563821058e-68 8.41145055552884e-25
"Rv0007" -1.11366462536149 -0.768737542702462 3.24737008683821e-18 1.78327596350976e-09
"Rv0010c" -1.48450510499422 -0.465044840148602 4.02781179431995e-30 0.000418076970429739
"Rv0011c" -0.594520690032856 1.07250983078294 0.00248270234013695 1.91999432044567e-08
"Rv0013" -0.88435489133523 -0.230217605551524 6.94464230604931e-17 0.0318491961874711
"Rv0014c" -2.31044507588673 -1.64584503651303 1.2955292901873e-79 2.7818932521614e-42
"Rv0015c" -1.90829320862589 -2.19490290367219 7.82168082426925e-35 1.0665484735381e-44
"Rv0016c" -1.77100545033393 -1.43170856872414 4.32572686058709e-72 3.61966620012113e-49
"Rv0017c" -1.85158553464352 -1.05013890241456 4.30722784404302e-50 8.23486431305411e-18
"Rv0018c" -1.26764718236173 -1.81917582607774 8.26437054073108e-26 8.82562454049482e-51
"Rv0019c" -0.890239131564838 -1.55348045329115 8.88268438804372e-10 1.06153965245588e-26
"Rv0020c" -0.675924266528557 -1.03335027915529 4.08959784220022e-06 1.56086582935993e-12
"Rv0022c" 2.79232852017697 1.10279556610293 1.00832252990337e-32 1.15681833688654e-05
"Rv0023" -1.47165029376214 -3.48475214113411 8.61278646781374e-15 2.04312502045602e-56
"Rv0024" -1.67687737912468 -3.06979304263628 2.39905840112153e-25 1.2191729719992e-64
"Rv0025" -0.438759338419924 -0.825721871721667 0.01156585544031 2.43787390855482e-06
"Rv0026" 0.340839653756194 -0.356749749317301 0.00434555788616217 0.00337910310366887
"Rv0027" 0.491335718574498 1.1712772829215 0.000474659682449219 5.5681898257913e-19
"Rv0030" 0.710838863051319 1.12010756855872 3.18715532991183e-06 3.90219651109342e-12
"Rv0037c" 0.361985305740732 0.521755194196297 0.00849170408030579 0.000195572561464822
"Rv0040c" -1.85027484814996 -0.781681672143106 1.47558151199604e-31 9.26877921135816e-07
"Rv0042c" -2.07298728062109 -0.702040152920129 1.19086518508259e-43 1.27263015570842e-06
"Rv0045c" 1.48993099548234 1.13095014966431 1.85070389208523e-19 1.97221757317898e-11
"Rv0046c" 2.67814885388205 2.85826116892698 1.00757972251447e-64 4.05066536751972e-73
"Rv0047c" 2.44278363768081 1.15262985522855 1.5961078929083e-23 2.18585558247143e-06
"Rv0048c" 2.0915054115889 0.950642867987856 1.80708134207046e-79 4.34587755526321e-16
"Rv0051" -0.947067093483788 -0.879330121144738 1.31401444827186e-25 3.53094725765182e-21
"Rv0052" -1.20969410715758 -0.648931198374896 5.07948711667523e-23 1.56485414109792e-07
"Rv0053" 0.788881566251832 2.38773008639489 4.20869988246318e-07 6.77959939952368e-51
"Rv0054" 1.94958379108956 0.876129943499088 7.24856614869065e-55 1.29307855909871e-11
"Rv0055" 1.48935033527761 1.04512870016542 4.62285884437118e-32 1.65018940318657e-14
"Rv0056" 1.09682406526154 1.0368436366557 3.40169868756243e-21 5.24351039036664e-18
"Rv0057" 0.768982486692341 -0.565336316268397 3.82847237488825e-14 3.98445787339529e-07
"Rv0059" -1.03096604651162 -0.686240785419973 6.62248199206398e-07 0.000924574685281791
"Rv0061c" 0.280296669803978 1.94093358200853 0.0431728706347592 5.22856456370104e-46
"Rv0062" -2.5691969812865 -1.00951414109247 5.24305911613882e-52 6.35683217730687e-08
"Rv0064" 2.23469988233741 1.45756163683899 3.60480147058461e-43 2.56261314027474e-19
"Rv0064A" 3.08104757996509 1.70164274179557 2.95652288211069e-51 2.27993343547914e-16
"Rv0065" 2.03791478020916 0.949817517523274 4.6312349379119e-34 3.66625229408424e-08
"Rv0067c" -0.719941670278536 -0.523133024707416 1.37270622548473e-05 0.000816534471986443
"Rv0069c" 0.211792650816183 0.674814354619085 0.033516053548369 1.42368006995812e-10
"Rv0070c" 0.351380771700807 1.45458285145215 0.000757397070924628 1.20465674470451e-41
"Rv0071" 0.593944493576529 0.573404075008458 8.45057139571104e-05 0.000705486817498415
"Rv0072" -1.84320267700285 -0.606450121754617 2.6045831221775e-48 1.08066334232058e-06
"Rv0073" -2.21550971199746 -1.01703664331527 1.65470553555681e-97 2.90102444156328e-25
"Rv0074" -2.36074458947479 -1.28883100873756 5.61044980059451e-54 2.62175235914905e-18
"Rv0075" -1.37464158940595 -0.555874701034959 4.34052348112954e-36 2.02633558986963e-07
"Rv0077c" 0.913915958821583 1.07509910348757 6.00660824488514e-08 3.70673134285473e-10
"Rv0078A" 1.94425450278189 0.954338286962471 3.62252724968468e-37 6.33516153063835e-10
"Rv0078B" 2.25691282486867 0.422844500262107 3.18440222469066e-34 0.0266797569780619
"Rv0079" 3.26817685364654 2.12461971329136 3.17825728314415e-09 3.97549688076958e-05
"Rv0080" 3.7408470038768 2.92726807176815 3.15579803739528e-18 5.0413991061338e-12
"Rv0081" 3.35739270575351 2.72386481896962 8.92648856010345e-53 4.38098743658062e-33
"Rv0082" 3.05123022347827 2.0296157777473 3.74948996247181e-47 8.51826155222691e-21
"Rv0083" 2.67817820735293 1.35849384274925 7.27388146631129e-29 1.58989859004343e-08
"Rv0084" 1.34406252580724 1.5544429032407 6.89009034716823e-11 5.09630382546156e-14
"Rv0085" 1.17256426445401 0.872930019352325 1.49372202230681e-05 0.00125598058303842
