"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.391723708686445 -0.688538358535734 0.00417971604947998 2.22822168572627e-07
"Rv0003" -1.45587337196118 -1.62018402959542 1.34767635838841e-20 1.31636790731754e-35
"Rv0004" -1.78617718439554 -1.82836439620072 9.10356864531904e-28 1.30757952821951e-53
"Rv0005" 0.384229620340639 0.909144854684679 0.00162606440461117 2.32828717694069e-14
"Rv0007" -1.55866428507523 -0.871580747786778 2.95086432810712e-29 8.88126951294266e-12
"Rv0008c" 1.0498443968124 0.34537575030009 1.05883176921981e-08 0.0317003761897274
"Rv0009" -0.386812238435596 -0.642114634711058 0.0189674003851214 5.38137323217344e-05
"Rv0012" 1.49140568316135 0.94530626956454 6.478516289542e-29 2.94169171156284e-13
"Rv0014c" -1.16918686042915 -1.38521421302553 1.85005520391206e-20 6.85379937466419e-31
"Rv0015c" -0.753453389351966 -1.31122543263481 2.19509671309431e-06 1.57941197497274e-17
"Rv0016c" -0.955664789967175 -1.08753805927245 1.15680246514061e-19 2.33335214661199e-29
"Rv0017c" -0.806879746145413 -0.711352648777438 5.42925642542722e-10 5.11341444290286e-09
"Rv0019c" 0.410246343361583 0.536774071914854 0.00551483165190112 0.000175430912231454
"Rv0021c" 1.18768471163756 0.860239451246704 5.55420822865567e-19 1.1329136213271e-12
"Rv0023" -0.973281227252911 -0.664820885039148 1.27023802077534e-06 0.000283373071340129
"Rv0024" -0.43812689828058 -0.539332543718673 0.0102330891874921 0.000462543188726806
"Rv0026" 0.633318563691797 0.687770942502979 6.91779451154281e-07 4.83190466860595e-09
"Rv0027" 0.371197444601916 0.617456531147559 0.0354984267792204 9.72948818921552e-06
"Rv0028" 0.580908417195557 0.928147591911654 0.000441184783610544 9.26951737682913e-12
"Rv0029" 0.891479390407321 0.709718760907187 1.09388898203217e-20 2.3266383266812e-19
"Rv0030" 1.50306319772965 1.16035412092279 7.27404299189897e-16 2.24974792063133e-15
"Rv0032" -0.908717661249929 -1.08060083856073 4.21054103070598e-06 1.34636886694558e-15
"Rv0035" -0.598854624720404 -1.04189633720722 0.00145045233482063 7.93019389579031e-11
"Rv0036c" -0.528338882454274 -0.604069676448999 8.4343793016259e-06 4.20414705833726e-10
"Rv0037c" 0.56609661418811 0.766866211608613 8.70186334912197e-05 1.48190846623232e-08
"Rv0038" 0.718727675542679 1.23110348706876 2.00673362864451e-09 2.62832917865471e-27
"Rv0040c" -1.41280759887585 -2.56560376045192 2.32831519721308e-16 1.0138033074319e-57
"Rv0041" -0.257353959680943 -0.564310462154716 0.0261057612409 1.51117546833961e-07
"Rv0042c" -1.3766993945013 -2.06184520612309 7.74968536406366e-16 2.48332869281822e-43
"Rv0043c" -0.629332370476043 -0.725041977943228 1.74909246773536e-05 2.12701547920421e-10
"Rv0044c" -0.807144722083526 -0.36820087879998 9.25766498475722e-08 0.0016996190732921
"Rv0045c" 1.7266253380323 0.671264263780733 3.80525699723109e-24 6.03994624764792e-05
"Rv0046c" 2.78821613035479 1.87845647172189 1.44530672361906e-69 9.59770947024537e-33
"Rv0047c" 2.99837903202769 1.59574058719112 2.5337583931158e-34 5.21707424242008e-11
"Rv0048c" 2.33721776254868 1.65650260726362 5.06463392673523e-92 5.28676699559751e-50
"Rv0050" -1.15242525977657 -0.227204671941757 1.85074447323083e-23 0.0454479020646439
"Rv0051" -1.78309729077485 -0.881569953755829 1.10731006446236e-48 1.27408066894001e-22
"Rv0052" -1.32995188859261 -1.07701117119549 2.65434143028933e-14 4.64970151829577e-19
"Rv0053" 1.09814743257046 0.830639297549827 1.88187815706705e-11 9.07086173141378e-08
"Rv0055" -0.763693784833383 -0.74471319749923 1.33830091700657e-05 4.10555305707945e-08
"Rv0056" -1.08978583415772 -0.768824920821588 7.53523897863755e-15 1.81897198519771e-10
"Rv0057" -1.52665547498669 -0.885601679632036 3.80053283785931e-25 2.66475293760443e-16
"Rv0058" -2.29826406246959 -2.17792513234185 3.54793831234906e-28 4.47362346389842e-27
"Rv0059" -2.24444657279184 -1.84221413984868 5.20108697865721e-19 1.78666433511617e-18
"Rv0062" -1.73619954821878 -2.76684705899414 9.98693324177443e-17 3.07932659330159e-61
"Rv0063" -1.06675274129812 -2.37056017240889 2.20845109679627e-10 2.95493375999644e-61
"Rv0063a" 0.687334984156568 2.36364088655084 0.000323301026291195 1.46006188673638e-45
"Rv0064" 1.7414342798221 2.67096796544496 1.46540889040679e-26 4.84465402703844e-61
"Rv0064A" 1.67994678051347 3.40515581729524 1.38971203313537e-12 3.09613715820929e-61
"Rv0065" 1.09577695626265 1.81165946882424 3.03585137940424e-09 2.50396780686739e-27
"Rv0069c" -0.461513463253699 0.198365830358446 0.000191909325205067 0.0472051475030701
"Rv0072" -0.96095360000564 -1.42355751676777 2.39521914757271e-13 6.27737825187964e-30
"Rv0073" -1.75227211219523 -1.643550334323 2.35716827032568e-52 2.30767965219781e-58
"Rv0074" -2.19989684786072 -2.02480352011372 2.13786006730691e-39 4.38918117748679e-41
"Rv0075" -1.47958960432335 -1.07382704524097 2.74873152917217e-30 6.77918686715101e-23
"Rv0077c" 0.927834724062758 0.89916059228066 8.55673846265945e-06 9.49535041628946e-08
"Rv0078" 1.36478530274775 1.24749997549397 7.94217268520617e-14 3.08108142074234e-15
"Rv0078A" 1.3692518461733 2.06683574931529 2.52474115579082e-18 8.61785165138353e-42
"Rv0078B" 0.740663191804173 2.53120488929087 0.000300411448647405 7.54685667216644e-43
