"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.391723708686445 0.860185172321344 0.00417971604947998 6.18245440816238e-11
"Rv0003" -1.45587337196118 -0.534811667850482 1.34767635838841e-20 1.93878048230645e-05
"Rv0004" -1.78617718439554 -0.860801011717613 9.10356864531904e-28 7.09841685213281e-14
"Rv0005" 0.384229620340639 0.317903213541431 0.00162606440461117 0.00900940632301889
"Rv0007" -1.55866428507523 -0.48048722532297 2.95086432810712e-29 0.000187580783379392
"Rv0009" -0.386812238435596 1.01739550013485 0.0189674003851214 1.34107677871754e-10
"Rv0014c" -1.16918686042915 -1.67297547451668 1.85005520391206e-20 6.01493230357865e-44
"Rv0015c" -0.753453389351966 -2.36722171850814 2.19509671309431e-06 5.63126296129537e-52
"Rv0016c" -0.955664789967175 -1.55524277165982 1.15680246514061e-19 4.68309386384001e-58
"Rv0017c" -0.806879746145413 -1.00991260818243 5.42925642542722e-10 9.2926533251926e-17
"Rv0019c" 0.410246343361583 -1.56433189731513 0.00551483165190112 3.9415133113393e-27
"Rv0020c" 0.411250361592544 -1.07452571414892 0.00596360440098355 1.85881359319175e-13
"Rv0023" -0.973281227252911 -3.0680613537156 1.27023802077534e-06 6.25993360497253e-50
"Rv0024" -0.43812689828058 -3.19951889081082 0.0102330891874921 2.40968652791317e-69
"Rv0026" 0.633318563691797 -0.539056744768857 6.91779451154281e-07 8.8597849598659e-06
"Rv0027" 0.371197444601916 1.17754109543775 0.0354984267792204 5.22414568831045e-19
"Rv0028" 0.580908417195557 1.16220596502919 0.000441184783610544 3.6454974822569e-18
"Rv0029" 0.891479390407321 0.975582068465596 1.09388898203217e-20 1.39153536227813e-31
"Rv0030" 1.50306319772965 1.47451345320337 7.27404299189897e-16 1.50153270201417e-20
"Rv0032" -0.908717661249929 -0.422612466722115 4.21054103070598e-06 0.00504574010210958
"Rv0036c" -0.528338882454274 -0.217832900963844 8.4343793016259e-06 0.0348345109224227
"Rv0037c" 0.56609661418811 0.713342241101785 8.70186334912197e-05 2.89827556471872e-07
"Rv0040c" -1.41280759887585 -0.838152349441776 2.32831519721308e-16 1.18945100076872e-07
"Rv0042c" -1.3766993945013 -0.811280298578963 7.74968536406366e-16 2.17239768864259e-08
"Rv0043c" -0.629332370476043 0.27360388800295 1.74909246773536e-05 0.0161650129282196
"Rv0045c" 1.7266253380323 1.09197055680788 3.80525699723109e-24 8.82110997602459e-11
"Rv0046c" 2.78821613035479 2.54455457222597 1.44530672361906e-69 1.56363663246145e-58
"Rv0047c" 2.99837903202769 0.9508958648528 2.5337583931158e-34 9.4320844140804e-05
"Rv0048c" 2.33721776254868 1.1099101196055 5.06463392673523e-92 1.00441491127927e-21
"Rv0051" -1.78309729077485 -0.838824859670898 1.10731006446236e-48 9.93943251331996e-20
"Rv0052" -1.32995188859261 -0.482815260932472 2.65434143028933e-14 7.51432865365354e-05
"Rv0053" 1.09814743257046 2.54175981929072 1.88187815706705e-11 5.98508110326354e-58
"Rv0055" -0.763693784833383 0.896699573115001 1.33830091700657e-05 4.94678725993785e-11
"Rv0056" -1.08978583415772 1.09386084281158 7.53523897863755e-15 5.48244335250901e-20
"Rv0057" -1.52665547498669 -0.607800145008816 3.80053283785931e-25 4.5479657947824e-08
"Rv0059" -2.24444657279184 -0.584842243155343 5.20108697865721e-19 0.00471973127072212
"Rv0060" -0.434004126654551 0.330477649712746 0.0013284642242553 0.00945423616783703
"Rv0061c" 0.392060336002656 2.06442485910803 0.00609809204421834 5.99332360223382e-52
"Rv0062" -1.73619954821878 -0.61472499695482 9.98693324177443e-17 0.000816838092467613
"Rv0063a" 0.687334984156568 0.411985738135355 0.000323301026291195 0.0212485248634038
"Rv0064" 1.7414342798221 1.58041608053488 1.46540889040679e-26 1.76728041547244e-22
"Rv0064A" 1.67994678051347 1.75807017937725 1.38971203313537e-12 1.04424879047367e-17
"Rv0065" 1.09577695626265 1.08512230471355 3.03585137940424e-09 2.29269601014666e-10
"Rv0067c" 0.402674722030469 -0.728102801915178 0.0235240541954291 3.27367558339135e-06
"Rv0069c" -0.461513463253699 0.57818418146024 0.000191909325205067 2.965498630933e-08
"Rv0072" -0.96095360000564 -0.746654179243535 2.39521914757271e-13 1.76575334440363e-09
"Rv0073" -1.75227211219523 -1.10770301704901 2.35716827032568e-52 1.61250217173816e-29
"Rv0074" -2.19989684786072 -1.2909108391139 2.13786006730691e-39 2.62754911509158e-18
"Rv0075" -1.47958960432335 -0.602430631493415 2.74873152917217e-30 1.58895877121957e-08
"Rv0077c" 0.927834724062758 1.59542790342133 8.55673846265945e-06 7.51413089644378e-22
"Rv0078A" 1.3692518461733 1.00325717049551 2.52474115579082e-18 7.74589793670023e-11
"Rv0078B" 0.740663191804173 0.712925117321847 0.000300411448647405 0.000210427247295675
"Rv0079" 3.2576696524175 1.96327297039071 1.86992201705394e-09 9.99870151184744e-05
"Rv0080" 3.79163375076915 2.61042033780126 1.18693691567328e-18 3.38194902245311e-10
"Rv0081" 2.69063862359378 2.15761027605497 5.12921824367942e-34 3.42111166702273e-21
"Rv0082" 2.5271206355591 1.81699038204337 8.59600217607691e-33 1.04711544723729e-16
"Rv0083" 2.01378609865504 1.04884035976353 5.9103047735002e-17 1.37908326500056e-05
"Rv0084" 1.80927469411804 1.23794168126405 3.14491695433679e-18 2.23536874130762e-09
"Rv0085" 1.52281990960373 0.7225874175798 2.57391493876394e-08 0.00794197200053351
"Rv0086" 1.25707288593534 0.522054526942214 1.93013567184021e-08 0.0201145531154968
"Rv0087" 1.11829628161412 1.03635100334585 1.00247954736229e-07 2.85294585896372e-07
"Rv0088" 0.526299129525964 2.44669391534532 0.0165929022981193 4.97789985809584e-31
"Rv0089" 1.66380566893758 2.59018836423827 5.24832090191199e-19 6.07190824906828e-51
"Rv0090" 1.21276868245474 2.31560518474616 2.78389453831766e-06 6.44179480748444e-30
"Rv0096" -1.09054210423195 -0.692312137070267 0.0111098342867224 0.0408897598232597
"Rv0100" 2.26379103907549 1.47716298070077 6.59514891264989e-18 8.37613094529022e-10
"Rv0102" -0.897647394830362 -0.833490855716926 1.64074970196015e-11 5.77256248505293e-11
"Rv0104" 0.296555606470346 1.34776090226124 0.0498162662940283 1.16674601342169e-26
"Rv0108c" 1.03048738420661 2.67352020902222 9.08780202139289e-10 1.2557302449203e-58
"Rv0110" -1.43245784658369 -0.899172060165952 9.46864536244559e-15 1.45393611251824e-11
"Rv0111" -2.08426021719369 -0.264910673798806 1.12172483960598e-35 0.0247841110266378
"Rv0112" 1.01384361675839 0.44526752019528 1.36408684434977e-07 0.0196480822616925
"Rv0115a" 2.31819141452322 3.97289071074594 1.19152031367809e-16 2.14013815949097e-51
"Rv0116c" 3.82031878621732 2.53384686493761 1.22097992436146e-99 3.44704329912957e-45
"Rv0118c" -1.4910741685102 -0.683731634829101 4.83137386859216e-14 8.01926163734487e-05
"Rv0119" -0.973527021475873 1.56907535787773 2.17430571351902e-07 2.06337425976464e-29
"Rv0120c" 0.344952288528848 2.1483734055184 0.008539268765546 1.14766187197722e-72
"Rv0122" 2.12499086790602 1.2017152068835 1.04061326605893e-12 9.07151875622026e-06
"Rv0125" 0.243698009184352 0.222863030086003 0.0185837578693288 0.0247644427004248
"Rv0129c" -1.28938275849625 1.33330502578333 4.27143200678329e-12 1.94107165873841e-13
"Rv0130" -0.654425787167477 0.707957607399067 0.0197756233648723 0.00114864915382328
"Rv0131c" 0.302430290758271 1.47093068905872 0.0438689317287536 5.27395107155532e-32
"Rv0133" -1.94956913353223 -1.62696694626375 1.174555344529e-29 3.6551809173028e-33
"Rv0134" 0.418343822564555 -1.34875658086095 2.29503928270656e-06 4.11011379784243e-53
"Rv0135c" 2.19436231842743 0.841188262760094 5.51616425040403e-93 3.02501643754978e-15
"Rv0136" 2.75514596364283 2.32637827859135 4.14406000119403e-110 1.32380358003648e-82
"Rv0137c" 1.42472096125341 2.48406387176293 6.54423278265448e-23 1.43552283877671e-75
"Rv0139" -1.36634398423455 -1.16881089413106 5.62865831077279e-25 1.68557654094565e-27
"Rv0141c" 1.17738311159254 0.581205120801414 2.88623186874683e-10 0.000887835784728538
"Rv0143c" -0.289135387088131 -0.694235017991025 0.0102732223830379 1.97671448162148e-11
"Rv0144" 1.60459208684358 1.6638651004399 8.05900456172258e-41 4.40900691839193e-45
"Rv0146" 1.2624347428262 -0.46471225409864 4.24702661404109e-08 0.0444496519250128
"Rv0148" 0.666277767040423 0.953049639683594 6.61531896073055e-07 8.21003624266953e-14
"Rv0149" 0.346534290808907 0.949071992051796 0.0405623389288837 2.04378947290896e-09
"Rv0150c" 0.861198718741239 1.06999299984117 0.000144170637575849 1.56806854247371e-08
"Rv0155" -2.74841187245569 -2.4485789822867 1.03787563143918e-35 3.47442691430091e-65
"Rv0156" -2.38448597432847 -1.21401442547131 1.3672472336238e-16 9.06810386921894e-10
"Rv0157" -2.43610754453162 -1.522638063948 9.10987710768048e-131 3.09440260070473e-86
"Rv0157A" 1.33953635114988 1.63481284807312 7.59887094445403e-10 1.78361421964829e-19
"Rv0158" -1.75139804100744 -1.47671755313807 1.36521087007354e-13 5.74823494873336e-13
"Rv0159c" -0.917488122599892 -0.586134704174071 4.96133318161582e-08 8.30478253480974e-05
"Rv0165c" 0.590344330073308 1.12167956704154 2.78805422581996e-05 1.56539285068886e-17
"Rv0167" -1.41507423491807 0.866226843190599 8.37763261780143e-13 6.47179235890877e-06
"Rv0169" -1.86487016514576 0.450537373957026 4.15631884954293e-20 0.0244703856860832
"Rv0170" -1.53878838944554 0.400821256987158 6.26080103305253e-19 0.0172634871538799
"Rv0176" -1.92130694396188 -0.878896355238999 5.88341500906286e-55 3.28576981963298e-16
"Rv0177" -1.55052137266322 -0.288833142530722 2.01786335561153e-42 0.00364386087395639
"Rv0179c" -1.4797773132532 -0.469893930424263 1.62290568240476e-25 0.000355341772679121
"Rv0180c" -0.578033985635615 -0.282938418572926 7.17810570320579e-07 0.0039144543582673
"Rv0183" -1.35420935582062 -1.46374601104449 7.8137018696612e-24 1.55833643635618e-41
"Rv0184" -2.67923904982715 -2.9903876411072 6.72441435130061e-38 3.14096762349849e-64
"Rv0185" -2.62281862033884 -2.88778399905681 1.14533626768582e-29 2.59999680634679e-68
"Rv0186" -0.615696276963347 -0.731012455170922 0.00345245055824384 0.000396640832129289
"Rv0186A" 2.48673432389028 0.853445220752122 2.70400655893657e-33 2.25316504335979e-05
"Rv0188" 4.89288963975819 3.66778086260533 1.35223466388204e-125 3.5037311762502e-72
"Rv0189c" 2.12259058566192 0.591592932583092 5.49149679920661e-61 5.31810460670965e-06
"Rv0190" 0.76003137795478 -0.357227391417454 9.99752251755331e-08 0.00923064903897806
"Rv0191" -0.489871686488916 -0.852301874112651 0.000703260181369307 4.27726492795082e-12
"Rv0192" -0.519518527836757 -0.682422669560292 1.25189131279866e-05 1.22175985293528e-11
"Rv0195" 2.23559851560068 0.974271950440672 4.94269462530855e-08 0.0142824081917658
"Rv0198c" -0.301472070275178 0.452717054047321 0.00122491668401491 1.41611063472913e-07
