"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.288810659425587 -0.381979217111672 0.0365903192388093 0.00427003282087775
"Rv0003" -1.60706080418984 -1.83125476974008 5.92404048019253e-20 2.24877734161812e-43
"Rv0004" -1.77027736738823 -2.15156229934498 3.06010647275167e-22 2.11347563821058e-68
"Rv0006" -1.07881201043459 -0.374240378803868 3.00387965684433e-39 2.27644870326259e-06
"Rv0007" -1.78754412386171 -1.11366462536149 3.20695406027317e-33 3.24737008683821e-18
"Rv0008c" 1.16589770007099 0.779171644961282 2.83040203238299e-09 6.56965346721978e-07
"Rv0009" -1.86719546247268 -2.39087346715209 1.7422897246794e-26 2.32028111087311e-50
"Rv0010c" -1.0733005684996 -1.48450510499422 8.73104721035948e-13 4.02781179431995e-30
"Rv0013" -0.294127179402875 -0.88435489133523 0.026548014087097 6.94464230604931e-17
"Rv0014c" -1.87085990547866 -2.31044507588673 3.66365781994348e-42 1.2955292901873e-79
"Rv0015c" -1.68434314140511 -1.90829320862589 3.28938066044082e-23 7.82168082426925e-35
"Rv0016c" -1.38947513673933 -1.77100545033393 3.30509099059356e-33 4.32572686058709e-72
"Rv0017c" -1.57934315435827 -1.85158553464352 4.11999001876802e-28 4.30722784404302e-50
"Rv0018c" -1.17663427319206 -1.26764718236173 6.15653201839816e-19 8.26437054073108e-26
"Rv0019c" -0.848697482965683 -0.890239131564838 8.35107593379287e-08 8.88268438804372e-10
"Rv0020c" -0.457294199933889 -0.675924266528557 0.00230804974491391 4.08959784220022e-06
"Rv0021c" 1.46397276868166 1.38564360120172 2.75513518618824e-27 3.13927658022838e-31
"Rv0023" -2.20483845857638 -1.47165029376214 3.84388363614651e-17 8.61278646781374e-15
"Rv0024" -0.78490290746019 -1.67687737912468 2.20599891654837e-05 2.39905840112153e-25
"Rv0026" 0.396847221826735 0.340839653756194 0.00351297078525749 0.00434555788616217
"Rv0030" 1.53112222166749 0.710838863051319 1.53692933128976e-14 3.18715532991183e-06
"Rv0035" -0.990386374233044 -1.06558746127544 3.05147157629195e-06 3.06451106295932e-11
"Rv0036c" -0.835716387479361 -0.976058007989256 7.02534823662753e-10 4.12107619907084e-23
"Rv0038" 1.02741608761048 1.16464733828756 1.15462025320191e-17 1.43466017098773e-24
"Rv0040c" -1.25085134830946 -1.85027484814996 3.69728438254464e-12 1.47558151199604e-31
"Rv0041" -0.382492733560443 -1.09421864263606 0.00137642135632041 2.94317118920236e-24
"Rv0042c" -1.66169265461549 -2.07298728062109 2.94910819422774e-18 1.19086518508259e-43
"Rv0043c" -1.0128132194439 -0.591266717469931 1.62008605595278e-08 1.93620381643086e-07
"Rv0045c" 1.37688294585283 1.48993099548234 5.56219424351868e-15 1.85070389208523e-19
"Rv0046c" 3.00832528248132 2.67814885388205 1.95744605957331e-80 1.00757972251447e-64
"Rv0047c" 2.96635689488388 2.44278363768081 3.26286684613502e-33 1.5961078929083e-23
"Rv0048c" 2.66763732816365 2.0915054115889 4.90993253021929e-118 1.80708134207046e-79
"Rv0049" 0.888269613281287 0.744386459772868 1.09160376356185e-16 3.58491480434051e-15
"Rv0051" -1.2959275681629 -0.947067093483788 1.27785135936659e-25 1.31401444827186e-25
"Rv0052" -0.932134834285459 -1.20969410715758 1.23816433438731e-07 5.07948711667523e-23
"Rv0053" 0.690348350605164 0.788881566251832 7.8134591086054e-05 4.20869988246318e-07
"Rv0055" -0.865574914531816 1.48935033527761 1.84806447757974e-05 4.62285884437118e-32
"Rv0056" -0.948420936647424 1.09682406526154 3.6505530806323e-10 3.40169868756243e-21
"Rv0057" -1.47430064406799 0.768982486692341 3.84783051077009e-19 3.82847237488825e-14
"Rv0059" -1.5711702534718 -1.03096604651162 1.44356627089025e-10 6.62248199206398e-07
"Rv0062" -1.17249658583766 -2.5691969812865 5.6939584765193e-08 5.24305911613882e-52
"Rv0063" -0.770935765958114 -2.60073683884387 1.3264952073223e-05 2.40793287977321e-69
"Rv0063a" 1.36314362388193 1.78626259301648 1.03511925177403e-13 1.05686827624079e-25
"Rv0064" 2.72304144690811 2.23469988233741 8.24065836374952e-63 3.60480147058461e-43
"Rv0064A" 3.37369922639719 3.08104757996509 2.58709081786231e-53 2.95652288211069e-51
"Rv0065" 2.16757860026778 2.03791478020916 2.20791623398116e-34 4.6312349379119e-34
"Rv0066c" -0.917036905368441 -0.814885325690599 2.93083608160808e-09 2.57639397218242e-08
"Rv0069c" -0.834404976225257 0.211792650816183 3.94265378275345e-09 0.033516053548369
"Rv0070c" -0.446228024007375 0.351380771700807 0.00249518433116224 0.000757397070924628
"Rv0071" 0.50849305597881 0.593944493576529 0.0258491340812968 8.45057139571104e-05
"Rv0072" -1.64729836906777 -1.84320267700285 2.51841286794466e-31 2.6045831221775e-48
"Rv0073" -2.42668465902187 -2.21550971199746 8.25821591212679e-69 1.65470553555681e-97
"Rv0074" -2.88811032562053 -2.36074458947479 1.75584669311556e-49 5.61044980059451e-54
"Rv0075" -1.93227555138997 -1.37464158940595 3.69176627295945e-38 4.34052348112954e-36
"Rv0077c" 0.554814201515671 0.913915958821583 0.0255057365494773 6.00660824488514e-08
"Rv0078" 0.647391986604318 1.4156147249051 0.00186390021704272 3.6452243511278e-19
"Rv0078A" 1.16622657086749 1.94425450278189 2.4425406919504e-13 3.62252724968468e-37
"Rv0078B" 0.705128227424771 2.25691282486867 0.000955952951779268 3.18440222469066e-34
"Rv0079" 4.85072025887604 3.26817685364654 9.37747139562214e-17 3.17825728314415e-09
"Rv0080" 4.40454899233005 3.7408470038768 9.16840934187986e-24 3.15579803739528e-18
"Rv0081" 3.24010209232742 3.35739270575351 4.0077489671302e-48 8.92648856010345e-53
"Rv0082" 3.55916335362368 3.05123022347827 3.97144256505984e-63 3.74948996247181e-47
"Rv0083" 3.0410043059593 2.67817820735293 2.5864954991321e-36 7.27388146631129e-29
