"LogFC1" "LogFC2" "BH1" "BH2"
"Rv0001" 0.288810659425587 1.12740611967338 0.0365903192388093 7.95041810874241e-18
"Rv0003" -1.60706080418984 -0.627714516875253 5.92404048019253e-20 4.7853839964105e-07
"Rv0004" -1.77027736738823 -1.18514897727249 3.06010647275167e-22 8.41145055552884e-25
"Rv0007" -1.78754412386171 -0.768737542702462 3.20695406027317e-33 1.78327596350976e-09
"Rv0010c" -1.0733005684996 -0.465044840148602 8.73104721035948e-13 0.000418076970429739
"Rv0012" 0.474324293359012 -0.284852339530791 0.00105958208368032 0.0395328747438711
"Rv0013" -0.294127179402875 -0.230217605551524 0.026548014087097 0.0318491961874711
"Rv0014c" -1.87085990547866 -1.64584503651303 3.66365781994348e-42 2.7818932521614e-42
"Rv0015c" -1.68434314140511 -2.19490290367219 3.28938066044082e-23 1.0665484735381e-44
"Rv0016c" -1.38947513673933 -1.43170856872414 3.30509099059356e-33 3.61966620012113e-49
"Rv0017c" -1.57934315435827 -1.05013890241456 4.11999001876802e-28 8.23486431305411e-18
"Rv0018c" -1.17663427319206 -1.81917582607774 6.15653201839816e-19 8.82562454049482e-51
"Rv0019c" -0.848697482965683 -1.55348045329115 8.35107593379287e-08 1.06153965245588e-26
"Rv0020c" -0.457294199933889 -1.03335027915529 0.00230804974491391 1.56086582935993e-12
"Rv0023" -2.20483845857638 -3.48475214113411 3.84388363614651e-17 2.04312502045602e-56
"Rv0024" -0.78490290746019 -3.06979304263628 2.20599891654837e-05 1.2191729719992e-64
"Rv0026" 0.396847221826735 -0.356749749317301 0.00351297078525749 0.00337910310366887
"Rv0028" 0.511781352564347 1.26301599572946 0.00425920664538423 3.91715875086547e-21
"Rv0029" 0.298119858903378 0.99127806247936 0.0111491374847477 8.8179061070417e-33
"Rv0030" 1.53112222166749 1.12010756855872 1.53692933128976e-14 3.90219651109342e-12
"Rv0040c" -1.25085134830946 -0.781681672143106 3.69728438254464e-12 9.26877921135816e-07
"Rv0042c" -1.66169265461549 -0.702040152920129 2.94910819422774e-18 1.27263015570842e-06
"Rv0045c" 1.37688294585283 1.13095014966431 5.56219424351868e-15 1.97221757317898e-11
"Rv0046c" 3.00832528248132 2.85826116892698 1.95744605957331e-80 4.05066536751972e-73
"Rv0047c" 2.96635689488388 1.15262985522855 3.26286684613502e-33 2.18585558247143e-06
"Rv0048c" 2.66763732816365 0.950642867987856 4.90993253021929e-118 4.34587755526321e-16
"Rv0051" -1.2959275681629 -0.879330121144738 1.27785135936659e-25 3.53094725765182e-21
"Rv0052" -0.932134834285459 -0.648931198374896 1.23816433438731e-07 1.56485414109792e-07
"Rv0053" 0.690348350605164 2.38773008639489 7.8134591086054e-05 6.77959939952368e-51
"Rv0055" -0.865574914531816 1.04512870016542 1.84806447757974e-05 1.65018940318657e-14
"Rv0056" -0.948420936647424 1.0368436366557 3.6505530806323e-10 5.24351039036664e-18
"Rv0057" -1.47430064406799 -0.565336316268397 3.84783051077009e-19 3.98445787339529e-07
"Rv0058" -1.36948592385638 -0.468548587472686 5.28959938205121e-11 0.0218609654855661
"Rv0059" -1.5711702534718 -0.686240785419973 1.44356627089025e-10 0.000924574685281791
"Rv0062" -1.17249658583766 -1.00951414109247 5.6939584765193e-08 6.35683217730687e-08
"Rv0064" 2.72304144690811 1.45756163683899 8.24065836374952e-63 2.56261314027474e-19
"Rv0064A" 3.37369922639719 1.70164274179557 2.58709081786231e-53 2.27993343547914e-16
"Rv0065" 2.16757860026778 0.949817517523274 2.20791623398116e-34 3.66625229408424e-08
"Rv0069c" -0.834404976225257 0.674814354619085 3.94265378275345e-09 1.42368006995812e-10
"Rv0070c" -0.446228024007375 1.45458285145215 0.00249518433116224 1.20465674470451e-41
"Rv0071" 0.50849305597881 0.573404075008458 0.0258491340812968 0.000705486817498415
"Rv0072" -1.64729836906777 -0.606450121754617 2.51841286794466e-31 1.08066334232058e-06
"Rv0073" -2.42668465902187 -1.01703664331527 8.25821591212679e-69 2.90102444156328e-25
"Rv0074" -2.88811032562053 -1.28883100873756 1.75584669311556e-49 2.62175235914905e-18
"Rv0075" -1.93227555138997 -0.555874701034959 3.69176627295945e-38 2.02633558986963e-07
"Rv0076c" -1.30430777784042 0.335972010864234 3.69874223424828e-06 0.0183313078190112
"Rv0077c" 0.554814201515671 1.07509910348757 0.0255057365494773 3.70673134285473e-10
"Rv0078A" 1.16622657086749 0.954338286962471 2.4425406919504e-13 6.33516153063835e-10
"Rv0078B" 0.705128227424771 0.422844500262107 0.000955952951779268 0.0266797569780619
"Rv0079" 4.85072025887604 2.12461971329136 9.37747139562214e-17 3.97549688076958e-05
"Rv0080" 4.40454899233005 2.92726807176815 9.16840934187986e-24 5.0413991061338e-12
"Rv0081" 3.24010209232742 2.72386481896962 4.0077489671302e-48 4.38098743658062e-33
"Rv0082" 3.55916335362368 2.0296157777473 3.97144256505984e-63 8.51826155222691e-21
"Rv0083" 3.0410043059593 1.35849384274925 2.5864954991321e-36 1.58989859004343e-08
"Rv0084" 2.80185825313695 1.5544429032407 1.51769335165274e-41 5.09630382546156e-14
"Rv0085" 2.56038489187884 0.872930019352325 7.42863788688615e-21 0.00125598058303842
"Rv0086" 2.31244337996563 1.01140502020186 3.24407871899326e-25 4.67742687964844e-06
"Rv0087" 1.98461811635267 1.50584662418412 1.06847595948542e-21 6.6782984828864e-14
"Rv0088" 0.795114997973234 2.30131934068435 0.00030628910931077 1.2970880886071e-27
"Rv0089" 1.89120500915507 2.23072132325564 5.86420420217904e-23 2.98383343725702e-38
"Rv0090" 1.63977536813933 1.71462773500266 2.59600948398168e-10 1.7334890664866e-17
"Rv0094c" 0.966708745453667 0.660014825133007 7.31719235434768e-11 3.74573427520955e-07
"Rv0096" -1.38945781441828 -1.05907272202553 0.0122629880394202 0.00283315145996059
"Rv0100" 1.43405799105732 1.14657163492633 5.39554156425004e-06 6.09399740382997e-06
"Rv0102" -1.63920477725372 -0.714923228661925 3.2268317089692e-30 2.02304153296474e-08
"Rv0104" 0.314128157401211 1.25465047970042 0.0492726066521476 1.73773012357452e-23
"Rv0107c" -0.425922032401544 0.508489561370291 0.00730193467393565 0.000894929851697711
"Rv0108c" 0.997444677518341 2.80457006395325 4.97959684235078e-09 3.57243356325453e-64
"Rv0109" -0.662402450360673 -0.782634584247139 0.0224638949539982 0.00041061437115174
"Rv0110" -2.01403372676391 -1.01079122203143 7.38566994459673e-17 3.71309608421086e-14
"Rv0111" -2.13078718155389 -0.343675841193328 2.13961188192088e-28 0.0036427891273419
"Rv0112" 1.8661232323974 0.51448218464936 1.21250810060466e-22 0.00663468074999343
"Rv0113" 0.827256811155278 0.67557503463441 3.12578305360772e-05 0.000214655479011952
"Rv0115a" 4.11385886367595 3.8804356391292 2.08393862669376e-54 2.44765145550488e-50
"Rv0116c" 3.67524994378194 2.5506637717385 9.65730246492356e-92 1.57167875623136e-45
"Rv0117" 0.755993333475836 1.65745457510545 0.00100648863994998 4.76557173818972e-16
"Rv0119" -0.919771305826819 1.91344362917922 1.08078219053764e-05 3.79249851998552e-43
"Rv0122" 3.35108858913082 0.753754864249667 2.35944867706657e-30 0.00910521188310197
"Rv0124" 1.01870531338213 -0.735133976333082 0.0069852880038179 0.0300348376549543
"Rv0125" 0.574926396617557 0.285394923440304 2.69905827126811e-08 0.00372207129802982
"Rv0129c" -1.27247119509557 1.24869181067696 1.85533286592292e-11 6.09022798427575e-12
"Rv0131c" 1.33671042876244 1.63475534146165 4.39494403102937e-22 2.38241730983443e-39
"Rv0132c" 2.29305546531284 1.26560709466324 1.13762717556675e-35 6.42547223714719e-13
"Rv0133" -1.42157978190048 -1.79036460625689 1.71684161977921e-16 8.8055168253071e-40
"Rv0134" 0.649744069040403 -1.43720602904569 3.74900556248463e-13 1.45812078709369e-60
"Rv0135c" 3.19053321822052 0.953828736779861 6.90272758818042e-200 3.64578912301022e-19
"Rv0136" 3.88778396726983 2.83926444417125 2.76498528019124e-224 9.88477838184862e-123
"Rv0137c" 2.0654966568921 2.5996420780065 6.40990934550681e-47 8.19391909002464e-82
"Rv0139" -1.43045333156333 -1.14619864077193 2.24065461808081e-22 1.45927901419292e-26
"Rv0141c" 1.97144170510469 0.647144936295074 5.7182120105476e-28 0.000211389336962189
"Rv0144" 2.15561798021751 1.96520073997226 9.36591600165165e-73 2.4699142368387e-62
"Rv0145" 1.66497167070969 0.380441926318569 2.88474639971921e-24 0.0216870030836803
"Rv0147" 0.745873107918666 0.283435427090271 2.0254874654973e-08 0.0309927809090786
"Rv0148" 0.802178988658107 0.813268450002853 3.13284375829411e-09 1.96850975038966e-10
"Rv0150c" 0.635362394751991 1.00719076047458 0.0115150904934365 1.12057559440222e-07
"Rv0153c" -0.452254404166263 0.407240300719399 0.00164990424440246 9.21033523189367e-05
"Rv0155" -2.27736966439607 -2.50629526205183 3.47846512407998e-24 9.6225852311444e-70
"Rv0156" -2.00116044189003 -1.03698761432193 4.87758958207655e-11 1.94194284679438e-07
"Rv0157" -2.28747193898034 -1.42568122271422 2.47362830771678e-97 4.83449816401096e-76
"Rv0157A" 1.68872715805283 1.89207298328286 3.22494866871791e-14 1.18615310037165e-24
"Rv0158" -1.59983149179582 -1.517999117692 1.50416053317577e-10 1.3772075744926e-13
"Rv0159c" -0.673548773333883 -0.5802453686079 0.000105896489178949 9.24972898944998e-05
"Rv0160c" 1.56160738572119 1.32284540169464 9.90862943918064e-12 1.23052595801638e-12
"Rv0164" -0.725974587013861 0.784457259092494 1.03590186730145e-05 1.88819670781192e-09
"Rv0167" -2.0490699404618 1.14341013595182 1.81387158134661e-23 2.35909017473472e-09
"Rv0168" -2.02978684077699 0.471487231303754 1.19056638579783e-22 0.00870040505262073
"Rv0169" -2.49125678764259 0.630061314425308 3.74598774273614e-32 0.00149189950056843
"Rv0170" -2.37535560400426 0.662595403884081 1.16907075460794e-37 6.72496880086351e-05
"Rv0173" -3.06468583326904 0.417152126189813 3.1899073521993e-42 0.0370300085489835
"Rv0175" -1.44964348270381 -0.252359851246145 1.0527984720846e-40 0.00795655903360119
"Rv0176" -2.67736546539128 -1.02392481049574 7.82694598987378e-76 2.78162026572889e-21
"Rv0177" -2.22727565814998 -0.396009598490222 4.51804680732456e-59 6.58773562117809e-05
"Rv0179c" -0.865893536748206 -0.676020583188203 1.02301981075931e-09 2.8359832467251e-07
"Rv0182c" 0.512083458369479 -1.18526887619936 3.63520086200317e-05 8.51801984093593e-24
"Rv0183" -1.49824404866015 -1.70758724916771 3.10787246625437e-22 5.81034922853864e-53
"Rv0184" -1.98095647229516 -2.89017882869894 2.91612750026828e-21 2.67202755971651e-59
"Rv0185" -2.066853093974 -2.66041293751788 1.53207936318472e-18 3.83376263419157e-59
"Rv0186A" 6.29158062327837 1.79065770696437 3.72949198387496e-221 1.43480177026143e-19
"Rv0187" -0.501733872229372 -0.253440490803431 0.000849846026007019 0.0362756764998041
"Rv0188" 5.3260244089391 3.48444711025047 3.24788594620295e-149 2.74061125144167e-65
"Rv0189c" 2.61545516686006 0.608370659864997 9.82113692148385e-92 2.89084554152526e-06
"Rv0190" 2.86656825875441 -0.391173528115482 1.06819447649602e-106 0.00385177792871879
"Rv0191" 1.12855758405463 -0.723127943170679 2.25381157151069e-18 4.31572322071933e-09
"Rv0192" -0.34314788505461 -0.678130162342203 0.00649845275976964 2.05077028361569e-11
"Rv0194" 0.639657954268512 0.285588914555495 0.000295018863357157 0.047159823262095
"Rv0196" -1.10929335067495 -2.59848535050866 0.0109796921807704 3.96977585071467e-09
"Rv0197" -0.890125425431423 -0.414087898672041 1.33931594589518e-06 0.000651840784701306
"Rv0198c" -0.676733044397153 0.404326941768557 1.07418132453119e-11 2.90160511418116e-06
"Rv0199" -1.22386226808606 -1.10244308528221 1.28657295344435e-09 1.04637463794365e-15
"Rv0200" -1.42561098152198 -1.57536675507089 1.28594964578385e-19 4.47000328452649e-42
"Rv0201c" 0.330058771192519 0.33722103938598 0.0125038285134548 0.00262096890892204
"Rv0203" -2.18814966314369 -1.05046308711622 9.29060986395342e-16 1.29297356574289e-09
"Rv0204c" -0.888339620565662 -0.486607277567309 1.03304203935256e-13 4.67504234059007e-08
"Rv0205" -0.913645117944077 -0.502523610178053 7.23156696201743e-10 3.42907146622116e-06
"Rv0207c" 1.69601204484322 1.3792980839418 3.39736789113487e-63 4.59350477680716e-44
"Rv0208c" 3.4531255597466 1.96118216904748 1.06936161686365e-194 1.33375862453514e-66
"Rv0210" -0.678232422466152 -0.345133606864646 0.00464526538617078 0.0362954944300481
"Rv0211" 2.91168345919769 2.46510512799179 2.36759151680755e-70 2.97868103895324e-51
"Rv0212c" 3.35661595207238 2.30328701344216 2.9933311752638e-156 1.66256305256848e-76
"Rv0213c" 1.09698058039412 2.4289542673728 3.23727183934661e-14 1.41891718591987e-89
"Rv0214" -1.24350457111429 0.494812931652043 2.77344421786439e-08 0.000681960873833065
"Rv0215c" -1.90282338084326 -0.772501002257604 1.46216265479139e-18 1.62942937000227e-08
"Rv0217c" -1.33504800187868 -0.724389741717278 3.28912044343746e-06 4.18578015392371e-05
"Rv0220" -1.72203995614444 -0.90522246941972 2.37711443627929e-38 2.81386150627882e-13
"Rv0221" -2.3247762810669 -1.32110085227599 6.01653430208197e-49 3.0226322438339e-24
"Rv0222" -1.54505905719841 -0.833489461717305 2.07718061351646e-19 1.6456673769191e-09
"Rv0225" -2.63986082581395 -1.71960318626603 2.70283401630708e-44 8.346787635423e-52
"Rv0226c" -2.85418854128074 -1.43929630522561 3.953024110722e-26 5.37516343424351e-22
"Rv0227c" -1.40388484264418 1.23676299996531 2.84814623596514e-18 8.99736709078338e-22
"Rv0229c" 0.913224571225111 -1.10839510376511 1.39880691738798e-07 5.17883018369407e-11
"Rv0230c" 0.707467547674495 2.10797308108312 1.85923034598875e-06 2.78413481380511e-63
"Rv0235c" -2.1689900254649 -1.13427441205723 2.66605772456361e-21 1.19628249040758e-15
"Rv0236A" -1.37924767053032 -0.546897323912561 3.01380434965499e-10 0.000982857128180599
"Rv0236c" -1.91719518439158 -2.83570622618385 2.58052503348632e-20 1.86505023131589e-45
"Rv0237" -2.3547698887317 -1.52191297596155 1.97006087827287e-25 2.71476889196483e-17
"Rv0238" 0.381561838950236 -0.517037363052807 0.00444795310128142 2.94140797226249e-05
"Rv0241c" -1.31595405519761 -1.57558177449204 3.98921788350144e-14 8.19828925238511e-23
"Rv0242c" -1.51775704492696 -2.44539030216302 8.58947915042772e-13 2.52705008135218e-32
"Rv0243" -1.23936770181501 -1.69379387024055 4.3916308396277e-09 2.1392085642612e-16
"Rv0244c" 0.419215802820133 -1.52547182068822 0.0101964026656856 2.83418844951279e-21
"Rv0245" 1.76344159082119 1.65231394816114 4.51206263656256e-34 3.69407855743068e-32
"Rv0246" -0.695626636692452 -0.656330591596166 2.24244082249676e-05 2.08620785974704e-06
"Rv0247c" -1.85540729240335 -0.351590463264979 1.22206268838707e-20 0.0359621012263124
"Rv0248c" -1.88334161621205 -0.708944199137629 2.08560798127973e-36 4.24462232478002e-07
"Rv0249c" -0.98149255041315 -0.52409701810709 4.98079975839616e-13 2.51373494694433e-05
"Rv0250c" 0.738628264297005 0.694891016337492 0.000123562929540517 0.000188865501273739
"Rv0251c" 4.70761506763819 2.9882502772058 6.81711910832405e-84 3.30263091305954e-35
"Rv0252" 2.22549101372187 0.528566875113528 9.50844057240571e-94 8.20980327076962e-07
"Rv0253" 2.36655191377994 0.98274223618422 4.31041326925026e-21 3.63350836942043e-05
"Rv0256c" -0.240114454140072 -0.70102399147732 0.0325753621128092 2.32595272381219e-12
"Rv0257" -0.336925051592912 0.487906263370328 0.0474450456558838 0.00111979469465516
"Rv0258c" 1.87696123598673 0.942736216404497 6.54568207156312e-26 2.19046924852207e-08
"Rv0259c" 1.2319750813842 0.687376227716597 2.43583945930622e-05 0.00280471367103298
"Rv0262c" -0.410970932249083 0.949947699519813 0.0279085854300084 1.5871023217598e-14
"Rv0264c" -0.802405646068939 0.349408282388868 0.00108116853331386 0.01883220857778
"Rv0265c" -1.85134779532916 -2.22688280099479 3.66086888620083e-30 7.15222720113893e-96
"Rv0267" 1.36950854467098 1.34678132075233 1.9452377767212e-19 1.81952525755916e-20
"Rv0268c" 2.74038200706079 2.11470709903753 2.3714018402486e-107 4.25347545065668e-68
"Rv0269c" 0.573186118152156 -0.370393865836491 0.000177330115893371 0.00825491070565078
"Rv0270" 0.542181137159076 0.64731891988517 2.59121848300957e-05 2.94635125166588e-07
"Rv0272c" 1.47072677839577 0.419499772111282 9.49807299440005e-44 4.53396526362565e-05
"Rv0275c" 4.34186015243727 0.559880937413932 9.42657995218444e-143 0.00156318668682463
"Rv0276" 2.8175167940327 0.943268431191077 5.22431061492846e-87 8.27762490688991e-11
"Rv0277A" 1.03808715861047 -0.801841329366789 1.06456892626513e-08 9.25969555119251e-06
"Rv0277c" 2.46739815368556 1.07442813340851 4.51884092685204e-54 7.28876117235062e-12
"Rv0290" -0.492039409802502 0.829032429589544 0.0357956432442947 0.000295538053916941
"Rv0292" 0.478512768090608 1.06242354109839 0.000517513962578232 3.19974536303568e-16
"Rv0293c" 0.548290771584049 0.647744021660694 0.000257227340731452 7.09688667771298e-06
"Rv0294" -0.719629882607674 -0.557355486471833 0.00469175173903682 0.0025405369959335
"Rv0295c" -1.06766055257862 -0.693274786008149 9.44599651139874e-10 5.33262526168377e-07
"Rv0298" 0.742807454932101 -0.482747871919778 1.27510864098657e-06 0.00114380960604435
"Rv0299" 0.351490064236898 -1.41649914786371 0.00912438520678841 2.21490433587109e-27
"Rv0300" 0.685573901857285 -1.23009379311637 4.24578951822262e-10 7.41995677297115e-31
"Rv0301" 0.740140123091305 -1.18411773556814 1.67680653444997e-12 6.52970887938336e-33
"Rv0302" 0.668494654594236 -1.09111390743979 2.18118354007959e-06 3.97593624792485e-16
"Rv0303" -0.527615782605119 -1.41926865716485 0.00331439958519148 3.30634779593854e-20
"Rv0305c" 0.376970336495668 0.803337958350002 0.0141603899360764 1.13788709414333e-09
"Rv0306" 1.69220687125387 0.939322611210278 2.745084096006e-16 2.22688539351086e-07
"Rv0307c" 2.30258748944265 1.04906406867867 1.15162589860817e-23 2.50636779876635e-06
"Rv0309" -0.985090989216496 1.23478516610944 6.31699800998663e-10 1.18186273743735e-21
"Rv0311" 0.981213652228482 1.08240187426001 1.34554168612452e-05 4.31152283325642e-07
"Rv0313" 1.9387809746406 0.520764180562631 8.30118566140018e-47 0.000129660689194051
"Rv0314c" 1.3627724242865 0.607007357456315 6.64225862122114e-38 3.80424684981356e-09
"Rv0317c" -0.558052720609168 -0.726910413853822 0.000142454581841338 4.15852489090185e-09
"Rv0319" -1.78523390779302 -1.21805466800155 1.84355478294661e-10 9.87908476333529e-15
"Rv0320" -1.38717074850097 -1.17235423745974 1.43305596235755e-05 6.80336222051817e-08
"Rv0322" 1.55197391161691 0.863046943122772 6.04635562658426e-14 6.2960146240042e-07
"Rv0323c" 1.27611574367691 0.489071797588042 3.92276779779286e-14 0.000413940385080735
"Rv0324" 1.88917649296872 -1.50054020444162 1.84589800489398e-19 2.53648406759103e-09
"Rv0326" 1.21535440870972 -1.44198576928195 6.75473004827423e-06 1.00053221068692e-08
"Rv0327c" 0.542306403842884 -1.79066415663 0.011827750415545 7.55914811340636e-26
"Rv0328" 1.37914464602476 -0.644240452189603 1.69517857973228e-15 0.000134073132808606
"Rv0329c" 1.14377689248884 -1.5396865707135 2.06718125532039e-06 4.28303948502684e-11
"Rv0332" 0.516046152742219 0.81773173531176 0.000652219478109005 8.14404877022971e-10
"Rv0334" -0.476019605183133 0.795894969471858 0.00763446027882742 1.15436530943477e-11
"Rv0336" 1.4371766580977 -0.533570646207697 1.01461992902499e-28 3.78376544113964e-05
"Rv0337c" -0.540496837837974 -1.241788287694 4.34720364185628e-07 1.90971775676188e-41
"Rv0338c" -2.45309209805014 -2.06849166276589 2.73076322116262e-88 7.62355812391533e-84
"Rv0339c" -0.41220061531721 -0.85581192910345 0.00630307189765949 1.76299385027844e-11
"Rv0340" 2.21101532401241 0.285740329764262 4.16718284935832e-73 0.0175402502986698
"Rv0341" 4.7009168323091 0.926159696307999 4.32141128332634e-36 0.00868103892427483
"Rv0342" 2.70878341386825 1.03780459367894 2.76383056135293e-27 2.6879386401935e-05
"Rv0343" 0.735895729421677 -0.44599307542335 1.8342961493789e-07 0.00114667402174596
"Rv0344c" 0.719213419265463 -0.456784019639121 0.00197279196728521 0.0238781179244649
"Rv0347" 1.07987900609418 0.818484392212672 1.45647340205028e-10 1.52560546589841e-07
"Rv0348" 0.905152369724526 0.868008595893724 3.27361191796901e-08 1.09386300957264e-08
"Rv0350" 2.05662918051933 0.672648421677121 7.48910731538224e-28 0.000367801256080456
"Rv0360c" -1.17675761132008 -0.414990623284225 3.43971435186066e-05 0.0339478436321044
"Rv0362" -0.67014430555155 -0.860385234034897 2.75897781266843e-06 2.92540673300756e-18
"Rv0363c" -0.733753307469778 -0.395927369325167 2.2003257818408e-06 0.00669556911257218
"Rv0365c" 0.38307081390357 -1.10528170033036 0.0140354945197907 1.27742528766351e-15
"Rv0366c" 0.615318555892162 -2.13542800410756 0.0224054027723633 1.35548395010362e-15
"Rv0367c" 1.72615108332678 -1.59355740718631 2.47158364808704e-08 4.03746608466021e-07
"Rv0372c" 1.5618308596121 1.24572196530967 0.000182174115170437 0.000212084849664532
"Rv0373c" 1.11522575018431 1.46516996413263 1.94141645770833e-08 1.42603194068455e-24
"Rv0374c" 1.5428111504451 1.93180240122949 0.000222972381601207 1.5355404584472e-10
"Rv0375c" 1.10649030600298 0.897944781014166 0.000312819526914651 0.000205536606142666
"Rv0376c" 2.37491033919019 1.5503881611248 5.85966146458432e-49 1.80042943503062e-24
"Rv0380c" -1.3305739243221 -0.945798818157674 6.67637256210708e-08 1.7631885110462e-09
"Rv0382c" 0.398622235231899 -0.92483322153992 0.0225789728727978 2.46054515034721e-08
"Rv0383c" 0.997205269659326 -0.912002532342191 6.31607393125164e-33 7.1475342380142e-29
"Rv0384c" 1.96860546783795 0.819386378228524 3.3648012738677e-25 1.38546114403902e-05
"Rv0386" -0.702780123543023 -1.30331762343736 3.35996881765658e-06 1.9286083257186e-23
"Rv0389" 0.876966179923031 -0.780506583480982 4.03154646841063e-08 1.58490473965154e-07
"Rv0393" -0.92351043829761 -1.90556319193173 0.000367129948960413 4.25753578703881e-18
"Rv0397A" 1.03780910749765 1.52033938377026 2.1165052448392e-09 3.43725329929041e-27
"Rv0398c" 1.48746410754632 1.71835491126153 5.35876867830997e-20 1.8869964877536e-33
"Rv0399c" -0.332593202325731 0.650674651446917 0.0496041819458929 1.75843026704193e-07
"Rv0401" -1.50321240719693 -0.838366642889284 0.000162170893700896 4.65888339515603e-05
"Rv0402c" -1.91124381760146 -0.531260801893692 1.54292772360722e-30 3.38494525230623e-06
"Rv0403c" -1.37120652730614 -1.10999821432079 1.19501196446638e-05 6.10808606043603e-11
"Rv0404" -0.425910055114381 -0.521568305048674 0.00555074150959752 0.000138705088743963
"Rv0405" -2.51475837069559 -2.77633005886301 3.14714845616171e-85 1.23210142365591e-166
"Rv0406c" -0.50847324081657 -1.07091217943141 0.00535619551203486 7.57795815405061e-13
"Rv0408" -0.902840088466037 -0.516835076450693 7.60731111644255e-13 1.24278465846366e-06
"Rv0409" -1.23134881519572 -0.621568190203521 3.04081481227342e-21 6.08323820126331e-12
"Rv0410c" 0.86351499588809 -0.812414737965241 4.02180676108538e-06 1.13559047681874e-05
"Rv0411c" 1.02781039194154 -1.08317030903352 2.25857549196904e-06 3.97873902233282e-07
"Rv0412c" 1.0232070857749 -1.3997495206298 7.24060986939393e-08 1.07956466379459e-13
"Rv0416" 1.29286818747153 1.16587129809738 0.00142182486992413 8.62662360590035e-05
"Rv0417" 0.734513287776889 1.05583039336954 0.000166793902310357 4.19709083567314e-14
