"DE" "upreg" "downreg"
"C1vsC1" "  0 " 0 0
"C5vsC5" "  5 " 4 1
"C7vsC7" "  9 " 7 2
"C11vsC11" "  9 " 9 0
"C2vsC2" "  1820 " 979 841
"C6vsC6" "  1609 " 783 826
"C8vsC8" "  2170 " 989 1181
"C12vsC12" "  140 " 79 61
"C1vsC2" "  2963 " 1478 1485
"C5vsC6" "  2977 " 1494 1483
"C7vsC8" "  3140 " 1544 1596
"C11vsC12" "  3124 " 1587 1537
"C1vsC2_Fe_NO" "  3158 " 1602 1556
"C5vsC6_Fe_NO" "  3066 " 1562 1504
"C7vsC8_Fe_NO" "  3251 " 1626 1625
"C11vsC12_Fe_NO" "  3174 " 1595 1579
"C1vsC5" "  2166 " 1083 1083
"C5vsC7" "  1612 " 739 873
"C7vsC11" "  2453 " 1307 1146
"C1vsC11" "  999 " 493 506
"C1vsC5_Fe_NO" "  2189 " 1088 1101
"C5vsC7_Fe_NO" "  1522 " 717 805
"C7vsC11_Fe_NO" "  2319 " 1249 1070
"C2vsC6" "  2273 " 1176 1097
"C6vsC8" "  1856 " 748 1108
"C8vsC12" "  2827 " 1432 1395
"C2vsC12" "  2267 " 1110 1157
"C2vsC6_Fe_NO" "  2224 " 1144 1080
"C6vsC8_Fe_NO" "  2066 " 1262 804
"C8vsC12_Fe_NO" "  3058 " 1491 1567
"C1C2vsC1C2" "  1160 " 639 521
"C5C6vsC5C6" "  1204 " 597 607
"C7C8vsC7C8" "  1654 " 732 922
"C11C12vsC11C12" "  91 " 61 30
"C1C2vsC5C6" "  2304 " 1174 1130
"C5C6vsC7C8" "  1344 " 595 749
"C7C8vsC11C12" "  2620 " 1370 1250
"C1C2vsC11C12" "  1782 " 910 872
"C1C2vsC5C6_Fe_NO" "  2240 " 1066 1174
"C5C6vsC7C8_Fe_NO" "  1432 " 569 863
"C7C8vsC11C12_Fe_NO" "  2871 " 1495 1376
"C1C2_Fe_NOvsC11C12_Fe_NO" "  2063 " 972 1091
"C1C2vsC11C12_Fe_NO" "  1968 " 960 1008
"C1C1vsC2C2" "  1160 " 639 521
"C5C5vsC6C6" "  1204 " 597 607
"C7C7vsC8C8" "  1654 " 732 922
"C11C11vsC12C12" "  91 " 61 30
"C1vsC11_Fe_NO" "  999 " 494 505
"C2vsC12_Fe_NO" "  2400 " 1143 1257
