"LogFC" "BH" "Association" "RV"
"Rv0009" -1.02228366934645 9.781592804679e-05 "DOWN" "ppiA"
"Rv0010c" -0.351130598749088 0.0353868189269088 "DOWN" "Rv0010c"
"Rv0186A" 0.550455145070193 0.034543581600347 "UP" "mymT"
"Rv0282" 1.35413219113837 1.3571193673508e-06 "UP" "eccA3"
"Rv0283" 1.58742844645316 1.31655818113568e-06 "UP" "eccB3"
"Rv0284" 1.7111813483303 2.18973216078712e-07 "UP" "eccC3"
"Rv0286" 1.64127300247789 3.74060231194244e-05 "UP" "PPE4"
"Rv0287" 1.80614700807961 1.52462006953693e-06 "UP" "esxG"
"Rv0288" 1.62869966127705 8.41556353134154e-07 "UP" "esxH"
"Rv0289" 1.66675384286957 4.69852157954225e-08 "UP" "espG3"
"Rv0290" 1.51801707783017 4.8759458365795e-05 "UP" "eccD3"
"Rv0291" 1.43830598770803 0.0002362593213739 "UP" "mycP3"
"Rv0292" 1.61846850410591 7.83323324938351e-17 "UP" "eccE3"
"Rv0336" -0.536234040336167 0.00880890926523177 "DOWN" "Rv0336"
"Rv0338c" -0.79446383655435 2.37823300731297e-06 "DOWN" "Rv0338c"
"Rv0450c" 0.755921064811607 5.14942731865344e-05 "UP" "mmpL4"
"Rv0451c" 1.04286766848249 3.37800605414019e-08 "UP" "mmpS4"
"Rv0481c" 1.305047081414 5.04661540370642e-07 "UP" "Rv0481c"
"Rv0676c" -0.882896496546707 0.00654302629798137 "DOWN" "mmpL5"
"Rv0677c" -1.98285575291624 5.24032851980963e-10 "DOWN" "mmpS5"
"Rv0678" -1.50811180984625 1.74757263715059e-06 "DOWN" "Rv0678"
"Rv0996" -0.930252155802517 0.00220743322757627 "DOWN" "Rv0996"
"Rv1177" -0.615645537864562 0.00247995708069564 "DOWN" "fdxC"
"Rv1343c" 0.788754509552142 0.00162414046008147 "UP" "lprD"
"Rv1344" 2.5186490467524 8.57207426323136e-11 "UP" "mbtL"
"Rv1345" 1.17066377693962 7.20909295408145e-08 "UP" "mbtM"
"Rv1346" 1.28459618024885 5.04661540370642e-07 "UP" "mbtN"
"Rv1347c" 1.74437747774646 2.79056627776973e-07 "UP" "mbtK"
"Rv1348" 3.36523902115675 5.7791444013066e-34 "UP" "irtA"
"Rv1349" 2.87096635597884 1.73050024680843e-15 "UP" "irtB"
"Rv1350" 1.01350806257477 0.000180591654704566 "UP" "fabG2"
"Rv1427c" 0.332535509621997 0.0177563907804367 "UP" "fadD12"
"Rv1461" 1.3515170051239 4.87961874747385e-10 "UP" "Rv1461"
"Rv1462" 1.14008824314888 9.781592804679e-05 "UP" "Rv1462"
"Rv1463" 1.29031909888614 2.27309342430637e-05 "UP" "Rv1463"
"Rv1464" 1.14099009193224 9.781592804679e-05 "UP" "csd"
"Rv1465" 1.31949379572596 5.52573111233578e-07 "UP" "Rv1465"
"Rv1466" 1.08112276298667 0.00345672892305625 "UP" "Rv1466"
"Rv1474c" -0.681053357547318 0.000544757962558176 "DOWN" "Rv1474c"
"Rv1475c" -0.429913853721111 0.0119240528275871 "DOWN" "acn"
"Rv1519" 2.87836083011412 2.09464054016534e-13 "UP" "Rv1519"
"Rv1520" 2.35821147195173 5.3044422456156e-17 "UP" "Rv1520"
"Rv1664" -0.627528558553016 0.000325862405236595 "DOWN" "pks9"
"Rv1847" 1.46158643057532 2.66369525145668e-08 "UP" "Rv1847"
"Rv1875" 1.8418169317109 4.58439180632154e-13 "UP" "Rv1875"
"Rv1906c" -0.459439234284065 0.00471283735200707 "DOWN" "Rv1906c"
"Rv1907c" -0.663671642588327 0.00270722894471708 "DOWN" "Rv1907c"
"Rv2100" -0.2728352870548 0.0268592909541954 "DOWN" "Rv2100"
"Rv2121c" 2.93705123858338 5.81221402734808e-13 "UP" "hisG"
