"Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_STAT_L.BH" "Pattern_L_stat" "RV"
"Rv0009" -1.08659853652218 1.88480946251815e-10 "DOWN" "Rv0009"
"Rv0010c" -0.539617027581024 0.00012841781673808 "DOWN" "Rv0010c"
"Rv0136" 0.270755665242996 0.0236465508248469 "UP" "Rv0136"
"Rv0165c" -0.443103676215611 0.00138634390998399 "DOWN" "Rv0165c"
"Rv0186" 0.567821024697302 0.00647099686022937 "UP" "Rv0186"
"Rv0186A" 0.702603337782569 0.00144200038444034 "UP" "Rv0186A"
"Rv0282" 1.21652609584732 1.04948173696673e-10 "UP" "Rv0282"
"Rv0283" 1.55635628602655 1.35636309771743e-12 "UP" "Rv0283"
"Rv0284" 1.60789309419844 5.3426508750895e-13 "UP" "Rv0284"
"Rv0285" 1.64501195980956 1.20356901975657e-07 "UP" "Rv0285"
"Rv0286" 1.84424593155 1.38047664693532e-12 "UP" "Rv0286"
"Rv0287" 1.81048525787684 7.08472532820783e-13 "UP" "Rv0287"
"Rv0288" 1.77389289939582 8.59276561218855e-16 "UP" "Rv0288"
"Rv0289" 1.6335016227715 1.989510396073e-15 "UP" "Rv0289"
"Rv0290" 1.57838876897867 1.02020835113039e-10 "UP" "Rv0290"
"Rv0291" 1.47879573051201 6.14003872614238e-09 "UP" "Rv0291"
"Rv0292" 1.55885727088827 8.32232968458284e-31 "UP" "Rv0292"
"Rv0337c" -0.606931782861687 1.561971214263e-09 "DOWN" "Rv0337c"
"Rv0338c" -1.01633234403454 1.26988945535238e-19 "DOWN" "Rv0338c"
"Rv0407" -0.350825574587852 0.00495226764872202 "DOWN" "Rv0407"
"Rv0450c" 0.872795667205732 7.53616351150319e-13 "UP" "Rv0450c"
"Rv0451c" 1.20313318982297 5.67494372192898e-20 "UP" "Rv0451c"
"Rv0480c" 0.399591942541974 0.0120080356832168 "UP" "Rv0480c"
"Rv0481c" 1.24566567735291 4.71131366471324e-12 "UP" "Rv0481c"
"Rv0676c" -0.870185783825473 0.000116088127163317 "DOWN" "Rv0676c"
"Rv0677c" -1.85218663914673 1.71135865145026e-15 "DOWN" "Rv0677c"
"Rv0678" -1.04225013185185 6.18856699814736e-06 "DOWN" "Rv0678"
"Rv0841" -0.317661890647272 0.0289357855638352 "DOWN" "Rv0841"
"Rv0848" 1.0519334395778 0.00186986132829358 "UP" "Rv0848"
"Rv0883c" -0.258636065550055 0.0293816488716704 "DOWN" "Rv0883c"
"Rv0996" -0.583880229891758 0.00214796791144438 "DOWN" "Rv0996"
"Rv1132" -0.581469536193748 9.9698178285123e-08 "DOWN" "Rv1132"
"Rv1133c" -0.327594426503029 0.0265064372637674 "DOWN" "Rv1133c"
"Rv1166" -0.396709357512352 0.000304603846389829 "DOWN" "Rv1166"
"Rv1177" -0.542711817727706 2.94675886082875e-05 "DOWN" "Rv1177"
"Rv1343c" 0.773747559177368 5.73850471651278e-06 "UP" "Rv1343c"
"Rv1344" 2.92305904934312 1.41590493118783e-26 "UP" "Rv1344"
"Rv1345" 1.13800919862462 1.41911623697276e-14 "UP" "Rv1345"
"Rv1346" 1.28471186799963 8.96772060884379e-14 "UP" "Rv1346"
"Rv1347c" 2.02477612589973 3.64664526628712e-19 "UP" "Rv1347c"
"Rv1348" 3.4940755990659 1.25780025822513e-72 "UP" "Rv1348"
"Rv1349" 3.03309187977957 2.89789021569167e-33 "UP" "Rv1349"
"Rv1350" 1.12250295919468 1.02991491532821e-09 "UP" "Rv1350"
"Rv1460" 0.878731241248828 0.00209853203134213 "UP" "Rv1460"
"Rv1461" 1.22498039164771 1.11846194199416e-16 "UP" "Rv1461"
"Rv1462" 1.14047485400381 2.89214838077515e-09 "UP" "Rv1462"
"Rv1463" 1.09799526478369 8.75990193324592e-08 "UP" "Rv1463"
"Rv1464" 1.11106393788339 8.65934631922973e-09 "UP" "Rv1464"
"Rv1465" 1.29354031488207 5.3426508750895e-13 "UP" "Rv1465"
"Rv1466" 1.15175032918282 2.8738114455644e-06 "UP" "Rv1466"
"Rv1474c" -0.732484077857515 3.42056543683668e-07 "DOWN" "Rv1474c"
"Rv1475c" -0.655892326204885 2.90552367988863e-08 "DOWN" "Rv1475c"
"Rv1518" 0.676905959182171 0.00411418408920082 "UP" "Rv1518"
"Rv1519" 2.92950850399143 3.64230892558718e-32 "UP" "Rv1519"
"Rv1520" 2.46378487548371 2.04922120165948e-37 "UP" "Rv1520"
"Rv1664" -0.440866531201032 0.00019873643285224 "DOWN" "Rv1664"
"Rv1698" -0.28439143526722 0.0208050700758602 "DOWN" "Rv1698"
"Rv1847" 1.40430968787768 1.71135865145026e-15 "UP" "Rv1847"
"Rv1848" 0.87165142909812 0.00138634390998399 "UP" "Rv1848"
"Rv1849" 0.901823000894959 0.00307482520239035 "UP" "Rv1849"
"Rv1875" 2.08827134952735 5.18725961018225e-33 "UP" "Rv1875"
"Rv1876" -0.332636533703246 0.0106139213874923 "DOWN" "Rv1876"
"Rv1906c" -0.474017303635949 6.03731981265782e-06 "DOWN" "Rv1906c"
"Rv1907c" -0.663222250933383 8.10779093692686e-06 "DOWN" "Rv1907c"
"Rv1908c" -0.875089740681964 8.52267007328302e-05 "DOWN" "Rv1908c"
"Rv1909c" -0.273453610063499 0.028446646542513 "DOWN" "Rv1909c"
"Rv1964" 0.341361848251198 0.0422986922539312 "UP" "Rv1964"
"Rv2100" -0.210194323574982 0.0357186570369709 "DOWN" "Rv2100"
"Rv2120c" 0.322397695164124 0.0289357855638352 "UP" "Rv2120c"
"Rv2121c" 2.9768421836149 8.11173861093976e-26 "UP" "Rv2121c"
"Rv2122c" 4.10172881154525 6.08775459275808e-26 "UP" "Rv2122c"
"Rv2123" 3.72774259733079 8.0393976874022e-40 "UP" "Rv2123"
"Rv2147c" -0.364298790250922 0.00479241971647193 "DOWN" "Rv2147c"
"Rv2377c" 3.41701760144584 1.39027829840824e-34 "UP" "Rv2377c"
