"C1vsC1" "C5vsC5" "C7vsC7" "C11vsC11" "C2vsC2" "C6vsC6" "C8vsC8" "C12vsC12" "C1vsC2" "C5vsC6" "C7vsC8" "C11vsC12" "C1vsC2_Fe_NO" "C5vsC6_Fe_NO" "C7vsC8_Fe_NO" "C11vsC12_Fe_NO" "C1vsC5" "C5vsC7" "C7vsC11" "C1vsC11" "C1vsC5_Fe_NO" "C5vsC7_Fe_NO" "C7vsC11_Fe_NO" "C2vsC6" "C6vsC8" "C8vsC12" "C2vsC12" "C2vsC6_Fe_NO" "C6vsC8_Fe_NO" "C8vsC12_Fe_NO" "C1C2vsC1C2" "C5C6vsC5C6" "C7C8vsC7C8" "C11C12vsC11C12" "C1C2vsC5C6" "C5C6vsC7C8" "C7C8vsC11C12" "C1C2vsC11C12" "C1C2vsC5C6_Fe_NO" "C5C6vsC7C8_Fe_NO" "C7C8vsC11C12_Fe_NO" "C1C2_Fe_NOvsC11C12_Fe_NO" "C1C2vsC11C12_Fe_NO" "C1C1vsC2C2" "C5C5vsC6C6" "C7C7vsC8C8" "C11C11vsC12C12" "C1vsC11_Fe_NO" "C2vsC12_Fe_NO"
"C1_Fe_NO" 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 1 0 -1 0 0 0 0 0
"C1_Fe_YES" -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 -1 0
"C11_Fe_NO" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 -1 -1 0 0 0 -1 1 0
"C11_Fe_YES" 0 0 0 -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 -1 0 0 0 0 0 0 0 0 1 0 0
"C12_Fe_NO" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1
"C12_Fe_YES" 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 0 0 0 -1 0 0
"C2_Fe_NO" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 -1 0 0 -1 0 1 0 0 0 0 0
"C2_Fe_YES" 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 -1 0 0 0 -1 0 0 -1 0 0 0 0 -1 -1 0 0 0 0 -1
"C5_Fe_NO" 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 -1 0 0 0 0
"C5_Fe_YES" 0 -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"C6_Fe_NO" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 1 0 0 0 0 0 0 1 -1 0 0 0 0 1 0 0 0 0
"C6_Fe_YES" 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 -1 0 0 1 -1 0 0 0 0 0 0 0 0 -1 0 0 0 0
"C7_Fe_NO" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 -1 0 0 0
"C7_Fe_YES" 0 0 -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 1 0 0 0 0 0 0 0 0 1 0 0 0
"C8_Fe_NO" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 1 0 0 0 0 0 0 1 -1 0 0 0 0 1 0 0 0
"C8_Fe_YES" 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0 0 0 0 0 -1 0 0 1 -1 0 0 0 0 0 0 0 0 -1 0 0 0
