"Iron_effect_in_EXP_G_D.LogFC" "Iron_effect_in_EXP_G.LogFC" "Iron_effect_in_EXP_G_L.LogFC" "Iron_effect_in_EXP_L.LogFC" "Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH"
"Rv0001" -0.000119252120026004 3.69564169717275e-05 0.000195877535298203 -0.000370997273488608 0.136554019463531 -0.0764636067419762 0.377587864451241 0.0216530141319812 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.348240916018763 0.658855687204572 0.00532887744310548 0.776944002985856
"Rv0002" 9.24553001116443e-05 -6.15135121323656e-05 1.93329832533643e-05 -1.67110632792579e-05 -0.227834164621739 -0.0537101140824655 0.562963214333659 0.00173675217977919 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.119437902684038 0.799373025801038 0.000116329806182787 0.99375102884922
"Rv0003" 0.000340618288220517 0.000209021709375408 0.000194263454304628 0.000718911832641121 -0.319790048852632 -0.0627562679175734 -0.115690558526924 0.00422012645849533 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.012193051496216 0.800067285492209 0.475557759698331 0.987006062207018
"Rv0004" 0.000651247083534034 0.000372320310740289 0.00070516364355432 0.0363584529846549 -0.318374683326615 0.0835747282779386 -0.146367215556366 -0.00261686101995817 0.999652421664065 0.99978373860597 0.999897569248579 0.24160422675665 0.00534749090616976 0.746963271310049 0.34610702356812 0.993657187978439
"Rv0005" 0.000167924352440228 1.57865222377215e-06 0.000463001915404785 -0.000145000619331061 0.0477432899197728 -0.304429487789841 -0.10489251881963 -0.0146369439004833 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.74819209894402 0.0182942073378467 0.434407371878072 0.853302412031041
"Rv0006" 0.000560818063170697 -0.000570593402955142 0.000612190959783735 -0.000242829788138085 -0.29033309525367 -0.262212290563719 -0.217349883594306 -0.0607367618155864 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.000458685137199324 0.00412929107917963 0.00961957787617472 0.346428475270913
"Rv0007" 0.000153000048405984 -0.000188689696794509 -5.92214683615582e-05 0.000727472240152848 -0.263858402098632 -0.26570572497452 -0.25209483820682 -0.0159316088318804 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0480147869226519 0.119036955989089 0.0636309025142402 0.843403479064498
"Rv0008c" -0.000208827366953929 -0.000119682255289246 -0.000132639769863135 -8.00808433188672e-05 -0.0231256820832814 0.0320151973504331 0.323656648920648 -0.0127603485735877 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.905803204228144 0.90517553068102 0.0475638647420432 0.928482166544197
"Rv0009" -0.000760031034260894 -0.000139024111914934 -0.000107308619163532 -0.00012524541220813 -1.19468651855917 -1.50322466461927 -1.78833798794584 -1.08659853652218 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 3.42136233590602e-14 3.5979714287264e-17 1.97634255919839e-28 1.88480946251815e-10
"Rv0010c" 7.04701196083943e-05 0.000194086368666735 5.82611265015288e-05 -3.50850012315641e-05 -0.545310963579457 -0.951965099303877 -1.13803009852993 -0.539617027581024 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.86337894532599e-05 1.01056841606841e-09 5.00283350678467e-18 0.00012841781673808
"Rv0011c" -0.000137021786485747 0.000126695381597526 0.000294751420977804 -9.05255310341729e-05 -0.120164752806175 -0.374984573955884 -0.0258240020640554 -0.00113881531324034 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.550296107486666 0.0760391728742639 0.909876175772859 0.996160890238176
"Rv0012" -1.43318205566901e-05 0.00038540727155918 -6.06356042010611e-05 -4.12453065994814e-05 0.0612814331021463 -0.820949864595503 -1.11927781252877 -0.0359108781729476 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.697230657128293 2.58861132126565e-08 2.34526959782375e-17 0.605717709249736
