"G_D_with" "G_with" "G_L_with" "L_with" "G_D_without" "G_without" "G_L_without" "L_without" "G_D_with.BH" "G_with.BH" "G_L_with.BH" "L_with.BH" "G_D_without.BH" "G_without.BH" "G_L_without.BH" "L_without.BH"
"Rv0001" 0.584591361126292 0.391723708686445 -0.688538358535734 0.860185172321344 0.792098154522453 0.288810659425587 -0.381979217111672 1.12740611967338 9.68168193362474e-06 0.00417971604947998 2.22822168572627e-07 6.18245440816238e-11 1.86619426006998e-09 0.0365903192388093 0.00427003282087775 7.95041810874241e-18
"Rv0002" 0.748221149333067 -0.258995351129349 -1.54709024973639 1.3371810403821 0.452615315653812 -0.292277725050441 -0.961194589881959 1.36482411516464 7.76995161539992e-08 0.0912377402507674 2.6838965608299e-27 7.44759590786514e-22 0.00146528780110868 0.0646936742852956 1.11367065290219e-11 1.06933376114527e-22
"Rv0003" -0.497868318644884 -1.45587337196118 -1.62018402959542 -0.534811667850482 -0.964916058332929 -1.60706080418984 -1.83125476974008 -0.627714516875253 2.6999419792371e-05 1.34767635838841e-20 1.31636790731754e-35 1.93878048230645e-05 2.76719952336844e-15 5.92404048019253e-20 2.24877734161812e-43 4.7853839964105e-07
"Rv0004" -0.568633292664474 -1.78617718439554 -1.82836439620072 -0.860801011717613 -1.06559999273143 -1.77027736738823 -2.15156229934498 -1.18514897727249 1.35007259230061e-08 9.10356864531904e-28 1.30757952821951e-53 7.09841685213281e-14 2.01165304841623e-23 3.06010647275167e-22 2.11347563821058e-68 8.41145055552884e-25
"Rv0005" -0.0447203602289534 0.384229620340639 0.909144854684679 0.317903213541431 -0.0551188871828506 0.0603037874945164 0.640932236569542 0.235213934312198 0.714493926232223 0.00162606440461117 2.32828717694069e-14 0.00900940632301889 0.653035273040351 0.638065942495756 8.42304867649029e-08 0.0545376194404186
"Rv0006" -0.657643551428274 -0.898517597413578 -0.0275417096761423 -0.0262354570310178 -1.04880877944709 -1.07881201043459 -0.374240378803868 -0.151714121188857 5.77771900879914e-17 7.61148931022858e-29 0.735763284143488 0.757934171455919 5.70083830157029e-41 3.00387965684433e-39 2.27644870326259e-06 0.0609231436530881
"Rv0007" -1.26930098528642 -1.55866428507523 -0.871580747786778 -0.48048722532297 -1.62790390090192 -1.78754412386171 -1.11366462536149 -0.768737542702462 7.2912059198029e-24 2.95086432810712e-29 8.88126951294266e-12 0.000187580783379392 1.46608996218642e-37 3.20695406027317e-33 3.24737008683821e-18 1.78327596350976e-09
"Rv0008c" 0.794576140757272 1.0498443968124 0.34537575030009 0.153186352369328 0.914820901992068 1.16589770007099 0.779171644961282 0.0281765855399619 5.59296970507926e-07 1.05883176921981e-08 0.0317003761897274 0.403749402430892 2.9137382055603e-08 2.83040203238299e-09 6.56965346721978e-07 0.885987598525899
"Rv0009" 1.58193660807 -0.386812238435596 -0.642114634711058 1.01739550013485 0.845681403112574 -1.86719546247268 -2.39087346715209 -0.0411086002238362 6.53432030029773e-24 0.0189674003851214 5.38137323217344e-05 1.34107677871754e-10 1.22939325592922e-07 1.7422897246794e-26 2.32028111087311e-50 0.812969194310388
"Rv0010c" 0.499415089923623 0.00597577038562678 -0.285837713233547 0.134741409711185 -0.111355333071526 -1.0733005684996 -1.48450510499422 -0.465044840148602 8.96451168538525e-05 0.967680236111618 0.0276146545935372 0.315709423618825 0.395960300444798 8.73104721035948e-13 4.02781179431995e-30 0.000418076970429739
"Rv0011c" 0.466427918447541 0.306921014555954 -0.396323700866842 1.05573513518899 0.457123873660114 -0.213819071624653 -0.594520690032856 1.07250983078294 0.0155579671636516 0.130788119202544 0.0452612326611829 3.10356132295828e-08 0.0189582814154868 0.309031123388707 0.00248270234013695 1.91999432044567e-08
"Rv0012" 0.541526704327014 1.49140568316135 0.94530626956454 -0.0770828984171152 0.618572590308234 0.474324293359012 -0.168830022173724 -0.284852339530791 3.52296010732545e-05 6.478516289542e-29 2.94169171156284e-13 0.589020064507894 2.62899450496478e-06 0.00105958208368032 0.214925550907914 0.0395328747438711
"Rv0013" -0.247626651797417 0.307744972846442 -0.132941588445275 -0.0969515334477452 -0.305445379319704 -0.294127179402875 -0.88435489133523 -0.230217605551524 0.0164406421033757 0.00809734530435344 0.208059204717322 0.373707243845388 0.00367515634473772 0.026548014087097 6.94464230604931e-17 0.0318491961874711
"Rv0014c" -1.70327696049888 -1.16918686042915 -1.38521421302553 -1.67297547451668 -2.04698962802418 -1.87085990547866 -2.31044507588673 -1.64584503651303 3.6027336335421e-47 1.85005520391206e-20 6.85379937466419e-31 6.01493230357865e-44 9.311385721887e-66 3.66365781994348e-42 1.2955292901873e-79 2.7818932521614e-42
