"Iron_effect_in_EXP_G_D.lfcSE_shrunken" "Iron_effect_in_EXP_G.lfcSE_shrunken" "Iron_effect_in_EXP_G_L.lfcSE_shrunken" "Iron_effect_in_EXP_L.lfcSE_shrunken" "Iron_effect_in_STAT_G_D.lfcSE_shrunken" "Iron_effect_in_STAT_G.lfcSE_shrunken" "Iron_effect_in_STAT_G_L.lfcSE_shrunken" "Iron_effect_in_STAT_L.lfcSE_shrunken" "Phase_effects_with_Fe_G_D.lfcSE_shrunken" "Phase_effects_with_Fe_G.lfcSE_shrunken" "Phase_effects_with_Fe_G_L.lfcSE_shrunken" "Phase_effects_with_Fe_L.lfcSE_shrunken" "Phase_effects_without_Fe_G_D.lfcSE_shrunken" "Phase_effects_without_Fe_G.lfcSE_shrunken" "Phase_effects_without_Fe_G_L.lfcSE_shrunken" "Phase_effects_without_Fe_L.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.lfcSE_shrunken" "Effect_of_Fe_in_response_to_Growth_arrest_L.lfcSE_shrunken"
"Rv0001" 0.00614134612631603 0.00623857990603225 0.00641606760138971 0.00909920710999166 0.123828181704726 0.130221122640985 0.129043438413472 0.0645932138905444 0.129310529878472 0.133165864366904 0.130841351111062 0.12968862261686 0.130030189201229 0.134412481666632 0.130953654211745 0.129795030671746 0.166048539160947 0.167495194593201 0.174518677602309 0.0506102668480633
"Rv0002" 0.00614211092455813 0.00630912344375101 0.00580632347963582 0.00758709245901936 0.131686837685794 0.152613300471371 0.143598969407034 0.040086441776195 0.136996059246268 0.148426621349254 0.142189354490017 0.138096939935963 0.138863762960885 0.153906925124905 0.140132402350486 0.138239526983312 0.175825473757073 0.18381955320631 0.191580002982302 0.0220483547871628
"Rv0003" 0.00613930175240214 0.00626793237590148 0.00591849737500173 0.01121195907107 0.118347046850961 0.184423220305688 0.139807145368715 0.0398857711554362 0.115653859141377 0.155382985393534 0.129371321197303 0.122454175428971 0.120819746356182 0.174438820605017 0.132074334269143 0.12237171352043 0.157180456168496 0.202021206034295 0.173249687419959 0.0221849420151387
"Rv0004" 0.00613532182262129 0.00625317504285578 0.00913981696358234 0.0996671789621348 0.105822064252342 0.200376338787923 0.136659000739125 0.038363356437338 0.0980132501714041 0.162845393341773 0.117996972189079 0.113376642633629 0.105831318242995 0.181456115164811 0.122698025174558 0.114165631927807 0.138173319400021 0.204859683921719 0.161844731251042 0.081714295065473
"Rv0005" 0.00613983566416909 0.00615222961143201 0.00846933215149543 0.00706695034142577 0.112826234649487 0.117303175775281 0.114777867835381 0.0519514390622794 0.113502282556909 0.118695371884015 0.117741976704101 0.117469924199874 0.115273105038169 0.117466051235948 0.117974206468826 0.117517970615607 0.151985410788007 0.163132744460601 0.158525647110061 0.0207683967837416
"Rv0006" 0.00612881188663611 0.00624630912208562 0.00687966546789836 0.00586382552750501 0.0764469886217862 0.083050384325525 0.0773314276816431 0.084831541206617 0.0772032252147588 0.0795940060328668 0.0757500507828221 0.0774011041947486 0.0775478228623551 0.0814856731416385 0.077925852440441 0.0774784174433813 0.106125680393165 0.110383484409481 0.107771677972742 0.0203875955203173
"Rv0007" 0.00614071459432118 0.00636841803489398 0.0056390439159736 0.011989422427282 0.121856304279101 0.152805572322584 0.125054837875259 0.0558025619783552 0.124928272366171 0.13782981879136 0.126152581314149 0.125498864624723 0.126558963738221 0.14785207571011 0.126913111057139 0.125819611136157 0.163347043715779 0.18437953694135 0.168769801782206 0.0584302874102182
"Rv0008c" 0.00614369458064562 0.00661023404312485 0.00658173351470476 0.00858557771430093 0.149034942305312 0.192845682316897 0.154291855869222 0.0631700711085067 0.156592047031392 0.181660278571767 0.156378647711716 0.173075117821987 0.163169331523753 0.193954922356322 0.154714294124316 0.176757849971339 0.195134949103253 0.222138952784795 0.205033107209835 0.032983643026493
"Rv0009" 0.00614353041758897 0.00666835154065192 0.00657117078288681 0.00875249747431372 0.16335304019114 0.181562387581253 0.164018000753053 0.161280433987761 0.156527450121578 0.160641113223026 0.156145896423945 0.156747179335242 0.15794762357794 0.17432796358805 0.160082167141627 0.158194322878933 0.212072265586146 0.246707272304214 0.233798654978556 0.23405413912792
"Rv0010c" 0.00614076683164894 0.00636671142666914 0.00561638493358977 0.00703449218480116 0.124216814539062 0.1562634253108 0.132822581839843 0.154527183147212 0.124277472657636 0.12904359340059 0.126053898497245 0.126377437417218 0.126319854124636 0.148227950270127 0.129422946455599 0.128631821561228 0.169577660580181 0.197927137560327 0.182860567327618 0.303414705257586
