Sample	Unique Reads	Duplicate Reads
03_12_AN_F1C14_1	3071655.0	21932851.0
03_12_AN_F1C14_2	3245584.0	21758922.0
03_12_AN_F2C14_1	2866721.0	20019054.0
03_12_AN_F2C14_2	3216216.0	19669559.0
03_12_ANmF1C14_1	2829211.0	21094079.0
03_12_ANmF1C14_2	3241737.0	20681553.0
03_12_ANmF2C14_1	2648121.0	19731619.0
03_12_ANmF2C14_2	2932072.0	19447668.0
10_3MMmADN_F1C1_1	4248351.0	22145341.0
10_3MMmADN_F1C1_2	3777454.0	22616238.0
10_3MMmADNmF1C1_1	3766116.0	19796700.0
10_3MMmADNmF1C1_2	3462068.0	20100748.0
11_10_AN_F1C7_1	4249806.0	25524346.0
11_10_AN_F1C7_2	3700536.0	26073616.0
11_10_AN_F2C7_1	4064723.0	23703740.0
11_10_AN_F2C7_2	3572238.0	24196225.0
11_10_ANmF1C7_1	4566565.0	25372802.0
11_10_ANmF1C7_2	3974888.0	25964479.0
11_10_ANmF2C7_1	4430247.0	25315966.0
11_10_ANmF2C7_2	4035071.0	25711142.0
12_1_C11R6_F1_1	4047580.0	25670113.0
12_1_C11R6_F1_2	3571426.0	26146267.0
12_1_C11R6_F2_1	4064539.0	25531516.0
12_1_C11R6_F2_2	3580738.0	26015317.0
12_1_C11R6mF1_1	4210389.0	25654331.0
12_1_C11R6mF1_2	3724378.0	26140342.0
12_1_C11R6mF2_1	4184923.0	25469793.0
12_1_C11R6mF2_2	3740146.0	25914570.0
12_1_C15R_F1_1	2042293.0	27688927.0
12_1_C15R_F1_2	2031520.0	27699700.0
12_1_C15R_F2_1	2022102.0	27809758.0
12_1_C15R_F2_2	1984975.0	27846885.0
16_3MMmADN_F2C1_1	3900520.0	21524323.0
16_3MMmADN_F2C1_2	3647605.0	21777238.0
16_3MMmADNmF2C1_1	3949142.0	22444477.0
16_3MMmADNmF2C1_2	3654605.0	22739014.0
18_03_AN_F1C8r_1	2216852.0	27545646.0
18_03_AN_F1C8r_2	2096185.0	27666313.0
18_03_AN_F2C8r_1	2452678.0	27133732.0
18_03_AN_F2C8r_2	2273031.0	27313379.0
18_03_ANmF1C8r_1	2579343.0	27331811.0
18_03_ANmF1C8r_2	2392535.0	27518619.0
18_03_ANmF2C8r_1	1902842.0	27957490.0
18_03_ANmF2C8r_2	1860430.0	27999902.0
19_01_ADN_F1C2r_1	2928380.0	21607702.0
19_01_ADN_F1C2r_2	2931652.0	21604430.0
19_01_ADN_F2C2r_1	2674723.0	21103132.0
19_01_ADN_F2C2r_2	2674960.0	21102895.0
19_01_ADNmF1C2r_1	3440341.0	21734983.0
19_01_ADNmF1C2r_2	3457061.0	21718263.0
19_01_ADNmF2C2r_1	3750825.0	22915553.0
19_01_ADNmF2C2r_2	3742704.0	22923674.0
19_01_AN_F1C11_1	4039102.0	24469967.0
19_01_AN_F1C11_2	4021762.0	24487307.0
19_01_AN_F1C12_1	1780788.0	24504856.0
19_01_AN_F1C12_2	1996483.0	24289161.0
19_01_AN_F2C11_1	4271413.0	25677066.0
19_01_AN_F2C11_2	4172012.0	25776467.0
19_01_AN_F2C12_1	1988585.0	23651825.0
19_01_AN_F2C12_2	2163200.0	23477210.0
19_01_ANmF1C11_1	271067.0	24271336.0
19_01_ANmF1C11_2	365264.0	24177139.0
19_01_ANmF1C12_1	1875601.0	24560802.0
19_01_ANmF1C12_2	2077765.0	24358638.0
19_01_ANmF2C11_1	242632.0	21992363.0
19_01_ANmF2C11_2	523875.0	21711120.0
19_01_ANmF2C12_1	1871247.0	21768524.0
19_01_ANmF2C12_2	2052312.0	21587459.0
19_10_AN_F1C8_1	2721727.0	27029060.0
19_10_AN_F1C8_2	2576090.0	27174697.0
19_10_AN_F2C8_1	2332537.0	26668007.0
19_10_AN_F2C8_2	2350251.0	26650293.0
19_10_ANmF1C8_1	2572878.0	23001223.0
19_10_ANmF1C8_2	2469072.0	23105029.0
19_10_ANmF2C8_1	2775690.0	25724491.0
19_10_ANmF2C8_2	2582368.0	25917813.0
19_4_MMmAN_F1C5_1	3893089.0	22050360.0
19_4_MMmAN_F1C5_2	3392471.0	22550978.0
19_4_MMmAN_F2C5_1	4006045.0	25927329.0
19_4_MMmAN_F2C5_2	3749746.0	26183628.0
19_4_MMmANmF1C5_1	4147774.0	24421045.0
19_4_MMmANmF1C5_2	3554710.0	25014109.0
19_4_MMmANmF2C5_1	3287860.0	19410509.0
19_4_MMmANmF2C5_2	3119683.0	19578686.0
1_1	3761624.0	24961583.0
1_2	3978717.0	24744490.0
23_4MMmADN_F1C2_1	2425607.0	18322606.0
23_4MMmADN_F1C2_2	2237312.0	18510901.0
23_4MMmADN_F2C2_1	1804625.0	23925433.0
23_4MMmADN_F2C2_2	1720338.0	24009720.0
23_4MMmADNmF1C2_1	1818224.0	20095054.0
23_4MMmADNmF1C2_2	1662458.0	20250820.0
23_4MMmADNmF2C2_1	3365303.0	20554288.0
23_4MMmADNmF2C2_2	2992980.0	20926611.0
29_11_AN_F1C15_1	1376790.0	21812554.0
29_11_AN_F1C15_2	1674947.0	21514397.0
