Sample	time
adapterRemoval	0.0034863948822021484
afterqc	0.06175851821899414
anglerfish	0.062253713607788086
bamtools/stats	0.0032663345336914062
bbduk	0.002541780471801758
bbmap/aqhist	0.0023648738861083984
bbmap/bhist	0.0023398399353027344
bbmap/bincov	0.0023746490478515625
bbmap/bqhist	0.002290010452270508
bbmap/covhist	0.0022940635681152344
bbmap/covstats	0.002283811569213867
bbmap/ehist	0.0022749900817871094
bbmap/gchist	0.0024042129516601562
bbmap/idhist	0.0022695064544677734
bbmap/ihist	0.002418041229248047
bbmap/indelhist	0.0022706985473632812
bbmap/lhist	0.002256155014038086
bbmap/mhist	0.0022683143615722656
bbmap/qahist	0.0022492408752441406
bbmap/qchist	0.0038509368896484375
bbmap/qhist	0.0022542476654052734
bbmap/rpkm	0.002288341522216797
bbmap/stats	0.002611398696899414
bbmap/statsfile	0.0022363662719726562
bbmap/statsfile_machine	0.0022459030151367188
bcftools/stats	0.059215545654296875
bcl2fastq	0.06902909278869629
bclconvert/adaptermetrics	0.001186370849609375
bclconvert/demux	0.0014121532440185547
bclconvert/quality_metrics	0.0012485980987548828
bclconvert/runinfo	0.00416111946105957
bclconvert/unknown_barcodes	0.0011718273162841797
biobambam2/bamsormadup	0.0034074783325195312
biobloomtools	0.0025489330291748047
biscuit/align_isize	0.0026350021362304688
biscuit/align_mapq	0.002861499786376953
biscuit/align_strand	0.0027167797088623047
biscuit/base_avg_retention_rate	0.0011396408081054688
biscuit/covdist_all_base	0.0011935234069824219
biscuit/covdist_all_base_botgc	0.0011851787567138672
biscuit/covdist_all_base_topgc	0.0011873245239257812
biscuit/covdist_all_cpg	0.00115966796875
biscuit/covdist_all_cpg_botgc	0.0011448860168457031
biscuit/covdist_all_cpg_topgc	0.0011456012725830078
biscuit/covdist_q40_base	0.0011670589447021484
biscuit/covdist_q40_base_botgc	0.0011632442474365234
biscuit/covdist_q40_base_topgc	0.001149892807006836
biscuit/covdist_q40_cpg	0.001153707504272461
biscuit/covdist_q40_cpg_botgc	0.0011360645294189453
biscuit/covdist_q40_cpg_topgc	0.0011508464813232422
biscuit/cpg_retention_readpos	0.0011472702026367188
biscuit/cph_retention_readpos	0.0011641979217529297
biscuit/dup_report	0.0026428699493408203
biscuit/qc_cv	0.0026323795318603516
biscuit/read_avg_retention_rate	0.0011539459228515625
bismark/align	0.001207113265991211
bismark/bam2nuc	0.0011420249938964844
bismark/dedup	0.0011730194091796875
bismark/m_bias	0.001138448715209961
bismark/meth_extract	0.0011560916900634766
bowtie1	0.05917191505432129
bowtie2	0.06116509437561035
busco	0.002584695816040039
bustools	0.0011475086212158203
ccs/v4	0.0007445812225341797
ccs/v5	0.0594029426574707
cellranger/count_html	0.005690574645996094
cellranger/vdj_html	0.005598783493041992
checkqc	0.05970430374145508
clipandmerge	0.0024213790893554688
clusterflow/logs	0.0011470317840576172
clusterflow/runfiles	0.00255584716796875
conpair/concordance	0.0023462772369384766
conpair/contamination	0.002321958541870117
custom_content	0.001190185546875
cutadapt	0.06148886680603027
damageprofiler	0.0011386871337890625
dedup	0.0011255741119384766
deeptools/bamPEFragmentSizeDistribution	0.0022573471069335938
deeptools/bamPEFragmentSizeTable	0.002254486083984375
deeptools/estimateReadFiltering	0.0022945404052734375
deeptools/plotCorrelationData	0.0022878646850585938
deeptools/plotCoverageOutRawCounts	0.002244710922241211
deeptools/plotCoverageStdout	0.002263784408569336
deeptools/plotEnrichment	0.0022780895233154297
deeptools/plotFingerprintOutQualityMetrics	0.0022430419921875
deeptools/plotFingerprintOutRawCounts	0.0022695064544677734
deeptools/plotPCAData	0.002253293991088867
deeptools/plotProfile	0.0022439956665039062
diamond	0.0011174678802490234
disambiguate	0.0022974014282226562
dragen/fragment_length_hist	0.0011353492736816406
dragen/gc_metrics	0.0011849403381347656
dragen/mapping_metrics	0.003821849822998047
dragen/ploidy_estimation_metrics	0.0011703968048095703
dragen/qc_region_coverage_metrics	0.0010819435119628906
dragen/rna_quant_metrics	0.0011420249938964844
dragen/rna_transcript_cov	0.0011487007141113281
dragen/sc_atac_metrics	0.0011446475982666016
dragen/sc_rna_metrics	0.0011777877807617188
dragen/time_metrics	0.0011415481567382812
dragen/trimmer_metrics	0.0011358261108398438
dragen/vc_metrics	0.0011436939239501953
dragen/wgs_contig_mean_cov	0.0011439323425292969
dragen/wgs_coverage_metrics	0.0011060237884521484
dragen/wgs_fine_hist	0.0010805130004882812
dragen_fastqc	0.0011370182037353516
eigenstratdatabasetools	0.0011496543884277344
fastp	0.0011458396911621094
fastq_screen	0.0011296272277832031
fastqc/data	0.001119375228881836
fastqc/theoretical_gc	0.0007054805755615234
fastqc/zip	0.0013735294342041016
featurecounts	0.0006036758422851562
fgbio/errorratebyreadposition	0.002343893051147461
fgbio/groupreadsbyumi	0.0023806095123291016
filtlong	0.0028645992279052734
flash/hist	0.0006754398345947266
flash/log	0.061313629150390625
flexbar	0.05670356750488281
gatk/base_recalibrator	0.002327442169189453
gatk/varianteval	0.06038999557495117
gffcompare	0.0025534629821777344
goleft_indexcov/ped	0.0006055831909179688
goleft_indexcov/roc	0.0006198883056640625
gopeaks	0.0006060600280761719
happy	0.062140703201293945
hicexplorer	0.0007190704345703125
hicpro/assplit	0.0006003379821777344
hicpro/mRSstat	0.0005943775177001953
hicpro/mergestat	0.0005927085876464844
hicpro/mmapstat	0.0005931854248046875
hicpro/mpairstat	0.0005910396575927734
hicup	0.0006196498870849609
hifiasm	0.0021147727966308594
hisat2	0.060211896896362305
homer/FreqDistribution	0.0006191730499267578
homer/GCcontent	0.0006012916564941406
homer/LengthDistribution	0.000640869140625
homer/RestrictionDistribution	0.0006310939788818359
homer/findpeaks	0.0023398399353027344
homer/genomeGCcontent	0.0005998611450195312
homer/tagInfo	0.0006337165832519531
hops	0.0006117820739746094
htseq	0.06055784225463867
humid	0.002500295639038086
interop/index-summary	0.056067705154418945
interop/summary	0.05652451515197754
ivar/trim	0.002466917037963867
jcvi	0.054654598236083984
jellyfish	0.0006012916564941406
kaiju	0.002798795700073242
kallisto	0.056741952896118164
kat	0.0006024837493896484
kraken	0.0030786991119384766
leehom	0.060362815856933594
lima/counts	0.0021092891693115234
lima/summary	0.0006871223449707031
longranger/invocation	0.0006771087646484375
longranger/summary	0.002559185028076172
macs2	0.0006558895111083984
malt	0.0023009777069091797
methylQA	0.0006039142608642578
minionqc	0.06191682815551758
mirtop	0.0006227493286132812
mirtrace/contaminationbasic	0.0006537437438964844
mirtrace/length	0.0006115436553955078
mirtrace/mirnacomplexity	0.0006253719329833984
mirtrace/summary	0.0006089210510253906
mosdepth/global_dist	0.0006344318389892578
mosdepth/region_dist	0.0006101131439208984
mosdepth/summary	0.0006093978881835938
motus	0.0023016929626464844
mtnucratio	0.0006098747253417969
multivcfanalyzer	0.0006103515625
nanostat	0.0007543563842773438
nextclade	0.0022492408752441406
ngsderive/encoding	0.0022339820861816406
ngsderive/instrument	0.002251148223876953
ngsderive/junction_annotation	0.0022101402282714844
ngsderive/readlen	0.0022165775299072266
ngsderive/strandedness	0.0022301673889160156
odgi	0.0023097991943359375
optitype	0.0022242069244384766
pangolin	0.0022122859954833984
pbmarkdup	0.0031926631927490234
peddy/background_pca	0.0006275177001953125
peddy/het_check	0.0006074905395507812
peddy/ped_check	0.0006051063537597656
peddy/sex_check	0.0005972385406494141
peddy/summary_table	0.0005998611450195312
phantompeakqualtools/out	0.0006513595581054688
picard/alignment_metrics	0.062180519104003906
picard/basedistributionbycycle	0.0603177547454834
picard/collectilluminabasecallingmetrics	0.05931568145751953
picard/collectilluminalanemetrics	0.060875892639160156
picard/crosscheckfingerprints	0.0619664192199707
picard/extractilluminabarcodes	0.06359171867370605
picard/gcbias	0.06891512870788574
picard/hsmetrics	0.06529664993286133
picard/insertsize	0.06180310249328613
picard/markdups	0.06434273719787598
picard/markilluminaadapters	0.06426501274108887
picard/oxogmetrics	0.06884479522705078
picard/pcr_metrics	0.06060171127319336
picard/quality_by_cycle	0.061829566955566406
picard/quality_score_distribution	0.060350894927978516
picard/quality_yield_metrics	0.06220126152038574
picard/rnaseqmetrics	0.059427738189697266
picard/rrbs_metrics	0.06369805335998535
picard/sam_file_validation	0.0007278919219970703
picard/variant_calling_metrics	0.05964064598083496
picard/wgs_metrics	0.06310653686523438
porechop	0.0025031566619873047
preseq	0.004515171051025391
preseq/real_counts	0.0007138252258300781
prinseqplusplus	0.0022611618041992188
prokka	0.002329587936401367
purple/purity	0.0006015300750732422
purple/qc	0.0006098747253417969
pychopper	0.0023827552795410156
pycoqc	0.0022704601287841797
qc3C	0.0005950927734375
qorts	0.004532814025878906
qualimap/bamqc/coverage	0.00060272216796875
qualimap/bamqc/gc_dist	0.0006489753723144531
qualimap/bamqc/genome_fraction	0.0006346702575683594
qualimap/bamqc/genome_results	0.0006005764007568359
qualimap/bamqc/insert_size	0.0006091594696044922
qualimap/rnaseq/coverage	0.0006284713745117188
qualimap/rnaseq/rnaseq_results	0.0006072521209716797
quast	0.0005953311920166016
rna_seqc/correlation	0.0005657672882080078
rna_seqc/coverage	0.0006017684936523438
rna_seqc/metrics_v1	0.06368112564086914
rna_seqc/metrics_v2	0.05829215049743652
rockhopper	0.0004813671112060547
rsem	0.0005869865417480469
rseqc/bam_stat	0.0004565715789794922
rseqc/gene_body_coverage	0.0006618499755859375
rseqc/infer_experiment	0.0011267662048339844
rseqc/inner_distance	0.0006170272827148438
rseqc/junction_annotation	0.00047087669372558594
rseqc/junction_saturation	0.0006151199340820312
rseqc/read_distribution	0.0004475116729736328
