Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
03_12_AN_F1C14_1	87.71559718613321	63.0	151.0	151	36.36363636363637	25004506.0
03_12_AN_F1C14_2	87.02000663827874	63.0	151.0	151	27.27272727272727	25004506.0
03_12_AN_F2C14_1	87.473791026507	63.0	151.0	151	45.45454545454545	22885775.0
03_12_AN_F2C14_2	85.9466628510722	63.0	151.0	151	27.27272727272727	22885775.0
03_12_ANmF1C14_1	88.17382390566826	63.0	151.0	151	45.45454545454545	23923290.0
03_12_ANmF1C14_2	86.44945413137192	63.0	151.0	151	27.27272727272727	23923290.0
03_12_ANmF2C14_1	88.167333397925	63.0	151.0	151	45.45454545454545	22379740.0
03_12_ANmF2C14_2	86.89854717018645	62.0	151.0	151	27.27272727272727	22379740.0
10_3MMmADN_F1C1_1	83.90391804465077	64.0	151.0	151	36.36363636363637	26393692.0
10_3MMmADN_F1C1_2	85.68804587366341	64.0	151.0	151	18.181818181818183	26393692.0
10_3MMmADNmF1C1_1	84.0167000314994	64.0	151.0	151	27.27272727272727	23562816.0
10_3MMmADNmF1C1_2	85.30707408515694	64.0	151.0	151	9.090909090909092	23562816.0
11_10_AN_F1C7_1	85.72652797766217	64.0	151.0	151	36.36363636363637	29774152.0
11_10_AN_F1C7_2	87.57131527563097	64.0	151.0	151	27.27272727272727	29774152.0
11_10_AN_F2C7_1	85.36208958629554	64.0	151.0	151	45.45454545454545	27768463.0
11_10_AN_F2C7_2	87.13563267703492	64.0	151.0	151	27.27272727272727	27768463.0
11_10_ANmF1C7_1	84.7472911802981	64.0	151.0	151	45.45454545454545	29939367.0
11_10_ANmF1C7_2	86.72354134487529	64.0	151.0	151	27.27272727272727	29939367.0
11_10_ANmF2C7_1	85.10651887320026	64.0	151.0	151	45.45454545454545	29746213.0
11_10_ANmF2C7_2	86.43501162182152	64.0	151.0	151	27.27272727272727	29746213.0
12_1_C11R6_F1_1	86.37990061373225	64.0	151.0	151	36.36363636363637	29717693.0
12_1_C11R6_F1_2	87.98215708929767	64.0	151.0	151	27.27272727272727	29717693.0
12_1_C11R6_F2_1	86.26662085495768	63.0	151.0	151	45.45454545454545	29596055.0
12_1_C11R6_F2_2	87.901301353062	63.0	151.0	151	27.27272727272727	29596055.0
12_1_C11R6mF1_1	85.90179978510275	63.0	151.0	151	45.45454545454545	29864720.0
12_1_C11R6mF1_2	87.52917350005333	63.0	151.0	151	27.27272727272727	29864720.0
12_1_C11R6mF2_1	85.88783586063184	64.0	151.0	151	36.36363636363637	29654716.0
12_1_C11R6mF2_2	87.38768733452764	64.0	151.0	151	18.181818181818183	29654716.0
12_1_C15R_F1_1	93.1308160647654	62.0	151.0	151	45.45454545454545	29731220.0
12_1_C15R_F1_2	93.16704816616657	62.0	151.0	151	45.45454545454545	29731220.0
12_1_C15R_F2_1	93.22167014493031	62.0	151.0	151	45.45454545454545	29831860.0
12_1_C15R_F2_2	93.34612643397904	62.0	151.0	151	45.45454545454545	29831860.0
16_3MMmADN_F2C1_1	84.6586272819844	63.0	151.0	151	36.36363636363637	25424843.0
16_3MMmADN_F2C1_2	85.653384992986	63.0	151.0	151	27.27272727272727	25424843.0
16_3MMmADNmF2C1_1	85.03751314182502	63.0	151.0	151	36.36363636363637	26393619.0
16_3MMmADNmF2C1_2	86.15345257740675	63.0	151.0	151	27.27272727272727	26393619.0
18_03_AN_F1C8r_1	92.55152810920596	62.0	151.0	151	45.45454545454545	29762498.0
