Sample	time
adapterRemoval	0.003428220748901367
afterqc	0.0684976577758789
anglerfish	0.06892204284667969
bamtools/stats	0.002941608428955078
bbduk	0.0024776458740234375
bbmap/aqhist	0.0023183822631835938
bbmap/bhist	0.0022482872009277344
bbmap/bincov	0.0023162364959716797
bbmap/bqhist	0.002201080322265625
bbmap/covhist	0.002222299575805664
bbmap/covstats	0.0022149085998535156
bbmap/ehist	0.0021877288818359375
bbmap/gchist	0.002367258071899414
bbmap/idhist	0.0021886825561523438
bbmap/ihist	0.002327442169189453
bbmap/indelhist	0.002193927764892578
bbmap/lhist	0.002178668975830078
bbmap/mhist	0.0021851062774658203
bbmap/qahist	0.0021555423736572266
bbmap/qchist	0.0038726329803466797
bbmap/qhist	0.0021643638610839844
bbmap/rpkm	0.0021660327911376953
bbmap/stats	0.0024144649505615234
bbmap/statsfile	0.002246856689453125
bbmap/statsfile_machine	0.002160787582397461
bcftools/stats	0.06569385528564453
bcl2fastq	0.076171875
bclconvert/adaptermetrics	0.0006265640258789062
bclconvert/demux	0.0007872581481933594
bclconvert/quality_metrics	0.0006766319274902344
bclconvert/runinfo	0.003060579299926758
bclconvert/unknown_barcodes	0.0006287097930908203
biobambam2/bamsormadup	0.0034360885620117188
biobloomtools	0.002544403076171875
biscuit/align_isize	0.0025582313537597656
biscuit/align_mapq	0.0027103424072265625
biscuit/align_strand	0.002616405487060547
biscuit/base_avg_retention_rate	0.0006382465362548828
biscuit/covdist_all_base	0.0006699562072753906
biscuit/covdist_all_base_botgc	0.0006508827209472656
biscuit/covdist_all_base_topgc	0.00063323974609375
biscuit/covdist_all_cpg	0.0006093978881835938
biscuit/covdist_all_cpg_botgc	0.0006258487701416016
biscuit/covdist_all_cpg_topgc	0.0006167888641357422
biscuit/covdist_q40_base	0.0006120204925537109
biscuit/covdist_q40_base_botgc	0.0006611347198486328
biscuit/covdist_q40_base_topgc	0.0006310939788818359
biscuit/covdist_q40_cpg	0.0006146430969238281
biscuit/covdist_q40_cpg_botgc	0.0006225109100341797
biscuit/covdist_q40_cpg_topgc	0.0006229877471923828
biscuit/cpg_retention_readpos	0.0006105899810791016
biscuit/cph_retention_readpos	0.0006072521209716797
biscuit/dup_report	0.0025272369384765625
biscuit/qc_cv	0.0025322437286376953
biscuit/read_avg_retention_rate	0.0006074905395507812
bismark/align	0.0006916522979736328
bismark/bam2nuc	0.0006351470947265625
bismark/dedup	0.0006456375122070312
bismark/m_bias	0.0005979537963867188
bismark/meth_extract	0.00060272216796875
bowtie1	0.06609225273132324
bowtie2	0.0682992935180664
busco	0.002459287643432617
bustools	0.0005886554718017578
ccs/v4	0.0007042884826660156
ccs/v5	0.06668639183044434
cellranger/count_html	0.005422353744506836
cellranger/vdj_html	0.005346775054931641
checkqc	0.06661725044250488
clipandmerge	0.0023419857025146484
clusterflow/logs	0.0006113052368164062
clusterflow/runfiles	0.002467632293701172
conpair/concordance	0.0022530555725097656
conpair/contamination	0.002236604690551758
custom_content	0.0006477832794189453
cutadapt	0.0683431625366211
damageprofiler	0.0006122589111328125
dedup	0.0005939006805419922
deeptools/bamPEFragmentSizeDistribution	0.002153635025024414
deeptools/bamPEFragmentSizeTable	0.0021653175354003906
deeptools/estimateReadFiltering	0.002158641815185547
deeptools/plotCorrelationData	0.002149343490600586
deeptools/plotCoverageOutRawCounts	0.002138853073120117
deeptools/plotCoverageStdout	0.0021317005157470703
deeptools/plotEnrichment	0.002199888229370117
deeptools/plotFingerprintOutQualityMetrics	0.0021522045135498047
deeptools/plotFingerprintOutRawCounts	0.0021500587463378906
deeptools/plotPCAData	0.002145051956176758
deeptools/plotProfile	0.002151966094970703
diamond	0.0005857944488525391
disambiguate	0.002165555953979492
dragen/fragment_length_hist	0.0006041526794433594
dragen/gc_metrics	0.0006051063537597656
dragen/mapping_metrics	0.0035920143127441406
dragen/ploidy_estimation_metrics	0.0006155967712402344
dragen/qc_region_coverage_metrics	0.0005710124969482422
dragen/rna_quant_metrics	0.0005941390991210938
dragen/rna_transcript_cov	0.0006096363067626953
dragen/sc_atac_metrics	0.0006124973297119141
dragen/sc_rna_metrics	0.0006208419799804688
dragen/time_metrics	0.0005919933319091797
dragen/trimmer_metrics	0.0005962848663330078
dragen/vc_metrics	0.0006425380706787109
dragen/wgs_contig_mean_cov	0.0006055831909179688
dragen/wgs_coverage_metrics	0.0006194114685058594
dragen/wgs_fine_hist	0.0005960464477539062
dragen_fastqc	0.0005900859832763672
eigenstratdatabasetools	0.0006165504455566406
fastp	0.0006039142608642578
fastq_screen	0.0006122589111328125
fastqc/data	0.0005853176116943359
fastqc/theoretical_gc	0.0007159709930419922
fastqc/zip	0.0005946159362792969
featurecounts	0.0006177425384521484
fgbio/errorratebyreadposition	0.002214670181274414
fgbio/groupreadsbyumi	0.0022797584533691406
filtlong	0.0028083324432373047
flash/hist	0.0006709098815917969
flash/log	0.06767439842224121
flexbar	0.06360340118408203
gatk/base_recalibrator	0.0022306442260742188
gatk/varianteval	0.06717205047607422
gffcompare	0.0024917125701904297
goleft_indexcov/ped	0.0005891323089599609
goleft_indexcov/roc	0.0006093978881835938
gopeaks	0.0006003379821777344
happy	0.068756103515625
hicexplorer	0.000675201416015625
hicpro/assplit	0.0005908012390136719
hicpro/mRSstat	0.0006053447723388672
hicpro/mergestat	0.0006120204925537109
hicpro/mmapstat	0.0005853176116943359
hicpro/mpairstat	0.0005793571472167969
hicup	0.0006093978881835938
hifiasm	0.0020198822021484375
hisat2	0.06710338592529297
homer/FreqDistribution	0.0006053447723388672
homer/GCcontent	0.0005879402160644531
homer/LengthDistribution	0.000598907470703125
homer/RestrictionDistribution	0.0006172657012939453
homer/findpeaks	0.0022115707397460938
homer/genomeGCcontent	0.0005855560302734375
homer/tagInfo	0.0005691051483154297
hops	0.000598907470703125
htseq	0.06732726097106934
humid	0.0024161338806152344
interop/index-summary	0.0629587173461914
interop/summary	0.0642404556274414
ivar/trim	0.0023505687713623047
jcvi	0.06154060363769531
jellyfish	0.0006084442138671875
kaiju	0.0027108192443847656
kallisto	0.06380701065063477
kat	0.0006113052368164062
kraken	0.0029458999633789062
leehom	0.0671684741973877
lima/counts	0.002013683319091797
lima/summary	0.0006952285766601562
longranger/invocation	0.0006468296051025391
longranger/summary	0.0024678707122802734
macs2	0.0006206035614013672
malt	0.002199888229370117
methylQA	0.0005748271942138672
minionqc	0.06896209716796875
mirtop	0.0005958080291748047
mirtrace/contaminationbasic	0.0006260871887207031
mirtrace/length	0.0005993843078613281
mirtrace/mirnacomplexity	0.0006427764892578125
mirtrace/summary	0.0005948543548583984
mosdepth/global_dist	0.0006039142608642578
mosdepth/region_dist	0.0005967617034912109
mosdepth/summary	0.0005955696105957031
motus	0.0021839141845703125
mtnucratio	0.0005967617034912109
multivcfanalyzer	0.0005955696105957031
nanostat	0.0007381439208984375
nextclade	0.002136707305908203
ngsderive/encoding	0.002126932144165039
ngsderive/instrument	0.0021266937255859375
ngsderive/junction_annotation	0.0021190643310546875
ngsderive/readlen	0.002122163772583008
ngsderive/strandedness	0.0021402835845947266
odgi	0.002259969711303711
optitype	0.0021262168884277344
pangolin	0.002124786376953125
pbmarkdup	0.0030715465545654297
peddy/background_pca	0.0006113052368164062
peddy/het_check	0.0005900859832763672
peddy/ped_check	0.0006191730499267578
peddy/sex_check	0.0006406307220458984
peddy/summary_table	0.0005936622619628906
phantompeakqualtools/out	0.000640869140625
picard/alignment_metrics	0.06888961791992188
picard/basedistributionbycycle	0.0666346549987793
picard/collectilluminabasecallingmetrics	0.06577563285827637
picard/collectilluminalanemetrics	0.06765484809875488
picard/crosscheckfingerprints	0.06857037544250488
picard/extractilluminabarcodes	0.06991910934448242
picard/gcbias	0.07549715042114258
picard/hsmetrics	0.07191896438598633
picard/insertsize	0.06861662864685059
picard/markdups	0.07076907157897949
picard/markilluminaadapters	0.07069611549377441
picard/oxogmetrics	0.07608723640441895
picard/pcr_metrics	0.06786227226257324
picard/quality_by_cycle	0.06802535057067871
picard/quality_score_distribution	0.06675934791564941
picard/quality_yield_metrics	0.06867003440856934
picard/rnaseqmetrics	0.06544661521911621
picard/rrbs_metrics	0.07031965255737305
picard/sam_file_validation	0.0007450580596923828
picard/variant_calling_metrics	0.06630063056945801
picard/wgs_metrics	0.06980323791503906
porechop	0.0023963451385498047
preseq	0.0042989253997802734
preseq/real_counts	0.0006730556488037109
prinseqplusplus	0.0023114681243896484
prokka	0.0021948814392089844
purple/purity	0.0005908012390136719
purple/qc	0.0005979537963867188
pychopper	0.002277851104736328
pycoqc	0.002177715301513672
qc3C	0.0005755424499511719
qorts	0.004362344741821289
qualimap/bamqc/coverage	0.000583648681640625
qualimap/bamqc/gc_dist	0.0006151199340820312
qualimap/bamqc/genome_fraction	0.0005915164947509766
qualimap/bamqc/genome_results	0.0005881786346435547
qualimap/bamqc/insert_size	0.0005915164947509766
qualimap/rnaseq/coverage	0.0006079673767089844
qualimap/rnaseq/rnaseq_results	0.0005846023559570312
quast	0.0005705356597900391
rna_seqc/correlation	0.0005483627319335938
rna_seqc/coverage	0.0005769729614257812
rna_seqc/metrics_v1	0.07032442092895508
rna_seqc/metrics_v2	0.06574273109436035
rockhopper	0.0004665851593017578
rsem	0.0005755424499511719
rseqc/bam_stat	0.00043320655822753906
rseqc/gene_body_coverage	0.0005958080291748047
rseqc/infer_experiment	0.0010900497436523438
rseqc/inner_distance	0.0005924701690673828
rseqc/junction_annotation	0.00042891502380371094
rseqc/junction_saturation	0.0005974769592285156
rseqc/read_distribution	0.0004265308380126953
rseqc/read_duplication_pos	0.000579833984375
rseqc/read_gc	0.0005757808685302734
rseqc/tin	0.002472400665283203
salmon/fld	0.0005686283111572266
salmon/meta	0.07022953033447266
sambamba/markdup	0.003354310989379883
samblaster	0.06672859191894531
samtools/flagstat	0.0635230541229248
samtools/idxstats	0.0006499290466308594
samtools/rmdup	0.07035541534423828
samtools/stats	0.06623363494873047
sargasso	0.0006053447723388672
sentieon/alignment_metrics	0.06568074226379395
sentieon/gcbias	0.06946396827697754
sentieon/insertsize	0.06651592254638672
seqyclean	0.0005991458892822266
sexdeterrmine	0.0005977153778076172
sickle	0.002676248550415039
skewer	0.06467390060424805
slamdunk/PCA	0.002168893814086914
slamdunk/rates	0.0021638870239257812
slamdunk/summary	0.0021893978118896484
