Sample	time
adapterRemoval	0.0033431053161621094
afterqc	0.007489919662475586
anglerfish	0.0075511932373046875
bamtools/stats	0.0030057430267333984
bbduk	0.0025687217712402344
bbmap/aqhist	0.002531290054321289
bbmap/bhist	0.0023555755615234375
bbmap/bincov	0.0024335384368896484
bbmap/bqhist	0.0023910999298095703
bbmap/covhist	0.0023233890533447266
bbmap/covstats	0.0023500919342041016
bbmap/ehist	0.002313852310180664
bbmap/gchist	0.002468109130859375
bbmap/idhist	0.002362966537475586
bbmap/ihist	0.002525806427001953
bbmap/indelhist	0.0023081302642822266
bbmap/lhist	0.002268552780151367
bbmap/mhist	0.0022575855255126953
bbmap/qahist	0.002248525619506836
bbmap/qchist	0.003025531768798828
bbmap/qhist	0.0022525787353515625
bbmap/rpkm	0.0022432804107666016
bbmap/stats	0.0027480125427246094
bbmap/statsfile	0.0023000240325927734
bbmap/statsfile_machine	0.002245187759399414
bcftools/stats	0.007275819778442383
bcl2fastq	0.008718729019165039
bclconvert/adaptermetrics	0.0006554126739501953
bclconvert/demux	0.0007841587066650391
bclconvert/quality_metrics	0.0007045269012451172
bclconvert/runinfo	0.003302335739135742
bclconvert/unknown_barcodes	0.0006396770477294922
biobambam2/bamsormadup	0.002591371536254883
biobloomtools	0.0024182796478271484
biscuit/align_isize	0.002792835235595703
biscuit/align_mapq	0.002691030502319336
biscuit/align_strand	0.002700328826904297
biscuit/base_avg_retention_rate	0.0006878376007080078
biscuit/covdist_all_base	0.0006544589996337891
biscuit/covdist_all_base_botgc	0.0006840229034423828
biscuit/covdist_all_base_topgc	0.0006539821624755859
biscuit/covdist_all_cpg	0.0006358623504638672
biscuit/covdist_all_cpg_botgc	0.0006387233734130859
biscuit/covdist_all_cpg_topgc	0.0006339550018310547
biscuit/covdist_q40_base	0.0006573200225830078
biscuit/covdist_q40_base_botgc	0.0006551742553710938
biscuit/covdist_q40_base_topgc	0.0006368160247802734
biscuit/covdist_q40_cpg	0.0006666183471679688
biscuit/covdist_q40_cpg_botgc	0.0006384849548339844
biscuit/covdist_q40_cpg_topgc	0.0006337165832519531
biscuit/cpg_retention_readpos	0.0006182193756103516
biscuit/cph_retention_readpos	0.0006744861602783203
biscuit/dup_report	0.0026845932006835938
biscuit/qc_cv	0.0027074813842773438
biscuit/read_avg_retention_rate	0.0006277561187744141
bismark/align	0.0006558895111083984
bismark/bam2nuc	0.0006115436553955078
bismark/dedup	0.0006401538848876953
bismark/m_bias	0.0006020069122314453
bismark/meth_extract	0.0006239414215087891
bowtie1	0.007635593414306641
bowtie2	0.007509708404541016
busco	0.002583026885986328
bustools	0.0006215572357177734
ccs/v4	0.0007200241088867188
ccs/v5	0.007569789886474609
cellranger/count_html	0.00581812858581543
cellranger/vdj_html	0.0057544708251953125
checkqc	0.007246255874633789
clipandmerge	0.0025529861450195312
clusterflow/logs	0.0006301403045654297
clusterflow/runfiles	0.0026166439056396484
conpair/concordance	0.0023381710052490234
conpair/contamination	0.0023305416107177734
custom_content	0.0006737709045410156
cutadapt	0.0034334659576416016
damageprofiler	0.0006234645843505859
dedup	0.0005955696105957031
deeptools/bamPEFragmentSizeDistribution	0.002287626266479492
deeptools/bamPEFragmentSizeTable	0.00225830078125
deeptools/estimateReadFiltering	0.002276182174682617
deeptools/plotCorrelationData	0.002315044403076172
deeptools/plotCoverageOutRawCounts	0.0022382736206054688
deeptools/plotCoverageStdout	0.002292633056640625
deeptools/plotEnrichment	0.0022118091583251953
deeptools/plotFingerprintOutQualityMetrics	0.002214193344116211
deeptools/plotFingerprintOutRawCounts	0.0022346973419189453
deeptools/plotPCAData	0.002299070358276367
deeptools/plotProfile	0.0022978782653808594
diamond	0.0005862712860107422
disambiguate	0.0023529529571533203
dragen/fragment_length_hist	0.0006215572357177734
dragen/gc_metrics	0.0006122589111328125
dragen/mapping_metrics	0.004086971282958984
dragen/ploidy_estimation_metrics	0.0006210803985595703
dragen/qc_region_coverage_metrics	0.0005929470062255859
dragen/rna_quant_metrics	0.0006115436553955078
dragen/rna_transcript_cov	0.0006415843963623047
dragen/sc_atac_metrics	0.0006358623504638672
dragen/sc_rna_metrics	0.0006406307220458984
dragen/time_metrics	0.0006077289581298828
dragen/trimmer_metrics	0.0006353855133056641
dragen/vc_metrics	0.0006034374237060547
dragen/wgs_contig_mean_cov	0.0006167888641357422
dragen/wgs_coverage_metrics	0.0006682872772216797
dragen/wgs_fine_hist	0.0006070137023925781
dragen_fastqc	0.0006186962127685547
eigenstratdatabasetools	0.0006148815155029297
fastp	0.0006279945373535156
fastq_screen	0.0006005764007568359
fastqc/data	0.0006182193756103516
fastqc/theoretical_gc	0.0007233619689941406
fastqc/zip	0.0006067752838134766
featurecounts	0.0006127357482910156
fgbio/errorratebyreadposition	0.0024995803833007812
fgbio/groupreadsbyumi	0.0024499893188476562
filtlong	0.0027616024017333984
flash/hist	0.0006885528564453125
flash/log	0.007182598114013672
flexbar	0.006815671920776367
gatk/base_recalibrator	0.002367734909057617
gatk/varianteval	0.0068171024322509766
gffcompare	0.0025987625122070312
goleft_indexcov/ped	0.0007479190826416016
goleft_indexcov/roc	0.0006158351898193359
gopeaks	0.0006031990051269531
happy	0.007826805114746094
hicexplorer	0.0007085800170898438
hicpro/assplit	0.0005984306335449219
hicpro/mRSstat	0.0005903244018554688
hicpro/mergestat	0.0005965232849121094
hicpro/mmapstat	0.0005950927734375
hicpro/mpairstat	0.0006008148193359375
hicup	0.000606536865234375
hifiasm	0.002182483673095703
hisat2	0.007333040237426758
homer/FreqDistribution	0.0006124973297119141
homer/GCcontent	0.0006010532379150391
homer/LengthDistribution	0.0006139278411865234
homer/RestrictionDistribution	0.0006341934204101562
homer/findpeaks	0.002352476119995117
homer/genomeGCcontent	0.0006048679351806641
homer/tagInfo	0.0005910396575927734
hops	0.0006098747253417969
htseq	0.0075531005859375
humid	0.002852201461791992
interop/index-summary	0.006751060485839844
interop/summary	0.006809234619140625
ivar/trim	0.0026116371154785156
jcvi	0.006615877151489258
jellyfish	0.0006072521209716797
kaiju	0.0027742385864257812
kallisto	0.006785869598388672
kat	0.0006580352783203125
kraken	0.0029821395874023438
leehom	0.007216691970825195
lima/counts	0.002168416976928711
lima/summary	0.0006933212280273438
longranger/invocation	0.0007054805755615234
longranger/summary	0.002588033676147461
macs2	0.0006043910980224609
malt	0.0022995471954345703
methylQA	0.0005879402160644531
minionqc	0.0075054168701171875
mirtop	0.0006177425384521484
mirtrace/contaminationbasic	0.0006248950958251953
mirtrace/length	0.0006048679351806641
mirtrace/mirnacomplexity	0.0006215572357177734
