Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
03_12_AN_F1C14_1	3.5	25004506	6234140	25004506	3775680406	5158503	3613433791	4.297149058012724
03_12_AN_F1C14_2	3.5	25004506	6293392	25004506	3775680406	8137917	3606911475	4.469894505154788
03_12_AN_F2C14_1	3.5	22885775	5233106	22885775	3455752025	2561018	3313594228	4.113657344959525
03_12_AN_F2C14_2	3.5	22885775	5277707	22885775	3455752025	5737804	3309471178	4.232967120955387
03_12_ANmF1C14_1	3.5	23923290	7469234	23923290	3612416790	2672683	3396325871	5.981893329645387
03_12_ANmF1C14_2	3.5	23923290	7503336	23923290	3612416790	8516790	3390264425	6.149688087348304
03_12_ANmF2C14_1	3.5	22379740	6515828	22379740	3379340740	2455043	3200077976	5.304666732127166
03_12_ANmF2C14_2	3.5	22379740	6564576	22379740	3379340740	5295291	3196255183	5.417789180974985
10_3MMmADN_F1C1_1	3.5	26393692	4205639	26393692	3985447492	4723081	3881739104	2.602176749491096
10_3MMmADN_F1C1_2	3.5	26393692	4265944	26393692	3985447492	4035108	3880740034	2.6272446998782337
10_3MMmADNmF1C1_1	3.5	23562816	3012282	23562816	3557985216	4111391	3484122714	2.0759642751702763
10_3MMmADNmF1C1_2	3.5	23562816	3066263	23562816	3557985216	4007612	3482589284	2.119062543063698
11_10_AN_F1C7_1	3.5	29774152	4309130	29774152	4495896952	6061110	4385357394	2.4586764149660163
11_10_AN_F1C7_2	3.5	29774152	4373302	29774152	4495896952	5778739	4383795032	2.493427255936804
11_10_AN_F2C7_1	3.5	27768463	3762694	27768463	4193037913	5271633	4094916401	2.340105528161009
11_10_AN_F2C7_2	3.5	27768463	3821589	27768463	4193037913	6036237	4092993668	2.3859608969865285
11_10_ANmF1C7_1	3.5	29939367	4427478	29939367	4520844417	6187542	4402603980	2.6154502587032957
11_10_ANmF1C7_2	3.5	29939367	4489771	29939367	4520844417	6805875	4400382306	2.6645931575751463
11_10_ANmF2C7_1	3.5	29746213	4958082	29746213	4491678163	7574752	4369667260	2.7163767877462686
11_10_ANmF2C7_2	3.5	29746213	5021867	29746213	4491678163	7173914	4367241840	2.770374868463166
12_1_C11R6_F1_1	3.5	29717693	6038489	29717693	4487371643	10009234	4323659287	3.6482905590264703
12_1_C11R6_F1_2	3.5	29717693	6178222	29717693	4487371643	5557519	4324634921	3.6265487895092976
12_1_C11R6_F2_1	3.5	29596055	7372767	29596055	4469004305	10355401	4260898089	4.6566573177646555
12_1_C11R6_F2_2	3.5	29596055	7521650	29596055	4469004305	6733593	4260464498	4.666359501302829
12_1_C11R6mF1_1	3.5	29864720	7414210	29864720	4509572720	11231245	4299933401	4.648762355472116
12_1_C11R6mF1_2	3.5	29864720	7558095	29864720	4509572720	7109713	4298852201	4.672738019401536
12_1_C11R6mF2_1	3.5	29654716	5901008	29654716	4477862116	11418939	4313379183	3.6732469365744977
12_1_C11R6mF2_2	3.5	29654716	6028440	29654716	4477862116	6393178	4313646791	3.6672706918160047
12_1_C15R_F1_1	3.5	29731220	6413189	29731220	4489414220	6629569	4306413091	4.076280780346439
12_1_C15R_F1_2	3.5	29731220	6648272	29731220	4489414220	7113357	4302798640	4.156791306283162
12_1_C15R_F2_1	3.5	29831860	7132748	29831860	4504610860	11082326	4299180586	4.560444406511953
12_1_C15R_F2_2	3.5	29831860	7378226	29831860	4504610860	5986559	4296218880	4.626192727333611
16_3MMmADN_F2C1_1	3.5	25424843	4169231	25424843	3839151293	5885530	3740098251	2.5800765440165216
16_3MMmADN_F2C1_2	3.5	25424843	4220433	25424843	3839151293	5200398	3738654627	2.617679229866183
16_3MMmADNmF2C1_1	3.5	26393619	4590699	26393619	3985436469	4986982	3875724689	2.7528171846013185
16_3MMmADNmF2C1_2	3.5	26393619	4643768	26393619	3985436469	7596367	3871695100	2.853925031416678
18_03_AN_F1C8r_1	3.5	29762498	9893884	29762498	4494137198	4364129	4224377605	6.002477919900833
18_03_AN_F1C8r_2	3.5	29762498	10013324	29762498	4494137198	5387613	4221620726	6.063821819264362
18_03_AN_F2C8r_1	3.5	29586410	10643625	29586410	4467547910	9820941	4163772085	6.7996097886278735
18_03_AN_F2C8r_2	3.5	29586410	10749445	29586410	4467547910	5918448	4160999515	6.8616700072501295
18_03_ANmF1C8r_1	3.5	29911154	12608912	29911154	4516584254	5241180	4139137617	8.356904593681028
18_03_ANmF1C8r_2	3.5	29911154	12717938	29911154	4516584254	4474280	4137680726	8.389161071542805
18_03_ANmF2C8r_1	3.5	29860332	12690749	29860332	4508910132	11320215	4134281564	8.308627961804763
18_03_ANmF2C8r_2	3.5	29860332	12796550	29860332	4508910132	4368648	4132492927	8.348296905022458
19_01_ADN_F1C2r_1	3.5	24536082	4609833	24536082	3704948382	5085971	3590477420	3.0896776472282848
19_01_ADN_F1C2r_2	3.5	24536082	4708352	24536082	3704948382	7746509	3585650294	3.219966264026617
19_01_ADN_F2C2r_1	3.5	23777855	5427361	23777855	3590456105	4475172	3450133197	3.908219565881589
19_01_ADN_F2C2r_2	3.5	23777855	5520870	23777855	3590456105	8674540	3444497946	4.06517040541845
19_01_ADNmF1C2r_1	3.5	25175324	5786273	25175324	3801473924	5703778	3654039154	3.87835805131252
19_01_ADNmF1C2r_2	3.5	25175324	5851629	25175324	3801473924	9364379	3648752319	4.017431345137382
19_01_ADNmF2C2r_1	3.5	26666378	5389317	26666378	4026623078	7199777	3890912403	3.370334704071847
19_01_ADNmF2C2r_2	3.5	26666378	5471066	26666378	4026623078	8687813	3887082636	3.465445841265801
19_01_AN_F1C11_1	3.5	28509069	4623541	28509069	4304869419	5092483	4191542061	2.632538805934917
19_01_AN_F1C11_2	3.5	28509069	4680243	28509069	4304869419	8387087	4187062203	2.7366037046337643
19_01_AN_F1C12_1	3.5	26285644	6053596	26285644	3969132244	3314395	3811685433	3.966781687307267
19_01_AN_F1C12_2	3.5	26285644	6254611	26285644	3969132244	6520120	3806916409	4.086934499227535
19_01_AN_F2C11_1	3.5	29948479	5684078	29948479	4522220329	5440559	4379884769	3.1474707034337426
19_01_AN_F2C11_2	3.5	29948479	5749600	29948479	4522220329	8682286	4375107854	3.253102774683493
19_01_AN_F2C12_1	3.5	25640410	6868540	25640410	3871701910	6464620	3686926952	4.772447938792891
19_01_AN_F2C12_2	3.5	25640410	7041812	25640410	3871701910	6393692	3682308116	4.891745242856261
19_01_ANmF1C11_1	3.5	24542403	16610221	24542403	3705902853	2263965	3108918046	16.109024728393223
19_01_ANmF1C11_2	3.5	24542403	16550703	24542403	3705902853	4705500	3109409637	16.095759647804236
19_01_ANmF1C12_1	3.5	26436403	6202991	26436403	3991896853	4261871	3832227924	3.999826019552715
19_01_ANmF1C12_2	3.5	26436403	6398794	26436403	3991896853	6189248	3827697338	4.1133205853402846
19_01_ANmF2C11_1	3.5	22234995	12663286	22234995	3357484245	2121663	2937591459	12.506172936635776
19_01_ANmF2C11_2	3.5	22234995	12499885	22234995	3357484245	13455923	2932102826	12.669647508651227
19_01_ANmF2C12_1	3.5	23639771	5984154	23639771	3569605421	4141153	3412399565	4.404012137452432
19_01_ANmF2C12_2	3.5	23639771	6157453	23639771	3569605421	5481950	3408523401	4.5126001616972555
19_10_AN_F1C8_1	3.5	29750787	5731488	29750787	4492368837	7364683	4345380870	3.27194788169171
19_10_AN_F1C8_2	3.5	29750787	5899868	29750787	4492368837	9145371	4339921326	3.3934771727649222
19_10_AN_F2C8_1	3.5	29000544	6455526	29000544	4379082144	4849532	4204666443	3.982928277309794
19_10_AN_F2C8_2	3.5	29000544	6577839	29000544	4379082144	8692445	4200025421	4.088909892803326
19_10_ANmF1C8_1	3.5	25574101	3737648	25574101	3861689251	4846061	3768598128	2.4106321598998077
19_10_ANmF1C8_2	3.5	25574101	3839922	25574101	3861689251	8594562	3763416559	2.544810978111506
19_10_ANmF2C8_1	3.5	28500181	5934278	28500181	4303527331	5289024	4146216118	3.6554017414232614
19_10_ANmF2C8_2	3.5	28500181	6075283	28500181	4303527331	6375221	4143052398	3.728916320434076
19_4_MMmAN_F1C5_1	3.5	25943449	7119253	25943449	3917460799	3475413	3726760209	4.867964219289179
19_4_MMmAN_F1C5_2	3.5	25943449	7186594	25943449	3917460799	2937976	3725435854	4.9017706839342905
19_4_MMmAN_F2C5_1	3.5	29933374	8204800	29933374	4519939474	4083564	4300430309	4.85646248722312
19_4_MMmAN_F2C5_2	3.5	29933374	8278245	29933374	4519939474	3139084	4299719722	4.87218364906804
19_4_MMmANmF1C5_1	3.5	28568819	8038354	28568819	4313891669	4112491	4098634396	4.989862739179508
19_4_MMmANmF1C5_2	3.5	28568819	8114008	28568819	4313891669	3234245	4097582700	5.01424202546427
19_4_MMmANmF2C5_1	3.5	22698369	5889448	22698369	3427453719	2954197	3276797044	4.395585975817519
19_4_MMmANmF2C5_2	3.5	22698369	5940357	22698369	3427453719	2747635	3275984443	4.419294567285738
1_1	3.5	28723207	4658604	28723207	4337204257	8753654	4220954550	2.6802912685603775
