Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
03_12_AN_F1C14_1	4.297149058012724
03_12_AN_F1C14_2	4.469894505154788
03_12_AN_F2C14_1	4.113657344959525
03_12_AN_F2C14_2	4.232967120955387
03_12_ANmF1C14_1	5.981893329645387
03_12_ANmF1C14_2	6.149688087348304
03_12_ANmF2C14_1	5.304666732127166
03_12_ANmF2C14_2	5.417789180974985
10_3MMmADN_F1C1_1	2.602176749491096
10_3MMmADN_F1C1_2	2.6272446998782337
10_3MMmADNmF1C1_1	2.0759642751702763
10_3MMmADNmF1C1_2	2.119062543063698
11_10_AN_F1C7_1	2.4586764149660163
11_10_AN_F1C7_2	2.493427255936804
11_10_AN_F2C7_1	2.340105528161009
11_10_AN_F2C7_2	2.3859608969865285
11_10_ANmF1C7_1	2.6154502587032957
11_10_ANmF1C7_2	2.6645931575751463
11_10_ANmF2C7_1	2.7163767877462686
11_10_ANmF2C7_2	2.770374868463166
12_1_C11R6_F1_1	3.6482905590264703
12_1_C11R6_F1_2	3.6265487895092976
12_1_C11R6_F2_1	4.6566573177646555
12_1_C11R6_F2_2	4.666359501302829
12_1_C11R6mF1_1	4.648762355472116
12_1_C11R6mF1_2	4.672738019401536
12_1_C11R6mF2_1	3.6732469365744977
12_1_C11R6mF2_2	3.6672706918160047
12_1_C15R_F1_1	4.076280780346439
12_1_C15R_F1_2	4.156791306283162
12_1_C15R_F2_1	4.560444406511953
12_1_C15R_F2_2	4.626192727333611
16_3MMmADN_F2C1_1	2.5800765440165216
16_3MMmADN_F2C1_2	2.617679229866183
16_3MMmADNmF2C1_1	2.7528171846013185
16_3MMmADNmF2C1_2	2.853925031416678
18_03_AN_F1C8r_1	6.002477919900833
18_03_AN_F1C8r_2	6.063821819264362
18_03_AN_F2C8r_1	6.7996097886278735
18_03_AN_F2C8r_2	6.8616700072501295
18_03_ANmF1C8r_1	8.356904593681028
18_03_ANmF1C8r_2	8.389161071542805
18_03_ANmF2C8r_1	8.308627961804763
18_03_ANmF2C8r_2	8.348296905022458
19_01_ADN_F1C2r_1	3.0896776472282848
19_01_ADN_F1C2r_2	3.219966264026617
19_01_ADN_F2C2r_1	3.908219565881589
19_01_ADN_F2C2r_2	4.06517040541845
19_01_ADNmF1C2r_1	3.87835805131252
19_01_ADNmF1C2r_2	4.017431345137382
19_01_ADNmF2C2r_1	3.370334704071847
19_01_ADNmF2C2r_2	3.465445841265801
19_01_AN_F1C11_1	2.632538805934917
19_01_AN_F1C11_2	2.7366037046337643
19_01_AN_F1C12_1	3.966781687307267
19_01_AN_F1C12_2	4.086934499227535
19_01_AN_F2C11_1	3.1474707034337426
19_01_AN_F2C11_2	3.253102774683493
19_01_AN_F2C12_1	4.772447938792891
19_01_AN_F2C12_2	4.891745242856261
19_01_ANmF1C11_1	16.109024728393223
19_01_ANmF1C11_2	16.095759647804236
19_01_ANmF1C12_1	3.999826019552715
19_01_ANmF1C12_2	4.1133205853402846
19_01_ANmF2C11_1	12.506172936635776
19_01_ANmF2C11_2	12.669647508651227
19_01_ANmF2C12_1	4.404012137452432
19_01_ANmF2C12_2	4.5126001616972555
19_10_AN_F1C8_1	3.27194788169171
19_10_AN_F1C8_2	3.3934771727649222
19_10_AN_F2C8_1	3.982928277309794
19_10_AN_F2C8_2	4.088909892803326
19_10_ANmF1C8_1	2.4106321598998077
19_10_ANmF1C8_2	2.544810978111506
19_10_ANmF2C8_1	3.6554017414232614
19_10_ANmF2C8_2	3.728916320434076
19_4_MMmAN_F1C5_1	4.867964219289179
19_4_MMmAN_F1C5_2	4.9017706839342905
19_4_MMmAN_F2C5_1	4.85646248722312
19_4_MMmAN_F2C5_2	4.87218364906804
19_4_MMmANmF1C5_1	4.989862739179508
19_4_MMmANmF1C5_2	5.01424202546427
19_4_MMmANmF2C5_1	4.395585975817519
19_4_MMmANmF2C5_2	4.419294567285738
1_1	2.6802912685603775
1_2	2.6946736670603615
23_4MMmADN_F1C2_1	3.7723501857997563
23_4MMmADN_F1C2_2	3.835851417741645
23_4MMmADN_F2C2_1	3.328215305526405
23_4MMmADN_F2C2_2	3.415165586073359
23_4MMmADNmF1C2_1	4.592756425778511
23_4MMmADNmF1C2_2	4.658649584225081
23_4MMmADNmF2C2_1	3.5632150381507737
23_4MMmADNmF2C2_2	3.5940202061767463
29_11_AN_F1C15_1	6.6611983447030525
29_11_AN_F1C15_2	6.778469495607651
29_11_AN_F2C15_1	8.606575571394819
29_11_AN_F2C15_2	8.662382581920633
29_11_ANmF1C15_1	7.002140067982207
29_11_ANmF1C15_2	7.127083508286837
29_11_ANmF2C15_1	6.064880336526953
29_11_ANmF2C15_2	6.169825645426382
2_1	3.168774998443164
2_2	3.1875520943788773
3_1	3.650948217296916
3_2	3.6828223374872926
4_1	3.6723378156306294
4_2	3.692758318387172
5_1	3.7189299312828226
5_2	3.788121800684781
6_1	3.8010413372326064
6_2	4.045441068455368
7_1	3.6893134667691645
7_2	3.9368409457372247
8_1	4.153206826695484
8_2	4.2152990993122295
8_4_MMmAN_F1C6_1	6.3431454307019965
8_4_MMmAN_F1C6_2	6.415393762384998
8_4_MMmAN_F2C6_1	7.388013463812132
8_4_MMmAN_F2C6_2	7.445420438749569
8_4_MMmANmF1C6_1	5.77501009890136
8_4_MMmANmF1C6_2	5.827284274732069
8_4_MMmANmF2C6_1	6.780233222333316
8_4_MMmANmF2C6_2	6.827556261853653
ANLCFA_F1C12R_1	4.568456022086655
ANLCFA_F1C12R_2	4.782408109412025
ANLCFA_F2C12R_1	4.9871046589286845
ANLCFA_F2C12R_2	5.122197278337289
ANLCFAmF1C12R_1	4.798128995981353
ANLCFAmF1C12R_2	4.914650278080703
ANLCFAmF2C12R_1	4.1825951754798165
ANLCFAmF2C12R_2	4.3330130155316295
