"Iron" "Dextrose" "Growth" "LCFA" "Glycerol" "Culture" "Sample_ID" "Original_ID" "setup" "Full_path" "short_setup" "color" "fill" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32"
"C1_Fe_NO_3" "NO" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_NO_3" "10_3MMmADN_F1C1" "Fe.NO_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/10_3MMmADN_F1C1" "C1_Fe_NO" "#f6a1a1" "white" -45.6119913259206 -24.4230387523807 -29.4124203080545 4.82601494547632 -6.01413216661143 9.00093447978014 -0.929182560293588 5.58998151808817 -11.5258692318062 3.71384802913766 -0.494001540868789 4.2464418620604 -6.11169980091373 1.93870068392099 1.60038949004733 3.34495749476848 1.20754918515193 -0.352330918590826 -0.918211296218846 -3.71143035113705 -0.974782657883796 -1.57146464848181 5.76089229163515 3.34031282581763 1.41230721241214 0.679753543405336 1.0604463685184 -3.31901208050964 -0.453110508431614 -0.146336176150066 -0.485652146423808 -2.85813039901939e-14
"C1_Fe_NO_4" "NO" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_NO_4" "16_3MMmADN_F2C1" "Fe.NO_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/16_3MMmADN_F2C1" "C1_Fe_NO" "#f6a1a1" "white" -40.6076417016128 -17.5432354174896 -25.0876371002729 5.43000973413477 -8.68792526555772 5.25939742579079 1.85510856117049 6.92165819618226 -13.1005310525509 -0.512950538382918 1.50572873776623 -6.72169801146948 6.25492786767115 -2.77564621782884 -3.67056034099375 -1.61241428455378 -3.68207510587178 -0.696883415278852 -0.919733144721327 0.875251163869899 -1.25355788535385 -0.983946588972648 1.37088854745874 -0.606720890108291 -1.96730388339217 -4.01800049546545 3.64437061257498 2.76900498263703 1.86655503986307 -0.0731027563073273 -0.0460780740832517 -3.81539418115029e-14
"C1_Fe_YES_3" "YES" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_YES_3" "10_3MMmADNmF1C1" "Fe.YES_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/10_3MMmADNmF1C1" "C1_Fe_YES" "#f6a1a1" "#f6a1a1" -43.4831777241484 -23.148543934901 -29.0623842903098 4.41894018677152 -4.33193764445574 7.19307673635952 0.0710411077033685 1.91638440731753 -10.2150042922326 4.7820807760651 0.230337732205462 6.81205246115582 -7.73481324630813 1.86019527845843 4.38718691625957 4.20578181991279 3.08874025427635 0.844929469242648 2.23193502601462 0.0370979022503684 3.54000676410168 1.56963939832646 -4.81777210312744 -3.80994719004111 -0.156601070452375 -0.962530844095169 -0.864264986293119 2.40083196053812 -0.267923896353468 0.0994722680797224 -0.0954840081379987 -4.34908185853455e-14
"C1_Fe_YES_4" "YES" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_YES_4" "16_3MMmADNmF2C1" "Fe.YES_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/16_3MMmADNmF2C1" "C1_Fe_YES" "#f6a1a1" "#f6a1a1" -41.0491485489499 -18.6447731512359 -20.1200950633264 6.45327854543674 -9.87413884634011 6.64236531739208 -0.368062542124766 8.67832837671325 -13.2693926590229 -0.153596578953958 0.184469839835776 -5.51412736982404 6.50189968102895 -1.781984669108 -1.07000933118217 -5.03842097346388 -2.10199622099657 0.943548376673889 -0.659397428642642 3.19455888024571 -0.910881818144811 1.32393923571064 -3.22125392338971 0.910084757899865 1.07929420089245 4.28828441668415 -3.54560725497332 -1.6961979598328 -0.897264798611665 0.0805692179147032 0.539244786000771 -2.39981645666631e-14
"C11_Fe_NO_3" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_3" "12_1_C11R6_F1" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F1" "C11_Fe_NO" "#8cd9ff" "white" -44.4198044446243 -15.6073989289522 -13.8185709094026 7.1847373681614 5.56476028763525 2.18131315541994 -8.46142993639686 -3.79687130765431 13.673292376951 -2.17379249470065 -0.480674842504607 3.24029330062241 -0.490954918722801 -0.653949124429032 -0.0484869660615684 -2.10763971988992 -1.54409914679082 -3.611439911373 -0.469751148215925 -1.62881209607976 -1.26128688106203 -0.443607719853979 3.01674243715028 2.57707745417899 -0.0246255462874736 -0.398946983035958 -4.32709065813162 4.86841611483299 -1.34199218172351 -0.424709680557167 0.897238627650635 -3.69136145261795e-14
"C11_Fe_NO_4" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_4" "12_1_C11R6_F2" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F2" "C11_Fe_NO" "#8cd9ff" "white" -41.4566335352349 -12.1138138120217 -14.8607883358654 5.52072163888304 6.86565176444883 0.364245014724232 -2.59370063443677 -5.74844589757373 14.4530545478272 -3.45821873535841 1.28044177580744 -0.486210752929695 -0.581002867437511 -2.77955085202285 -2.63223025395357 0.147840577109653 -6.82925647023704 -6.82016233637315 -1.15583188484327 -2.1530429202939 3.57866853852591 -0.709204444072567 -2.87484827496523 -1.96520001249093 1.40733344516629 -1.19316874615583 1.57201602327669 -3.42884680294929 -1.14534392226503 0.510790202312906 1.28349542240072 -4.59597637725295e-14
"C11_Fe_YES_3" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_3" "12_1_C11R6mF1" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF1" "C11_Fe_YES" "#8cd9ff" "#8cd9ff" -43.810277029717 -13.4756173858351 -15.5867134038606 6.396864927297 5.03671355685891 1.27364505960998 -7.81029237993533 -5.76446427936556 15.2661231410654 -4.63577336356561 0.0742727022789061 -0.2137975636511 -0.148421112368438 0.78582635497671 -0.243056033163165 0.764341380503393 2.27151751976873 2.64462379592346 -0.0907203242135705 1.06377631522575 -2.0678148697963 1.36656830771566 -0.959155444131483 0.0363726273100788 0.630402328275611 0.28185696538361 -0.982176864321084 -1.45452202537795 5.95894441086305 -1.00177139498852 -1.73908273958824 -4.36963833172488e-14
"C11_Fe_YES_4" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_4" "12_1_C11R6mF2" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF2" "C11_Fe_YES" "#8cd9ff" "#8cd9ff" -44.1788824795681 -10.8497064317246 -16.6026343801531 5.34080228556374 2.32035544634546 0.498639860908621 -7.789902895588 -5.17027931797003 13.0999718166894 -8.34179535011319 -0.161260305137207 -4.79904696096561 2.68552296754653 1.21315652956846 -0.307972698742147 2.48023796742028 5.66327654854763 6.31225243635637 0.765934582161008 2.79379523429719 -2.25614365779149 0.0442531801620163 0.478345866512614 -0.821177079943959 -1.72881723185272 0.723686305477623 2.84714653045161 -0.178894522185257 -3.9279539164683 1.08333182482085 -0.0567915126429315 -3.69869065930395e-14
"C12_Fe_NO_1" "NO" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_NO_1" "19_01_AN_F1C12" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_AN_F1C12" "C12_Fe_NO" "#355f91" "white" 23.2687193812503 58.515701886609 -15.7677066802388 15.6443472409906 6.46682990232403 2.70041724842308 2.20687473441937 4.78338718490248 2.16463520866701 5.09670289651089 -5.1963994077627 -1.62119220767595 1.24112609301588 -13.1579992342154 4.12361448991736 5.30091726714148 -0.263872092716487 -1.64154206278311 6.39669203462957 1.32221411332722 -1.70729277748919 -0.404169016343339 0.466682647418377 0.4727413938957 0.154211285720009 0.288249838282665 -0.273602059795723 -0.263127313642397 -0.0080478052311624 -0.330595287843886 -0.22787704121948 -8.9380759737967e-14
"C12_Fe_NO_2" "NO" "NO" "STAT" "YES" "NO" "C12" "C12_Fe_NO_2" "19_01_AN_F2C12" "Fe.NO_Dextrose.NO_Growth.STAT_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00166209_C11_C12_C2r_Marzo_2022/RawFASTQ/19_01_AN_F2C12" "C12_Fe_NO" "#355f91" "white" 23.333798427462 55.1783214640774 -10.9670419097779 17.3300892333393 7.3610734765309 4.06794870524532 -3.44739696608066 4.98414399601435 -0.541293654928524 2.88712652089821 -3.26261275544179 -2.17682546945939 -9.10579808722706 -3.59757677284693 -7.81198263628126 -5.8601037552445 5.33901109263578 1.25971772025447 -6.67945081072177 0.12664050895979 1.40111323632939 0.810205723842202 -0.361681919314404 -0.169421455050453 0.747274965435456 -0.358883641008098 0.353503943838989 0.344903939707435 -0.0914075324445431 0.245088905371684 0.203390521806847 -6.99087055605618e-14
