"Iron" "Dextrose" "Growth" "LCFA" "Glycerol" "Culture" "Sample_ID" "Original_ID" "setup" "Full_path" "short_setup" "color" "fill" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16"
"C1_Fe_NO_3" "NO" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_NO_3" "10_3MMmADN_F1C1" "Fe.NO_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/10_3MMmADN_F1C1" "C1_Fe_NO" "#f6a1a1" "white" -58.969465569003 7.28481386271315 24.9932802848309 -17.8461883252975 9.83635219566628 -3.20480552527557 -3.4673470218137 -13.8718402688646 -9.91220739463488 -3.39207222121437 0.327293544746456 6.96770258141852 0.377649545382637 2.24792005380641 -0.759532422306867 8.17761657001537e-14
"C1_Fe_NO_4" "NO" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_NO_4" "16_3MMmADN_F2C1" "Fe.NO_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/16_3MMmADN_F2C1" "C1_Fe_NO" "#f6a1a1" "white" -46.1140212022385 5.71222294577904 31.9519656583602 21.1224181316684 -7.82288469037783 7.16749167960932 2.88890310543949 -3.85191700049457 4.59992980894219 -4.82133262129902 11.7806925144262 -6.08536042652989 2.23057982339403 0.292522672508487 0.909961347196234 9.74070000006599e-14
"C1_Fe_YES_3" "YES" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_YES_3" "10_3MMmADNmF1C1" "Fe.YES_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/10_3MMmADNmF1C1" "C1_Fe_YES" "#f6a1a1" "#f6a1a1" -55.9677355799481 1.52087490212376 19.910521048024 -22.3532674700487 15.2113136528038 -5.74638620034508 -6.55920627567894 12.8941048729292 10.4903005476949 0.570041978166245 -1.1765763558139 -4.13216945075457 -1.32295914313622 -0.996886159759546 -0.200971438789764 5.99075910406865e-14
"C1_Fe_YES_4" "YES" "YES" "EXP" "NO" "YES" "C1" "C1_Fe_YES_4" "16_3MMmADNmF2C1" "Fe.YES_Dextrose.YES_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00153515_C1_C2_Julio_2021/RawFASTQ/16_3MMmADNmF2C1" "C1_Fe_YES" "#f6a1a1" "#f6a1a1" -41.3327119740909 13.8347701886969 33.8330105724342 15.9016827646821 -14.235873579547 2.5051251428866 6.5683797872947 7.54566944268893 -5.07303164683516 7.83639393888032 -10.0924857305194 3.16208146601265 -0.785581262782242 -1.35766677138121 0.201122479450927 9.33531680777366e-14
"C11_Fe_NO_3" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_3" "12_1_C11R6_F1" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F1" "C11_Fe_NO" "#8cd9ff" "white" -30.2179744396367 12.5434728970418 -32.6868051297189 -6.64425850172385 -4.5350995690745 8.28777956950745 0.664805220055943 -7.47101108999243 -4.07901479190598 -3.47386629530662 -6.93946518500768 -11.3474021299538 -5.33920258688563 -3.23053107867457 0.522412242662069 8.25436724180562e-14
"C11_Fe_NO_4" "NO" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_NO_4" "12_1_C11R6_F2" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6_F2" "C11_Fe_NO" "#8cd9ff" "white" -27.1584393871597 -2.21260452289862 -33.8075007974761 6.40414918664276 1.17368566545082 21.8748068695827 -8.89709983028058 6.79834212556755 1.63779269644711 -4.43426069951667 1.80391223131333 9.61916605700093 -0.434408818934148 -2.33607055463233 0.778997417370083 9.35341214203245e-14
"C11_Fe_YES_3" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_3" "12_1_C11R6mF1" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF1" "C11_Fe_YES" "#8cd9ff" "#8cd9ff" -30.3537517623968 9.26655145617596 -37.0236191078069 1.88622358616041 2.5045054418398 -5.95772767351606 6.45763339457892 1.71629719919561 0.310339818366498 1.31419372051839 -2.50929958003442 -1.47623420130515 11.367656636724 7.32397680545427 2.90589777353202 8.12084774426403e-14
"C11_Fe_YES_4" "YES" "NO" "EXP" "YES" "NO" "C11" "C11_Fe_YES_4" "12_1_C11R6mF2" "Fe.YES_Dextrose.NO_Growth.EXP_LCFA.YES_Glycerol.NO" "Mtb_Latency/HN00189620_C11_C15_Abril_2023/RawFASTQ/12_1_C11R6mF2" "C11_Fe_YES" "#8cd9ff" "#8cd9ff" -29.8298172194597 9.8834573754946 -33.0934069426321 13.7860327252613 3.7927373147297 -19.8809649915432 7.22060423252413 -1.51780965529026 2.1763771818104 4.65573348316889 5.80317320138252 3.66438051015703 -6.27088512368868 -2.87162716394492 -4.20243211386067 9.10001241027913e-14
"C5_Fe_NO_1" "NO" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_NO_1" "19_4_MMmAN_F1C5" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmAN_F1C5" "C5_Fe_NO" "#ffc499" "white" 22.0130396844833 -54.4154672815669 4.37031675087108 20.8117560516102 13.3856658233928 -4.3685784278295 -8.50970120603757 -2.44342146840708 -1.88871669814347 2.62687031429178 -2.33423355568291 -1.5739805299148 -4.07640314922895 3.05032162574334 6.87815275619338 1.04154749061558e-13
"C5_Fe_NO_2" "NO" "NO" "EXP" "NO" "YES" "C5" "C5_Fe_NO_2" "19_4_MMmAN_F2C5" "Fe.NO_Dextrose.NO_Growth.EXP_LCFA.NO_Glycerol.YES" "Mtb_Latency/HN00150037_C5_C6_Junio_2021/RawFASTQ/19_4_MMmAN_F2C5" "C5_Fe_NO" "#ffc499" "white" 18.9504569775853 -33.2855916706293 -3.91729809130859 -20.2395397714351 -5.51853425673545 11.4408631797439 2.38658868146022 -3.20545927426049 -1.21629622996698 15.1568113387875 6.26381889446095 -1.40126598682861 1.96218734715181 -1.32936654636427 -1.62295393670623 8.61748823341446e-14
