"GO_ID" "description" "levels" "ontology_group" "node_numeric_id" "community" "uniqueness_index" "size_in_annotation" "size_in_universe" "number_of_genes_in_query" "percentage_of_genes_in_query" "OR" "p" "fdr" "Min_value_CI" "Max_value_CI" "genes_in_query"
"54" "GO:0003954" "NADH dehydrogenase activity" "5" "Biological_process" 1 1 "1" 16 16 14 87.5 82.3667698304251 4.32370805842452e-14 4.60907279028054e-11 18.8154618764833 742.801247145942 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158"
"760" "GO:0030964" "NADH dehydrogenase complex" "3, 4" "Cell_Components" 2 1 "2" 6 6 6 100 Inf 2.75439707338864e-07 4.89364546705381e-05 13.4754265376905 Inf "Rv3146, Rv3149, Rv3150, Rv3153, Rv3155, Rv3157"
"1024" "GO:0045271" "respiratory chain complex I" "4, 5" "Cell_Components" 3 1 "3" 5 5 5 100 Inf 3.43950976316189e-06 0.000523788201075796 10.4554731620348 Inf "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"1238" "GO:0070470" "plasma membrane respirasome" "3, 4" "Cell_Components" 4 1 "4" 7 7 5 71.4285714285714 28.6179119348542 6.29192145387854e-05 0.00670718826983452 4.66580777670926 299.92536117836 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"1027" "GO:0045333" "cellular respiration" "4, 5" "Biological_process" 5 1 "5" 55 55 14 25.4545454545455 3.98991237308843 8.3215573087501e-05 0.00806434553738873 1.98572849155663 7.57077943428645 "Rv1098c, Rv1475c, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3158, Rv3339c"
"1337" "GO:0098803" "respiratory chain complex" "3, 4" "Cell_Components" 6 1 "6" 8 8 5 62.5 19.0932437122041 0.000156628897330649 0.013913867046206 3.69597044102802 123.115185425901 "Rv3146, Rv3149, Rv3150, Rv3153, Rv3157"
"1130" "GO:0050136" "NADH dehydrogenase (quinone) activity" "6" "Biological_process" 7 2 "7" 14 14 12 85.7142857142857 70.2652170447387 5.34831856562434e-12 2.85065379547778e-09 15.5362283863182 646.935236050934 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158"
"619" "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" "5" "Biological_process" 8 2 "8" 20 20 13 65 21.7978273924379 2.45105401717801e-10 8.7094119410392e-08 8.0159488418191 65.0286313879949 "Rv3145, Rv3146, Rv3147, Rv3148, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158"
"301" "GO:0008137" "NADH dehydrogenase (ubiquinone) activity" "7" "Biological_process" 9 2 "9" 12 12 10 83.3333333333333 58.1966768284999 6.25655782977646e-10 1.66737266163543e-07 12.3188525433902 547.838045853093 "Rv3145, Rv3146, Rv3147, Rv3150, Rv3151, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158"
"617" "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" "4" "Biological_process" 10 2 "10" 40 40 16 40 7.87327188761154 2.59560213313916e-08 5.53382374785269e-06 3.8638056318389 15.6379179782436 "Rv0155, Rv0157, Rv3145, Rv3146, Rv3147, Rv3148, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3154, Rv3155, Rv3156, Rv3157, Rv3158"
"139" "GO:0006119" "oxidative phosphorylation" "3, 4, 6" "Biological_process" 11 2 "11" 9 9 6 66.6666666666667 22.9980753367681 1.87095386753757e-05 0.00249304602849381 4.88122943743954 142.969805774526 "Rv1437, Rv3151, Rv3155, Rv3156, Rv3157, Rv3158"
"913" "GO:0042773" "ATP synthesis coupled electron transport" "4, 5, 6, 7" "Biological_process" 12 2 "12" 7 7 5 71.4285714285714 28.6179119348542 6.29192145387854e-05 0.00670718826983452 4.66580777670926 299.92536117836 "Rv3151, Rv3155, Rv3156, Rv3157, Rv3158"
"572" "GO:0015980" "energy derivation by oxidation of organic compounds" "3, 4" "Biological_process" 13 2 "13" 68 68 15 22.0588235294118 3.30675682068223 0.000266283936535893 0.0218352827959432 1.71021663560054 6.0397636525538 "Rv1098c, Rv1328, Rv1475c, Rv1837c, Rv3146, Rv3149, Rv3150, Rv3151, Rv3152, Rv3153, Rv3155, Rv3156, Rv3157, Rv3158, Rv3339c"
"456" "GO:0009309" "amine biosynthetic process" "5" "Biological_process" 14 3 "14" 9 9 5 55.5555555555556 14.3201053266916 0.000329028095649741 0.0233432500505896 3.06527542520647 72.5383933026402 "Rv1609, Rv1611, Rv1612, Rv1613, Rv2601"
"233" "GO:0006576" "cellular biogenic amine metabolic process" "5, 6" "Biological_process" 15 3 "15" 14 14 6 42.8571428571429 8.61363201725095 0.000470409856180752 0.0294974650993342 2.44716611040078 28.5118502254302 "Rv1609, Rv1611, Rv1612, Rv1613, Rv2601, Rv2860c"
"766" "GO:0031226" "intrinsic component of plasma membrane" "3, 4" "Cell_Components" 16 4 "16" 148 148 25 16.8918918918919 2.40737801501 0.000322961805371166 0.0233432500505896 1.47545239066362 3.79456716198843 "Rv0157, Rv0175, Rv0178, Rv0338c, Rv0545c, Rv1097c, Rv1481, Rv1607, Rv1614, Rv1836c, Rv2060, Rv2154c, Rv2198c, Rv2587c, Rv2794c, Rv2856, Rv3154, Rv3158, Rv3200c, Rv3331, Rv3578, Rv3671c, Rv3794, Rv3806c, Rv3910"
"99" "GO:0005887" "integral component of plasma membrane" "4, 5" "Cell_Components" 17 4 "17" 146 146 24 16.4383561643836 2.32274318286222 0.000911095785198498 0.0466698663373103 1.41057929799432 3.68834533359791 "Rv0157, Rv0175, Rv0178, Rv0338c, Rv0545c, Rv1097c, Rv1481, Rv1607, Rv1614, Rv1836c, Rv2060, Rv2154c, Rv2198c, Rv2587c, Rv2856, Rv3154, Rv3158, Rv3200c, Rv3331, Rv3578, Rv3671c, Rv3794, Rv3806c, Rv3910"
"566" "GO:0015936" "coenzyme A metabolic process" "5, 6, 7, 8, 9, 10" "Biological_process" 18 5 "18" 6 6 4 66.6666666666667 22.8578666785725 0.000562591574517754 0.0333179232464403 3.2596300870303 252.436711770062 "Rv1092c, Rv1631, Rv1837c, Rv2965c"
