"GO_ID" "description" "levels" "ontology_group" "node_numeric_id" "community" "uniqueness_index" "size_in_annotation" "size_in_universe" "number_of_genes_in_query" "percentage_of_genes_in_query" "OR" "p" "fdr" "Min_value_CI" "Max_value_CI" "genes_in_query"
"488" "GO:0010038" "response to metal ion" "4" "Biological_process" 1 1 "1" 24 24 12 50 8.59017827080798 1.50552935733948e-06 0.00139605753689212 3.50544914855893 21.0615099767513 "Rv0847, Rv0967, Rv0969, Rv1876, Rv1909c, Rv1992c, Rv1994c, Rv2031c, Rv2358, Rv2359, Rv2641, Rv2642"
"1109" "GO:0046688" "response to copper ion" "5" "Biological_process" 2 1 "2" 9 9 5 55.5555555555556 10.5822524354651 0.00117462401107844 0.0298018276838387 2.26793208176066 53.5579760454878 "Rv0847, Rv0967, Rv0969, Rv1992c, Rv2642"
"587" "GO:0016125" "sterol metabolic process" "4, 5" "Biological_process" 3 2 "3" 25 25 12 48 7.92860155962562 2.61924490974131e-06 0.00139605753689212 3.28303056893752 19.0002265178082 "Rv0764c, Rv1814, Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"258" "GO:0006706" "steroid catabolic process" "5" "Biological_process" 4 2 "4" 15 15 9 60 12.8130582995488 4.54262079316828e-06 0.00145442752772095 4.04939413834079 43.9775554635719 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"259" "GO:0006707" "cholesterol catabolic process" "5, 6, 7" "Biological_process" NA NA "4" 15 15 9 60 12.8130582995488 4.54262079316828e-06 0.00145442752772095 4.04939413834079 43.9775554635719 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"589" "GO:0016127" "sterol catabolic process" "5, 6" "Biological_process" NA NA "4" 15 15 9 60 12.8130582995488 4.54262079316828e-06 0.00145442752772095 4.04939413834079 43.9775554635719 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"305" "GO:0008203" "cholesterol metabolic process" "5, 6" "Biological_process" 5 2 "5" 20 20 10 50 8.55344430749611 1.17307676647208e-05 0.0020711169907982 3.17503597885706 23.0463814992451 "Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"304" "GO:0008202" "steroid metabolic process" "4" "Biological_process" 6 2 "6" 29 29 12 41.3793103448276 6.05788968176575 1.75179619083107e-05 0.0020749052660288 2.61990021727345 13.5636048395605 "Rv0764c, Rv1814, Rv3504, Rv3505, Rv3515c, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"1059" "GO:0046164" "alcohol catabolic process" "4, 5" "Biological_process" 7 2 "7" 19 19 9 47.3684210526316 7.68115037074788 5.66306508285875e-05 0.00431201955594817 2.7447156029589 21.1674160871108 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
"1358" "GO:1901616" "organic hydroxy compound catabolic process" "4" "Biological_process" NA NA "7" 19 19 9 47.3684210526316 7.68115037074788 5.66306508285875e-05 0.00431201955594817 2.7447156029589 21.1674160871108 "Rv3504, Rv3505, Rv3526, Rv3537, Rv3544c, Rv3545c, Rv3546, Rv3568c, Rv3573c"
