"GO_ID" "description" "levels" "ontology_group" "node_numeric_id" "community" "uniqueness_index" "size_in_annotation" "size_in_universe" "number_of_genes_in_query" "percentage_of_genes_in_query" "OR" "p" "fdr" "Min_value_CI" "Max_value_CI" "genes_in_query"
"488" "GO:0010038" "response to metal ion" "4" "Biological_process" 1 1 "1" 24 24 13 54.1666666666667 11.0173127378063 6.93197749747951e-08 7.38948801231316e-05 4.51897612415836 27.3769104269679 "Rv0186A, Rv0190, Rv0827c, Rv0847, Rv0967, Rv0969, Rv1876, Rv1992c, Rv1994c, Rv2358, Rv2359, Rv2641, Rv2642"
"1109" "GO:0046688" "response to copper ion" "5" "Biological_process" 2 1 "2" 9 9 7 77.7777777777778 32.1805374471692 2.7628952696887e-06 0.00122764034598264 6.09867688745693 317.782385535534 "Rv0186A, Rv0190, Rv0847, Rv0967, Rv0969, Rv1992c, Rv2642"
"179" "GO:0006355" "regulation of transcription, DNA-templated" "5, 6, 7, 8, 9, 10" "Biological_process" 3 1 "3" 196 196 38 19.3877551020408 2.30277571965985 3.86807076308744e-05 0.00374851221222837 1.54537932093227 3.36199044426409 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"1380" "GO:1903506" "regulation of nucleic acid-templated transcription" "6, 7, 8, 9" "Biological_process" 4 1 "4" 199 199 38 19.0954773869347 2.25800283691693 4.91033477103592e-05 0.00436201405493691 1.51617869649205 3.29407575308388 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"1399" "GO:2001141" "regulation of RNA biosynthetic process" "5, 6, 7, 8" "Biological_process" NA NA "4" 199 199 38 19.0954773869347 2.25800283691693 4.91033477103592e-05 0.00436201405493691 1.51617869649205 3.29407575308388 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"43" "GO:0003700" "DNA-binding transcription factor activity" "6, 7, 8, 9, 10, 11" "Biological_process" 5 1 "5" 118 118 26 22.0338983050847 2.66805507385812 6.6040403396648e-05 0.00471966791679672 1.63422598390418 4.22525956426268 "Rv0144, Rv0190, Rv0232, Rv0792c, Rv0827c, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1317c, Rv1404, Rv1994c, Rv2011c, Rv2069, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2779c, Rv2884, Rv3160c, Rv3405c"
"677" "GO:0019219" "regulation of nucleobase-containing compound metabolic process" "4, 5" "Biological_process" 6 1 "6" 208 208 39 18.75 2.20865776684344 6.64118374783779e-05 0.00471966791679672 1.49168412893342 3.20534498599974 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2559c, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"175" "GO:0006351" "transcription, DNA-templated" "5, 6, 7, 8, 9" "Biological_process" 7 1 "7" 201 201 38 18.9054726368159 2.22888900833456 8.10284641180617e-05 0.0050809613382267 1.49729348428424 3.2502322007872 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"1159" "GO:0051252" "regulation of RNA metabolic process" "4, 5, 6, 7" "Biological_process" 8 1 "8" 201 201 38 18.9054726368159 2.22888900833456 8.10284641180617e-05 0.0050809613382267 1.49729348428424 3.2502322007872 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"1322" "GO:0097659" "nucleic acid-templated transcription" "6, 7, 8" "Biological_process" 9 1 "9" 204 204 38 18.6274509803922 2.18682028092031 9.59764914402789e-05 0.00538478630922828 1.46979681162372 3.18659153218436 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"498" "GO:0010468" "regulation of gene expression" "4, 5" "Biological_process" 10 1 "10" 245 245 43 17.5510204081633 2.04066900706367 0.000148790280400535 0.00755287804318907 1.40677316029158 2.90676023188383 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0301, Rv0352, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1991c, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3098A, Rv3160c, Rv3197A, Rv3219, Rv3405c, Rv3610c"
"796" "GO:0032774" "RNA biosynthetic process" "5, 6, 7" "Biological_process" 11 1 "11" 209 209 38 18.1818181818182 2.11966556904715 0.000185848489120891 0.00861367345229869 1.4260931525914 3.08533260528657 "Rv0064A, Rv0144, Rv0190, Rv0232, Rv0300, Rv0792c, Rv0827c, Rv0958, Rv0967, Rv0981, Rv1049, Rv1152, Rv1167c, Rv1221, Rv1266c, Rv1317c, Rv1404, Rv1846c, Rv1956, Rv1991A, Rv1994c, Rv2011c, Rv2069, Rv2132, Rv2358, Rv2359, Rv2640c, Rv2642, Rv2710, Rv2711, Rv2745c, Rv2779c, Rv2865, Rv2884, Rv3160c, Rv3197A, Rv3219, Rv3405c"
"1160" "GO:0051253" "negative regulation of RNA metabolic process" "4, 5, 6, 7, 8" "Biological_process" 12 1 "12" 39 39 12 30.7692307692308 4.11691767552309 0.000255681634242189 0.0104829470039297 1.88360563739583 8.48607321884181 "Rv0190, Rv0300, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1033" "GO:0045892" "negative regulation of transcription, DNA-templated" "5, 6, 7, 8, 9, 10, 11" "Biological_process" 13 1 "13" 34 34 11 32.3529411764706 4.42316253258038 0.000282916608093888 0.0111699668232624 1.93085105694495 9.53114079640689 "Rv0190, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"31" "GO:0001217" "DNA-binding transcription repressor activity" "6, 7, 8, 9, 10, 11, 12" "Biological_process" 14 1 "14" 5 5 4 80 36.4684624981256 0.000444687008779568 0.0163460810813455 3.60096209538137 1781.38721125195 "Rv0190, Rv0967, Rv2359, Rv2711"
"1376" "GO:1902679" "negative regulation of RNA biosynthetic process" "5, 6, 7, 8, 9" "Biological_process" 15 1 "15" 37 37 11 29.7297297297297 3.90919782594233 0.000642072239603745 0.0205431145188642 1.72925577595318 8.26578896192994 "Rv0190, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1381" "GO:1903507" "negative regulation of nucleic acid-templated transcription" "6, 7, 8, 9, 10" "Biological_process" NA NA "15" 37 37 11 29.7297297297297 3.90919782594233 0.000642072239603745 0.0205431145188642 1.72925577595318 8.26578896192994 "Rv0190, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1039" "GO:0045934" "negative regulation of nucleobase-containing compound metabolic process" "4, 5, 6" "Biological_process" 16 1 "16" 43 43 12 27.906976744186 3.5815890855827 0.000693486945673933 0.0207530876316692 1.66064573975337 7.24475426764958 "Rv0190, Rv0300, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1394" "GO:2000113" "negative regulation of cellular macromolecule biosynthetic process" "5, 6, 7" "Biological_process" 17 1 "17" 45 45 12 26.6666666666667 3.36273508057003 0.00108170497598906 0.0268162210326591 1.56770154350202 6.75008738959988 "Rv0190, Rv0301, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"509" "GO:0010629" "negative regulation of gene expression" "4, 5, 6" "Biological_process" 18 1 "18" 58 58 14 24.1379310344828 2.94882680996712 0.00124396793714756 0.0282142515106234 1.47820044261988 5.54430898605267 "Rv0190, Rv0301, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv1991c, Rv2011c, Rv2359, Rv2711, Rv3098A, Rv3197A, Rv3219"
"502" "GO:0010558" "negative regulation of macromolecule biosynthetic process" "4, 5, 6" "Biological_process" 19 1 "19" 48 48 12 25 3.07981785787765 0.00198917662521445 0.0424092456495721 1.44629764194971 6.11990747888254 "Rv0190, Rv0301, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1148" "GO:0051172" "negative regulation of nitrogen compound metabolic process" "3, 4, 5" "Biological_process" 20 1 "20" 55 55 13 23.6363636363636 2.86274894482473 0.00226099964018238 0.0454759550270644 1.39703249357461 5.49590937278046 "Rv0190, Rv0300, Rv0301, Rv0792c, Rv0967, Rv0981, Rv1846c, Rv1956, Rv2011c, Rv2359, Rv2711, Rv3197A, Rv3219"
"1129" "GO:0048878" "chemical homeostasis" "4" "Biological_process" 21 2 "21" 27 27 12 44.4444444444444 7.43089664271379 3.45489778419129e-06 0.00122764034598264 3.15134941256975 17.1533178256199 "Rv0186A, Rv0211, Rv0821c, Rv0985c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1221" "GO:0055082" "cellular chemical homeostasis" "3, 5" "Biological_process" 22 2 "22" 24 24 11 45.8333333333333 7.84600623661078 6.20373265215095e-06 0.00165329475179823 3.15800805184839 19.1126930985798 "Rv0211, Rv0821c, Rv0985c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1335" "GO:0098771" "inorganic ion homeostasis" "6" "Biological_process" 23 2 "23" 25 25 11 44 7.28153435484165 1.01000544191141e-05 0.00215333160215513 2.96914095907101 17.4122342534381 "Rv0186A, Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1133" "GO:0050801" "ion homeostasis" "5" "Biological_process" 24 2 "24" 26 26 11 42.3076923076923 6.79503189799387 1.59620701866967e-05 0.0027839312735325 2.80163022921661 15.955469963994 "Rv0186A, Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1218" "GO:0055065" "metal ion homeostasis" "7" "Biological_process" 25 2 "25" 22 22 10 45.4545454545455 7.70591404752658 1.82809745916768e-05 0.0027839312735325 2.9614052781393 19.6028564887105 "Rv0186A, Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"291" "GO:0006873" "cellular ion homeostasis" "4, 6" "Biological_process" 26 2 "26" 23 23 10 43.4782608695652 7.11253351949811 2.95079078157824e-05 0.00346231854795123 2.77197804668698 17.6851489130943 "Rv0211, Rv0821c, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1119" "GO:0046916" "cellular transition metal ion homeostasis" "7, 9" "Biological_process" 27 2 "27" 19 19 9 47.3684210526316 8.30748850779308 3.24795360971035e-05 0.00346231854795123 2.96664839071093 22.8949730598936 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"1219" "GO:0055080" "cation homeostasis" "6" "Biological_process" 28 2 "28" 23 23 10 43.4782608695652 7.11253351949811 2.95079078157824e-05 0.00346231854795123 2.77197804668698 17.6851489130943 "Rv0186A, Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"292" "GO:0006875" "cellular metal ion homeostasis" "6, 8" "Biological_process" 29 2 "29" 20 20 9 45 7.54871162817243 5.39184487577607e-05 0.00442131279813637 2.74679608362114 20.1778962185829 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"742" "GO:0030003" "cellular cation homeostasis" "5, 7" "Biological_process" 30 2 "30" 21 21 9 42.8571428571429 6.91895413910898 8.61595338113309e-05 0.00510255905793771 2.55717749259243 18.0157713099937 "Rv0211, Rv1348, Rv1875, Rv1876, Rv2025c, Rv2383c, Rv2384, Rv2386c, Rv3402c"
"491" "GO:0010106" "cellular response to iron ion starvation" "5, 6, 7, 9, 11" "Biological_process" 31 2 "31" 14 14 7 50 9.18897520079484 0.000168759616418538 0.00817717050464369 2.73476598087003 30.8882741542452 "Rv0211, Rv1348, Rv1875, Rv2383c, Rv2384, Rv2386c, Rv3402c"
