"GO_ID" "description" "levels" "ontology_group" "node_numeric_id" "community" "uniqueness_index" "size_in_annotation" "size_in_universe" "number_of_genes_in_query" "percentage_of_genes_in_query" "OR" "p" "fdr" "Min_value_CI" "Max_value_CI" "genes_in_query"
"175" "GO:0006351" "transcription, DNA-templated" "5, 6, 7, 8, 9" "Biological_process" 1 1 "1" 201 201 38 18.9054726368159 2.25002785965466 7.66422761480637e-05 0.0090778518193151 1.51119499304363 3.28128971431831 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0667, Rv0735, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"179" "GO:0006355" "regulation of transcription, DNA-templated" "5, 6, 7, 8, 9, 10" "Biological_process" 2 2 "2" 196 196 37 18.8775510204082 2.24197114391663 6.8952089120869e-05 0.0090778518193151 1.49812100179833 3.28472239465666 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"677" "GO:0019219" "regulation of nucleobase-containing compound metabolic process" "4, 5" "Biological_process" 3 3 "3" 208 208 40 19.2307692307692 2.30749014242383 2.18769633590311e-05 0.0090778518193151 1.56426657902696 3.33898042878861 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1638, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2559c, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"796" "GO:0032774" "RNA biosynthetic process" "5, 6, 7" "Biological_process" 4 4 "4" 209 209 39 18.6602870813397 2.21577962748784 6.41587945262351e-05 0.0090778518193151 1.49654871345269 3.21539182524574 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0667, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"1159" "GO:0051252" "regulation of RNA metabolic process" "4, 5, 6, 7" "Biological_process" 5 5 "5" 201 201 38 18.9054726368159 2.25002785965466 7.66422761480637e-05 0.0090778518193151 1.51119499304363 3.28128971431831 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"1225" "GO:0060255" "regulation of macromolecule metabolic process" "3, 4" "Biological_process" 6 6 "6" 258 258 46 17.8294573643411 2.11189882410825 5.05686084338582e-05 0.0090778518193151 1.47223936497102 2.97962017234761 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0456A, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1638, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1991c, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2534c, Rv2547, Rv2559c, Rv2642, Rv2703, Rv2830c, Rv2884, Rv3098A, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416, Rv3610c"
"1322" "GO:0097659" "nucleic acid-templated transcription" "6, 7, 8" "Biological_process" 7 7 "7" 204 204 39 19.1176470588235 2.28622207677087 3.21480881858804e-05 0.0090778518193151 1.54271469175686 3.32135252950876 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0667, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"1380" "GO:1903506" "regulation of nucleic acid-templated transcription" "6, 7, 8, 9" "Biological_process" 8 8 "8" 199 199 38 19.0954773869347 2.27914598544558 4.34375936112998e-05 0.0090778518193151 1.53026523099228 3.32554715523203 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"1399" "GO:2001141" "regulation of RNA biosynthetic process" "5, 6, 7, 8" "Biological_process" NA NA "8" 199 199 38 19.0954773869347 2.27914598544558 4.34375936112998e-05 0.0090778518193151 1.53026523099228 3.32554715523203 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0736, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2547, Rv2642, Rv2703, Rv2884, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416"
"498" "GO:0010468" "regulation of gene expression" "4, 5" "Biological_process" 9 9 "9" 245 245 43 17.5510204081633 2.06014082968431 0.000137932572667811 0.0147036122463886 1.42005248429583 2.9349110786023 "Rv0022c, Rv0144, Rv0182c, Rv0190, Rv0232, Rv0238, Rv0277A, Rv0298, Rv0300, Rv0456A, Rv0465c, Rv0576, Rv0639, Rv0735, Rv0981, Rv1080c, Rv1102c, Rv1317c, Rv1395, Rv1404, Rv1407, Rv1846c, Rv1904, Rv1956, Rv1991A, Rv1991c, Rv1994c, Rv2132, Rv2358, Rv2533c, Rv2534c, Rv2547, Rv2642, Rv2703, Rv2830c, Rv2884, Rv3098A, Rv3160c, Rv3197A, Rv3223c, Rv3405c, Rv3416, Rv3610c"
