"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 1.52945001030792 0.185044449862687 1.49858742249175 0.183491080330891 8.26531145053451 1.39330498758466e-16 7.52042077315164e-16
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 2.3555610051414 0.197804383485683 2.30855841606121 0.196956455236736 11.9085379385027 1.06834076150402e-32 1.69518648542264e-31
"Rv0003" "Rv0003" "recF" 906.009802633035 1.2102182010034 0.180826446587266 1.18615838305817 0.179192835102258 6.69270576203773 2.19081374621222e-11 7.62634811566914e-11
"Rv0004" "Rv0004" "" 688.789361336292 0.968250098000434 0.168089814842286 0.951288995552512 0.166695308002178 5.76031390663925 8.39576487902321e-09 2.36097274284845e-08
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.407738565864421 0.167218313807554 -0.400511261237629 0.165743028630782 -2.43836070691201 0.014754043617127 0.0216542445509913
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.223490308280389 0.110040631236034 0.221749795124724 0.109612455672755 2.03097988234009 0.0422570354116494 0.0573540181763748
"Rv0007" "Rv0007" "" 4214.0390689485 0.343751802301279 0.179577759647928 0.336737039280476 0.17774763249511 1.91422257954004 0.0555917218493449 0.0740286124121205
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.759989481211902 0.237245861471442 -0.733698697274029 0.233239516651694 -3.20338351319728 0.0013582297431831 0.00228258856457525
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 2.37417876990886 0.226574619068285 2.31259264334553 0.225316347394662 10.47857337098 1.0836605043291e-25 1.11498506578236e-24
"Rv0010c" "Rv0010c" "" 1936.35496712783 1.02484482702354 0.183398883409755 1.00362415968099 0.181613322016169 5.58806470339188 2.29614097460859e-08 6.2137349251223e-08
"Rv0011c" "Rv0011c" "" 1767.20301988517 1.71121038394064 0.273437636593445 1.63918493689951 0.268899633014046 6.25813770649617 3.89601736956995e-10 1.22948599258553e-09
"Rv0012" "Rv0012" "" 1606.01669604651 -0.117167370247607 0.188179552708666 -0.114540559703202 0.186059689014014 -0.622636033304862 0.533523726587628 0.580703097451163
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.656998476795464 0.147653089356101 0.647945374051287 0.146657205776478 4.44960873938068 8.60268657193862e-06 1.84323289835843e-05
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.662117387462311 0.171514632061289 0.649874606575923 0.16996079701134 3.86041342073784 0.000113195344187338 0.000215846913554138
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.29765637760354 0.220499498940915 -0.288596651751265 0.217133536859197 -1.349918612211 0.177042090797844 0.217031740844642
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.337197367106864 0.137842426211613 0.333104141758116 0.13700838735289 2.44625240845082 0.0144349903985507 0.0212333012154408
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.802053661002725 0.173695347574582 0.786940093709111 0.172112356145432 4.61758862400352 3.88224898827582e-06 8.67577248454626e-06
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.560493035710282 0.170611766712612 -0.550200557495297 0.169065267902442 -3.28519566094411 0.0010191157383204 0.00174157711163663
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.677503430402189 0.20477521872776 -0.659811563623821 0.202152570467201 -3.30852255761915 0.000937896289321037 0.0016093122271818
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.367346846936001 0.205788759924839 -0.357576895022794 0.203053393704229 -1.78506759586951 0.0742503532593537 0.097333492278602
