"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.683493604680071 0.188280428720611 -0.599835099086835 0.181279046875044 -3.6301893368551 0.000283213394409763 0.00146080433591772
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.668669170251466 0.209326102571053 -0.569566191420967 0.199074408523247 -3.19438981588307 0.00140126764351887 0.00588353715148039
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.216429051905689 0.219851899971694 -0.176538002921173 0.19919014553731 -0.984431119010363 0.324903583609498 0.471253325565759
"Rv0004" "Rv0004" "" 688.789361336292 -0.369015647252627 0.220091398886315 -0.302731724908442 0.201212176179921 -1.67664728889854 0.093611473753313 0.183649963894808
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.5836072695596 0.16791493824898 0.521988837379854 0.161509910999657 3.47561256696674 0.000509688037488431 0.00243209835279806
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.706212966134926 0.112845415133669 0.673181802188605 0.11161953600672 6.25823357819541 3.89362359514567e-10 6.8372030330758e-09
"Rv0007" "Rv0007" "" 4214.0390689485 0.682413180284663 0.195599031768499 0.593076238508213 0.187659615568192 3.48883721005497 0.000485126495084734 0.00233748144156071
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.397875097006129 0.249793754151505 -0.311623704728172 0.223794518595515 -1.59281443348183 0.111201826220786 0.211535106113782
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.523683606809972 0.237655314127368 -0.422104543217725 0.217823180615302 -2.20354259164308 0.0275565284678168 0.0693476713225123
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.411931041646062 0.197570307847481 -0.350474976357759 0.184129457250401 -2.08498456136467 0.03707070195253 0.0883924824468593
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.380793033238432 0.283878331335018 -0.281148215029745 0.246967495304632 -1.34139520775554 0.179792172681013 0.30455132226315
"Rv0012" "Rv0012" "" 1606.01669604651 -0.655277414386647 0.194063200917486 -0.569365381702201 0.185682492335247 -3.37661860305636 0.000733827268941013 0.00336351686726908
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.587886739977209 0.166963644131859 -0.526572119909863 0.160728344391199 -3.52104641123505 0.000429847375109565 0.00210449439784126
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.438472569785001 0.183583107296959 -0.381104264725804 0.172994661580683 -2.38841457823098 0.0169212414961401 0.0472813473488328
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.222843754734501 0.229754131611243 -0.178924371226386 0.2065954826304 -0.969922730754478 0.33208500883578 0.477810586274642
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.380931293758315 0.15127984238511 -0.344670958471929 0.144795577063952 -2.51805718298268 0.0118004161232879 0.0350552211301584
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.270544003985831 0.18943316932534 -0.231608420999388 0.176013398600521 -1.42817651707652 0.153241057917782 0.271504672570922
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.0904876567497833 0.178049468450155 -0.078471102347539 0.165878787802874 -0.50821638243259 0.611301603135274 0.729022829455922
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.0404868547125928 0.212986674738931 -0.0332871509338769 0.193143543579712 -0.190091022183522 0.84923780507724 0.90812623958193
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.216699835678037 0.207148073315915 -0.180330740360091 0.189532733350647 -1.04611079509079 0.295509881741844 0.440588506702651
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.0810126226677226 0.179483519731196 -0.0701033174765655 0.167021078004127 -0.451365243945803 0.651726328706328 0.762212983204396
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 2.63748600763069 0.57785116271079 2.19243963825218 0.594712589268396 4.56429990597896 5.01163932316386e-06 4.08267772491142e-05
"Rv0023" "Rv0023" "" 710.847205695778 0.772998968786051 0.326569465188244 0.554372025153868 0.294249402994549 2.3670276960538 0.0179315908652415 0.0496132461544603
"Rv0024" "Rv0024" "" 950.082277417361 -0.898197874421289 0.243944026708798 -0.749653664371137 0.23830353365089 -3.68198347194412 0.000231426417399815 0.00121846653184535
"Rv0025" "Rv0025" "" 448.703168725382 -0.321830533639539 0.267182623719871 -0.243708597097991 0.234463623414066 -1.20453392199997 0.228383279053467 0.362969563773229
"Rv0026" "Rv0026" "" 1352.53563996149 -0.0602256902594755 0.177570884160276 -0.0522510346309268 0.165429206904002 -0.339164219090758 0.734486022433701 0.825591543281807
"Rv0027" "Rv0027" "" 398.199547856191 0.153326255328024 0.23453798710717 0.121917834943045 0.209493659443102 0.653737406119899 0.513280999475036 0.647933207038947
"Rv0028" "Rv0028" "" 485.559711362201 -0.486976148957216 0.226963134813169 -0.398067904391435 0.208712475018823 -2.1456178306582 0.0319034816802242 0.0781951961033287
"Rv0029" "Rv0029" "" 1176.27162722634 -0.158870495365946 0.140163101445212 -0.145008298190862 0.134039159075705 -1.13346874981963 0.257017457292414 0.396825312138464
"Rv0030" "Rv0030" "" 207.123707402898 -0.839411605661863 0.250264312665025 -0.687929953383663 0.240498020910141 -3.35410029789346 0.000796234958501238 0.00361185341106589
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.514366371756385 0.238915516880129 -0.413456882200465 0.218534081075293 -2.15292157861164 0.0313248422868989 0.0771118080221418
"Rv0034" "Rv0034" "" 38.1746943106114 -0.483234684766953 0.659695207029152 -0.189190927822335 0.422329354144515 -0.732512044377486 0.463856094013766 0.604450998498809
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.0674127267947552 0.264863485618646 -0.0508469505512393 0.23011210783235 -0.254518763268928 0.799094810272074 0.873125994298939
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.137521174636689 0.165906978419782 -0.121374509581762 0.156007232299295 -0.828905305530483 0.407157992967708 0.552431741145404
"Rv0037c" "Rv0037c" "" 1616.31328269221 0.552895682897044 0.204832284117395 0.469493262670155 0.192499640860699 2.69926044753846 0.00694937665983902 0.022785635037085
"Rv0038" "Rv0038" "" 2372.46023123897 0.13774183634296 0.164243057195 0.121846010613915 0.154616865078224 0.838646325119383 0.401667806719929 0.546773483975948
"Rv0039c" "Rv0039c" "" 499.191482706655 -0.378878939412068 0.333464828916604 -0.256183967798792 0.277933571717925 -1.1361886068855 0.255877637696043 0.395993946939704
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.601787487018183 0.239263534273649 -0.487165777233425 0.221364531782591 -2.51516591880613 0.0118976377100411 0.035282662252839
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.711664006280611 0.158796602355042 -0.648668610774733 0.1551729364577 -4.48160726190762 7.40829826299818e-06 5.73925224256977e-05
"Rv0042c" "Rv0042c" "" 1093.67262185408 -0.404367716035389 0.242524977027839 -0.320650444714325 0.218648063601513 -1.66732400510225 0.0954499958743985 0.186694521633539
"Rv0043c" "Rv0043c" "" 708.140239408333 0.43278069503091 0.210366578381803 0.361659852869072 0.194680334306273 2.05726925997455 0.0396603325599018 0.0930510534110285
"Rv0044c" "Rv0044c" "" 596.722755759483 1.22667248201232 0.219315896720536 1.11608602482436 0.229987822111207 5.59317632855134 2.22952656986723e-08 2.9461068486774e-07
"Rv0045c" "Rv0045c" "" 1494.34585177975 0.112878172350556 0.241201377362421 0.0886973343707491 0.214011095145306 0.467983116783573 0.639796663299165 0.752332326397321
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 -0.331322028479496 0.223720122368605 -0.269759429174754 0.203410396755343 -1.48096659778151 0.138615474593047 0.250764533020663
"Rv0047c" "Rv0047c" "" 4487.76354232071 -0.529067079769854 0.351397831767007 -0.351135787307352 0.294405592253464 -1.50560712657058 0.132168057932526 0.242441490676724
"Rv0048c" "Rv0048c" "" 2219.12688840085 -0.578788580348512 0.159705054894225 -0.522775003011854 0.154144489929918 -3.62410933537359 0.000289958933672487 0.00148133849023444
"Rv0049" "Rv0049" "" 1674.57749787637 -0.145354229901841 0.141453056840868 -0.13244158137578 0.135135626036615 -1.02757927716869 0.304147776238037 0.448725864046484
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 0.11854597559532 0.158377016368472 0.105671571645546 0.149626356555278 0.748504917654949 0.454155659966117 0.596135884560176
"Rv0051" "Rv0051" "" 1916.57915438172 0.354098850725828 0.152350867781511 0.319693788366181 0.145547517175706 2.32423258155409 0.0201130319498468 0.0541694541471335
"Rv0052" "Rv0052" "" 613.75342705192 -0.272518462332876 0.213027530510998 -0.225113185091469 0.194561487709375 -1.27926405417729 0.200804086196854 0.330711523369642
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 0.0960721563844397 0.231843492817935 0.076654111035361 0.207227742801772 0.414383665535458 0.678593149624062 0.78258071633528
"Rv0054" "Rv0054" "ssb" 2388.79580833098 2.00064402885345 0.191010620668584 1.96109708648001 0.190847527911178 10.4739936546497 1.13740869202707e-25 8.9878034843979e-24
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 2.38400343116011 0.236831587790596 2.31724411706618 0.234260467336016 10.0662392774566 7.78999857372409e-24 5.12971406079731e-22
"Rv0056" "Rv0056" "rplI" 1597.30285260153 2.06284459379894 0.18914257132949 2.02383893760414 0.188560984374301 10.90629454437 1.07551369335232e-27 9.44301022763336e-26
"Rv0057" "Rv0057" "" 1242.84114064111 2.26555473405692 0.192768655916218 2.22284289130425 0.191429986293857 11.7527132369569 6.83871679014744e-32 8.18780910238562e-30
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 1.19806027176479 0.290837274587695 0.998580499682701 0.303562989138397 4.11934912216195 3.79944110346242e-05 0.000244887305053508
"Rv0059" "Rv0059" "" 1193.17976237842 0.561251707391771 0.322525605459225 0.393481370475411 0.27840731042155 1.74017720730308 0.081827906544693 0.165118518262555
"Rv0060" "Rv0060" "" 4082.12921081883 1.07353801689188 0.179754087656346 0.990857182908575 0.183606336574188 5.97225927314806 2.33990266407178e-09 3.75329184548548e-08
"Rv0061c" "Rv0061c" "" 3260.97761374593 0.272508876180963 0.198060582784606 0.230334976106732 0.182912949875115 1.37588647044082 0.168856784581253 0.292226524695808
"Rv0062" "Rv0062" "celA1" 843.734393404668 -1.40038211289439 0.274446845402174 -1.24979129959304 0.296150766209434 -5.10256224968544 3.35085473770999e-07 3.48400712334005e-06
"Rv0063" "Rv0063" "" 1329.89739883274 -1.83936847485182 0.229097803746721 -1.77863341082899 0.232896322609784 -8.02874774341066 9.8472594871102e-16 3.21541506062582e-14
"Rv0063a" "Rv0063a" "" 468.317403098905 0.425955694280385 0.25015087790227 0.334027619060831 0.224671671577545 1.70279512049844 0.0886064163361019 0.176364710802992
"Rv0064" "Rv0064" "" 13963.4770264952 -0.491045821065537 0.23010110064861 -0.399544023606889 0.211224100385444 -2.1340437732865 0.0328391977924512 0.0802397467396257
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 -0.298368264903637 0.301665568149005 -0.212471315516173 0.256562757873896 -0.989069673196051 0.322629054215053 0.469159879721632
"Rv0065" "Rv0065" "vapC1" 719.495062856219 -0.133402753581494 0.244238261734311 -0.104331768195184 0.216278544532402 -0.54619924263387 0.584928986702206 0.708043635557726
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 0.103787605258795 0.210925337375617 0.0856607298440176 0.191756220869045 0.4920585006531 0.622677988258462 0.738355561707438
"Rv0067c" "Rv0067c" "" 307.424455363887 -0.385988883485108 0.281513858768859 -0.28625381903866 0.245523207925138 -1.37111858426135 0.170337992547757 0.293760544983059
"Rv0068" "Rv0068" "" 283.139055122869 0.484547186334146 0.29295292149133 0.354984584491558 0.256056251575331 1.65401042552322 0.0981253944374696 0.190981986907607
"Rv0069c" "Rv0069c" "sdaA" 1075.51531863034 1.05668617836972 0.17026253303315 0.981748320818533 0.173393336664644 6.20621671453684 5.42753209626157e-10 9.48857491695993e-09
"Rv0070c" "Rv0070c" "glyA2" 1113.5918913222 0.809865239026074 0.177583491958454 0.728146717472167 0.174524757479117 4.56047592090115 5.10378148623019e-06 4.13218046149497e-05
"Rv0071" "Rv0071" "" 203.879914003952 0.0714817259516004 0.271681886736528 0.0532833325091138 0.23465907975717 0.263108177031037 0.792467201573838 0.868482784519899
"Rv0072" "Rv0072" "" 3667.08642505857 -0.194443594470799 0.189041929346632 -0.166216224605871 0.175162358316403 -1.02857389967843 0.30367994801121 0.448644763564651
"Rv0073" "Rv0073" "" 2684.56029653048 0.219600868820082 0.173888966294323 0.191970009441314 0.162988756045894 1.26287983360823 0.206632368352465 0.337775956706905
"Rv0074" "Rv0074" "" 2382.70807292255 0.54535849422492 0.248484752953707 0.432821337861506 0.226633310769618 2.19473624736452 0.0281825229968887 0.0706978719750522
"Rv0075" "Rv0075" "" 1977.515171339 0.568558931863216 0.184925454407701 0.496956641998512 0.176082669603051 3.07453040298999 0.0021083423123458 0.00830514504095539
"Rv0076c" "Rv0076c" "" 285.774945746359 1.36466357341532 0.318434261917392 1.14836364578569 0.344068265867017 4.28554253301216 1.82293765692962e-05 0.000126803286664242
"Rv0077c" "Rv0077c" "" 212.013119034207 0.346665960538057 0.299459258324122 0.248516839848032 0.256245669844354 1.15763981543974 0.247011053931825 0.385747302009739
"Rv0078" "Rv0078" "" 403.831170391618 0.767533708826366 0.259826378698817 0.61353223573433 0.244480196749375 2.95402534827331 0.00313658241272057 0.0115602958140476
