"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.505856402733409 0.188029649094928 -0.481586463815427 0.18371772244565 -2.69030126455229 0.00713875408377042 0.0146596763955182
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.761783489432171 0.208630985187691 -0.718838295075076 0.203392733580821 -3.65134396861927 0.000260871571345702 0.000749057833129991
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.653846554830218 0.213388585569446 -0.614787069542486 0.207494916197495 -3.06411213648271 0.00218317061122413 0.00511304510073892
"Rv0004" "Rv0004" "" 688.789361336292 -0.722024320734429 0.211208031405792 -0.680118807747292 0.205666735100232 -3.41854576233993 0.000629567301386894 0.00167503057762937
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.120766864194008 0.167841751182672 0.115969818312575 0.16448549550431 0.719528146858828 0.471815566071838 0.554309634715978
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.0286658122011605 0.112678257575396 -0.0281375342011391 0.11163536837547 -0.254404113251214 0.799183373567494 0.841832089830957
"Rv0007" "Rv0007" "" 4214.0390689485 -0.159517125888585 0.195341831296429 -0.151090175606598 0.19014069042322 -0.816605049875465 0.414154168285695 0.49857499052309
"Rv0008c" "Rv0008c" "" 331.684349926798 0.25326326508786 0.255598775519939 0.2314392137926 0.244478077900694 0.990862591468492 0.321752680982983 0.40472615172358
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -2.75451054442109 0.236872844136221 -2.66748711690228 0.241304452440662 -11.6286463923953 2.94734102757966e-31 2.23941238460908e-29
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.967729936812393 0.196084355843736 -0.920977286583969 0.192244417817078 -4.9352735594246 8.00384944340678e-07 3.63485162654025e-06
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.697907027164651 0.282520855025712 -0.628754746522802 0.269450339293767 -2.47028498869981 0.0135005449918873 0.0258684060441061
"Rv0012" "Rv0012" "" 1606.01669604651 -0.143491742827101 0.193047562248307 -0.136073362573301 0.188013621380394 -0.743297357169083 0.457301671283161 0.540310676806151
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.00675633494798588 0.165268151611027 0.00649532031442296 0.162044374615768 0.0408810462398557 0.967390727723724 0.974410910783384
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.177937371371397 0.181719643703778 0.169736647948618 0.177512169283972 0.979186221944466 0.327487975125151 0.411024456708854
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.633639496383407 0.22944611572774 0.59022353074952 0.222099708052829 2.76160480805559 0.00575180523103379 0.0120431279638657
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.519255155284876 0.149582725935277 0.503179054069201 0.147393078612561 3.47135775229523 0.000517833604883246 0.0014042282586779
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.0743655418131061 0.186944128032348 -0.070740033905908 0.182335746376819 -0.397795547770499 0.690780899397223 0.758342687835073
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.631836271544394 0.177398215335623 0.605106274629139 0.173939237560076 3.56168335937886 0.00036848462785791 0.00102889241319194
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.786716587166938 0.211868723075878 0.741249369596551 0.206459217475512 3.71322664216552 0.000204633475828062 0.000601459926685365
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 0.249999985847572 0.207069307930702 0.235333861293972 0.20098506582693 1.20732516250664 0.227306943907224 0.302794920895968
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.726339593953577 0.182509901735521 0.694355088815062 0.178914913104254 3.97972705615792 6.89944363102183e-05 0.000222892083288367
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.140063653931584 0.586878861464057 -0.0953476331124568 0.484391971047172 -0.238658542892777 0.811370365841408 0.849423507005671
"Rv0023" "Rv0023" "" 710.847205695778 0.42600672730432 0.322597466961881 0.371417950318136 0.301876692514613 1.32055199105038 0.186650789615408 0.256328560921264
"Rv0024" "Rv0024" "" 950.082277417361 1.37563113927395 0.239178349275927 1.2877424046387 0.234324541186313 5.75148688599298 8.84619441517852e-09 5.54782764037624e-08
"Rv0025" "Rv0025" "" 448.703168725382 0.817562755226873 0.262841987217818 0.747581606277199 0.252814503298626 3.11047243205233 0.00186788330563272 0.00445115014508738
"Rv0026" "Rv0026" "" 1352.53563996149 1.05087872444427 0.176558937677695 1.01007076773502 0.173927555159634 5.95199958873014 2.64886039704405e-09 1.7859466601913e-08
"Rv0027" "Rv0027" "" 398.199547856191 -0.321659271553759 0.229613299637523 -0.29892253864346 0.221523249138965 -1.40087386950819 0.161251793976738 0.226164656727758
"Rv0028" "Rv0028" "" 485.559711362201 -0.429870533326892 0.2199168308284 -0.402030955931247 0.212953184210564 -1.9546959262173 0.0506189712204412 0.0837151759279879
"Rv0029" "Rv0029" "" 1176.27162722634 -0.203674743225834 0.141208083052019 -0.197883004729602 0.139205304047909 -1.44237311932634 0.149197142826402 0.211966167316474
"Rv0030" "Rv0030" "" 207.123707402898 0.518976849443926 0.252358415519122 0.476117104539064 0.242273513940028 2.05650700562669 0.0397336717133678 0.0676963074340303
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.14547822003453 0.239120778932837 -0.134315547650046 0.229803285461745 -0.608388031704228 0.54293014739413 0.62141280775035
"Rv0034" "Rv0034" "" 38.1746943106114 -1.22497462659758 0.671968301182422 -0.785166831958649 0.553521614237608 -1.82296489944848 0.0683087072739915 0.108475764646118
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.722356329730029 0.264200589432642 -0.659081165055237 0.253545048240074 -2.73412081056009 0.00625470908307822 0.0129791783546439
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.508664526050017 0.165004351196384 -0.489629131534967 0.162068629488688 -3.08273401496315 0.00205108392690581 0.00482945923432948
"Rv0037c" "Rv0037c" "" 1616.31328269221 -1.01659050087162 0.205615399792494 -0.963392070272698 0.201343391867198 -4.94413600293342 7.64822980314111e-07 3.48536977534147e-06
"Rv0038" "Rv0038" "" 2372.46023123897 0.62017751096143 0.163824406518704 0.597604259819025 0.161075339075225 3.78562342535098 0.000153323710345272 0.000465209787053282
"Rv0039c" "Rv0039c" "" 499.191482706655 0.238955713994145 0.336844996181351 0.205691291503096 0.312748168226674 0.709393687610238 0.478080203880812 0.560669304105992
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.435248820705348 0.238832478764099 -0.402470287345184 0.23001093306043 -1.82240214127348 0.0683939899276427 0.108567558940987
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.626264093551574 0.157937431606221 -0.605033257124715 0.155476930866645 -3.96526705026464 7.33138207404352e-05 0.000235689915171245
"Rv0042c" "Rv0042c" "" 1093.67262185408 -0.451448061722622 0.239403704812788 -0.417349394460425 0.230560634286534 -1.8857187781436 0.0593328610493614 0.0962332241404051
"Rv0043c" "Rv0043c" "" 708.140239408333 -0.715814060341035 0.210253217985084 -0.674581472702108 0.204768645802028 -3.40453319668961 0.000662772439461815 0.00174924108771786
"Rv0044c" "Rv0044c" "" 596.722755759483 -0.502065942908077 0.221021300327314 -0.469472317032468 0.214106363781499 -2.27157265912634 0.02311233380951 0.0417162315584167
"Rv0045c" "Rv0045c" "" 1494.34585177975 1.16540470504862 0.243583277881923 1.08422614858422 0.237258837400422 4.78441999460057 1.71481783221605e-06 7.4371517618942e-06
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 1.33058859209422 0.223903463168095 1.25465850110245 0.219741657329956 5.94268875196129 2.80384507484344e-09 1.88401222631062e-08
"Rv0047c" "Rv0047c" "" 4487.76354232071 3.19170699422352 0.352273662918455 3.02630469083786 0.364875709398533 9.06030546757719 1.30085737438165e-19 3.69761689653373e-18
"Rv0048c" "Rv0048c" "" 2219.12688840085 1.46568671265224 0.16160303822967 1.42283810430324 0.160326928884783 9.06967300063511 1.19374729728138e-19 3.43637061889503e-18
"Rv0049" "Rv0049" "" 1674.57749787637 0.309929063517889 0.143420277572529 0.300904198949166 0.141363359694715 2.16098496505249 0.0306965008331353 0.0536591443897725
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 0.110797072688733 0.158469685538523 0.106851821088121 0.155630642261991 0.699168880863328 0.484446495839248 0.56695737709149
"Rv0051" "Rv0051" "" 1916.57915438172 -0.0161861406468987 0.152758466552457 -0.0156481780302661 0.15019862844561 -0.105959041172624 0.915614849589913 0.932850508181987
"Rv0052" "Rv0052" "" 613.75342705192 -0.327717274567846 0.210104311669599 -0.30805727546981 0.203849136464601 -1.55978367109001 0.118811011493949 0.174182144354545
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 -0.712543683800378 0.234716434095261 -0.662171338735605 0.22713262639613 -3.03576392742567 0.00239927136362175 0.00554033965965489
"Rv0054" "Rv0054" "ssb" 2388.79580833098 0.0768724213510499 0.192414694925989 0.0729163867024617 0.187404648931188 0.399514295831814 0.68951429220309 0.757373079926163
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 -0.665634199300472 0.24157905752069 -0.615705011976559 0.233157518233042 -2.75534728105918 0.00586298681137992 0.0122434782726015
"Rv0056" "Rv0056" "rplI" 1597.30285260153 -0.828102976371711 0.191375289324986 -0.788872049087039 0.187464503462005 -4.32711547709517 1.51074767080139e-05 5.47109445218725e-05
"Rv0057" "Rv0057" "" 1242.84114064111 -0.113344065360067 0.195333007194188 -0.107348841028604 0.190111312869983 -0.580260689108152 0.561738832811088 0.638317552038139
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 0.377193210619615 0.290866794875579 0.336625126162379 0.275194313910887 1.29679020522423 0.194703381740379 0.265195175993438
"Rv0059" "Rv0059" "" 1193.17976237842 0.316056804321149 0.321445524433641 0.275532869263729 0.300492062084824 0.98323597716289 0.325491311799083 0.408787203655718
"Rv0060" "Rv0060" "" 4082.12921081883 0.221171381539509 0.179405231057905 0.21124053545833 0.175375109955788 1.23280341512519 0.217649116893481 0.292096352189587
"Rv0061c" "Rv0061c" "" 3260.97761374593 -1.85412459793661 0.198743023914714 -1.7834142861603 0.19779853813886 -9.32925624967982 1.06616405624275e-20 3.39710821468961e-19
"Rv0062" "Rv0062" "celA1" 843.734393404668 -0.640997674085086 0.274418050142091 -0.580272767112554 0.262122366265701 -2.33584370180163 0.0194993890171638 0.035824430686968
"Rv0063" "Rv0063" "" 1329.89739883274 0.475115503247064 0.223646020477451 0.443507916959351 0.216429996690577 2.12440848369564 0.0336360012134113 0.0580584712949708
"Rv0063a" "Rv0063a" "" 468.317403098905 1.38601532497712 0.248916684126041 1.29080829393748 0.243485258491658 5.56818973321731 2.57399462272175e-08 1.49894684204349e-07
"Rv0064" "Rv0064" "" 13963.4770264952 0.773371481349381 0.229891179454324 0.721227229629406 0.222963714535673 3.36407635640948 0.00076800292006324 0.00199893250142942
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 1.50127137973832 0.298277145763212 1.36122094564483 0.289915214732025 5.0331425020746 4.82504180105916e-07 2.2858201625881e-06
"Rv0065" "Rv0065" "vapC1" 719.495062856219 0.635810355896446 0.244983382113687 0.586697920757792 0.23610432632089 2.59532034544854 0.00945027931780287 0.0187064396716629
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 -1.04519266822401 0.209752997175025 -0.988740568373966 0.205314762554508 -4.98296893155652 6.26160075309593e-07 2.90030299829801e-06
"Rv0067c" "Rv0067c" "" 307.424455363887 -0.0583910660913915 0.267233324368994 -0.0529127760828683 0.254396916650567 -0.218502188038365 0.827037853697114 0.862680366284162
"Rv0068" "Rv0068" "" 283.139055122869 -0.950741370623947 0.289488310249128 -0.855962499567618 0.277121780732908 -3.28421334113891 0.00102267475443339 0.00258514904335658
