"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.340100002894445 0.184789278705581 0.308259715528618 0.184216747187795 1.8404747573928 0.0656985669018877 0.111119451125582
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.925108345457769 0.197068629895656 0.862426130900244 0.191730689545667 4.69434605572484 2.67460935976934e-06 1.31927360554915e-05
"Rv0003" "Rv0003" "recF" 906.009802633035 0.339942594267496 0.172910480641118 0.312130810407842 0.17325389348306 1.96600340827841 0.0492982169109198 0.086760469939886
"Rv0004" "Rv0004" "" 688.789361336292 -0.122789869986622 0.156277939966871 -0.103331773811539 0.148143114836827 -0.785714669726595 0.432034666980429 0.533761403764751
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.296635567889187 0.167144821713233 0.270361664645076 0.16795405130278 1.77472185407047 0.0759438250146613 0.126073131358373
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.901037462214155 0.109869206497372 0.881012465586284 0.108916386973944 8.20100090770848 2.38393731451095e-16 5.81415822816837e-15
"Rv0007" "Rv0007" "" 4214.0390689485 0.866647856697357 0.179297578303884 0.816814559578868 0.175058962728606 4.83357257189782 1.34104359593964e-06 7.13117529953906e-06
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.904601313130171 0.243350391862261 -0.813819586675403 0.233491671554579 -3.71727904856707 0.00020137997461687 0.000660292348308093
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.9040153813222 0.225753746285953 -0.824898285984283 0.217725531485649 -4.00443136025357 6.21668378462007e-05 0.000230413861473113
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.35481615143492 0.181797135565029 -0.323935872126103 0.181439385571701 -1.95171475244725 0.0509720801266384 0.0892689222430622
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.632510323537553 0.272028064046183 0.546513403664921 0.26013851160086 2.32516569845592 0.0200631017388141 0.039654484727391
"Rv0012" "Rv0012" "" 1606.01669604651 -0.915936527461355 0.187131983897214 -0.859482322682656 0.182514838508141 -4.89460170509629 9.85050241049427e-07 5.39048961549347e-06
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.0758680717662407 0.145733106298933 0.0623873949416618 0.134545751914849 0.52059599697695 0.60264823851389 0.695810400458322
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.401582189048707 0.169518555427246 0.374921075576831 0.168847966837149 2.3689571211634 0.0178383214069041 0.035849037578168
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.113139364045366 0.220178536790727 0.0923657525871497 0.201372886810463 0.513852829137937 0.607354889129768 0.700017259904234
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.475521228633425 0.135977702768021 0.457995936819666 0.134036444581148 3.4970529649605 0.0004704284223912 0.00141882633359341
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.457144115203788 0.170977352693819 0.429070076344707 0.168948698435533 2.67371150623924 0.00750169547136628 0.0169366850327818
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.0191444209156712 0.16993201149189 -0.0155533843069318 0.153294445744063 -0.112659296783437 0.910300672199598 0.939012847158665
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.0687263020521555 0.20361218629163 0.0559986232384706 0.184904294683405 0.337535308194766 0.735713400078943 0.806325559975562
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.334046696766465 0.205709474064291 -0.29540751268894 0.202539953230357 -1.62387609168679 0.104402256089492 0.164536622979491
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.654750193717739 0.179106286233685 -0.615491104837965 0.174540091348018 -3.65565166631542 0.000256529489562793 0.000821351712530465
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.806454499472917 0.364431440840315 0.636233962347077 0.335198694881872 2.21291142612003 0.0269037527922843 0.0511780102466612
"Rv0023" "Rv0023" "" 710.847205695778 -0.843502082643159 0.287293500385132 -0.727340338577983 0.272137219056879 -2.936029118349 0.00332443115034255 0.00826609658590523
"Rv0024" "Rv0024" "" 950.082277417361 -0.934987929688431 0.237779900950397 -0.845651590967885 0.228680457456101 -3.93215711652382 8.41870108568216e-05 0.000302109791003908
"Rv0025" "Rv0025" "" 448.703168725382 0.096706203575594 0.240027689041382 0.0778711565488927 0.216949064300209 0.402896032377836 0.687024710254446 0.767006111956856
"Rv0026" "Rv0026" "" 1352.53563996149 0.284947315948122 0.165824524648271 0.258949509758617 0.166632266439908 1.71836654772581 0.0857297780290876 0.139390268721368
"Rv0027" "Rv0027" "" 398.199547856191 0.521500264129616 0.184658405177931 0.486168056404436 0.181066753120779 2.82413499470611 0.00474084124901418 0.0112837733583464
"Rv0028" "Rv0028" "" 485.559711362201 0.325419549543538 0.186995054757789 0.292964696029893 0.186099696061168 1.74025751624848 0.0818138102576949 0.13423852339209
"Rv0029" "Rv0029" "" 1176.27162722634 0.489001499808009 0.116499468223538 0.475824454162084 0.115065324087717 4.19745692632448 2.69928975810429e-05 0.00010718486265598
"Rv0030" "Rv0030" "" 207.123707402898 0.103261632870723 0.223581819346386 0.0839838413834121 0.203640678755286 0.461851653111133 0.64418770648028 0.732849302707626
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.0825632595628687 0.194144946986669 -0.0676593216059507 0.177461255430038 -0.42526607488032 0.670642721447928 0.754667546175114
"Rv0034" "Rv0034" "" 38.1746943106114 -0.84410988468034 0.562663683379402 -0.516715393943376 0.457526610338135 -1.50020324683219 0.133561762480615 0.203118754257472
