"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.196782414067953 0.186471603019506 -0.184764022235983 0.181052614169773 -1.0552942693766 0.291290761205425 0.371494447231322
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -1.0324973699491 0.203162041415718 -0.984643061999247 0.200207990397644 -5.0821372080839 3.73211659624508e-07 1.58384454046877e-06
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.974578905881612 0.194856626099148 -0.931996489196815 0.192277210061905 -5.00151791289726 5.68806808233415e-07 2.34588277591881e-06
"Rv0004" "Rv0004" "" 688.789361336292 -1.241522921298 0.19102260014889 -1.19361527072252 0.188468689231195 -6.4993509685781 8.06672688505641e-11 6.08237364940036e-10
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.438923363846499 0.167439541772933 0.419277586523376 0.164716168450277 2.62138416767605 0.00875735161572581 0.017036088741375
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.240920790923931 0.111167377490694 -0.235273074442839 0.110014881047293 -2.16718965907151 0.0302203955594636 0.0516439372212113
"Rv0007" "Rv0007" "" 4214.0390689485 -0.288874776017971 0.186906543934249 -0.271770664061941 0.182015721672418 -1.54555731403172 0.122211516969706 0.174505855998304
"Rv0008c" "Rv0008c" "" 331.684349926798 0.25986840984435 0.242397775027435 0.235703443792047 0.231812901128067 1.07207423754173 0.283686689173858 0.363085879146716
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -2.01686896806343 0.225216843272441 -1.92591155896742 0.222383594721312 -8.95523149493602 3.3902350738246e-19 7.56769422411356e-18
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.502177182022099 0.182418942028593 -0.476888644072615 0.179265499711727 -2.75287849188044 0.00590738170802331 0.0119142752059214
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.165072419505141 0.276191505309982 -0.145759751102928 0.260023545940319 -0.597673774650935 0.550057627552216 0.633793434371188
"Rv0012" "Rv0012" "" 1606.01669604651 0.957521583934463 0.185352307728127 0.919308974313015 0.183140819878149 5.16595447702193 2.39215012499887e-07 1.04666502146961e-06
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.56554971034385 0.150673486499507 0.54652106157941 0.149161859844275 3.75347862110897 0.000174397412480341 0.000470051482861961
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.542026474312399 0.171886944263824 0.518223750858413 0.169469406507761 3.1533894364918 0.00161386349869447 0.00362912617150931
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 1.20494021163093 0.219637259430246 1.14339176811668 0.215824747307304 5.48604646933143 4.11028814940104e-08 2.03505620028615e-07
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.794298066847732 0.140254644462196 0.774396484690727 0.139327318187942 5.6632567847821 1.48526636587838e-08 8.02775295702525e-08
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.467626195119211 0.174981094038686 0.44533430506283 0.172027245264484 2.67243840077845 0.00753021983676345 0.0148833909830177
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 1.66299063929777 0.16912335592951 1.6167283047983 0.167558572432098 9.8330040233526 8.11609713579017e-23 2.81286840206201e-21
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 1.7174819430274 0.201320390906597 1.65111951135101 0.198761786127261 8.53108786096204 1.44977872190473e-17 2.68923743204019e-16
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 0.988163179201307 0.205697095065556 0.94044615074642 0.202654339889451 4.80397245710436 1.55548235859785e-06 5.97250806493695e-06
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.620681558969905 0.179716422964757 0.592543666818454 0.177280158745971 3.45367189448024 0.000553009744964053 0.00136558843897061
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.157295443706627 0.581594065048768 0.106847714608462 0.479892723673419 0.270455723604122 0.786809675476251 0.834322337038826
"Rv0023" "Rv0023" "" 710.847205695778 1.8007925291145 0.268344229291446 1.68193024109072 0.262563461047745 6.71075556150184 1.93619219099802e-11 1.64160844348352e-10
"Rv0024" "Rv0024" "" 950.082277417361 1.93297899465117 0.224650731956382 1.84463797186672 0.22160462765454 8.60437434508991 7.67341623035808e-18 1.47891061103145e-16
"Rv0025" "Rv0025" "" 448.703168725382 1.07490293205539 0.244773471131574 1.00452779446627 0.239607514619074 4.39141924607344 1.12613160804337e-05 3.76743944401301e-05
"Rv0026" "Rv0026" "" 1352.53563996149 1.45771728885437 0.169555605929473 1.41523172442579 0.16781602057427 8.59728158714321 8.16265305909551e-18 1.55800204040997e-16
"Rv0027" "Rv0027" "" 398.199547856191 0.129572801942926 0.215534185792436 0.119297062949318 0.207026044322627 0.601170535739083 0.54772640694182 0.6322135652431
"Rv0028" "Rv0028" "" 485.559711362201 0.0358804723845509 0.207950738779369 0.0331675565297231 0.19995057976509 0.172543134951876 0.863010553039932 0.895418774963438
"Rv0029" "Rv0029" "" 1176.27162722634 0.564351286856449 0.123221756485494 0.551459987302275 0.122425910873553 4.57996463410977 4.65054560741565e-06 1.65088101481574e-05
"Rv0030" "Rv0030" "" 207.123707402898 0.246884945700209 0.238535854191516 0.224431659214672 0.228284937107899 1.03500141115888 0.300668252171836 0.381613004462082
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.560389442000641 0.23383912722826 -0.517526942398193 0.22750427462182 -2.39647422842809 0.0165536575359046 0.0301815878746465
"Rv0034" "Rv0034" "" 38.1746943106114 -1.3001805781357 0.613978116687973 -0.903986768985407 0.532302106628473 -2.11763341851557 0.0342061256619293 0.0575099585065032
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.474156163275306 0.242422364948147 -0.433759476960091 0.234342004514484 -1.95590932122424 0.0504758370928326 0.080904678439668
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.292586350227028 0.149000625536052 -0.281067541023765 0.146491279331761 -1.96365853615987 0.0495697041329007 0.0796137809061344
"Rv0037c" "Rv0037c" "" 1616.31328269221 -0.0665190963003236 0.19589854742455 -0.0619773590362323 0.189141414722115 -0.339558905233553 0.734188729970003 0.792346263892784
"Rv0038" "Rv0038" "" 2372.46023123897 0.537926157798829 0.162892263581914 0.516519332700364 0.160842404564828 3.30234319279577 0.000958806800486382 0.00224023989871182
"Rv0039c" "Rv0039c" "" 499.191482706655 0.00229336740105697 0.332790886190829 0.00193520916008738 0.305702315545991 0.00689131672837311 0.994501568299176 0.995616399573505
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.478038642137997 0.232323524544193 -0.440293860959943 0.225283122192238 -2.05764200192763 0.0396245115999767 0.0654500189512994
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.507074333874835 0.153422348527322 -0.488663791429095 0.151620767770607 -3.30508780984105 0.000949466480263922 0.00222367638620199
"Rv0042c" "Rv0042c" "" 1093.67262185408 -0.355393139043172 0.221176122098335 -0.328049686514043 0.21389805768415 -1.60683321360144 0.10809096019794 0.157299220531145
"Rv0043c" "Rv0043c" "" 708.140239408333 -0.587862255935258 0.179242179076474 -0.560767286001134 0.176692871260412 -3.27970937958997 0.00103914070017338 0.00241792986241756
"Rv0044c" "Rv0044c" "" 596.722755759483 -0.414416322331424 0.184999256479742 -0.391828531042188 0.181122361500392 -2.24009723183294 0.0250846112170124 0.0438536720877947
"Rv0045c" "Rv0045c" "" 1494.34585177975 2.0722802289206 0.238827115564334 1.96888631705413 0.23562762541602 8.67690514966831 4.06684007784372e-18 8.07441464701535e-17
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 1.89645196294168 0.223760378610988 1.80977768313711 0.220656356992262 8.47536983407907 2.34333895139173e-17 4.26660469905471e-16
"Rv0047c" "Rv0047c" "" 4487.76354232071 3.95249736019341 0.351498689226497 3.76961292326533 0.361186732320391 11.2447001406783 2.45930970604636e-29 1.592906991572e-27
"Rv0048c" "Rv0048c" "" 2219.12688840085 1.50642982574456 0.160488251082476 1.46739117034717 0.159038699876531 9.3865427256129 6.20020230185327e-21 1.80124994813399e-19
"Rv0049" "Rv0049" "" 1674.57749787637 -0.296718247900696 0.14572450061651 -0.28552745483529 0.143390179033122 -2.03615896191364 0.0417343956234959 0.068619474452115
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 -0.761386507731612 0.158559406283339 -0.736624632020872 0.157175247291052 -4.80190059725027 1.57166712079499e-06 6.02879300413688e-06
"Rv0051" "Rv0051" "" 1916.57915438172 -0.76425202845287 0.149128622200517 -0.742249040416204 0.147992015382252 -5.12478434505525 2.97878492949665e-07 1.2820456706363e-06
"Rv0052" "Rv0052" "" 613.75342705192 -0.654439487836008 0.207220614329445 -0.616435055082241 0.203510675888816 -3.15817752955583 0.00158758844361892 0.00357818707400933
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 -0.562192853975912 0.226671672002976 -0.521573181120861 0.220958985233554 -2.48020782221313 0.0131305826977721 0.024505872573877
"Rv0054" "Rv0054" "ssb" 2388.79580833098 0.456984871778042 0.186060497481131 0.432442854710571 0.182408998736778 2.45610905036082 0.0140450529845195 0.0260525841980453
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 -0.361819187259008 0.216526314729626 -0.335057534910598 0.209751207600108 -1.671017158865 0.094718288628402 0.140109306765562
"Rv0056" "Rv0056" "rplI" 1597.30285260153 -0.924251356501423 0.181613297787281 -0.888288482083073 0.179545918703926 -5.08911719440265 3.59734254082996e-07 1.53477839058199e-06
"Rv0057" "Rv0057" "" 1242.84114064111 -0.341398472511844 0.178592292883718 -0.323215322539015 0.174638379061683 -1.91160809349219 0.055926480450856 0.0885988469371821
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 -0.11728318560296 0.292158117123752 -0.102236060393083 0.273042104983198 -0.401437368085452 0.688098141934849 0.756238041386533
"Rv0059" "Rv0059" "" 1193.17976237842 -0.123593659622502 0.327889677991856 -0.104812678027051 0.302281063444333 -0.376936719629129 0.706220632353263 0.771007935459448
"Rv0060" "Rv0060" "" 4082.12921081883 0.364916358883686 0.180024945651347 0.345445654916739 0.176131669690954 2.02703218469744 0.042659121309456 0.0698202934107956
"Rv0061c" "Rv0061c" "" 3260.97761374593 -1.32600521601503 0.194412578926076 -1.27411013320227 0.191732950535913 -6.82057315087227 9.06779996586646e-12 8.06911659124738e-11
"Rv0062" "Rv0062" "celA1" 843.734393404668 -1.99624754183934 0.266810082602624 -1.8709837311422 0.261922082147873 -7.48190444066715 7.3253205277286e-14 8.58823187093641e-13
"Rv0063" "Rv0063" "" 1329.89739883274 -0.0178943242491677 0.215394265910893 -0.0164597227837617 0.206583956248251 -0.0830770688044704 0.933790259246866 0.948433242746624
"Rv0063a" "Rv0063a" "" 468.317403098905 1.19553795605124 0.253061694538966 1.1151370295276 0.24732450180891 4.7242944382764 2.30915653492643e-06 8.62332464035379e-06
"Rv0064" "Rv0064" "" 13963.4770264952 1.2122073077673 0.230261587666478 1.14450963838591 0.22589017546607 5.2644790651019 1.40587417742146e-07 6.43639498840345e-07
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 1.09069204853609 0.316009093814316 0.975651816929424 0.304819926708494 3.45145778993618 0.000557566962349553 0.00137512301388457
