"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.00163222486156637 0.130104780832672 0.00138322634023853 0.11977081943641 0.0125454641337552 0.989990430425734 0.99250245892212
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.243053571503314 0.137034222622479 0.209853456964347 0.129385292287713 1.77367059740188 0.0761176526448808 0.145285432656968
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.354022730295737 0.113977133866711 -0.321910541591837 0.109549046404702 -3.10608556545863 0.00189581848815594 0.00694840338284242
"Rv0004" "Rv0004" "" 688.789361336292 -0.271060575674354 0.09390390415852 -0.253206324259477 0.0914088205511084 -2.88657407914344 0.00389461052489826 0.0127170299040273
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.641827311787979 0.118155465930093 -0.586924006989388 0.114733629313121 -5.43205772780516 5.57078935886722e-08 1.06329414284466e-06
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.598637125682833 0.077422002331216 -0.575157819299373 0.0764078125837794 -7.73213179274061 1.05760367867875e-14 1.1938834669885e-12
"Rv0007" "Rv0007" "" 4214.0390689485 0.053077102438036 0.125039581363351 0.0454687165092943 0.116062254999849 0.424482406765263 0.671214033278811 0.759223202257253
"Rv0008c" "Rv0008c" "" 331.684349926798 0.574474230695485 0.153877141041605 0.492878803604205 0.145254035632092 3.73333054413949 0.000188964343099334 0.00105451711805857
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.310522208609145 0.156641107552835 0.259616065576334 0.145617765829483 1.98238006268186 0.0474367193030136 0.0985256794643592
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.0674025550071626 0.124051519598083 0.0579318175469341 0.115524376272025 0.543343243400333 0.586893495681636 0.689508237121066
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.195958241929515 0.191561283227211 -0.14964504227237 0.169143513341369 -1.02295327442075 0.306329938792748 0.428428172803592
"Rv0012" "Rv0012" "" 1606.01669604651 0.121932968067864 0.128262706784649 0.104965503702332 0.120272683045521 0.950650201641127 0.341781975424538 0.464527204988768
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.185789376384758 0.0989959872787283 0.170542219364453 0.0964396259248802 1.87673643641392 0.0605542261250127 0.121045492117359
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.139642032714688 0.116842028269668 -0.123084206016686 0.111279478483096 -1.19513530176315 0.232034171386751 0.348845894653368
