"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.433638320237902 0.130376656303057 0.404295325567695 0.126716690050955 3.32604265620927 0.000880884467883745 0.00238381817301964
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.659064231028297 0.138038620261907 0.614507070195201 0.134925372192444 4.77449158632436 1.80161814822893e-06 8.47403964720537e-06
"Rv0003" "Rv0003" "recF" 906.009802633035 0.214300317355986 0.114316544668351 0.202044918795874 0.111175429659184 1.87462206785293 0.060844735045204 0.0999158554295931
"Rv0004" "Rv0004" "" 688.789361336292 0.286909152241123 0.0947308291847189 0.275617523387249 0.093033977662199 3.02867772519619 0.0024562655373068 0.0059102954554806
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.548444900862386 0.118113382142738 -0.519203660215268 0.115817362722687 -4.64337648209581 3.42760941550924e-06 1.54066948813163e-05
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.415805841310423 0.0773666873782003 -0.405293957972061 0.0765804271408949 -5.37448164579921 7.68033058929657e-08 4.67565272084911e-07
"Rv0007" "Rv0007" "" 4214.0390689485 -0.495650780757294 0.12502591522988 -0.465469323695114 0.122067456521452 -3.96438434260577 7.35856127413644e-05 0.000256607904625888
"Rv0008c" "Rv0008c" "" 331.684349926798 0.256941368839728 0.159018218744536 0.230610770493969 0.151173498504131 1.61579830832155 0.106137927439713 0.160670862572531
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 1.54493755995751 0.157441087158711 1.46370691785946 0.158146810418783 9.81279783974123 9.91797925550405e-23 5.44249111645785e-21
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.635239646240488 0.124839694321673 0.599277577640059 0.122471610349678 5.08844282014721 3.61015596957647e-07 1.96470058344306e-06
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.0580513507101881 0.191731850412809 0.049674573913276 0.177400160261872 0.302773642382318 0.76206237148633 0.822448268347496
"Rv0012" "Rv0012" "" 1606.01669604651 0.120289442501637 0.128940895409904 0.11156642129588 0.124254408905185 0.932903731738762 0.350869675449501 0.439413273372353
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.240531700589035 0.0993407540929108 -0.230022667200917 0.0972993576232918 -2.42127918984863 0.0154659938844258 0.0302655482106817
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.408752207844717 0.116806154591324 -0.38596909000421 0.114080833992848 -3.4994064248998 0.00046629524034937 0.0013626719634766
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.476813511789629 0.152113452013987 -0.434802038838945 0.146630130427354 -3.13459135583738 0.00172093659043163 0.00430615609170067
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.595398877093555 0.0925573020668957 -0.576012313626603 0.0915483253646142 -6.43275963967954 1.25307725500501e-10 1.24708015982992e-09
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.465118440506628 0.1178391124688 -0.439410369199814 0.115251752002477 -3.94706333713925 7.91156327256235e-05 0.000273000755370252
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.764843187640893 0.117490547677548 -0.728935705668069 0.115904894766588 -6.50982740960575 7.52371981346658e-11 7.76141435587636e-10
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.406045669993861 0.139582321877159 -0.374558918679983 0.134939441426951 -2.90900498382027 0.00362581079829914 0.00831915125672468
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.595705982116501 0.145019598583603 -0.550121132917699 0.14101570966653 -4.10776190207892 3.99511636911825e-05 0.000146425832786514
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.113885992277295 0.121321606828029 0.106484656388208 0.11737280397936 0.938711539146737 0.347878867331031 0.436478058058083
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.876279408520697 0.24080791483614 -0.729286706329554 0.22747351870396 -3.63891448134904 0.000273789693447865 0.000842479033343081
"Rv0023" "Rv0023" "" 710.847205695778 -0.867696276362599 0.171032224594166 -0.78892900317014 0.166615773215566 -5.07329117902495 3.90993504006072e-07 2.11040346219671e-06
"Rv0024" "Rv0024" "" 950.082277417361 -0.888381458173892 0.145622496430961 -0.829521862066388 0.143071142703349 -6.100578413 1.05685320131224e-09 9.07744999648838e-09
"Rv0025" "Rv0025" "" 448.703168725382 -0.621818882101662 0.156301306210161 -0.567861394783598 0.151449060812291 -3.97833452054184 6.93996861097858e-05 0.000242868166359401
"Rv0026" "Rv0026" "" 1352.53563996149 -0.759537213328078 0.113038061417754 -0.726344505790174 0.111619822651801 -6.71930501816607 1.82593334072772e-11 2.03792729638848e-10
"Rv0027" "Rv0027" "" 398.199547856191 -0.1350374310082 0.128841972916188 -0.125278549745312 0.124195154447347 -1.04808571268962 0.294599118258236 0.381126757117974
"Rv0028" "Rv0028" "" 485.559711362201 -0.161657368198232 0.130448291674917 -0.149761682989303 0.125697360913922 -1.23924480821174 0.215254851181114 0.294586739527739
"Rv0029" "Rv0029" "" 1176.27162722634 0.0527153799802347 0.0785671596180629 0.0511892759088931 0.0774258058418556 0.670959472590062 0.502246347741763 0.589519491811505
"Rv0030" "Rv0030" "" 207.123707402898 0.172017971210029 0.153797041558054 0.155097026468281 0.146264350728301 1.11847386313407 0.263364663318245 0.347430312110312
"Rv0032" "Rv0032" "bioF2" 348.639663421628 0.153060675190416 0.12031129625139 0.143321716920642 0.116525181996775 1.272205353607 0.203300165974209 0.28026481359529
"Rv0034" "Rv0034" "" 38.1746943106114 1.04052452693789 0.332937498241954 0.760047155481655 0.301297920457897 3.12528487308365 0.00177632944453159 0.00443913828927535
"Rv0035" "Rv0035" "fadD34" 685.945019115433 0.0918001356009036 0.154346560275966 0.0826202041276981 0.146492779907016 0.594766319617153 0.551999683905729 0.638029968301782
"Rv0036c" "Rv0036c" "" 1290.68514800702 0.0838992748234638 0.0917172928811348 0.0806465359977018 0.0899379878792708 0.914759607353402 0.360317844234791 0.449090158539955
"Rv0037c" "Rv0037c" "" 1616.31328269221 0.664573993201535 0.13480182748362 0.621731631607564 0.131935583414028 4.93000729743289 8.22265451990317e-07 4.19196232363063e-06
"Rv0038" "Rv0038" "" 2372.46023123897 -0.0773026533778931 0.111882168271634 -0.0729546909556493 0.108712984537043 -0.690929167463157 0.489610055373466 0.576930906287076
"Rv0039c" "Rv0039c" "" 499.191482706655 0.0638056242008551 0.222276869607725 0.0521766509495867 0.201064460913889 0.287054718349505 0.774070423184538 0.833318711695061
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.046943283939589 0.154893512382682 -0.0422058441613174 0.146887580649667 -0.303068109293115 0.761837956993781 0.822448268347496
"Rv0041" "Rv0041" "leuS" 3161.94748763865 0.442950885984929 0.104500074370881 0.423241046889006 0.102638034249723 4.23876144253115 2.24756333898779e-05 8.62985690217761e-05
"Rv0042c" "Rv0042c" "" 1093.67262185408 0.0314549614223696 0.137970575595952 0.0288615214489673 0.132166657414233 0.22798311369292 0.819659368184285 0.871494661920374
"Rv0043c" "Rv0043c" "" 708.140239408333 0.252925981259974 0.104090895845805 0.240904232121834 0.10177616494396 2.42985689771222 0.0151047853465454 0.0296026819961314
"Rv0044c" "Rv0044c" "" 596.722755759483 0.404951014102958 0.10431356296166 0.386682092408369 0.102359033576562 3.88205524387846 0.000103577338571886 0.000345147716512614
"Rv0045c" "Rv0045c" "" 1494.34585177975 -0.273756556010158 0.166408103966609 -0.243528474196516 0.157597774307527 -1.64509149184879 0.0999509449005485 0.152650244801727
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 -0.322543850970716 0.158188777611744 -0.290356404168517 0.150871921256144 -2.03898061442994 0.0414519623385965 0.071897357535337
"Rv0047c" "Rv0047c" "" 4487.76354232071 -1.17610912252899 0.248172289477093 -0.993363182648801 0.239116137417204 -4.73908317889595 2.1468736948221e-06 9.96744767125985e-06
"Rv0048c" "Rv0048c" "" 2219.12688840085 0.200359345337407 0.112643361680269 0.189172595229853 0.109602822773462 1.77870530805103 0.0752880884992197 0.119993238265598
"Rv0049" "Rv0049" "" 1674.57749787637 0.525399634163971 0.0937702117488269 0.507170998708522 0.0925897304174461 5.60305479069737 2.10606614200133e-08 1.43714461607034e-07
