"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.472982753054044 0.130318575826246 0.389282217980373 0.125831158676771 3.62943463781151 0.000284042639482202 0.0023478085117033
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.054307269070909 0.138396381097532 0.039770044632883 0.118629820928729 0.392403823280877 0.69475986155366 0.822857398305372
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.0554240250788334 0.114447158637068 -0.0439695073084698 0.102111007176873 -0.484276112564689 0.628189926387552 0.776832049814466
"Rv0004" "Rv0004" "" 688.789361336292 -0.16265525294621 0.0952986782635212 -0.138596313553705 0.0890120268513737 -1.70679442684854 0.0878602686731619 0.205893191890666
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.049550610215079 0.118084664481866 -0.038832923277379 0.10468073941904 -0.419619350510059 0.674763550019264 0.808856427829525
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.0945587542906233 0.077330124732232 -0.0841134966836624 0.0732086410926948 -1.22279324672045 0.22140779681968 0.39263115136201
"Rv0007" "Rv0007" "" 4214.0390689485 -0.130557855011078 0.124885518271188 -0.100850340699812 0.110758666487623 -1.04542029226777 0.295828762082339 0.478632038897348
"Rv0008c" "Rv0008c" "" 331.684349926798 0.0796932603970734 0.159088244730659 0.0544286986701782 0.131925427171424 0.500937454756614 0.616415141595303 0.768767747614596
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.304638604413684 0.157800934129976 0.218177050092166 0.139072113708923 1.93052472149982 0.053541855128668 0.143614303878729
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.284248755169153 0.124962073028277 0.226285171090112 0.115239684098939 2.27468021521084 0.0229251201936431 0.0771525978578227
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.34172502938868 0.191470338065854 0.219306076809515 0.161216795263601 1.78474134866335 0.0743032807070633 0.182683423816806
"Rv0012" "Rv0012" "" 1606.01669604651 0.138315431348989 0.128742275557655 0.105593466820477 0.113630968811765 1.07435906931012 0.282661779910546 0.463786001838276
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.158262564312123 0.0987361725053458 0.133394994936084 0.0917001467886422 1.60288332326792 0.108960416203004 0.241313119068425
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.109970574284644 0.116702195437726 -0.0870342053527829 0.104494318657141 -0.942317956163269 0.346029877684673 0.532384753400368
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.0758777522522883 0.152009178906716 -0.0531014147744826 0.127565850792778 -0.499165595117467 0.617662730015554 0.769651613489372
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.0173821193930393 0.0923060360004686 -0.0147561332061153 0.0850613785608419 -0.188309672326857 0.850633903572948 0.917579669139404
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.0648803302756084 0.11763583046429 -0.0509716348100231 0.104511272863618 -0.551535446466744 0.581266674691786 0.743069144178247
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.190802282412205 0.1173269325063 -0.152587427446094 0.106762179033255 -1.626244531723 0.103897646355077 0.233238409516427
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.199605765275591 0.139434855880152 -0.14855078258807 0.122684637769478 -1.43153420294821 0.152277171706324 0.30309677854493
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.242355881670871 0.144985064391802 -0.178617390320531 0.127947108187198 -1.67159205458528 0.0946047926054608 0.217949583431006
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.0739330770523929 0.121038525258174 0.0574779436029818 0.107046597209968 0.610822685543252 0.54131697329002 0.711728240089475
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.545752135363357 0.23061131037158 -0.327700311480825 0.199582827935591 -2.36654539833278 0.0179549720356209 0.0654028169610018
"Rv0023" "Rv0023" "" 710.847205695778 -0.595540204233944 0.170616081723302 -0.452092619545968 0.165977879823203 -3.49052796324187 0.000482067161583049 0.00362789972459929
"Rv0024" "Rv0024" "" 950.082277417361 -0.45977414313929 0.145063906418998 -0.360385636586357 0.137489454380423 -3.1694592713593 0.00152722860741757 0.00962373242090404
"Rv0025" "Rv0025" "" 448.703168725382 -0.451209781922351 0.15553723447398 -0.340872857968433 0.145115942546234 -2.90097598461437 0.00372002387016614 0.0191877471423322
"Rv0026" "Rv0026" "" 1352.53563996149 -0.340660244239856 0.112322106303373 -0.285778254342144 0.106803653712065 -3.0328868951207 0.00242226369447893 0.013724499859547
"Rv0027" "Rv0027" "" 398.199547856191 -0.0546368559073883 0.127736004569996 -0.0414825928126633 0.111489651545328 -0.427732620033915 0.668845797937846 0.804815350843095
"Rv0028" "Rv0028" "" 485.559711362201 -0.102572667933721 0.129594820222774 -0.0777188822519264 0.113458396196026 -0.791487404800579 0.428659623157352 0.61119962868809
"Rv0029" "Rv0029" "" 1176.27162722634 -0.15954573608867 0.0787015085313429 -0.142345182808505 0.0750568098561707 -2.0272258952334 0.0426393160497925 0.122790042064672
"Rv0030" "Rv0030" "" 207.123707402898 -0.0430348465872249 0.154404349193428 -0.0298029616965848 0.128624083168014 -0.278715248709177 0.780463359285496 0.87652380117595
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.275629563764839 0.121382671027302 -0.221504796633203 0.112247337158356 -2.27074887570108 0.0231621844234038 0.0775181419157792
"Rv0034" "Rv0034" "" 38.1746943106114 0.168057956042967 0.343718793491597 0.061677885647665 0.209929215886215 0.488940259378269 0.624883992112078 0.77419775880678
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.170073051517229 0.154504166661558 -0.119458397883633 0.131419068417245 -1.10076676371955 0.27099818048393 0.449879752559668
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.172369750785015 0.0918450460280118 -0.148570028209264 0.0863499236554529 -1.87674521642075 0.0605530221750724 0.157606600155337
"Rv0037c" "Rv0037c" "" 1616.31328269221 -0.0172379631755843 0.135357521526122 -0.0127358745039226 0.1163662980029 -0.12735135056575 0.898662319255514 0.945569859754604
"Rv0038" "Rv0038" "" 2372.46023123897 -0.257425902743477 0.111893875560435 -0.212261489066016 0.104354585290249 -2.30062549405967 0.0214128087360948 0.0739402340204451
"Rv0039c" "Rv0039c" "" 499.191482706655 0.592793855784023 0.221095200612293 0.37695985743375 0.200093995471363 2.68117016625581 0.00733651984913526 0.0325692021617229
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 0.240155145043742 0.154715496299148 0.171015206791386 0.134180396230918 1.55223717590249 0.120605483878451 0.258833387726106
"Rv0041" "Rv0041" "leuS" 3161.94748763865 0.0431714362674999 0.104620300932488 0.0353186261653855 0.0947237678167787 0.412648748691313 0.679863979586072 0.812110737694735
"Rv0042c" "Rv0042c" "" 1093.67262185408 0.20513481193859 0.13768433176668 0.153753723281296 0.121686051678269 1.48989219983442 0.136252582846926 0.281160480739337
"Rv0043c" "Rv0043c" "" 708.140239408333 0.148660896313825 0.103962640539305 0.12314851713615 0.0956395487188346 1.42994536828468 0.152732699485471 0.303697481463058
"Rv0044c" "Rv0044c" "" 596.722755759483 0.177180959620825 0.104457085994698 0.14720349296123 0.0965985067053724 1.69620814072697 0.0898464693149189 0.209801063985369
"Rv0045c" "Rv0045c" "" 1494.34585177975 -0.501481649961302 0.166489575929375 -0.371823744276067 0.156242441478271 -3.01209037960449 0.00259455336518837 0.0144789270421741
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 -0.302001133048722 0.158151799100186 -0.215864282240331 0.13917021784754 -1.90956495447397 0.0561892510261399 0.14874918478726
"Rv0047c" "Rv0047c" "" 4487.76354232071 -0.499938688625628 0.247794829590298 -0.276108310579467 0.202131090138866 -2.01755092893675 0.0436380518593614 0.124576548335504
"Rv0048c" "Rv0048c" "" 2219.12688840085 -0.162565420810747 0.112983745726478 -0.131183917088993 0.102825175602685 -1.43883900967756 0.150196141019222 0.299861017264753
"Rv0049" "Rv0049" "" 1674.57749787637 0.159021699235253 0.0940389446221735 0.1359308615661 0.0879264180315689 1.6910196076122 0.0908330578469797 0.211365886377214
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 -0.155324110523106 0.109394124331661 -0.126631225567088 0.0999524940884681 -1.41985788973633 0.155649057541431 0.30717753563746
"Rv0051" "Rv0051" "" 1916.57915438172 -0.0090689439846337 0.0846693038039801 -0.00787233125866065 0.0788890281717649 -0.107110175437717 0.91470157477799 0.95456574800524
"Rv0052" "Rv0052" "" 613.75342705192 0.0209392839205588 0.107116848184862 0.016982566811583 0.0964902917332869 0.195480769602387 0.845016590910585 0.915203001833257
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 -0.275097820814688 0.159870268320018 -0.194044356100111 0.13897703918922 -1.72075660912769 0.0852949992108812 0.201434872613384
"Rv0054" "Rv0054" "ssb" 2388.79580833098 -1.07451488260586 0.126014239296491 -1.01808417515517 0.127240642551332 -8.52693226261277 1.50279807281472e-17 2.2836750714196e-15
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 -0.873295804029853 0.128170579941437 -0.804623515496403 0.133135055708921 -6.81354336095596 9.52236390398206e-12 5.29899433586382e-10
"Rv0056" "Rv0056" "rplI" 1597.30285260153 -0.631691748837177 0.116338746028638 -0.561532685233264 0.117842343805512 -5.42976239989453 5.64291281358009e-08 1.61559047293152e-06
"Rv0057" "Rv0057" "" 1242.84114064111 -0.735398704455107 0.0992402365094621 -0.688528872845123 0.101879255224446 -7.41028770507807 1.26025712051634e-13 9.01116735463454e-12
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 -1.22968105825185 0.202191877042854 -1.08259026663697 0.208012347706046 -6.08175301716609 1.18875588923384e-09 4.5161293445797e-08
"Rv0059" "Rv0059" "" 1193.17976237842 -0.886285986367246 0.202196915160599 -0.700260439778922 0.214487898085254 -4.38328144454278 1.16904925108988e-05 0.000162637802501976
"Rv0060" "Rv0060" "" 4082.12921081883 -0.979567134417012 0.122255706279847 -0.923858569828496 0.124827649848005 -8.01244509744807 1.12450042012565e-15 1.08363442924791e-13
"Rv0061c" "Rv0061c" "" 3260.97761374593 -0.00182546619395855 0.136428223167513 -0.00134357651463931 0.117044052724578 -0.0133804146354465 0.989324292301291 0.993599460824199
"Rv0062" "Rv0062" "celA1" 843.734393404668 -0.658022009351326 0.164201648696647 -0.522771104913931 0.164862617342921 -4.00740196322257 6.13903309375572e-05 0.000668190626816222
"Rv0063" "Rv0063" "" 1329.89739883274 0.224861068556492 0.132879208216871 0.172019469803592 0.119028495303408 1.69222161671447 0.0906037264056203 0.211194880842835
