"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -1.09478176399229 0.134689279540817 -1.04616763287409 0.135241401536241 -8.12820268787999 4.35702245251973e-16 1.1288077385606e-14
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -1.0559595563521 0.154177965979998 -0.992204838886127 0.154453792528835 -6.84896541240594 7.43859772669415e-12 1.10905281577995e-10
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.51117501694859 0.16813350752338 -0.457833729847131 0.161620819818882 -3.04029235146663 0.00236348605429602 0.00680621967968189
"Rv0004" "Rv0004" "" 688.789361336292 -0.298426116181216 0.178777624613101 -0.259594427249362 0.168614324590018 -1.66925876113999 0.0950661092059377 0.160997084214599
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.113674408661983 0.118782656387664 -0.105355267173174 0.114650756669786 -0.9569950034708 0.338569776950463 0.451533967263199
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.275101228109222 0.0801534656747772 0.266660359305847 0.0793029125088361 3.43218132607573 0.000598747088753579 0.00197796801644263
"Rv0007" "Rv0007" "" 4214.0390689485 0.750135998308028 0.139959259692947 0.701510591690197 0.137693238361215 5.35967395050341 8.33722833202253e-08 6.31041937544464e-07
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.149462627834907 0.185973245251661 -0.127417431478493 0.172387628927834 -0.803678118498459 0.421582894456771 0.532164222363803
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.0547230610304758 0.161743331672873 0.0480399753009555 0.151641095458854 0.338332718044622 0.73511247052519 0.809484217125146
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.229000431284129 0.134446173107157 -0.209879251011606 0.129681618113892 -1.7032870924605 0.0885143549229575 0.152105909971822
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.927396284825955 0.201748915247122 -0.822650180467836 0.198238567140302 -4.5967844917034 4.29060998198805e-06 2.3709370683685e-05
"Rv0012" "Rv0012" "" 1606.01669604651 -0.431084784423313 0.133617174561602 -0.400215153953776 0.130056285366134 -3.22626777461581 0.00125415960809781 0.00386218597941889
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.264028526472383 0.115328367099275 -0.247739690228219 0.112570095804563 -2.28936325999575 0.022058254956143 0.0472369459792526
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.35512999665692 0.127684373814329 -0.330553522447566 0.124354830680121 -2.78131133863983 0.00541397882092497 0.0140082713303697
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.436356004767245 0.15920029040023 -0.393366930784305 0.153188559458482 -2.74092467840508 0.00612665504910283 0.0155668257871417
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.273389306562542 0.107213156314252 -0.258777614816368 0.105063064115782 -2.5499604335984 0.0107735145199556 0.0254887160888291
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.0743981001152421 0.130870289427547 -0.0679036732384101 0.125179001793367 -0.568487320083681 0.569704113214841 0.670709461058354
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.0821543278061599 0.121783343277924 -0.075789640712554 0.117140817771289 -0.674594124244675 0.499933667080163 0.60884790512955
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.420485717842976 0.145211837432501 -0.385123500692721 0.140588303827329 -2.89567107804438 0.00378348738161305 0.0102327217829235
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.161546463449803 0.145988363946457 -0.145368985675121 0.139144214792638 -1.10657081895275 0.26847952957554 0.376720695318026
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.0609746878871761 0.133065027615249 0.055486284158831 0.127039872740825 0.458232256663873 0.646785587711072 0.738355925179557
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.404728634680252 0.552592780122319 0.188359213654063 0.382273290414474 0.732417521978234 0.463913767246018 0.575124974706312
"Rv0023" "Rv0023" "" 710.847205695778 -0.427083848996081 0.209521446423049 -0.359061978882887 0.195543986425158 -2.03837772355651 0.0415121723430666 0.080399310258557
"Rv0024" "Rv0024" "" 950.082277417361 -0.280359626232679 0.172014103961221 -0.245827683289751 0.162738193586258 -1.62986417843902 0.103130205998871 0.172217854565317
"Rv0025" "Rv0025" "" 448.703168725382 -0.258215441502303 0.192156034174897 -0.219723829049481 0.178929735911168 -1.34378003069776 0.179019528802146 0.271727298615936
"Rv0026" "Rv0026" "" 1352.53563996149 -0.266030377271133 0.127690492326153 -0.246317963179695 0.123900875460908 -2.08340004353358 0.0372147743095791 0.0733344505222679
"Rv0027" "Rv0027" "" 398.199547856191 -0.12029115297812 0.179048188507665 -0.103400352576971 0.166451965803449 -0.671836749540589 0.501687630423414 0.610273345998432
"Rv0028" "Rv0028" "" 485.559711362201 0.0241946666525334 0.166392443175582 0.0210993095673066 0.155403807170156 0.145407244408344 0.884389345243422 0.923420270363837
"Rv0029" "Rv0029" "" 1176.27162722634 0.151483272082088 0.0955211679252849 0.144083345369606 0.0935018101139375 1.58586076125635 0.112770898626561 0.185803928471035
