"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 1.60768439911036 0.132097354317985 1.58163794490767 0.131845197038068 12.1704511601371 4.46607144008203e-34 6.76070814550348e-33
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 2.07726446221318 0.144295179837891 2.04508337374287 0.144190907095218 14.3959379970065 5.48752943906504e-47 1.79183709204512e-45
"Rv0003" "Rv0003" "recF" 906.009802633035 1.17973701567784 0.137938714225082 1.15471700395038 0.137108329641037 8.55261716991795 1.20328472259901e-17 6.85040048845635e-17
"Rv0004" "Rv0004" "" 688.789361336292 0.794964611355141 0.134369628121789 0.776978665269001 0.133126614529786 5.91625222505346 3.29360017778326e-09 1.01426455981463e-08
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.544402868784425 0.118317776988313 0.534314670780509 0.117309307890761 4.60119250582436 4.20078957589296e-06 9.55516385397415e-06
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.922814023510567 0.0780587202684855 0.915884108324337 0.0778440712184577 11.8220490976091 3.00269867312349e-32 3.94141609884083e-31
"Rv0007" "Rv0007" "" 4214.0390689485 0.706330777391724 0.128229501310422 0.691455447766759 0.127069724823892 5.50833287327397 3.62247928421732e-08 1.00438004575036e-07
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.947018402461044 0.178076320106202 -0.911488119118171 0.175584249996075 -5.31804791280647 1.04886452737134e-07 2.78311870224592e-07
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.141698885953064 0.158619463516832 0.136891017472227 0.155919468152977 0.89332596902919 0.371682634931742 0.424059512161512
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.00839472063592675 0.129096693937605 0.00820272047973903 0.127611862605653 0.0650266120678822 0.94815281172461 0.955650958960187
"Rv0011c" "Rv0011c" "" 1767.20301988517 1.97645092577159 0.195104988293608 1.91801620548649 0.194771403755386 10.1301916627435 4.05853136963587e-24 3.4190314374054e-23
"Rv0012" "Rv0012" "" 1606.01669604651 -1.13859477913369 0.133795216903579 -1.11550792533281 0.132985018926986 -8.50998118979268 1.73961573660075e-17 9.83293530087203e-17
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.251818264932618 0.10605563015014 0.247927160313076 0.105247368065899 2.37439789454013 0.0175775970499375 0.025846328970712
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.145703320928852 0.122619965475001 0.142696651922473 0.121355465673173 1.18825119844416 0.234734458113831 0.282152675390249
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.796547039500024 0.158176785684825 -0.77183358686863 0.156157392799697 -5.03580241595743 4.75851208189741e-07 1.18021853330676e-06
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.248859880290689 0.0997689622225116 0.245448395234943 0.0990944685453303 2.49436172078912 0.0126183881363822 0.0189924767721318
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.2699786274656 0.123325372300492 0.264383898323594 0.122066294862439 2.18915720609198 0.0285854158207535 0.0405678799956168
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -1.10485998476445 0.120980526197299 -1.08625682214897 0.120351510752598 -9.13254405062351 6.69081468890985e-20 4.38398156482302e-19
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -1.38166719047031 0.146242437334768 -1.35134122643757 0.145581416383719 -9.44778557887062 3.46074400311387e-21 2.45482936378867e-20
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.998981034973895 0.145786662165387 -0.973900919836969 0.144503750058757 -6.85234863145851 7.2647241452706e-12 2.69511033783701e-11
"Rv0021c" "Rv0021c" "" 1011.45778980664 -1.2548744536825 0.130071280515383 -1.2318310470522 0.129468133816213 -9.64759052659664 5.03242239590821e-22 3.7728844186401e-21
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 1.6925165235087 0.30533596219566 1.55636968937844 0.301321932453945 5.54312866174648 2.97114378655984e-08 8.3314330026245e-08
"Rv0023" "Rv0023" "" 710.847205695778 -1.42610055353697 0.21640379110628 -1.3600948595984 0.214270172653788 -6.58999801365117 4.39832460548963e-11 1.54331976165981e-10
"Rv0024" "Rv0024" "" 950.082277417361 -2.08592700074727 0.187318518665274 -2.03172988808017 0.187064128817322 -11.135722274607 8.40607883837058e-29 9.20011564831085e-28
"Rv0025" "Rv0025" "" 448.703168725382 -0.94936147292722 0.186373515917664 -0.910523999008934 0.183522517863993 -5.0938646955967 3.50837193018569e-07 8.84029177051255e-07
"Rv0026" "Rv0026" "" 1352.53563996149 -0.502611205465226 0.122305449763895 -0.492613338422856 0.121169857481831 -4.10947514142251 3.96559398062841e-05 8.18603020766083e-05
"Rv0027" "Rv0027" "" 398.199547856191 1.01103028609951 0.141087824268001 0.987304775881305 0.139943402177174 7.16596411735022 7.72410049229769e-13 3.09826609594601e-12
"Rv0028" "Rv0028" "" 485.559711362201 0.619867568464846 0.138436728364434 0.604465485607561 0.136895013056174 4.47762364647224 7.54785124266893e-06 1.67067564480588e-05
"Rv0029" "Rv0029" "" 1176.27162722634 -0.280315405796331 0.0836612390810873 -0.277605441938274 0.0832647415439395 -3.35060069484077 0.000806364861820555 0.00142039570622069
"Rv0030" "Rv0030" "" 207.123707402898 -0.135213654863339 0.158455625285528 -0.130633828884147 0.155761890256666 -0.853321897658676 0.393480819927435 0.446233774339203
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.13614762882735 0.160909180546419 -0.131398848769026 0.158091706760917 -0.846114736058045 0.397488740855838 0.44960721875792
"Rv0034" "Rv0034" "" 38.1746943106114 -0.398703332964131 0.450635369545121 -0.315599703544198 0.402245055093192 -0.884758187903868 0.376287064937672 0.428446741662462
"Rv0035" "Rv0035" "fadD34" 685.945019115433 0.251346603732783 0.168532210881464 0.241825712677874 0.165362514956745 1.49138614166502 0.135860144431356 0.172322128619033
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.160930429421926 0.103470479891316 -0.158549063439372 0.102707502259747 -1.55532698399548 0.119868213936767 0.153169247498113
"Rv0037c" "Rv0037c" "" 1616.31328269221 -0.831487701691673 0.13786148274182 -0.81188462407555 0.136562398663625 -6.03132713470695 1.62618615947776e-09 5.13183827164268e-09
"Rv0038" "Rv0038" "" 2372.46023123897 -0.671744332649318 0.11620839625512 -0.65999133603167 0.115322102381979 -5.78051461251209 7.44724689484697e-09 2.23078638980594e-08
"Rv0039c" "Rv0039c" "" 499.191482706655 -0.92969249371651 0.237332252363892 -0.869399179180436 0.231320721446866 -3.91726149504135 8.95605826293951e-05 0.000177726701139498
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 1.35020121456139 0.163712529637256 1.31273224006393 0.162696507087643 8.24739082312807 1.61890286481114e-16 8.47190095214414e-16
"Rv0041" "Rv0041" "leuS" 3161.94748763865 0.160338839442778 0.108496347134777 0.157735011217659 0.107617957750881 1.47782707599917 0.139454069199992 0.176089174627411
"Rv0042c" "Rv0042c" "" 1093.67262185408 1.26429488622009 0.155766164769529 1.23135046372595 0.154729960803831 8.11662075708634 4.79343733502424e-16 2.41259502046889e-15
"Rv0043c" "Rv0043c" "" 708.140239408333 0.878262831591415 0.119875065896072 0.862692463731386 0.11905839795067 7.3264846615629 2.36268221751186e-13 9.82627099093616e-13
"Rv0044c" "Rv0044c" "" 596.722755759483 0.640043665905205 0.123077473096846 0.627439062517105 0.122003776909342 5.2003315456564 1.98933347007908e-07 5.13716113743952e-07
"Rv0045c" "Rv0045c" "" 1494.34585177975 -0.394300983204713 0.168705506061218 -0.379514663626609 0.165643771279663 -2.33721466720613 0.0194280249039424 0.0283143217984052
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 0.167458806037152 0.157966430709928 0.161827383457279 0.155307258884326 1.06009109204129 0.289103159982247 0.339752107403289
"Rv0047c" "Rv0047c" "" 4487.76354232071 -1.05796285432307 0.248253516749343 -0.985854120896715 0.242235454067318 -4.26162282885715 2.0294775784626e-05 4.35786190897051e-05
"Rv0048c" "Rv0048c" "" 2219.12688840085 -1.04569726531329 0.114350337610431 -1.02962004759873 0.113771615521207 -9.1446801746731 5.98065658673107e-20 3.95143380839038e-19
"Rv0049" "Rv0049" "" 1674.57749787637 -0.788136573666112 0.0995653253879999 -0.778212238681963 0.0990550019033304 -7.91577359482121 2.45720408867173e-15 1.16687660508918e-14
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 -0.133696298233639 0.110751285330923 -0.131433538633602 0.109814632774049 -1.20717604165186 0.227364355067986 0.274546628017608
"Rv0051" "Rv0051" "" 1916.57915438172 0.0227427361300876 0.095847527726713 0.0224521750995219 0.0952333724343313 0.237280362566401 0.81243929554137 0.838544319927887
"Rv0052" "Rv0052" "" 613.75342705192 0.518042829323149 0.132277883155753 0.506065851113432 0.130855456603937 3.9163223432686 8.99100157139612e-05 0.000178241079822308
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 -0.311931687450539 0.156474429087335 -0.301723576579739 0.15395948380696 -1.99349944441361 0.046206784318026 0.0632362330587186
"Rv0054" "Rv0054" "ssb" 2388.79580833098 -0.191194855809639 0.128985641078504 -0.186850363681738 0.127526226774297 -1.48229565873362 0.138261642935629 0.174806960396374
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 0.650604376264486 0.142467217699356 0.633608134272083 0.140819947378892 4.56669531960282 4.95473361573214e-06 1.12055824360376e-05
"Rv0056" "Rv0056" "rplI" 1597.30285260153 0.95487692215679 0.12237435040884 0.937623504810324 0.12157588438806 7.80291718784736 6.04922482513753e-15 2.80851789472601e-14
"Rv0057" "Rv0057" "" 1242.84114064111 0.158113237888926 0.116694153034114 0.155152298005328 0.115603758816887 1.35493710505533 0.175437596513383 0.21715349117305
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 2.00824236289695 0.204509928643977 1.94395341118445 0.204131963514561 9.81977929488703 9.2545938075969e-23 7.26936384370087e-22
"Rv0059" "Rv0059" "" 1193.17976237842 1.66147032243929 0.215899895834865 1.59224856788063 0.21473116686019 7.69555870332652 1.40877234068989e-14 6.3035781631549e-14
"Rv0060" "Rv0060" "" 4082.12921081883 0.586903216615632 0.125339259547954 0.574814989124435 0.124169346270009 4.68251702405411 2.83373645070784e-06 6.54742264137233e-06
"Rv0061c" "Rv0061c" "" 3260.97761374593 0.571419823131484 0.136233275939235 0.557544344942269 0.134722328185817 4.19442180474585 2.73568501238111e-05 5.76463545808947e-05
"Rv0062" "Rv0062" "celA1" 843.734393404668 -0.760783523467638 0.187980580071871 -0.727681987452995 0.184510157153179 -4.04713892880195 5.18474712987154e-05 0.000105810619370467
"Rv0063" "Rv0063" "" 1329.89739883274 2.0894544887197 0.146663177007604 2.05619167402556 0.146552734709287 14.2466195765783 4.70511832335927e-46 1.40832746178731e-44
"Rv0063a" "Rv0063a" "" 468.317403098905 -1.33282088978269 0.175263556824584 -1.29027021929911 0.173953549518688 -7.60466644595527 2.856396326302e-14 1.25535282371737e-13
"Rv0064" "Rv0064" "" 13963.4770264952 -0.299136582083673 0.162425124672635 -0.288611598736569 0.159610122199139 -1.84168910251155 0.0655206391336829 0.087575116785244
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 -0.783516546900769 0.201964581999481 -0.744658317828121 0.19774622891457 -3.87947500073444 0.000104682158649263 0.000205566207168608
"Rv0065" "Rv0065" "vapC1" 719.495062856219 -0.590141376075617 0.171234778399682 -0.567952974277211 0.168294565321852 -3.44638736120625 0.000568135352739475 0.00101939272419331
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 0.0279573811462586 0.145702385802089 0.0271494686408348 0.143582134318942 0.191880050504004 0.847836164465492 0.868724244243558
"Rv0067c" "Rv0067c" "" 307.424455363887 0.284740666744481 0.17500852420877 0.273180369568249 0.171494731363434 1.6270102729671 0.103734915987291 0.133983868279106
"Rv0068" "Rv0068" "" 283.139055122869 0.651306233427001 0.165988437787182 0.628470869806942 0.163399423012975 3.92380482706909 8.71613571954557e-05 0.000173226620864812
"Rv0069c" "Rv0069c" "sdaA" 1075.51531863034 -0.527730072365106 0.104040346731057 -0.520109487990841 0.103346607854673 -5.07235980027325 3.92912594961287e-07 9.82530166260787e-07
"Rv0070c" "Rv0070c" "glyA2" 1113.5918913222 -0.397192108438055 0.105980339035399 -0.391142532053854 0.105205917167782 -3.74779050579737 0.000178399158189296 0.000341334176274049
"Rv0071" "Rv0071" "" 203.879914003952 -0.0830286731768586 0.169729777151091 -0.0798178410241884 0.166421461422155 -0.48918153650168 0.62471317994287 0.666371969210118
"Rv0072" "Rv0072" "" 3667.08642505857 1.27042274473315 0.126804061395996 1.24837075952752 0.12626363352077 10.0187859185815 1.2604167508727e-23 1.03748053806209e-22
"Rv0073" "Rv0073" "" 2684.56029653048 1.27044338745132 0.105627002829916 1.25507243502122 0.105319029875203 12.0276383255617 2.54332094177981e-33 3.58880751463287e-32
"Rv0074" "Rv0074" "" 2382.70807292255 1.22988698315118 0.154657064265007 1.19786396759729 0.153575966477535 7.95234921208481 1.83007514505434e-15 8.80709731803861e-15
"Rv0075" "Rv0075" "" 1977.515171339 1.13486177645169 0.111842740135516 1.11866502850529 0.1113704791631 10.1469418138059 3.41909950765014e-24 2.89889745809564e-23
"Rv0076c" "Rv0076c" "" 285.774945746359 0.477007810454324 0.143798218974865 0.463969819650081 0.141943361320896 3.31720249287442 0.000909236924663217 0.00158885231726863
"Rv0077c" "Rv0077c" "" 212.013119034207 0.6840872075338 0.173068332246609 0.658264716947666 0.170199784762054 3.95270006160935 7.72742741302126e-05 0.000154744377642407
"Rv0078" "Rv0078" "" 403.831170391618 -2.09159078805262 0.183635892537519 -2.03948320319786 0.18339893613516 -11.3898800455106 4.69635793063678e-30 5.47354282712268e-29
"Rv0078A" "Rv0078A" "" 2579.49617916964 -0.64299787058142 0.153808392695364 -0.623494762870576 0.151731351897835 -4.18051225497789 2.90853134999323e-05 6.09957928016096e-05
"Rv0078B" "Rv0078B" "" 390.462161286463 -1.09345222134708 0.191432932868378 -1.04832633691278 0.188838071155099 -5.71193370421219 1.11699605194228e-08 3.27462648525689e-08
"Rv0079" "Rv0079" "" 25995.8660494405 -1.97383942051498 0.607106657180269 -1.473872856325 0.56445805774636 -3.25122348300801 0.00114909493254172 0.00197910814231575
"Rv0080" "Rv0080" "" 7146.45610594322 -2.45700069592278 0.449249892187027 -2.14348066572718 0.442809501079203 -5.4691180535663 4.52280439292466e-08 1.24526830358504e-07
"Rv0081" "Rv0081" "" 1044.58021681479 -1.34790315537535 0.225578812902357 -1.27823077615952 0.222707669917646 -5.97530919696254 2.29654187756259e-09 7.13336238856116e-09
"Rv0082" "Rv0082" "" 1399.51227236148 -1.5065379940585 0.21781487751712 -1.43823268582998 0.216001354514224 -6.91659821969733 4.62617711917051e-12 1.7407643616993e-11
"Rv0083" "Rv0083" "" 2214.31439425469 -1.38504489290776 0.245459205602654 -1.302100827451 0.24192526645585 -5.64266835911566 1.67434674204876e-08 4.82167928413606e-08
"Rv0084" "Rv0084" "hycD" 1825.93567901996 -0.343700153158837 0.209446660346488 -0.324238765585345 0.203609383653328 -1.64099132729189 0.100799215500666 0.130704857382059
"Rv0085" "Rv0085" "hycP" 716.86366422043 -0.385733843043109 0.279527371188688 -0.349001530452323 0.266350851207845 -1.3799501687537 0.167601988227566 0.208303068728252
"Rv0086" "Rv0086" "hycQ" 1702.42680098777 -0.304644801044813 0.225057092335996 -0.284884361733637 0.217804917601647 -1.35363341755966 0.175853359970206 0.217544902777727
"Rv0087" "Rv0087" "hycE" 785.116226130324 -0.0825235283461861 0.204724433144767 -0.0779828387521687 0.199022119689652 -0.403095649495979 0.68687786094657 0.723501580538496
"Rv0088" "Rv0088" "" 2013.56880627897 2.23106389570068 0.21562392173999 2.15875877883146 0.215186674552895 10.3470147361062 4.31738172814414e-25 3.87681254724943e-24
"Rv0089" "Rv0089" "" 455.775380874761 1.25419735328567 0.174691352340825 1.21317531332736 0.173179341478945 7.17950451742292 6.99645117122922e-13 2.81496726858723e-12
"Rv0090" "Rv0090" "" 126.71053678024 0.223437558706788 0.1980757697981 0.211938509909818 0.192976486956781 1.1280408448471 0.259302669793795 0.307659113620205
"Rv0091" "Rv0091" "mtn" 188.390640769161 -0.607781000871914 0.226091935694654 -0.569361066705602 0.219518078839387 -2.68820291623645 0.00718377274896315 0.0111832490666483
"Rv0092" "Rv0092" "ctpA" 1692.89425293273 -0.453270216235134 0.127677276254335 -0.44340183106801 0.126359570492452 -3.55012441941675 0.000385049124942752 0.000708253767527381
"Rv0093c" "Rv0093c" "" 545.98142955258 -0.895929580491534 0.158938271214657 -0.86855025688311 0.157069637183662 -5.63696568261726 1.7307258547139e-08 4.97678155165546e-08
"Rv0094c" "Rv0094c" "" 749.745493087601 0.159051585236622 0.135723341233722 0.155056561250267 0.134019529197539 1.17188085550243 0.241244894304317 0.288660986491931
"Rv0095c" "Rv0095c" "" 69.3866821751443 -0.66990920769834 0.37851500989962 -0.566334524700951 0.350759176682847 -1.76983525138408 0.0767545896017762 0.101423874085825
"Rv0096" "Rv0096" "PPE1" 118.890489880359 -1.49630738452784 0.363585193216551 -1.31735469007115 0.35231662844112 -4.1154244244392 3.86467614460293e-05 7.99441646456868e-05
"Rv0097" "Rv0097" "" 402.946395171927 0.504923007697374 0.278823126969674 0.457625164503249 0.266239266109442 1.81090791565612 0.0701551070786293 0.0933589855397994
"Rv0098" "Rv0098" "fcoT" 209.400760133757 0.118343860637377 0.310958315625237 0.104585537414919 0.292380137446566 0.380577893211911 0.703516487658476 0.738495890188257
"Rv0099" "Rv0099" "fadD10" 992.366055843694 -0.349458635657929 0.239898028766003 -0.324075399063145 0.23128365748052 -1.45669657001972 0.145200157014591 0.18270249056199
"Rv0100" "Rv0100" "" 102.788008839551 0.0776209983384167 0.248007493443651 0.0715515276381773 0.238127825204599 0.312978439726269 0.754297042459191 0.786547272303052
"Rv0101" "Rv0101" "nrp" 7518.52947827622 -0.551413594209098 0.152249372608431 -0.534762716583184 0.150128055118964 -3.62177909019878 0.000292583925473464 0.000545016831939559
"Rv0102" "Rv0102" "" 3992.865457812 0.574397507963013 0.128730391571187 0.561909700330796 0.127455190548322 4.46201942643337 8.119086342773e-06 1.79382595580927e-05
"Rv0103c" "Rv0103c" "ctpB" 3113.13933228105 -0.404298077835434 0.0957916917288307 -0.399253555804667 0.0952198308104012 -4.22059648951529 2.4365673646632e-05 5.16740615017944e-05
"Rv0104" "Rv0104" "" 651.500364766736 0.113837989548385 0.127113200779946 0.111315782280574 0.125702056131159 0.895563866301012 0.370485741423208 0.422816049787144
"Rv0106" "Rv0106" "" 524.486960963602 -0.275096045137575 0.410166929426616 -0.225088347456498 0.371549233414105 -0.670692894529892 0.502416190298465 0.551248644229169
"Rv0107c" "Rv0107c" "ctpI" 5889.78837678256 0.397129637313947 0.15160740387251 0.384996103747729 0.149372736936239 2.61946070686562 0.00880689179410332 0.0135498557159277
"Rv0108c" "Rv0108c" "" 3022.96582602378 0.611335370752897 0.165605787861779 0.589847201095072 0.162972598986911 3.69150969085176 0.000222926901207378 0.000422033630412243
"Rv0109" "Rv0109" "PE_PGRS1" 247.116665348124 -0.312313548718099 0.233544539742607 -0.290647435842563 0.225493703388982 -1.33727617465304 0.181132505041771 0.223572173514539
"Rv0110" "Rv0110" "" 490.083035166673 0.34472726641138 0.147360559403124 0.334703275606508 0.145271240945722 2.33934553321241 0.019317557959504 0.0281741127715025
"Rv0111" "Rv0111" "" 946.534992692099 1.24572095376821 0.128322461925219 1.22336655022414 0.127733486658662 9.70773888747681 2.79467757722917e-22 2.12750888393689e-21
"Rv0112" "Rv0112" "gca" 975.461368132066 1.04725269884347 0.194543842668598 1.00203776151023 0.191647381037749 5.3831192212413 7.32060154608183e-08 1.97566234348151e-07
"Rv0113" "Rv0113" "gmhA" 486.731988778923 1.30164514595988 0.194877224050741 1.24996551775038 0.192921940947234 6.67930874067137 2.40071923650105e-11 8.55296817260201e-11
"Rv0114" "Rv0114" "gmhB" 258.300443991307 1.29916186786837 0.229201279600907 1.2286705175319 0.225894574166446 5.66821385173118 1.44293801436161e-08 4.19845669286546e-08
"Rv0115" "Rv0115" "hddA" 554.208432211322 0.520404378650501 0.229768663208897 0.486095040598198 0.222590345492299 2.26490580300486 0.0235184605991208 0.0339005610460147
"Rv0115a" "Rv0115a" "" 392.239804293112 0.763491867208785 0.250248557914728 0.706883819250774 0.242199204556152 3.05093413353032 0.0022813061398972 0.00378556932328174
"Rv0116c" "Rv0116c" "ldtA" 3653.61238719788 -1.41974292481564 0.178736183022283 -1.37430279308881 0.177584522405334 -7.94323175536671 1.96980409429819e-15 9.44501938904386e-15
