"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.236855906169949 0.133317614079682 0.225067969920014 0.130051374520361 1.77662875085946 0.0756293420005104 0.116450323555735
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.373433138920808 0.149064262613113 -0.351008192027108 0.144836657817876 -2.50518221050762 0.012238832524813 0.0233602064277952
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.760278588525625 0.157799975759922 -0.715086112915999 0.154606827787626 -4.81798926054537 1.45012173983753e-06 6.02463826929344e-06
"Rv0004" "Rv0004" "" 688.789361336292 -0.954613769056873 0.165878581407059 -0.898024531529039 0.163624667789797 -5.75489470044532 8.669581745528e-09 5.08212425468563e-08
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.109521537015887 0.118681207897178 -0.105097695626247 0.11627404591414 -0.922821219605155 0.356100380733902 0.43667057860945
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.656726632234354 0.0798284504564776 -0.645771534512977 0.0793378862715615 -8.22672403734557 1.92403039245323e-16 2.5104756319388e-15
"Rv0007" "Rv0007" "" 4214.0390689485 -0.784525556775264 0.138933713282184 -0.748276419410336 0.136878242101843 -5.64676159761049 1.63498305243135e-08 9.12403677988171e-08
"Rv0008c" "Rv0008c" "" 331.684349926798 0.516809778684078 0.18294777245314 0.473049335216886 0.176069100635991 2.82490336861824 0.00472948769306166 0.00996066411262613
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.471931408105921 0.161043256822154 -0.439909755778938 0.156109876700849 -2.93046363702823 0.00338456603132445 0.00739216163060414
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.13306246421839 0.13301022942805 0.12640693555438 0.129670229487836 1.00039271257981 0.317120495285475 0.394379312833778
