"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.749758541288026 0.130698489732995 0.713800383080832 0.128638138520394 5.73655091822188 9.66240102719381e-09 5.45373520834896e-08
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.647871766940267 0.138817895529039 0.611447231148175 0.135940608813278 4.66706230109027 3.05536708475716e-06 1.18003473625372e-05
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.0917165897963737 0.125136105420404 -0.0859982730769591 0.121301861275292 -0.732934667322794 0.463598277721689 0.547750237822486
"Rv0004" "Rv0004" "" 688.789361336292 -0.458075273882948 0.116659597414458 -0.437976940480495 0.114691825408362 -3.92659741706066 8.61560067717043e-05 0.000258664424585869
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.321206923106555 0.118215929556383 0.305489353227649 0.115947991636752 2.71712047870297 0.00658526315706535 0.0136722936067079
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.541188619385436 0.0777249461405942 0.530838946632992 0.0771486883489754 6.96286901770889 3.33411791657484e-12 2.93387525353835e-11
"Rv0007" "Rv0007" "" 4214.0390689485 0.671941218924488 0.12710935181527 0.640313854637682 0.124952500093948 5.28632401415305 1.2479876292601e-07 6.00584546066586e-07
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.579671251611873 0.174914308387559 -0.528078325466906 0.168878506711474 -3.31402992102563 0.00091961665884994 0.00225537269963756
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.275509461122381 0.157905539591279 -0.252003338658736 0.152013790219277 -1.74477388086261 0.0810242370480686 0.124674676667843
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.0875432464298119 0.127600564477445 -0.0818927343352269 0.12353566399803 -0.686072563928869 0.492667350996129 0.575252401598698
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.942033572150678 0.192052015861153 0.857660453922508 0.18796068223529 4.90509598624436 9.338166248093e-07 3.90011573427224e-06
"Rv0012" "Rv0012" "" 1606.01669604651 -0.491868537120898 0.133331669904356 -0.464468612505639 0.13045046138113 -3.68906005207715 0.000225084091187768 0.000622764176668678
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.31280774821505 0.103831972623691 0.300764904702134 0.102303163879791 3.01263416567006 0.00258990924741557 0.00587412826437365
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.0761524092603866 0.120970246237147 -0.0716483374951138 0.117425451503515 -0.629513550886717 0.529012900085508 0.609189731343003
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.504776344425965 0.15740770791954 -0.466590153974707 0.152726765300319 -3.20680830117915 0.00134216401791226 0.00320222828186675
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.174369763482323 0.0977941514785375 0.167660851774289 0.0961487082355932 1.78302854358925 0.0745816570259384 0.115876066469055
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.19808828196294 0.121714590915577 0.18694674456095 0.118690600371334 1.62748180372505 0.103634810133688 0.153719055504705
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.288866860913729 0.120846124250289 -0.273800327719939 0.118307200806622 -2.39036926261239 0.0168314404576229 0.031383209649867
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.490716635279743 0.146106289944193 -0.458207017515542 0.142321775077363 -3.35862771867781 0.000783305149389791 0.00193669502205198
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.768070301338892 0.145676900717377 -0.723189128769975 0.142923928197787 -5.27242340794305 1.34634029958756e-07 6.43215299113719e-07
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.459332214548125 0.129581236452571 -0.434707060457451 0.1268887005974 -3.54474326008033 0.000392995678504664 0.00103515061718129
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 1.37826119337488 0.261025810637294 1.21721357796021 0.263756488905666 5.28017206424861 1.29062627013179e-07 6.18842766176055e-07
"Rv0023" "Rv0023" "" 710.847205695778 -0.920088149781147 0.213747439372627 -0.81864988998222 0.207467159901824 -4.30455753052159 1.67319808925829e-05 5.70388753292451e-05
"Rv0024" "Rv0024" "" 950.082277417361 -1.32168909050268 0.186444134729746 -1.23780187056689 0.188017549065585 -7.08892823267673 1.35154587514421e-12 1.24575433653125e-11
"Rv0025" "Rv0025" "" 448.703168725382 -0.754492864475792 0.18246944898389 -0.687014256115585 0.176921958614237 -4.13489967047801 3.55109740680775e-05 0.000114721061768581
