"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.0804184452565276 0.130044491480654 0.0684821647286197 0.120429496701573 0.618391785310576 0.536317111478752 0.649462488200604
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.283063600318897 0.13696687647416 0.242945483927661 0.12846680917716 2.06665733793162 0.0387664538217752 0.087075758413777
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.343309043540356 0.113683645286818 -0.30947192471721 0.108768221422554 -3.0198630829809 0.00252888977997027 0.00947973768563808
"Rv0004" "Rv0004" "" 688.789361336292 -0.196810788254112 0.09330258979049 -0.181811656355581 0.0906847804969154 -2.10938183705349 0.0349116359755027 0.0799628253560643
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.481628251491646 0.118140284514701 -0.433136674526487 0.113103000290378 -4.07674870151268 4.56698040737221e-05 0.0003341507331394
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.381785637666326 0.0774089532112547 -0.3636889956707 0.0757616727155684 -4.93206046365728 8.13667200768302e-07 1.10309934952135e-05
"Rv0007" "Rv0007" "" 4214.0390689485 0.0991438252352997 0.125034767591618 0.0853911427667776 0.116661975260392 0.79293005573552 0.427818575011992 0.54898057482052
"Rv0008c" "Rv0008c" "" 331.684349926798 0.566742817467997 0.15381866613774 0.478825448070879 0.144218414018188 3.68448662115231 0.000229164061677558 0.00133347158716942
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.325438778792223 0.156641764298988 0.2686525263611 0.144295685931877 2.07759903783416 0.0377463048850802 0.0851717022278424
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.0195000557630138 0.123926970081111 0.0167326479786438 0.114826530258548 0.157351186349919 0.874968081778117 0.918027068037094
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.123693966939728 0.19133318252063 -0.0924908333416761 0.166067526163067 -0.646484657340556 0.517965530194769 0.633389603775776
