"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.159030280820759 0.13006477277274 -0.14954402802568 0.126186570454577 -1.22270063930862 0.221442785436821 0.291932080500794
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.864092565175872 0.137421556173581 -0.818275165495494 0.135377349294758 -6.28789681354221 3.21795674868929e-10 2.64327382828927e-09
"Rv0003" "Rv0003" "recF" 906.009802633035 0.146158136992446 0.113897476039377 0.139346560027417 0.111247941422938 1.28324298373316 0.199406961121033 0.267342009972583
"Rv0004" "Rv0004" "" 688.789361336292 -0.0450991698875443 0.0937013306794583 -0.0436402554426266 0.0921753241748469 -0.481307677922136 0.6302978409848 0.699720924341373
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.937052665982362 0.118121360790841 0.901393732655559 0.11704777488914 7.93296538160962 2.13974092661374e-15 3.86032712376754e-14
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.751098591590884 0.0773812673687074 0.737280207116543 0.0769453052860699 9.70646536469916 2.82980415520823e-22 1.30006467642183e-20
"Rv0007" "Rv0007" "" 4214.0390689485 0.493910064011605 0.124889481676763 0.468383852144914 0.122129585058737 3.95477711477685 7.66060340126215e-05 0.000236276690385533
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.70195272409047 0.154466268292936 -0.651898254168996 0.150499707593606 -4.54437549277271 5.5098363137974e-06 2.19449226570701e-05
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.52779500134202 0.157041734129561 -1.45409948585312 0.156021537641746 -9.72859227395931 2.27722471600138e-22 1.09723351864896e-20
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.458158904775447 0.124195634959773 -0.43447418733658 0.121378745093026 -3.68900972182996 0.000225128617529416 0.000624081843394426
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.279705069553771 0.191247201590951 0.246899251116887 0.180151455196798 1.46253156766193 0.143595600348759 0.200334116164529
"Rv0012" "Rv0012" "" 1606.01669604651 -0.0860357294644359 0.128153861635656 -0.0810156425978065 0.124375959097804 -0.671347147611028 0.501999405943348 0.582667348085243
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.0685723113139922 0.0984248693110206 0.0661371418363751 0.0966667835537685 0.696697001418463 0.485992435765322 0.565750180821682
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.262270973717824 0.116767596067994 0.249650029259037 0.114047458435586 2.2460938012726 0.0246980003157782 0.0427515207748578
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.134158578140921 0.152055678242223 0.123487076427897 0.145946734613572 0.882299034747052 0.377615118301754 0.457094770959017
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.501304285390243 0.0924638718042887 0.486757172029578 0.0913448799184223 5.42162333901955 5.90602253294859e-08 3.33352786109712e-07
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.345978240623263 0.117783082199897 0.329324320388631 0.115132891273968 2.93741880549604 0.00330956823253243 0.00706053136432809
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.54007293012238 0.117460877696521 0.515596226421103 0.11528088586763 4.59789625885263 4.26778394734185e-06 1.74374502336584e-05
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.796230826714887 0.139744325465438 0.751145346412367 0.137276184832641 5.69776857888813 1.21385665033496e-08 7.74789600238033e-08
