"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -1.37041972948717 0.131622958896083 -1.35209745634979 0.130924328646404 -10.4117073569902 2.19253611195946e-25 1.32929592778815e-24
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -1.49146843996553 0.142273996306362 -1.46867776068131 0.141468102139662 -10.4830712476363 1.03332478174398e-25 6.37916595729759e-25
"Rv0003" "Rv0003" "recF" 906.009802633035 -1.35637633799585 0.140447743795467 -1.33572498700084 0.139591387151964 -9.65751603650632 4.56805558228222e-22 2.40324735094501e-21
"Rv0004" "Rv0004" "" 688.789361336292 -0.923150928112889 0.139550157587201 -0.908570966477789 0.138529122041544 -6.61519086810087 3.71072650515205e-11 1.00556107145787e-10
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.529314100117941 0.118360925129713 -0.523120714551595 0.117682123576439 -4.47203415770754 7.74790476576814e-06 1.45979836573915e-05
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.974588899871273 0.0782373311357019 -0.969714424367208 0.0780589796783438 -12.4568270124253 1.28377466709688e-35 1.21927733406245e-34
"Rv0007" "Rv0007" "" 4214.0390689485 -0.837661866312884 0.129037936773178 -0.826245095248952 0.128210098936005 -6.49159376893419 8.49330209621849e-11 2.25063960980277e-10
"Rv0008c" "Rv0008c" "" 331.684349926798 1.46194220530237 0.180071571173746 1.42631052840328 0.178397983461388 8.11867301303096 4.71308463479383e-16 1.74357653483805e-15
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.846383768566843 0.16332162057584 -0.828082757351713 0.161656971621413 -5.18231306781465 2.19150963927691e-07 4.67277635444309e-07
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.566685922248088 0.134946636463766 -0.558114813336802 0.13394883890967 -4.19933343355503 2.67701870649406e-05 4.80986853540611e-05
"Rv0011c" "Rv0011c" "" 1767.20301988517 -1.99091545349441 0.195429396431139 -1.94032610732894 0.194373924924813 -10.1873898699571 2.25743746614633e-24 1.31303582564687e-23
"Rv0012" "Rv0012" "" 1606.01669604651 0.203203099712043 0.137797430329825 0.199965584431714 0.136698756721345 1.47465086413924 0.140306432565591 0.166421709716797
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.725570788109456 0.110063526644885 -0.71829120348971 0.109534883709486 -6.59229092713409 4.33090846075796e-11 1.16721823522883e-10
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.924388361180135 0.125628808478076 -0.91251835949481 0.124882584730497 -7.35809224316138 1.8655712057308e-13 5.92990493470828e-13
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.163497799462618 0.159684375401891 0.160019286811595 0.157979980876846 1.0238810093419 0.305891481079315 0.344716840200905
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.838501652497107 0.102229970531465 -0.831288400840568 0.101816848425592 -8.2021118478072 2.36200378208458e-16 8.83738346876532e-16
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -1.14803190162599 0.127660562886692 -1.13314849158781 0.126939798749267 -8.99284693460854 2.4090763265926e-19 1.06112157930517e-18
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.0204201055879026 0.123738907185904 0.020156434566787 0.122937458387598 0.165025746972402 0.868923716735806 0.88733977896696
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.118727396312698 0.149681039898885 -0.116500402009044 0.148272089936274 -0.793202642050739 0.427659768453803 0.470312502071891
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 0.44417602165939 0.146034888774046 0.436292785331266 0.144753311855862 3.04157469073466 0.00235344168594187 0.00352213943225619
"Rv0021c" "Rv0021c" "" 1011.45778980664 1.8388971630713 0.129422639949751 1.81726893679819 0.129024605912604 14.208465874172 8.11845746355435e-46 1.16640092503648e-44
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 1.11985855778128 0.249264018459345 1.06645264143576 0.243940454348702 4.49266029129644 7.03389390557298e-06 1.32970884310616e-05
"Rv0023" "Rv0023" "" 710.847205695778 1.08827948368736 0.235744134697128 1.04145325725761 0.231172467909424 4.61635868517164 3.9053173500893e-06 7.56368080892295e-06
"Rv0024" "Rv0024" "" 950.082277417361 0.82384379323722 0.193908416083638 0.79893805630567 0.191125312805644 4.24862318962924 2.15088357234754e-05 3.90360174292382e-05
"Rv0025" "Rv0025" "" 448.703168725382 -0.0662966350266076 0.187817346631407 -0.0643616266967966 0.185057020763607 -0.352984621578726 0.72409996961103 0.756856872998196
"Rv0026" "Rv0026" "" 1352.53563996149 0.127275616008991 0.122743939589551 0.125659099115202 0.121962929913529 1.03691975697207 0.299773255472165 0.33859466334206
"Rv0027" "Rv0027" "" 398.199547856191 -1.09791878742897 0.141818171971453 -1.08031361854236 0.140810314703879 -7.74173557708786 9.80687830731162e-15 3.36053566280904e-14
"Rv0028" "Rv0028" "" 485.559711362201 -1.40512833768753 0.145866504953089 -1.38225177986369 0.144938504647192 -9.63297460331571 5.80249628726665e-22 3.0405388370014e-21
"Rv0029" "Rv0029" "" 1176.27162722634 -0.306318398637278 0.0859222372688601 -0.304403617057855 0.0856552372844001 -3.56506544026285 0.000363765414562421 0.00059096922406913
"Rv0030" "Rv0030" "" 207.123707402898 -0.0235648350347662 0.167527716145766 -0.0230138190323489 0.165557563553752 -0.140662306971716 0.888136723641957 0.903689980713204
"Rv0032" "Rv0032" "bioF2" 348.639663421628 0.0893769089780092 0.153884847656177 0.0876066976042511 0.152354210823893 0.580803830522048 0.561372673137962 0.602712889013067
"Rv0034" "Rv0034" "" 38.1746943106114 0.707709253206341 0.448078043586866 0.607394790218132 0.41620201458512 1.57943301024332 0.114236770744506 0.137564608720373
"Rv0035" "Rv0035" "fadD34" 685.945019115433 0.0277883978674818 0.170514272183046 0.0271158948409641 0.168438458853179 0.162968163964897 0.870543501002417 0.88864205622608
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.249480060528515 0.105949749077894 -0.247114668335535 0.105448697974887 -2.35470175908674 0.0185375772308143 0.0250828656297764
"Rv0037c" "Rv0037c" "" 1616.31328269221 0.536773870069471 0.138920446787486 0.528167352761481 0.137828082419842 3.86389392261746 0.000111593698011354 0.000189882300104591
"Rv0038" "Rv0038" "" 2372.46023123897 0.751156121581068 0.116748327481315 0.742702129092461 0.116121416614326 6.43397758054641 1.24307202601301e-10 3.23329662592324e-10
"Rv0039c" "Rv0039c" "" 499.191482706655 1.36695254907114 0.23583657849985 1.31000720193203 0.231834549408026 5.79618546777723 6.78402368455977e-09 1.60021955687735e-08
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.478150330038808 0.16233274369933 -0.46772622454712 0.160585401038249 -2.9454952780471 0.00322438069318028 0.00475888237532883
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.634156598802448 0.109660292553816 -0.627807107149505 0.109128314550163 -5.78291908615174 7.34153806228549e-09 1.72657243357678e-08
"Rv0042c" "Rv0042c" "" 1093.67262185408 -1.31529952055097 0.155676362838967 -1.29063952864248 0.154481048370034 -8.44893532046049 2.93971266279054e-17 1.16966815011938e-16
"Rv0043c" "Rv0043c" "" 708.140239408333 -0.552735254151861 0.120539604640678 -0.546037665028175 0.119825218221532 -4.58550744213518 4.52885141870887e-06 8.71458150829597e-06
"Rv0044c" "Rv0044c" "" 596.722755759483 -0.166030536408643 0.123739786548756 -0.163888865021348 0.122940799191601 -1.34177164062929 0.179670050094075 0.209898393826639
"Rv0045c" "Rv0045c" "" 1494.34585177975 1.19922183094323 0.168093173911219 1.17269938567094 0.166493860199462 7.13426847170259 9.73032486053962e-13 2.92576206423075e-12
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 0.47553375020407 0.157903803723955 0.465710709711114 0.156293511279273 3.01154081782217 0.00259925454428945 0.00387534139791985
"Rv0047c" "Rv0047c" "" 4487.76354232071 1.71865083948504 0.248170974171497 1.64437118043351 0.244704503117517 6.92526934393779 4.35146796044805e-12 1.2494658366083e-11
"Rv0048c" "Rv0048c" "" 2219.12688840085 1.709542223525 0.114756512293276 1.69319041612803 0.114420918274146 14.8971260049802 3.44063831869422e-50 5.88483203340297e-49
"Rv0049" "Rv0049" "" 1674.57749787637 1.06283707714489 0.100420639649687 1.05418494399591 0.100056071062922 10.5838508981077 3.54098750101166e-26 2.23847065863953e-25
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 0.426721830657469 0.110939686362686 0.422311091005153 0.110373119921778 3.84643083686413 0.0001198509417229 0.00020305792056054
"Rv0051" "Rv0051" "" 1916.57915438172 0.0152558961365014 0.097201259449303 0.0151336545771926 0.0968110588300316 0.156951630286831 0.875282968967833 0.893141273345018
"Rv0052" "Rv0052" "" 613.75342705192 -0.421710395322693 0.136148781574106 -0.415182877137701 0.13510571237966 -3.09742320457825 0.0019521096788079 0.00295509016895403
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 0.461058587806652 0.15713995870702 0.451619365389347 0.155550005867658 2.93406331273304 0.00334555957243564 0.0049266887330202
"Rv0054" "Rv0054" "ssb" 2388.79580833098 1.97690832157714 0.127631860154346 1.95514488466709 0.127344225559634 15.4891444752623 4.1071951834943e-54 8.19572129797273e-53
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 1.284354970774 0.133749038337648 1.26641140084456 0.132975977984344 9.60272303066336 7.78597497148194e-22 4.04768251477963e-21
"Rv0056" "Rv0056" "rplI" 1597.30285260153 0.921480785361439 0.118750091099225 0.910889826935565 0.118118702206435 7.75983223955144 8.5041801143646e-15 2.93193853681104e-14
"Rv0057" "Rv0057" "" 1242.84114064111 1.55285065061953 0.11095066256497 1.53849548297081 0.110589291477359 13.9958664033233 1.65204024386608e-44 2.27428954826303e-43
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 0.350817712673996 0.203277890969034 0.338942753136691 0.199839966219462 1.72580358346711 0.0843827549403494 0.103442837346981
"Rv0059" "Rv0059" "" 1193.17976237842 -0.434503848193093 0.212511034841672 -0.418525859924541 0.208623608991506 -2.04461781721976 0.0408925515387888 0.0525761376927285
"Rv0060" "Rv0060" "" 4082.12921081883 0.641448683331023 0.124490436193129 0.633201550942389 0.123714929589951 5.15259407024575 2.56907671914172e-07 5.44550542775157e-07
"Rv0061c" "Rv0061c" "" 3260.97761374593 -0.372604340694032 0.136307647736151 -0.366814919517503 0.135256011924609 -2.73355418336671 0.00626548136756321 0.00893034519597484
"Rv0062" "Rv0062" "celA1" 843.734393404668 0.890767785402467 0.194181955678504 0.863897375107684 0.191434548358239 4.58728403620191 4.49049557142626e-06 8.65038907981725e-06
"Rv0063" "Rv0063" "" 1329.89739883274 -2.2943003877567 0.151289544378376 -2.26256484318947 0.151173649279322 -15.1649632972563 6.03326223942423e-52 1.11389808915725e-50
"Rv0063a" "Rv0063a" "" 468.317403098905 0.625008101474555 0.177861799910883 0.608834476770678 0.175618409665351 3.51400976369132 0.000441396588412447 0.000712101084367487
"Rv0064" "Rv0064" "" 13963.4770264952 0.118934015139211 0.162549419298319 0.11631306627239 0.160750296297201 0.731679114281778 0.464364447164789 0.506964335658491
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 0.813934171600375 0.204285101898372 0.786706057836247 0.201031410837184 3.98430509144661 6.76778782199606e-05 0.00011717585313193
"Rv0065" "Rv0065" "vapC1" 719.495062856219 0.903765664249271 0.172002464710214 0.882242353063487 0.170090955014041 5.25437624264232 1.48526977292071e-07 3.22080179627318e-07
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 -0.735139129410395 0.146919740133604 -0.722118845261814 0.145672526062949 -5.00367839435249 5.62465653873818e-07 1.16350879500286e-06
"Rv0067c" "Rv0067c" "" 307.424455363887 -0.808945535852525 0.182722974511618 -0.78712559500644 0.18037998346727 -4.42716925999413 9.54778105776375e-06 1.7819217269355e-05
"Rv0068" "Rv0068" "" 283.139055122869 -0.489719134728937 0.166343053539177 -0.478527453500855 0.164467315426101 -2.94403117118203 0.00323967368687654 0.00477610102121239
"Rv0069c" "Rv0069c" "sdaA" 1075.51531863034 0.611654240733609 0.105031893014033 0.606024355056283 0.104562387678476 5.8235096329444 5.76244914043035e-09 1.36577303862269e-08
"Rv0070c" "Rv0070c" "glyA2" 1113.5918913222 0.176751544447435 0.107210391069797 0.175033998656175 0.106689470307595 1.64864191505807 0.0992210163404979 0.120436938728512
"Rv0071" "Rv0071" "" 203.879914003952 0.403184278297188 0.174618754919881 0.393026984310096 0.172432835339113 2.30894028812757 0.0209468949511372 0.0281213666163585
"Rv0072" "Rv0072" "" 3667.08642505857 -1.65385641825375 0.127849661465866 -1.63402282187569 0.127351689800168 -12.935946793221 2.82125918102603e-38 2.98841689657744e-37
"Rv0073" "Rv0073" "" 2684.56029653048 -1.86165845444813 0.109157511191231 -1.84613083653811 0.10892986691925 -17.0547902213227 3.22026894512643e-65 9.3553548545548e-64
"Rv0074" "Rv0074" "" 2382.70807292255 -1.60461245790815 0.156183818517952 -1.57576886464186 0.155222646772361 -10.2738713468176 9.24198259733322e-25 5.48274373003957e-24
"Rv0075" "Rv0075" "" 1977.515171339 -1.21475326159252 0.112983715370223 -1.20247928649858 0.112499106369568 -10.7515782926064 5.82561447762382e-27 3.79192797382071e-26
"Rv0076c" "Rv0076c" "" 285.774945746359 -0.603516747627642 0.154201785144372 -0.591679978700572 0.152726995760539 -3.91381167904507 9.08505004946858e-05 0.000156065359762828
"Rv0077c" "Rv0077c" "" 212.013119034207 -0.168619708247724 0.178747465354961 -0.164152068945504 0.176368630342299 -0.943340415557083 0.345506809734153 0.386275440084787
"Rv0078" "Rv0078" "" 403.831170391618 2.38638273737993 0.187759395240512 2.33752511396548 0.187687564037786 12.7097913493121 5.21734622106802e-37 5.36816013527077e-36
"Rv0078A" "Rv0078A" "" 2579.49617916964 0.681239963828074 0.153921010191893 0.667980474659261 0.1524735957625 4.4259062682786 9.60382216260478e-06 1.79068906863858e-05
"Rv0078B" "Rv0078B" "" 390.462161286463 0.700221195736747 0.190332338664611 0.679641031826996 0.187627595542934 3.67893969385109 0.000234205635350079 0.000388125194962538
"Rv0079" "Rv0079" "" 25995.8660494405 1.7585611618447 0.607051067854714 1.3848990066785 0.554635306600002 2.89689163723797 0.00376879909065691 0.00551909755640677
"Rv0080" "Rv0080" "" 7146.45610594322 2.20490676637706 0.44889435635509 1.94715220774115 0.437244629984895 4.91186118774216 9.02159150669406e-07 1.83923158116348e-06
"Rv0081" "Rv0081" "" 1044.58021681479 1.5172273547717 0.222169355192144 1.4621642010574 0.219158298341574 6.82914776189327 8.54205570697343e-12 2.42280417072879e-11
"Rv0082" "Rv0082" "" 1399.51227236148 1.70413126083045 0.215465709791721 1.64787627850197 0.213178770565036 7.90906015847135 2.59339276634863e-15 9.14865608914591e-15
"Rv0083" "Rv0083" "" 2214.31439425469 1.56689237286558 0.244399462447294 1.49918342403528 0.240549794768364 6.41119402299622 1.44384301046203e-10 3.74319142672931e-10
"Rv0084" "Rv0084" "hycD" 1825.93567901996 0.394661429442005 0.208495326062484 0.380652783140197 0.204805498397867 1.89290300600661 0.0583707694369771 0.0736343901805544
"Rv0085" "Rv0085" "hycP" 716.86366422043 0.524295920753298 0.278504484632586 0.492238005120092 0.270031841886234 1.88254031688204 0.0597626911962793 0.0751264374535474
"Rv0086" "Rv0086" "hycQ" 1702.42680098777 -0.00492426327107679 0.224237004907523 -0.00472220269257337 0.219588190712502 -0.0219600831410837 0.982479796891558 0.984722901450671
"Rv0087" "Rv0087" "hycE" 785.116226130324 -0.386041681760989 0.204400094600181 -0.372848123677243 0.200916562676146 -1.88865706014525 0.058937795861415 0.0742194637923445
