"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.603075159423544 0.136154140865254 0.57035402395692 0.133712768445196 4.42935599013755 9.45149001335462e-06 3.97264223859193e-05
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.38560556993257 0.158295584166138 0.355309086340494 0.152702196153701 2.43598437672057 0.0148513259550286 0.0303886559021293
"Rv0003" "Rv0003" "recF" 906.009802633035 0.559738095446046 0.188177806118216 0.503715368301723 0.181015522038744 2.9745170644322 0.00293450133664248 0.00715692270436695
"Rv0004" "Rv0004" "" 688.789361336292 0.565826435506738 0.199336024346134 0.503360449217991 0.190933963021587 2.83855583737447 0.0045318189670813 0.0105386796579978
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.101979018067953 0.119324346476083 -0.0969501817470972 0.116368665029023 -0.854637138854089 0.392752060652039 0.48874437531849
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.324427328468601 0.0821093276030672 -0.316884565642238 0.081236870991154 -3.95116289390344 7.77723642445551e-05 0.000269542641342313
"Rv0007" "Rv0007" "" 4214.0390689485 -0.781557005519963 0.150417047312079 -0.736308208873236 0.148783900061231 -5.19593370223803 2.0369484858128e-07 1.11933010673802e-06
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.168867720461868 0.196816507337949 -0.148600480816171 0.18486252056583 -0.857995717665637 0.390894828069183 0.487046819836437
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.198244828017749 0.178727183187892 0.178145822749374 0.169682861121796 1.10920356087825 0.267342376814096 0.358178952455915
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.392430985883048 0.153870506041488 0.363198191085246 0.148755037433748 2.55039770764929 0.0107600094905807 0.02279506568219
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.50448700017816 0.20971056308179 0.442179589597416 0.198910160920449 2.40563466505692 0.0161444005839732 0.0327782768279949
"Rv0012" "Rv0012" "" 1606.01669604651 0.714740046193121 0.14585082600135 0.673668837884382 0.143784256267312 4.90048679043139 9.5599485746261e-07 4.78118440738579e-06
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.274462426069708 0.134570391309863 0.257956584979662 0.130704815880545 2.03954542598995 0.0413956223809924 0.074546082054376
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.484706654946603 0.141621126998717 0.454707623043957 0.13808397228713 3.42255894454924 0.000620346458981664 0.00176711525554185
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.0421574825458303 0.172167472778394 -0.0381013263458121 0.163686020783261 -0.244863224542382 0.806562337525941 0.856180483969742
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.44368713598635 0.119618510755789 0.423315698588882 0.117325023562485 3.70918458341429 0.000207927807200706 0.000663588664176082
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.43088194120036 0.148311396650502 0.401244492756713 0.143924652861309 2.90525172664742 0.00366957843715855 0.0087025836765987
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.11910126141526 0.133707670466546 0.111857448485894 0.129621642760457 0.890758630373861 0.373058673376629 0.469262915794671
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.602550336015428 0.160653930029604 0.558113276304214 0.156605721008563 3.75061061938787 0.000176404459535634 0.000572228259134065
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.207988214870205 0.147920392592405 -0.192938179361251 0.142644924028065 -1.40608209067777 0.159699749786612 0.233019916656906
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.315357946720056 0.134361654072694 -0.296624797889189 0.1306333173277 -2.34708294488126 0.0189210421689827 0.037642012895091
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -2.42960213547406 0.519932095068886 -1.96576957781196 0.536110358064448 -4.67292201908051 2.96944532893416e-06 1.36580657678916e-05
"Rv0023" "Rv0023" "" 710.847205695778 -0.111122519578688 0.277515144916168 -0.0880265022506893 0.247204042774548 -0.400419658582079 0.68884744728008 0.757513896598417
"Rv0024" "Rv0024" "" 950.082277417361 1.13318126073307 0.195385926535671 1.05593766975263 0.19684280230695 5.79970769044202 6.64306154983698e-09 4.47133495458363e-08
"Rv0025" "Rv0025" "" 448.703168725382 0.714149741364188 0.216094925193043 0.630105927259529 0.208584983197313 3.3047964487191 0.000950454009585592 0.00257208478895389
"Rv0026" "Rv0026" "" 1352.53563996149 0.324382197522885 0.136599997147209 0.304562089748451 0.132719376219701 2.37468670788703 0.0175638508321766 0.0352257739278832
"Rv0027" "Rv0027" "" 398.199547856191 0.164298263395054 0.196567507300348 0.14461176243925 0.184636259101753 0.835836327435402 0.403246986662957 0.498176316585426
"Rv0028" "Rv0028" "" 485.559711362201 0.726995308495386 0.186393926960951 0.661783236330395 0.181984907854859 3.90031649822845 9.60670174040634e-05 0.000325803249582364
"Rv0029" "Rv0029" "" 1176.27162722634 -0.255060805811457 0.117478395990136 -0.24310029003156 0.114836165050297 -2.17112945458391 0.0299213880905346 0.0558626734748904
