"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.00221686137061373 0.135543791565618 0.00209664876764265 0.131817608708708 0.016355314728971 0.986950928656369 0.990029293703568
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.179058998682288 0.15663089111804 0.167266744228756 0.151849785773085 1.143190831669 0.252959368047143 0.330941212964987
"Rv0003" "Rv0003" "recF" 906.009802633035 0.48705130408349 0.180517190132308 0.452587730431136 0.175796116877381 2.69808821933529 0.00697389567858831 0.0145020325400539
"Rv0004" "Rv0004" "" 688.789361336292 0.503599237312705 0.18922556265549 0.465073552058431 0.183829412945492 2.66137000860488 0.00778233843451495 0.015997928800608
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.489212424128874 0.119261126517302 0.473524387309457 0.117976994484785 4.1020275291287 4.09545531595556e-05 0.00013324587909461
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.627329791186421 0.081935046048339 0.618459417144645 0.0815274693749443 7.65642812742567 1.91175665790033e-14 2.15810015867548e-13
"Rv0007" "Rv0007" "" 4214.0390689485 0.794027857631265 0.1501372890647 0.759652987835469 0.147797266455448 5.2886785326801 1.23203199636397e-07 5.93629075321227e-07
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.584854325711493 0.200077407426294 -0.53721503126613 0.194043586685259 -2.92314026473451 0.00346520378292016 0.00772630933765098
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 0.784066742513319 0.176675689536417 0.737526351712632 0.172887126020113 4.43788698134218 9.08462953872512e-06 3.29902309811608e-05
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.285205907040376 0.15140334555211 0.268575851926123 0.147789433265657 1.88374904134608 0.0595989294210473 0.0956439358824362
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.410159094198224 0.207604461049498 0.371254377114372 0.199604920788103 1.97567572548661 0.0481915159304294 0.0798007876953589
"Rv0012" "Rv0012" "" 1606.01669604651 -0.133478444654042 0.144035205524162 -0.125695712669745 0.140018820875012 -0.926707079483084 0.354078640823946 0.441731831353146
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.25383432037914 0.13222280946057 0.241976895130727 0.129685564001925 1.91974683804337 0.0548898848576353 0.0889905355242171
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.326899526212312 0.139249309202555 0.31100701239231 0.136671215384337 2.34758454519006 0.0188955843113219 0.0350994140169408
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.0707309774075565 0.171783057543826 0.0651019896900622 0.164898886148125 0.41174594525721 0.680525645086259 0.746352490178584
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.135129956473159 0.117583532236955 0.129598108676363 0.115329062213122 1.14922518402359 0.250463138883336 0.328545770826049
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.53149994939366 0.145221186031627 0.507203214334299 0.142913411984113 3.65993395259771 0.000252280265844011 0.000712989506687901
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.195393646454521 0.132948934818687 0.185799344050339 0.130054452843607 1.46968944671121 0.141645882232159 0.203432526608237
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.336724151556701 0.159463094878115 -0.315899548591196 0.155582943971277 -2.11161179214586 0.0347197602907388 0.0600603208882264
