"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.102570674836377 0.189708264860733 -0.0785000937834407 0.167495194593201 -0.540675836720532 0.588731036170594 0.739610913802867
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.033900832717026 0.214816381676107 -0.0247784451924628 0.18381955320631 -0.157813070178887 0.874604099208026 0.930282963050019
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.149216073015049 0.234931642314389 -0.107299182978224 0.202021206034295 -0.635146766715086 0.525332698191688 0.687964696902671
"Rv0004" "Rv0004" "" 688.789361336292 0.0199089647737709 0.245171925628012 0.0138930908433003 0.204859683921719 0.0812040967691295 0.935279641527802 0.965760043380156
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.3278694191404 0.168207317481506 -0.278382156709361 0.163132744460601 -1.94919831104522 0.0512717465957635 0.130946382496601
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.179157149194962 0.114102627005149 -0.158320640903096 0.110383484409481 -1.57014044196264 0.116382441750829 0.240999490229311
"Rv0007" "Rv0007" "" 4214.0390689485 -0.226447724506148 0.202933816027938 -0.174987325975045 0.18437953694135 -1.11586983844512 0.264477854078882 0.43703555059208
"Rv0008c" "Rv0008c" "" 331.684349926798 0.110188757408627 0.268029803425105 0.0747177491462559 0.222138952784795 0.411106362055804 0.680994545125431 0.805205673798183
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.49454096864075 0.237952636557102 -1.35409445525162 0.246707272304214 -6.28083382586137 3.36761943402708e-10 7.27074556494042e-09
"Rv0010c" "Rv0010c" "" 1936.35496712783 -1.09087005269762 0.199387301886073 -0.983204096038551 0.197927137560327 -5.47111096032047 4.47223168450648e-08 6.87540365193972e-07
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.549308006316155 0.28661135220951 -0.399197217944296 0.261154436994216 -1.9165605342618 0.0552937858718947 0.137746373253377
"Rv0012" "Rv0012" "" 1606.01669604651 -1.02619896564716 0.195056464601822 -0.92418106213068 0.192580106150295 -5.26103540193858 1.4324644755677e-07 2.02130969391714e-06
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.61458455931312 0.171798506094822 -0.550792645436291 0.167660728824941 -3.57735683087901 0.000347086213591009 0.0021097501998432
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.703635522509364 0.185689451082459 -0.624629395930066 0.180423391933802 -3.78931338537321 0.000151064243987937 0.00103533543640671
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.937415553898749 0.231411752341918 -0.801681597365709 0.224575958601395 -4.05085543154994 5.10307302530374e-05 0.000416575238077997
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.434184957884355 0.155208300996901 -0.387813535025136 0.153244379928308 -2.79743386852115 0.00515103109093775 0.0204745712679025
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.776391157957448 0.192308285046239 -0.687769505866669 0.186781736250123 -4.03722157769111 5.40879780021914e-05 0.000433471807478008
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -1.31499357885906 0.178697516917275 -1.2299189970026 0.181227896550471 -7.35876805421877 1.85615222388748e-13 6.48996233325612e-12
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -1.27832398104198 0.212812765898571 -1.15687377329742 0.215263989279204 -6.0068012162919 1.89219271159405e-09 3.64685531878444e-08
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.8872183964441 0.207503214826222 -0.778584832767191 0.201884274889834 -4.27568506438379 1.90550435328176e-05 0.00017480597298104
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.273085831164156 0.188930019194273 0.219474421295866 0.176973319696919 1.44543377663741 0.148336081725749 0.288139556980547
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.574120831170295 0.746219464332675 0.183828480833631 0.433473065368379 0.769372629114837 0.441672132391552 0.616188769448807
"Rv0023" "Rv0023" "" 710.847205695778 -1.26649794994615 0.333000787427686 -0.98314100404492 0.328728709559238 -3.80328815354881 0.000142788103598326 0.000986286358945776
"Rv0024" "Rv0024" "" 950.082277417361 -0.348538072866616 0.247760395551651 -0.257980796841181 0.223730824754108 -1.40675458678768 0.159500173067179 0.305432696482686
