"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.546603316723524 0.184541922934935 0.501918172365007 0.178853553988039 2.96194657577207 0.00305700821490116 0.0080094426107921
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.620493632223809 0.196061704951339 0.565476318729937 0.189448473096062 3.16478749574176 0.0015519625400777 0.00443369775549314
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.130005829798946 0.169481409007818 -0.114186734271365 0.161079426684998 -0.767080180416419 0.443033845029367 0.54786438864195
"Rv0004" "Rv0004" "" 688.789361336292 -0.622379505776418 0.151155782682299 -0.588459700910324 0.147916139057301 -4.11747069633812 3.83053216809301e-05 0.000163821663824122
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.286922648401278 0.167106341524517 0.261685450892202 0.163716852096478 1.71700634328819 0.0859780129909216 0.14426512034988
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.509625334296423 0.109689104906874 0.493987436192357 0.108264761539636 4.64608891401835 3.38287244614733e-06 1.84864855252117e-05
"Rv0007" "Rv0007" "" 4214.0390689485 0.510842482061824 0.178357771737924 0.470998548707441 0.173218305994925 2.86414478653864 0.00418136837581144 0.0105969124136183
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.787807410965054 0.239226991438665 -0.693974724201529 0.229188636560369 -3.29313764398964 0.00099075958387083 0.00298360603344028
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.66091477360529 0.224480145511105 -1.55642594209599 0.226466730378089 -7.39893842203131 1.37277487130115e-13 2.72554448065871e-12
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.980133449342242 0.180194337453481 -0.916450772446088 0.177304612285327 -5.43931326141296 5.34863375784528e-08 4.20965178829616e-07
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.616036924880909 0.27125307111895 0.517907434478957 0.254961593420068 2.27107815716034 0.0231422470216884 0.0469620020455526
"Rv0012" "Rv0012" "" 1606.01669604651 -0.841122166346955 0.186293618183208 -0.778957607405449 0.181883631466708 -4.51503478514098 6.33063736961823e-06 3.19851000605647e-05
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.020076887848985 0.144061581024043 0.0175366203155283 0.134732965331765 0.139363234154944 0.889163123691508 0.919414682466671
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.0620357694803444 0.168403173596499 0.0538638838433467 0.157546151291868 0.368376486947834 0.712592527383585 0.786219792150948
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.252975474605856 0.219036665976409 -0.216988636071196 0.206816188069188 -1.15494578717292 0.248112627637058 0.347621628295751
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.316379182311926 0.134688475037851 0.299409982461775 0.133376256315581 2.34896996363658 0.0188254253546658 0.0393125029472962
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.222744694178657 0.169814912272428 0.199885744846266 0.164928941243126 1.3116910122788 0.189624410515296 0.277792378919516
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.302983632021361 0.16911207169105 -0.276527854515002 0.165609348048719 -1.79161445419982 0.0731947461585042 0.126284909201856
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.278832323129362 0.202112445084771 -0.244615821354462 0.193694833316485 -1.37959007428965 0.167712895254516 0.251664887637901
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.483101899856831 0.205593742282103 -0.432885031255255 0.198191059326621 -2.3497889308029 0.0187840592890647 0.0392676287042829
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.487322397537255 0.177720143327974 -0.449068279542149 0.172722730841793 -2.74207745060122 0.00610519442346076 0.0147262656697762
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 1.67793442828142 0.354131510629814 1.41987531111399 0.355381437768291 4.73816753922083 2.15659483047692e-06 1.24571727707812e-05
"Rv0023" "Rv0023" "" 710.847205695778 -0.735214230779127 0.283619571425729 -0.614834406802525 0.266538051138532 -2.59225492473342 0.00953490889732491 0.0218011719058627
"Rv0024" "Rv0024" "" 950.082277417361 -0.726178147177827 0.235375307673183 -0.640094422636746 0.225209433579053 -3.08519255633271 0.00203420409499765 0.00560079468943255
"Rv0025" "Rv0025" "" 448.703168725382 0.0878014802621762 0.236259593440432 0.0725422095186877 0.215408893674054 0.371631386406807 0.710167317193926 0.783762868780224
"Rv0026" "Rv0026" "" 1352.53563996149 0.454980205947704 0.164705564545364 0.423547554127857 0.160722995753162 2.76238515197458 0.00573807451423724 0.0139343161682553
"Rv0027" "Rv0027" "" 398.199547856191 0.932650363748474 0.184020501783368 0.868075395158709 0.18052295953951 5.06818726560374 4.01622178406285e-07 2.72647633485091e-06
"Rv0028" "Rv0028" "" 485.559711362201 0.722035568805005 0.185924252927564 0.666219488071156 0.180659963990074 3.88349318303466 0.000102966420068055 0.000397285474305553
"Rv0029" "Rv0029" "" 1176.27162722634 0.663268451243249 0.114195529173604 0.642427473469044 0.112861449103814 5.8081822996321 6.31547310503124e-09 5.84366141404647e-08
"Rv0030" "Rv0030" "" 207.123707402898 -0.148620837863137 0.219129932902649 -0.12552555497246 0.203297467071657 -0.678231567428824 0.497624880279183 0.599242883871701
"Rv0032" "Rv0032" "bioF2" 348.639663421628 0.141084089864766 0.1893235945728 0.1222326702283 0.17839450168443 0.745200777447289 0.45615035295605 0.559428695836136
"Rv0034" "Rv0034" "" 38.1746943106114 -0.877365393452885 0.54601354128462 -0.520982459115839 0.441147731621939 -1.60685647353852 0.10808585649719 0.175234804686252
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.0792350694488223 0.226373029642308 -0.0660172389394373 0.207214154338439 -0.350019918777522 0.726323749042896 0.796918948200078
"Rv0036c" "Rv0036c" "" 1290.68514800702 0.0409223903720436 0.136358110686928 0.0359007269851436 0.128136238062814 0.300109690328575 0.764093487889316 0.826381630378084
"Rv0037c" "Rv0037c" "" 1616.31328269221 -0.112284281152587 0.193289971017697 -0.0965185265878768 0.180654340354524 -0.580911055868006 0.561300400643595 0.657680273707842
