"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.0538960404365657 0.130559642054548 -0.000119252120026004 0.00614134612631603 -0.412807814026083 0.679747425973874 0.999652421664065
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.0470725415880733 0.138591173774892 9.24553001116443e-05 0.00614211092455813 0.339650356555398 0.734119851074603 0.999652421664065
"Rv0003" "Rv0003" "recF" 906.009802633035 0.118400870523193 0.114462294264306 0.000340618288220517 0.00613930175240214 1.03440937720323 0.300944822464807 0.999652421664065
"Rv0004" "Rv0004" "" 688.789361336292 0.156203764222001 0.0950189441311521 0.000651247083534034 0.00613532182262129 1.64392233201831 0.100192246579118 0.999652421664065
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.0621163768632952 0.118087237827307 0.000167924352440228 0.00613983566416909 0.526021084125412 0.598873557777087 0.999652421664065
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 0.0892828540480732 0.0773302345336629 0.000560818063170697 0.00612881188663611 1.15456592866283 0.248268225821752 0.999652421664065
"Rv0007" "Rv0007" "" 4214.0390689485 0.0632798418200913 0.12488371837135 0.000153000048405984 0.00614071459432118 0.506710103169129 0.612358240588299 0.999652421664065
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.144080733450819 0.161375970329294 -0.000208827366953929 0.00614369458064562 -0.892826442231862 0.371950123635279 0.999652421664065
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.5057633472608 0.158480570601669 -0.000760031034260894 0.00614353041758897 -3.19132714717443 0.00141620823159001 0.999652421664065
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.0293520323508024 0.125325426625024 7.04701196083943e-05 0.00614076683164894 0.23420652250101 0.814824651604196 0.999652421664065
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.133606355994707 0.191884771146981 -0.000137021786485747 0.0061449982241179 -0.696284312694967 0.486250795423643 0.999652421664065
"Rv0012" "Rv0012" "" 1606.01669604651 -0.00633526311155363 0.129117297688056 -1.43318205566901e-05 0.0061411934892086 -0.0490659518514665 0.960866737196838 0.999652421664065
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.0274896500650743 0.0991072277735777 -0.000105385189047006 0.00613635550198469 -0.277372808044612 0.781493858836787 0.999652421664065
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 0.0455682490337922 0.116707936745032 0.000126109306834933 0.00613963834883218 0.390446873663303 0.696206132603047 0.999652421664065
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 0.0280806572880166 0.152021762023241 4.58537798049862e-05 0.00614312988738243 0.184714720539311 0.853452799542121 0.999652421664065
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 0.0470054905659979 0.0923386591896542 0.000207467240239132 0.0061345686980146 0.509055372673902 0.610713411695526 0.999652421664065
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 0.0325295579921203 0.117662451517897 8.85742285743728e-05 0.00613977563341441 0.276465070823146 0.782190883990877 0.999652421664065
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.000424410863717294 0.117325979022119 1.16224136430232e-06 0.00613972762091621 0.00361736477508773 0.997113766789718 0.999652421664065
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.0105300008546003 0.139426416061913 2.04354299078749e-05 0.00614218297789305 0.0755237146017183 0.939798029892463 0.999652421664065
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.0220933469556303 0.14498317705938 -3.96583974590524e-05 0.00614263113097748 -0.152385589857654 0.878882821971936 0.999652421664065
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.0016425074366099 0.121659950093945 -4.18401776476936e-06 0.00614031599622809 -0.0135008064308884 0.989228242222634 0.999652421664065
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.347508212550635 0.230361182516418 -0.000247358238405262 0.00614596315901893 -1.5085363287101 0.131417316073274 0.999652421664065
"Rv0023" "Rv0023" "" 710.847205695778 -0.0160747797245577 0.170335599061023 -2.09150016461987e-05 0.0061441506903089 -0.0943712284053954 0.924814270189827 0.999652421664065
"Rv0024" "Rv0024" "" 950.082277417361 -0.0111985325662754 0.144880977453718 -2.01301103349131e-05 0.00614262335028481 -0.0772947060621038 0.938389102260116 0.999652421664065
"Rv0025" "Rv0025" "" 448.703168725382 -0.0439786189466409 0.15511988574845 -6.89785524894332e-05 0.00614332824602315 -0.283513739933761 0.776783050622021 0.999652421664065
"Rv0026" "Rv0026" "" 1352.53563996149 0.0668915206302004 0.112116700777411 0.000200546731913945 0.00613892842126804 0.596624054814118 0.55075840740484 0.999652421664065
"Rv0027" "Rv0027" "" 398.199547856191 0.154485559350865 0.127635417742671 0.0003576251867979 0.0061410312604147 1.21036591631899 0.226138514447124 0.999652421664065
"Rv0028" "Rv0028" "" 485.559711362201 0.0287421129338733 0.129790437853022 6.43500698501428e-05 0.00614126535666102 0.221450157725962 0.824741941499276 0.999652421664065
"Rv0029" "Rv0029" "" 1176.27162722634 -0.0991660257862728 0.079057080921269 -0.000596144897549844 0.00612964376977479 -1.25435981990063 0.209711250000165 0.999652421664065
"Rv0030" "Rv0030" "" 207.123707402898 0.167820223365357 0.154124146064211 0.000266625412167887 0.00614326579416452 1.08886392983122 0.276213894587574 0.999652421664065
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.107516400800296 0.121457237603108 -0.000274793000441763 0.00614028986898994 -0.885220205251434 0.3760378768096 0.999652421664065
"Rv0034" "Rv0034" "" 38.1746943106114 -0.0666711744961796 0.352793859100255 -2.02419964537452e-05 0.00614721830324225 -0.188980541402319 0.850108067697338 0.999652421664065
"Rv0035" "Rv0035" "fadD34" 685.945019115433 0.0913979700988798 0.154378540007581 0.000144731670740996 0.00614328186432144 0.592038052014168 0.553825107742617 0.999652421664065
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.0271799642895534 0.0919038848247184 -0.00012109634422048 0.00613444030912083 -0.295743366468042 0.767426076120091 0.999652421664065
"Rv0037c" "Rv0037c" "" 1616.31328269221 0.0651406292324943 0.135494122736909 0.000133846465325258 0.00614183204580299 0.480763504104005 0.630684591465513 0.999652421664065
"Rv0038" "Rv0038" "" 2372.46023123897 0.0728806561742069 0.111777153144167 0.000219828199147641 0.00613887242772569 0.652017466218766 0.514389904930109 0.999652421664065
"Rv0039c" "Rv0039c" "" 499.191482706655 -0.15187331406439 0.222822055601256 -0.00011553770857518 0.00614581264260963 -0.681590130988515 0.495498157095445 0.999652421664065
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.274629764485072 0.155016168058525 -0.000431320539925977 0.00614332179696002 -1.7716201343681 0.0764576351439007 0.999652421664065
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.00166848137536994 0.104759607694802 -5.72703072365195e-06 0.00613759091513799 -0.0159267623474761 0.987292819442605 0.999652421664065
"Rv0042c" "Rv0042c" "" 1093.67262185408 0.0168096151787073 0.138002861637933 3.32973452938089e-05 0.00614205938736131 0.121806279806062 0.903052440421659 0.999652421664065
"Rv0043c" "Rv0043c" "" 708.140239408333 0.0280296788965251 0.104674103730667 9.63680477316871e-05 0.00613757369928275 0.267780452829548 0.78886831779593 0.999652421664065
"Rv0044c" "Rv0044c" "" 596.722755759483 0.153527797969762 0.104973845454841 0.000524839801408226 0.00613763386701665 1.46253380834571 0.143594986809614 0.999652421664065
