"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.0864654941480494 0.13803602382834 -0.0764636067419762 0.130221122640985 -0.626398035454691 0.531053897811388 0.658855687204572
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.0631680314073664 0.165243089637513 -0.0537101140824655 0.152613300471371 -0.382273361905395 0.702258611125133 0.799373025801038
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.078320269101113 0.205616119177968 -0.0627562679175734 0.184423220305688 -0.380905297766679 0.703273521264095 0.800067285492209
"Rv0004" "Rv0004" "" 688.789361336292 0.107628660176373 0.226630589051653 0.0835747282779386 0.200376338787923 0.474907913476069 0.63485261074643 0.746963271310049
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.327287429737601 0.119749276444247 -0.304429487789841 0.117303175775281 -2.73310569763635 0.00627401947425521 0.0182942073378467
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.272732432821727 0.0838494626538982 -0.262212290563719 0.083050384325525 -3.25264377599499 0.00114336736031954 0.00412929107917963
"Rv0007" "Rv0007" "" 4214.0390689485 -0.302027833671442 0.159779134546102 -0.26570572497452 0.152805572322584 -1.89028332472471 0.0587200777582217 0.119036955989089
"Rv0008c" "Rv0008c" "" 331.684349926798 0.0407577157417139 0.21747556264158 0.0320151973504331 0.192845682316897 0.187412853410507 0.851336945586097 0.90517553068102
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.57479807395129 0.179040240060653 -1.50322466461927 0.181562387581253 -8.79577727005841 1.42061134619417e-18 3.5979714287264e-17
"Rv0010c" "Rv0010c" "" 1936.35496712783 -1.01423363681529 0.156047133493513 -0.951965099303877 0.1562634253108 -6.49953391715107 8.05692359052261e-11 1.01056841606841e-09
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.453217780054622 0.213275195168042 -0.374984573955884 0.200042944902976 -2.12503746484689 0.033583486880686 0.0760391728742639
"Rv0012" "Rv0012" "" 1606.01669604651 -0.875853483779212 0.146871799800007 -0.820949864595503 0.146194928458471 -5.9633876957445 2.47061278343109e-09 2.58861132126565e-08
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.662133164116286 0.140134554176866 -0.61623887692411 0.137849809826056 -4.72498141522324 2.30136402262272e-06 1.50541212804343e-05
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.754151963214564 0.144312086111094 -0.702992503787028 0.142636176972341 -5.22584063149088 1.73365637389582e-07 1.39221063684195e-06
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -1.13689185861207 0.174319854874752 -1.06025709505202 0.175298868652671 -6.52187244779959 6.94350527757503e-11 8.82115413237908e-10
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.446165701982837 0.124499340032291 -0.416713574183143 0.122057437511426 -3.58367925377851 0.000338788073599638 0.00140752016697389
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.735877567039253 0.151927477547183 -0.67997807928624 0.149726404293718 -4.84361077350681 1.27500584323632e-06 8.90026163714961e-06
