"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.152607273392514 0.13073546489589 0.136554019463531 0.123828181704726 1.16729820415632 0.243089963649645 0.348240916018763
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.257542171645886 0.139456487005343 -0.227834164621739 0.131686837685794 -1.84675648423597 0.0647824412685127 0.119437902684038
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.351547553543249 0.123325990031653 -0.319790048852632 0.118347046850961 -2.85055529214093 0.00436429616013161 0.012193051496216
"Rv0004" "Rv0004" "" 688.789361336292 -0.343385871567794 0.109364498069557 -0.318374683326615 0.105822064252342 -3.13982944766407 0.00169046219736928 0.00534749090616976
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.0524034573753861 0.118188646650973 0.0477432899197728 0.112826234649487 0.443388251412512 0.657484932304135 0.74819209894402
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.302129273869659 0.077815171309188 -0.29033309525367 0.0764469886217862 -3.88265255716253 0.000103323151634371 0.000458685137199324
"Rv0007" "Rv0007" "" 4214.0390689485 -0.292525532815442 0.127727876431781 -0.263858402098632 0.121856304279101 -2.29022466346005 0.0220082964102563 0.0480147869226519
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.0272868312857014 0.161880314003036 -0.0231256820832814 0.149034942305312 -0.168561764002939 0.866141358029341 0.905803204228144
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.26266273954389 0.158410297266556 -1.19468651855917 0.16335304019114 -7.97083751076621 1.57602618358617e-15 3.42136233590602e-14
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.595965265556519 0.127530334843644 -0.545310963579457 0.124216814539062 -4.67312554528451 2.96650305393583e-06 1.86337894532599e-05
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.150079754651351 0.1927017086493 -0.120164752806175 0.172761300127267 -0.778819013610735 0.436086335748102 0.550296107486666
"Rv0012" "Rv0012" "" 1606.01669604651 0.0684790980028467 0.130017453924188 0.0612814331021463 0.123026905453594 0.526691578215154 0.5984077849461 0.697230657128293
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.0832808339823299 0.103339693136114 -0.0774812409204261 0.0997041269639794 -0.805893954732732 0.420303997239517 0.534043626097713
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.293978170534571 0.120274002900028 -0.268111401306703 0.115341736780828 -2.44423702085417 0.0145158864847237 0.0339563454713697
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.338034181363206 0.155640709655182 -0.291978611814228 0.14577713897569 -2.17188794700379 0.0298641158228055 0.062265499533459
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.112136555755501 0.0971097961698893 -0.105191812446172 0.0940973990164056 -1.15473989420515 0.248196957336918 0.353761247632815
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.20186986303301 0.121406594887278 -0.183390764284453 0.115951654373435 -1.66275862707821 0.0963607614094947 0.166763630455065
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.283414800241973 0.119894321880668 -0.258542477136841 0.114957035124795 -2.36387174802205 0.018085072140764 0.0406814326552231
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.337028624326917 0.143837605608958 -0.296894015329648 0.135948494583531 -2.34311898407968 0.0191232834273731 0.0427111887063602
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.171148550045996 0.145297238142571 -0.14961104227459 0.13610030673114 -1.17792018784321 0.238828426053393 0.343631140326641
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.165785288743874 0.122931530963979 0.150167217324534 0.117161848103817 1.34859858527632 0.177465935340879 0.270825766910705
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.523971716257871 0.269756725910571 0.366501314966785 0.232686128322927 1.94238610544071 0.0520903760950829 0.0999558406758974
"Rv0023" "Rv0023" "" 710.847205695778 0.0922130721394747 0.190194664355511 0.0741106488040572 0.170629266681549 0.484835221071767 0.627793236393657 0.72167910299428
"Rv0024" "Rv0024" "" 950.082277417361 0.197611249944328 0.15905509391101 0.168788777139882 0.14740308469067 1.24240755253579 0.214086230468815 0.314327274835484
"Rv0025" "Rv0025" "" 448.703168725382 -0.0528833422600587 0.167911412754841 -0.0443328140696945 0.153771010790195 -0.314947872764737 0.752801232597715 0.823910711909577
"Rv0026" "Rv0026" "" 1352.53563996149 0.236924410629782 0.117316581060112 0.216682813888353 0.11249050031297 2.01953047462561 0.0434321131670697 0.0855861741262305
"Rv0027" "Rv0027" "" 398.199547856191 0.565635658969723 0.131577427325165 0.513734775614709 0.12755685368126 4.29888067025264 1.71662860485164e-05 9.00717080712992e-05
