"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.167976440797496 0.130954595576977 0.0216530141319812 0.0645932138905444 1.28270749153479 0.199594574292747 0.776944002985856
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 0.0213899327645239 0.139785301309382 0.00173675217977919 0.040086441776195 0.153019899547109 0.878382582528228 0.99375102884922
"Rv0003" "Rv0003" "recF" 906.009802633035 0.049755974719439 0.131722750569274 0.00422012645849533 0.0398857711554362 0.377732582294295 0.705629260776651 0.987006062207018
"Rv0004" "Rv0004" "" 688.789361336292 -0.0315853423914008 0.131128096431216 -0.00261686101995817 0.038363356437338 -0.24087394884108 0.809652813556058 0.993657187978439
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 -0.126722771674149 0.118324448181618 -0.0146369439004833 0.0519514390622794 -1.07097707719406 0.284179736741972 0.853302412031041
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.171631456101642 0.0779644562697202 -0.0607367618155864 0.084831541206617 -2.20140643972271 0.0277072635245782 0.346428475270913
"Rv0007" "Rv0007" "" 4214.0390689485 -0.139275737538348 0.128097944844628 -0.0159316088318804 0.0558025619783552 -1.08725973478557 0.276922038098479 0.843403479064498
"Rv0008c" "Rv0008c" "" 331.684349926798 -0.15583573880284 0.195217267073577 -0.0127603485735877 0.0631700711085067 -0.798268212330345 0.424714860552474 0.928482166544197
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.12308108038574 0.160577651508369 -1.08659853652218 0.161280433987761 -6.99400613868861 2.6714586155661e-12 1.88480946251815e-10
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.619372989802044 0.13219437528663 -0.539617027581024 0.154527183147212 -4.68532029792562 2.79522456073777e-06 0.00012841781673808
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.0158439676840058 0.192519529526183 -0.00113881531324034 0.0516913007780797 -0.0822979763299856 0.934409763618087 0.996160890238176
"Rv0012" "Rv0012" "" 1606.01669604651 -0.224117066127378 0.139048929032805 -0.0359108781729476 0.0842429930054959 -1.61178563320328 0.107008595559685 0.605717709249736
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.198814540536773 0.107655224598375 -0.0444756985071544 0.0848678478428705 -1.84677094194436 0.0647803449802925 0.494687383139673
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -0.105043581252964 0.12363004781081 -0.0106326042596051 0.0468380167338312 -0.849660605273822 0.395513806670628 0.920845639455304
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.0253291312615856 0.160997005979034 -0.00197931965395892 0.0452826652887676 -0.157326722367024 0.874987361094362 0.99375102884922
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.0268217592002257 0.100506961768825 -0.00223002415580556 0.0296510798871751 -0.266864690049214 0.78957334422772 0.993657187978439
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.214308133963982 0.124358442303607 -0.0400714586741391 0.0852600944705091 -1.72330989351549 0.0848324995949583 0.546264034924808
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -0.329462952785927 0.123847214770805 -0.143315868851479 0.144052853212715 -2.66023707836821 0.00780856660150226 0.155893004509827
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.00658922280679705 0.150602119086351 0.000522704484713462 0.042438420625581 0.0437525238474165 0.965101671295933 0.998772223304764
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.103498539329312 0.146302782459841 -0.00943967650302374 0.0496660246157199 -0.707427005755834 0.479301159372623 0.942030525123758
"Rv0021c" "Rv0021c" "" 1011.45778980664 -0.0012814990380168 0.138300877251312 -0.000103592729911649 0.0393224651348275 -0.00926602248290975 0.992606889515377 0.999854649905164
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.238559865437625 0.27015058851313 -0.0157365996224182 0.0789803462578914 -0.883062542083007 0.377202481130113 0.912631355140891
"Rv0023" "Rv0023" "" 710.847205695778 -0.424205229675119 0.250897746711164 -0.0453025889693494 0.121689274458474 -1.69074945963332 0.0908846636061859 0.569073384957275
"Rv0024" "Rv0024" "" 950.082277417361 0.0997834711413589 0.212041936392229 0.00709045417726254 0.0590646099377791 0.470583663020235 0.637938076354943 0.97558010820986
"Rv0025" "Rv0025" "" 448.703168725382 0.358183392873967 0.196254866195756 0.0524493811412679 0.117031757405132 1.82509305280968 0.0679869883846703 0.501150356544464
