"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.399181783906267 0.133223668607305 0.391723708686445 0.133165864366904 2.99632781531418 0.00273252507107233 0.00417971604947998
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.268251260734427 0.148811722772024 -0.258995351129349 0.148426621349254 -1.80262183474203 0.0714476254962983 0.0912377402507674
"Rv0003" "Rv0003" "recF" 906.009802633035 -1.48025336857598 0.156207200794677 -1.45587337196118 0.155382985393534 -9.47621723611617 2.63668394086114e-21 1.34767635838841e-20
"Rv0004" "Rv0004" "" 688.789361336292 -1.81648272214602 0.163653289358129 -1.78617718439554 0.162845393341773 -11.0995796617992 1.26035232826867e-28 9.10356864531904e-28
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.390024647518784 0.11868384559667 0.384229620340639 0.118695371884015 3.28624881977812 0.00101531280338541 0.00162606440461117
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.903045400088637 0.0797519541406298 -0.898517597413578 0.0795940060328668 -11.3231758371245 1.00754464926589e-29 7.61148931022858e-29
"Rv0007" "Rv0007" "" 4214.0390689485 -1.57863994196958 0.138372478559112 -1.55866428507523 0.13782981879136 -11.4086266171433 3.78660646507292e-30 2.95086432810712e-29
"Rv0008c" "Rv0008c" "" 331.684349926798 1.0766257425608 0.183379091776817 1.0498443968124 0.181660278571767 5.87103868892052 4.3307318123493e-09 1.05883176921981e-08
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.397962573930544 0.160948373216931 -0.386812238435596 0.160641113223026 -2.47261010457159 0.0134130388954769 0.0189674003851214
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.00630953950418869 0.132595420748487 0.00597577038562678 0.12904359340059 0.0475848974917234 0.962047068450123 0.967680236111618
"Rv0011c" "Rv0011c" "" 1767.20301988517 0.322706572541668 0.198784833844977 0.306921014555954 0.196857347045751 1.6233963441765 0.104504705725748 0.130788119202544
"Rv0012" "Rv0012" "" 1606.01669604651 1.50939993963861 0.133131905069007 1.49140568316135 0.132631573425345 11.337627436911 8.54291821526545e-30 6.478516289542e-29
"Rv0013" "Rv0013" "trpG" 1583.44287262839 0.313138955834507 0.112667793618659 0.307744972846442 0.112949893939812 2.77931204452599 0.00544741681067361 0.00809734530435344
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -1.18274787812378 0.12526088116527 -1.16918686042915 0.124754053690593 -9.44227652816252 3.64766642330421e-21 1.85005520391206e-20
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -0.768687174490833 0.157556230994975 -0.753453389351966 0.156259157004428 -4.87881164481112 1.06726924471125e-06 2.19509671309431e-06
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -0.963771270606564 0.104247159278754 -0.955664789967175 0.103908515156805 -9.24506027094191 2.35108169958974e-20 1.15680246514061e-19
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.817632095387486 0.128547468794061 -0.806879746145413 0.127848743181034 -6.36054605398235 2.01037766398381e-10 5.42925642542722e-10
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.128841986622459 0.121126753871795 0.123608114209205 0.119551640862027 1.06369552971617 0.287466650206703 0.332975882429401
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.419126373172052 0.144116791621753 0.410246343361583 0.14390528138794 2.90824107625214 0.00363468023830689 0.00551483165190112
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 0.420364539906155 0.14584029218459 0.411250361592544 0.145610497243396 2.88236216212526 0.00394705783562946 0.00596360440098355
"Rv0021c" "Rv0021c" "" 1011.45778980664 1.20304861230059 0.132622194651562 1.18768471163756 0.132028080534215 9.07124644906808 1.17663181153753e-19 5.55420822865567e-19
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 -0.3605804841606 0.528237397231368 -0.288278161558085 0.474968834689523 -0.682610670979558 0.494852889366172 0.545221351334564
