"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.697232204947587 0.131605129617173 -0.688538358535734 0.130841351111062 -5.29791055239084 1.17135318685231e-07 2.22822168572627e-07
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -1.56726438858984 0.142843601638641 -1.54709024973639 0.142189354490017 -10.9718907295172 5.21698951839374e-28 2.6838965608299e-27
"Rv0003" "Rv0003" "recF" 906.009802633035 -1.63740565522883 0.129842111106051 -1.62018402959542 0.129371321197303 -12.6107442437643 1.84244862755403e-36 1.31636790731754e-35
"Rv0004" "Rv0004" "" 688.789361336292 -1.84384826265289 0.118308846502617 -1.82836439620072 0.117996972189079 -15.5850413317325 9.20038240559414e-55 1.30757952821951e-53
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.918177550644779 0.118254718223219 0.909144854684679 0.117741976704101 7.76440521308939 8.20292520957084e-15 2.32828717694069e-14
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.0293070462965813 0.0778355337580683 -0.0275417096761423 0.0757500507828221 -0.376525281983351 0.706526423700428 0.735763284143488
"Rv0007" "Rv0007" "" 4214.0390689485 -0.881581046099585 0.126793329709128 -0.871580747786778 0.126152581314149 -6.95289766521621 3.57858290675898e-12 8.88126951294266e-12
"Rv0008c" "Rv0008c" "" 331.684349926798 0.352688884030406 0.156959648265668 0.34537575030009 0.156378647711716 2.24700353197434 0.0246398013866497 0.0317003761897274
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -0.653761721509213 0.157457813635409 -0.642114634711058 0.156145896423945 -4.15198018069137 3.29610813005815e-05 5.38137323217344e-05
"Rv0010c" "Rv0010c" "" 1936.35496712783 -0.290093446787103 0.126027803973111 -0.285837713233547 0.126053898497245 -2.3018210080769 0.0213452683190743 0.0276146545935372
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.408731470354772 0.194635402402212 -0.396323700866842 0.192965075126764 -2.09998523038543 0.0357301403873018 0.0452612326611829
"Rv0012" "Rv0012" "" 1606.01669604651 0.956382187147429 0.128766327672445 0.94530626956454 0.12811502203759 7.42726925924506 1.10862540078893e-13 2.94169171156284e-13
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.136678947022634 0.10201375415197 -0.132941588445275 0.102352291292722 -1.33980901064599 0.180307445444726 0.208059204717322
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -1.39823584206601 0.119436470712372 -1.38521421302553 0.119016318552808 -11.7069420565286 1.17439184425403e-31 6.85379937466419e-31
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -1.33190522832116 0.153809694041622 -1.31122543263481 0.15287919346292 -8.65943617286398 4.74103417443097e-18 1.57941197497274e-17
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -1.09448508953555 0.096002279173476 -1.08753805927245 0.0957478493982193 -11.4006156828611 4.15172502927924e-30 2.33335214661199e-29
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -0.718863575322524 0.120458683076826 -0.711352648777438 0.119876172868313 -5.96771902996854 2.40593202970297e-09 5.11341444290286e-09
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 0.115428232787261 0.118259351147387 0.111286389976721 0.117512824674434 0.976060088841538 0.329034687953067 0.363437532038738
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 0.544670242898316 0.140959546623905 0.536774071914854 0.14000333229939 3.86401812394838 0.000111536940401269 0.000175430912231454
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.00553654339626345 0.145165519121909 -0.00526810738975273 0.141606042061638 -0.0381395212151853 0.969576440846618 0.973766272949921
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.869092893991006 0.119978178644004 0.860239451246704 0.119432370809132 7.24375802177956 4.36419775160681e-13 1.1329136213271e-12
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.00303017254648195 0.296492046748749 0.00279543045134737 0.284776464367864 0.0102200803687991 0.99184569761669 0.992850861738926
"Rv0023" "Rv0023" "" 710.847205695778 -0.680877164531404 0.181972637376605 -0.664820885039148 0.179993594293865 -3.74164585592218 0.000182819022740063 0.000283373071340129
"Rv0024" "Rv0024" "" 950.082277417361 -0.548551320124799 0.15188839466959 -0.539332543718673 0.15071676979077 -3.61154202279963 0.000304381749098886 0.000462543188726806
"Rv0025" "Rv0025" "" 448.703168725382 0.263814923644774 0.164604515283667 0.256328487720435 0.164015168833756 1.60271984757001 0.10899651958448 0.129556332394188
"Rv0026" "Rv0026" "" 1352.53563996149 0.694547106563902 0.116200772764018 0.687770942502979 0.115673535074913 5.97712984210869 2.27103188296665e-09 4.83190466860595e-09
"Rv0027" "Rv0027" "" 398.199547856191 0.626082217257642 0.137952750983605 0.617456531147559 0.137056828410571 4.53838153131177 5.66876279715872e-06 9.72948818921552e-06
"Rv0028" "Rv0028" "" 485.559711362201 0.940185603617743 0.13534134882515 0.928147591911654 0.13458044594151 6.94677282130821 3.7373680539835e-12 9.26951737682913e-12
"Rv0029" "Rv0029" "" 1176.27162722634 0.712868248260685 0.0780162397513682 0.709718760907187 0.0778570329991654 9.13743408465393 6.39516381365675e-20 2.3266383266812e-19
